real_name,hmuni1,hmuni2,hmuni3,hmuni4,hmuni5,hmuni6,hmuni7,hmuni8,hmuni9,hpz01,hpz02,hpz03,hpz04,hpz05,hpz06,hpz07,hpz08,hpz09,hpz10,hpz11,vlens,zert01,zert02,zert03,zert04,zert05,zert06,zert07,zert08,zert09,zert10,zert11,zert12,zert13,zert14,zert15,zert16,zert17,zert18,zert19,zert20,zert21,zert22,zert23,zert24,zert25,zert26,zert27,zert28,zert29,zert30,zert31,zert32,zert33,zert34,zert35,zert36,zert37,zert38,zert39,zert40,zert41,zert42,zert43,zert44,zert45,zert46,zert47,zert48,zert49,zert50,zert51,zert52,zert53,zert54,zert55,zert56,zert57,zert58,zert59,zert60,zert61,zert62,zert63,zert64,zert65,zert66,zert67,zert68,zert69,zert70,zert71,zert72,zert73,zert74,zert75,zert76,zert77,zert78,zert79,zert80,zert81,zert82,zert83,zert84,zert85,zert86,zert87,zmuni1,zmuni1_pct,zmuni2,zmuni2_pct,zmuni3,zmuni3_pct,zmuni4,zmuni4_pct,zmuni5,zmuni5_pct,zmuni6,zmuni6_pct,zmuni7,zmuni7_pct,zmuni8,zmuni8_pct,zmuni9,zmuni9_pct,zpz01,zpz02,zpz03,zpz04,zpz05,zpz07,zpz08,ztdem01,ztdem02,ztdem03,ztdem05,ztdem08,ztdem12,ztdem14,ztdem15,ztdem17,ztdem20,ztdem21,ztdem22,ztdem32,ztdem33,ztdem34,ztdem35,ztdem37,ztdem41,ztdem42,ztdem43,ztdem44,ztdem45,ztdem46,ztdem47,ztdem48,ztdem49,ztdem51,ztdem52,ztdem53,ztdem54,ztdem55,ztdem56,ztdem57,ztdem58,ztdem59,ztdem61,ztdem62,ztdem63,ztdem64,ztdem65,ztdem66,ztdem68,ztdem69,ztdem71,ztdem74,ztdem75,ztdem80,ztdem81
0,1.28956,1.37401,1.84593,2.43598,1.01741,1.37397,1.15545,1.27928,1.27977,2.15119,1.94278,1.38966,1.59549,1.92083,1.11145,1.53268,1.70902,1.90379,1.30508,1.49444,0,-12.6285,-3.31089,-19.3502,-39.0903,-49.187,-58.1856,-57.8389,-78.9835,-68.5181,-79.6319,-15.547,-14.0971,-40.6341,-38.4279,-41.974,-45.6845,-37.3727,-70.9123,-74.2978,-65.6534,-78.7648,-76.4872,-59.8487,-26.0347,-21.1017,-41.1961,-46.2927,-33.7712,-49.4118,-50.2083,-47.4777,-40.3895,-40.822,-49.793,-39.4901,-36.4189,-36.6756,-29.4017,-38.817,-35.1868,-33.127,-40.2402,-41.0472,-36.2976,-39.3461,-54.5589,-49.2293,-49.4748,-57.6894,-44.2608,-59.9326,-60.5173,-62.8574,-26.7484,-21.8889,-23.9884,-35.8431,-36.3873,-41.4798,-73.8167,-70.6508,-58.7224,-85.4149,-76.3092,-70.6795,-10.5295,-22.203,-23.0501,-29.2188,-43.3514,-32.6549,-40.991,-47.4545,-55.8026,-23.7683,-29.0945,-30.6676,-32.025,-55.9815,-15.3913,-38.2707,-37.9851,-33.4868,-42.0471,-30.2562,-27.9607,-43.2387,0,-20.027,0,-21.054,0,-22.994,0,-11.533,0,-20.813,0,-18.573,0,-32.193,0,-28.603,0,-24.393,-47.6247,-44.6535,-40.5927,-32.2108,-32.4537,-69.2932,-43.2715,-25.3833,-48.0396,-46.8615,-31.2674,-26.0571,-42.1857,-51.2083,-46.0536,-51.8999,-29.0141,-51.7924,-52.3716,-39.2594,-41.8742,-59.9968,-49.6719,-70.6064,-42.8626,-62.8333,-66.9998,-36.1633,-31.6718,-41.9338,-34.7599,-37.3889,-48.5425,-50.6061,-25.1428,-43.5479,-41.3972,-35.7939,-24.6262,-38.2878,-29.3352,-51.2777,-38.2458,-37.1553,-51.7431,-42.7399,-49.7158,-57.0579,-25.7619,-30.0587,-43.574,-48.0487,-33.2779,-32.9242,-26.8432
1,1.18777,1.25604,1.64707,2.62904,1.27731,1.49218,1.34945,1.286,1.65058,2.16672,1.8289,1.57342,1.61498,2.05428,1.05547,1.19646,1.72249,1.40054,1.72472,1.44661,0,-8.16756,-17.9793,-23.3771,-43.2717,-49.6464,-56.1024,-51.2448,-75.1462,-65.1833,-74.5474,-20.5678,-15.8695,-38.0079,-47.3718,-46.6757,-42.6788,-44.0759,-73.6674,-76.8005,-58.3094,-70.3295,-81.4996,-69.66,-29.833,-31.1576,-30.2932,-39.5775,-36.8164,-61.8287,-46.977,-40.8657,-46.7475,-54.5396,-39.3359,-45.6921,-44.2361,-34.8381,-29.0837,-36.5044,-32.4952,-46.246,-46.1002,-38.533,-48.307,-41.5993,-43.6467,-56.163,-43.035,-51.9546,-58.0476,-51.386,-53.7092,-68.1682,-26.4887,-29.5584,-36.6289,-41.9589,-40.9909,-53.1627,-61.3799,-70.005,-74.225,-74.4771,-79.3376,-70.2217,-10.8641,-26.2383,-23.7237,-36.8987,-47.683,-36.619,-29.9723,-37.4697,-53.6662,-22.8662,-22.6983,-31.2519,-34.713,-50.2069,-10.7045,-35.248,-40.8539,-52.7296,-41.5292,-32.6149,-31.7036,-50.4349,0,-20.027,0,-21.054,0,-22.994,0,-11.533,0,-20.813,0,-18.573,0,-32.193,0,-28.603,0,-24.393,-47.3005,-45.9375,-43.344,-32.6099,-29.78,-64.8337,-39.7071,-28.0764,-44.788,-41.8906,-35.9611,-28.2339,-39.5181,-51.0088,-50.8498,-47.7374,-29.5269,-50.5941,-46.7853,-43.2632,-46.8956,-45.1711,-47.5673,-68.5565,-49.2726,-58.2561,-72.0729,-28.9843,-24.3488,-43.8129,-36.0456,-40.4317,-46.4655,-60.673,-39.918,-36.1596,-40.4241,-39.5958,-38.415,-36.3072,-39.3995,-46.3197,-34.7514,-32.9191,-51.8066,-44.8907,-48.1844,-56.0185,-23.6707,-36.3201,-51.9088,-36.5265,-35.5139,-26.754,-35.1561
2,1.33701,1.42835,1.79677,2.28843,1.40705,1.50698,1.4748,0.918041,1.53184,1.81811,1.98165,1.60909,1.38586,1.33785,1.07502,1.60933,1.58594,1.68626,1.61496,1.41285,0,-11.7509,-21.5806,-29.7844,-46.1083,-53.0098,-61.8292,-58.2588,-85.8635,-69.7672,-67.0223,-17.2072,-13.3424,-46.7554,-44.9656,-57.2641,-48.4787,-54.949,-74.1634,-60.4895,-64.2399,-78.2663,-83.2303,-66.2368,-16.2617,-25.9162,-38.9431,-38.6217,-43.4976,-47.4646,-48.0113,-42.7582,-51.1542,-46.2431,-55.5323,-46.5915,-38.2067,-38.4755,-22.9455,-33.4914,-36.5776,-48.4833,-30.0787,-41.0394,-42.8174,-40.893,-54.1268,-48.1054,-53.4825,-50.9365,-51.4591,-46.7306,-56.8432,-51.3141,-17.0786,-31.2172,-38.4183,-35.3194,-36.4705,-51.5796,-64.3246,-76.6538,-70.8578,-74.6555,-70.7548,-77.0167,-13.5546,-21.7683,-16.5992,-28.3204,-36.3223,-42.278,-34.5201,-40.0272,-63.5965,-18.4681,-32.3038,-34.699,-28.2459,-60.0297,-8.27533,-40.7398,-43.411,-39.6066,-39.9206,-26.7923,-28.4284,-49.5125,0,-20.027,0,-21.054,0,-22.994,0,-11.533,0,-20.813,0,-18.573,0,-32.193,0,-28.603,0,-24.393,-47.4063,-45.1323,-41.8864,-33.2688,-30.3774,-61.7538,-37.9587,-27.5857,-46.384,-41.2477,-32.093,-36.2634,-44.5896,-53.9795,-52.5173,-52.985,-35.0877,-49.1755,-52.4958,-47.7013,-39.173,-48.5994,-49.4598,-63.475,-39.977,-56.1004,-70.4671,-37.836,-26.5578,-45.6001,-30.4603,-37.2745,-41.4832,-55.5577,-25.7532,-37.0552,-46.5268,-40.1898,-42.0808,-35.3005,-35.6516,-51.5868,-41.6225,-38.0873,-54.3371,-46.8857,-44.2792,-59.522,-21.3228,-33.2636,-48.8139,-43.6366,-30.2794,-27.5808,-37.4393
3,1.43795,1.30957,1.79659,2.47812,1.04517,1.19893,1.22541,1.52303,1.63029,1.82008,1.82347,1.74724,1.51747,1.81331,1.07818,1.31372,1.27543,1.19032,1.38638,1.37143,0,-10.6592,-9.67607,-29.9476,-36.8875,-49.5364,-53.8527,-57.2003,-65.3361,-78.4535,-86.0099,-24.9621,-32.0932,-33.5843,-34.4724,-44.148,-55.3966,-49.714,-66.7608,-69.5701,-61.589,-79.0367,-75.5578,-68.6606,-22.804,-27.701,-33.4948,-33.5735,-42.7448,-58.7669,-55.305,-43.4806,-40.6316,-42.0442,-48.1553,-43.1434,-41.9675,-27.8839,-23.1854,-32.3705,-36.1084,-32.1929,-35.0207,-50.0472,-49.081,-49.108,-37.5897,-48.3355,-57.3225,-54.6286,-50.6896,-49.2658,-60.5346,-48.9386,-20.6419,-35.51,-27.8299,-37.5118,-37.2014,-47.2301,-69.0611,-80.424,-60.4224,-74.5311,-77.5181,-66.6264,-18.604,-20.7519,-19.3423,-31.0694,-38.5893,-41.0178,-37.0769,-37.8271,-44.5687,-34.2539,-27.5366,-31.2416,-26.8964,-55.8975,-3.76294,-40.5519,-29.0036,-37.4897,-41.1706,-38.1951,-31.8088,-52.4798,0,-20.027,0,-21.054,0,-22.994,0,-11.533,0,-20.813,0,-18.573,0,-32.193,0,-28.603,0,-24.393,-46.6249,-46.9915,-42.4061,-36.3799,-31.5264,-63.0916,-44.649,-24.1724,-43.6051,-45.9058,-30.0355,-36.1734,-41.0818,-53.5874,-41.4747,-51.586,-28.5604,-50.3272,-57.2156,-43.9459,-44.0512,-49.3041,-48.9828,-68.6749,-43.9238,-62.1317,-75.4731,-32.499,-29.9343,-35.2054,-33.9982,-35.445,-52.4523,-49.9724,-36.0423,-41.9204,-36.5087,-45.5458,-35.6553,-35.3648,-32.6798,-47.6654,-38.941,-35.2096,-55.5591,-49.823,-42.3558,-52.1771,-25.4913,-35.7429,-50.78,-34.8339,-27.9313,-29.4942,-28.334
4,1.39319,0.981318,1.53662,2.46419,1.38559,1.29806,1.22098,1.0871,1.63632,2.13217,2.12847,1.48824,1.71565,1.97244,1.11609,1.30653,1.46387,1.22174,1.66371,1.44149,0,-18.0188,-17.5383,-24.628,-46.4388,-52.0353,-55.1233,-55.7258,-78.152,-67.1942,-70.4529,-19.5366,-19.939,-39.6814,-51.775,-47.3847,-36.3675,-47.7754,-67.4491,-77.8647,-65.1893,-75.6613,-76.525,-68.7609,-24.349,-27.133,-39.3908,-33.0552,-33.4222,-57.3255,-56.0865,-51.0219,-48.5356,-44.5588,-46.8252,-40.52,-35.2461,-34.0556,-20.1573,-38.8712,-46.6939,-32.6206,-33.8871,-42.0877,-39.512,-32.2282,-46.2187,-52.6093,-53.959,-53.269,-59.5232,-54.9379,-53.9223,-51.5595,-22.7252,-31.0197,-27.2829,-34.7259,-34.2638,-43.9337,-62.3813,-73.6117,-69.7111,-77.2496,-84.2609,-77.8162,-17.8456,-30.2919,-21.5105,-34.9105,-42.1594,-43.542,-40.2016,-46.8796,-58.3018,-23.1918,-38.1805,-29.2764,-35.2282,-62.7996,-15.2509,-42.3675,-34.0006,-44.1817,-36.5591,-44.2002,-30.9443,-41.6155,0,-20.027,0,-21.054,0,-22.994,0,-11.533,0,-20.813,0,-18.573,0,-32.193,0,-28.603,0,-24.393,-48.9965,-45.7326,-41.4267,-34.8793,-31.9309,-65.3521,-39.8567,-26.3445,-51.1845,-51.2757,-31.9282,-35.2405,-41.4686,-48.2864,-51.498,-51.0216,-29.9213,-49.6903,-53.079,-41.919,-39.7593,-49.8964,-55.4823,-74.1159,-53.508,-57.8291,-70.1156,-38.5133,-32.2502,-35.3162,-44.6745,-47.1137,-48.6416,-52.733,-37.2025,-46.7579,-38.3697,-31.2198,-39.1836,-42.4156,-40.1706,-54.9412,-35.5558,-32.459,-59.3023,-48.4674,-48.862,-54.5411,-21.6814,-34.9892,-45.5971,-44.0649,-32.1029,-30.5936,-28.2231
5,1.27985,1.4299,1.75048,2.54121,1.1975,1.45804,1.18188,1.18377,1.50624,1.62802,1.91302,1.52633,1.40563,1.62416,1.02004,1.21759,1.35543,1.64112,1.49646,1.38861,0,-16.2592,-13.0043,-23.2938,-37.5076,-48.3242,-57.8435,-50.155,-72.4848,-79.0598,-77.6616,-13.8415,-16.6823,-39.0862,-45.5831,-42.1921,-44.2837,-50.108,-65.6823,-71.1836,-63.019,-74.1544,-75.077,-68.4911,-15.9655,-29.8899,-34.4305,-35.4105,-42.5432,-53.6478,-59.7096,-44.878,-50.8621,-45.9832,-51.6074,-44.801,-32.9671,-33.2137,-22.2323,-37.3859,-40.7644,-40.3717,-40.616,-27.014,-52.729,-33.813,-50.1816,-57.0368,-44.2988,-58.0196,-44.2721,-55.0578,-55.4192,-50.4685,-24.3349,-29.0628,-25.6724,-36.0438,-31.2585,-46.6835,-66.2666,-74.0538,-69.7049,-72.7415,-78.5973,-72.3475,-7.97312,-19.6108,-33.1191,-34.7419,-41.105,-38.7228,-48.3767,-34.0848,-55.7061,-18.3493,-29.7613,-34.623,-32.2453,-58.4599,-8.98647,-25.5678,-33.5222,-43.1018,-31.3927,-36.9385,-30.5496,-42.6299,0,-20.027,0,-21.054,0,-22.994,0,-11.533,0,-20.813,0,-18.573,0,-32.193,0,-28.603,0,-24.393,-42.8678,-44.3803,-41.2761,-33.5535,-33.5165,-63.1539,-39.3936,-24.8349,-44.162,-38.3666,-39.3418,-34.5815,-40.3546,-50.0001,-52.9211,-49.7593,-35.2598,-55.5599,-53.168,-39.2917,-47.8843,-50.9268,-48.754,-64.2604,-40.6727,-56.2798,-73.8025,-34.3735,-29.2568,-37.2263,-30.2067,-44.8507,-43.069,-52.1504,-37.3616,-42.6298,-44.1136,-47.5105,-31.3223,-38.9903,-35.3134,-55.7994,-38.1372,-31.2043,-65.5824,-38.1501,-42.4399,-47.4162,-26.5704,-40.7084,-43.2854,-41.424,-29.086,-32.6067,-29.3905
6,1.43858,1.34119,1.40569,2.4563,1.34566,1.41917,1.34663,1.11475,1.45087,2.40376,1.83477,1.54373,1.72861,1.61736,1.10497,0.900595,1.27561,1.2757,1.42672,1.46184,0,-19.3152,-13.0711,-30.4002,-41.0241,-44.4804,-55.35,-57.5816,-82.3066,-75.18,-73.7736,-12.1731,-14.0877,-40.1998,-48.5763,-47.4592,-44.7161,-43.2708,-63.5713,-71.547,-53.7285,-73.8595,-76.9355,-79.5673,-29.4373,-27.0284,-32.6686,-37.2817,-42.7223,-60.6672,-49.0927,-48.2436,-44.2841,-41.4713,-46.3946,-48.5114,-34.4751,-37.2057,-26.8303,-33.1576,-33.6612,-47.4589,-38.121,-41.5606,-47.5118,-50.797,-57.9149,-55.7597,-58.2581,-51.775,-52.3789,-48.3253,-56.5566,-53.2656,-23.8134,-33.8022,-27.1023,-33.1687,-41.026,-52.5163,-65.281,-76.9007,-75.5358,-81.6303,-78.0784,-64.2965,-9.72745,-31.2776,-17.2714,-28.6344,-36.5127,-41.1222,-43.336,-36.0913,-57.5891,-22.2527,-30.903,-33.7623,-32.2238,-60.3808,-13.3637,-29.4643,-42.3792,-42.0847,-37.3769,-35.8151,-35.2214,-49.9998,0,-20.027,0,-21.054,0,-22.994,0,-11.533,0,-20.813,0,-18.573,0,-32.193,0,-28.603,0,-24.393,-44.07,-44.7495,-42.916,-33.4376,-35.3364,-67.7973,-42.2401,-28.873,-53.258,-56.3856,-32.1808,-31.9349,-45.1123,-45.9544,-51.6928,-47.0317,-35.4342,-55.3011,-50.4613,-36.6932,-42.3808,-49.6238,-53.3176,-69.2125,-46.0718,-57.5624,-68.4995,-34.8062,-32.1096,-30.5775,-32.8586,-45.2888,-40.218,-50.7865,-38.8084,-47.3244,-40.7716,-45.89,-36.034,-40.4933,-30.7902,-55.33,-44.9475,-30.5904,-53.3424,-36.0749,-45.5247,-50.611,-23.1525,-35.7636,-44.5384,-42.2867,-27.0591,-28.4409,-36.9258
7,1.49512,1.28457,1.54924,2.64645,1.08077,1.24978,1.18533,1.30917,1.26039,1.37882,1.84309,1.60491,1.57957,1.78954,1.06217,1.29207,1.39043,1.42969,1.43739,1.4744,0,-16.2692,-12.5451,-38.7891,-45.6033,-51.4439,-54.8455,-48.2279,-77.9956,-72.7638,-73.0236,-10.5582,-10.876,-49.827,-38.4301,-44.1,-52.2677,-46.1602,-66.0021,-69.1706,-54.3017,-73.3781,-74.6882,-61.516,-26.8301,-28.3413,-38.3033,-39.1922,-29.4274,-54.7918,-58.2121,-48.874,-46.0187,-41.1821,-48.314,-41.8761,-29.1555,-31.7917,-17.5906,-41.2157,-39.9266,-31.8256,-35.4727,-35.536,-51.1096,-42.0147,-54.6424,-53.7131,-49.7715,-43.9867,-63.2152,-47.5984,-55.9107,-58.1853,-23.8913,-21.2155,-40.8819,-33.2762,-35.2761,-47.2056,-63.6142,-69.0644,-76.2304,-66.0557,-84.5608,-64.6682,-13.918,-25.5085,-19.3032,-37.1125,-38.133,-33.3957,-49.2454,-40.5628,-51.0662,-26.5067,-26.6216,-24.6835,-36.3587,-55.5005,-16.2684,-39.477,-36.1713,-44.9857,-43.4712,-38.9234,-29.1888,-50.4442,0,-20.027,0,-21.054,0,-22.994,0,-11.533,0,-20.813,0,-18.573,0,-32.193,0,-28.603,0,-24.393,-46.479,-46.0977,-42.0566,-31.7738,-30.6569,-61.5279,-41.7964,-26.1925,-49.062,-44.1838,-27.8,-33.7748,-40.1978,-50.4961,-48.8031,-53.9014,-33.9255,-53.1434,-51.9335,-50.4098,-44.2308,-48.2748,-51.0585,-65.1497,-46.2306,-58.0292,-71.3059,-29.9215,-29.7014,-41.3014,-28.1291,-45.148,-45.1184,-49.0385,-37.3692,-38.056,-43.1368,-45.0397,-36.0336,-36.8323,-35.985,-51.1071,-29.4307,-38.6065,-48.0773,-43.4192,-51.7006,-56.6813,-22.683,-30.983,-50.9706,-46.5051,-32.5103,-24.5011,-34.3266
8,1.36721,1.36707,1.81314,2.49623,1.03422,1.20732,1.54263,1.21786,1.16279,2.16267,1.80495,1.52194,1.53699,1.80994,1.12453,1.58395,2.03332,1.38993,1.28564,1.45917,0,-17.8441,-16.8052,-34.1044,-53.312,-47.4547,-65.7119,-48.4167,-69.4401,-74.4373,-69.4957,-11.9738,-14.1874,-38.9196,-41.1696,-45.7395,-42.8155,-47.4522,-76.7075,-78.3317,-55.8988,-81.2096,-81.6894,-64.6359,-32.5595,-28.3215,-29.0334,-37.9103,-34.6938,-51.9289,-53.3652,-54.1396,-45.4678,-47.9777,-47.4171,-49.9242,-35.864,-32.3968,-16.4507,-38.0839,-44.7053,-35.09,-36.2598,-38.9402,-44.7776,-45.9758,-56.7925,-45.5405,-47.1156,-47.1715,-52.281,-53.5594,-61.4707,-56.0652,-23.0367,-25.7854,-35.0591,-38.6091,-36.0867,-39.2205,-72.2452,-78.1415,-67.3932,-71.1635,-79.6176,-76.3875,-17.7532,-24.0534,-27.5419,-29.7924,-30.5784,-36.3945,-38.0383,-33.3496,-56.8649,-17.0041,-32.0006,-29.5741,-28.3323,-64.533,-13.3643,-34.9499,-33.5025,-36.0687,-41.9194,-36.739,-24.2391,-40.1592,0,-20.027,0,-21.054,0,-22.994,0,-11.533,0,-20.813,0,-18.573,0,-32.193,0,-28.603,0,-24.393,-45.7965,-46.9409,-42.12,-33.8058,-27.9269,-59.7361,-37.3029,-25.5159,-44.7244,-49.3625,-29.8104,-34.9142,-38.7942,-43.2089,-55.2807,-56.7456,-33.5919,-56.9554,-50.4062,-49.5565,-45.7424,-54.1001,-49.0372,-66.4762,-47.6073,-63.0042,-68.1845,-36.6492,-33.91,-34.9748,-36.4954,-44.3468,-42.606,-52.7458,-28.6533,-42.6403,-45.9927,-43.545,-43.9454,-39.0737,-40.0861,-53.3743,-38.0839,-28.8261,-52.0162,-49.5375,-47.0137,-53.5239,-21.2127,-30.3237,-51.0834,-46.5165,-44.1016,-26.6939,-31.6469
9,1.15744,1.09809,1.54533,2.33376,1.07436,1.30494,1.43112,1.32529,1.60648,2.34109,2.26367,1.59167,1.5642,1.92584,1.14067,1.19539,1.26465,1.39196,1.13505,1.49564,0,-14.0197,-6.62862,-35.781,-51.1394,-43.7301,-63.712,-57.7517,-80.8053,-73.1667,-69.7324,-14.1299,-25.916,-39.4289,-42.1438,-47.0909,-49.8626,-55.3766,-69.408,-73.6912,-56.925,-73.6036,-73.616,-63.1191,-32.7749,-26.9228,-37.1364,-29.7554,-41.5532,-43.6871,-55.7265,-48.8192,-40.5426,-48.7721,-53.9173,-44.1228,-34.4091,-25.4038,-27.6098,-46.7687,-36.4019,-39.0249,-43.9238,-37.5741,-35.205,-44.4505,-56.8095,-48.6377,-52.4107,-50.264,-49.2858,-53.8325,-53.5206,-57.7,-19.8115,-26.6305,-25.5884,-39.6472,-40.3589,-35.012,-67.2699,-69.5821,-75.0401,-73.1946,-74.2049,-71.7724,-5.81915,-24.9877,-23.4966,-36.5955,-41.8838,-45.6714,-44.5121,-37.375,-59.8915,-15.0026,-33.5499,-29.6074,-37.0762,-61.5577,-16.7729,-38.4637,-39.6556,-41.048,-29.1816,-27.1205,-34.2336,-46.5958,0,-20.027,0,-21.054,0,-22.994,0,-11.533,0,-20.813,0,-18.573,0,-32.193,0,-28.603,0,-24.393,-42.2074,-47.0452,-42.6534,-34.0196,-30.1355,-60.351,-42.4013,-21.7937,-44.8101,-44.7098,-32.0058,-27.3158,-46.5735,-52.263,-46.0927,-57.1811,-28.7823,-48.1539,-53.8342,-44.0785,-49.9447,-54.4157,-56.5025,-66.6968,-45.8228,-54.4678,-64.3921,-30.6673,-29.4396,-38.3809,-28.6948,-43.2916,-41.5094,-49.1748,-39.9219,-42.3858,-43.2452,-42.6553,-35.5756,-36.5422,-42.3586,-55.0287,-40.3493,-43.2904,-55.376,-46.4282,-48.1231,-59.1478,-24.6176,-34.3077,-44.3543,-46.9114,-38.1301,-35.2344,-33.402
