iteration,total_runs,obs_realization,par_realization,hmuni,hdeep,hshallow,v_lens,zert,zmuni,l_zmuni_pct,zwells,ztdem
0,178,0,0,107.359,278.52,34.438,0,11627.9,0,0,22789.3,17247.9
0,178,1,1,136.551,26.2652,842.421,0,3517.31,0,0,3075.58,4759.39
0,178,2,2,1078.4,271.1,2697.69,0,12077.9,0,0,3211.7,14254.2
0,178,3,3,2214.71,229.38,6666.2,0,22422.6,0,0,5226.93,24861.2
0,178,4,4,110.881,21.5391,368.548,0,1138.95,0,0,2870.14,2148.31
0,178,5,5,1140.93,156.344,5250.48,0,11666.4,0,0,5985,13635.9
0,178,6,6,3030.81,1189.9,18406.6,0,42210.7,0,0,26602.8,42684.3
0,178,7,7,603.887,63.2867,3395.8,0,7008.72,0,0,3032.88,9012.95
0,178,8,8,191.818,422.162,1638.32,0,9248.08,0,0,16482.6,10021.3
0,178,9,9,16456.6,9004.47,56848.2,0,207355,0,0,163266,213187
0,178,10,10,804.151,105.87,2677.54,0,5510.39,0,0,1493.85,7694.69
0,178,11,11,101.373,20.7134,42.8601,0,1644.86,0,0,1530.64,1764.7
0,178,12,12,213.397,393.662,1188.01,0,13554.5,0,0,21371.6,13981.4
0,178,13,13,137.023,41.5542,184.222,0,7026.77,0,0,7701.27,7416.99
0,178,14,14,144.688,297.219,496.033,0,14794.9,0,0,26152.6,20480.1
0,178,17,17,3306.94,3162.29,13188.4,0,56926,0,0,66039,63818.1
0,178,18,18,16004.1,9281.18,53022.6,0,201890,0,0,165204,209351
0,178,19,19,279.084,179.24,229.387,0,1297.58,0,0,110.265,809.327
0,178,21,21,955.957,231.89,3953.46,0,53345.1,0,0,37405.7,55088.2
0,178,22,22,377.791,48.1811,1142.68,0,11378.9,0,0,9042.02,13657.8
0,178,23,23,3052.25,911.035,11011.3,0,68543.6,0,0,50202.2,74559
0,178,24,24,186.976,169.214,28.6178,0,4688.4,0,0,994.222,5764.49
0,178,25,25,808.969,440.437,3658.46,0,36286.8,0,0,31235.5,35573.7
0,178,26,26,168.156,153.234,69.2389,0,1423.4,0,0,23.9717,1740.2
0,178,27,27,501.335,73.9222,1720.19,0,12885.3,0,0,8813.53,14352.3
0,178,28,28,2970.18,1449.03,12638.6,0,40530.4,0,0,34181.8,41829.8
0,178,29,29,109.762,200.889,263.456,0,4807.1,0,0,11432.4,5755.3
0,178,30,30,166.663,483.798,878.656,0,11141,0,0,20593.2,13921.8
0,178,31,31,561.9,76.4923,1100.84,0,7821.61,0,0,4332.52,11304.8
0,178,32,32,154.414,14.1185,310.052,0,2008.09,0,0,1613.16,2061.64
