real_name,hmuni1,hmuni2,hmuni3,hmuni4,hmuni5,hmuni6,hmuni7,hmuni8,hmuni9,hpz01,hpz02,hpz03,hpz04,hpz05,hpz06,hpz07,hpz08,hpz09,hpz10,hpz11,vlens,zert01,zert02,zert03,zert04,zert05,zert06,zert07,zert08,zert09,zert10,zert11,zert12,zert13,zert14,zert15,zert16,zert17,zert18,zert19,zert20,zert21,zert22,zert23,zert24,zert25,zert26,zert27,zert28,zert29,zert30,zert31,zert32,zert33,zert34,zert35,zert36,zert37,zert38,zert39,zert40,zert41,zert42,zert43,zert44,zert45,zert46,zert47,zert48,zert49,zert50,zert51,zert52,zert53,zert54,zert55,zert56,zert57,zert58,zert59,zert60,zert61,zert62,zert63,zert64,zert65,zert66,zert67,zert68,zert69,zert70,zert71,zert72,zert73,zert74,zert75,zert76,zert77,zert78,zert79,zert80,zert81,zert82,zert83,zert84,zert85,zert86,zert87,zmuni1,zmuni1_pct,zmuni2,zmuni2_pct,zmuni3,zmuni3_pct,zmuni4,zmuni4_pct,zmuni5,zmuni5_pct,zmuni6,zmuni6_pct,zmuni7,zmuni7_pct,zmuni8,zmuni8_pct,zmuni9,zmuni9_pct,zpz01,zpz02,zpz03,zpz04,zpz05,zpz07,zpz08,ztdem01,ztdem02,ztdem03,ztdem05,ztdem08,ztdem12,ztdem14,ztdem15,ztdem17,ztdem20,ztdem21,ztdem22,ztdem32,ztdem33,ztdem34,ztdem35,ztdem37,ztdem41,ztdem42,ztdem43,ztdem44,ztdem45,ztdem46,ztdem47,ztdem48,ztdem49,ztdem51,ztdem52,ztdem53,ztdem54,ztdem55,ztdem56,ztdem57,ztdem58,ztdem59,ztdem61,ztdem62,ztdem63,ztdem64,ztdem65,ztdem66,ztdem68,ztdem69,ztdem71,ztdem74,ztdem75,ztdem80,ztdem81
gen=137_member=4080_de,1.3702,1.58572,1.53678,1.50604,1.36763,1.29762,1.43,1.38513,1.37164,1.42804,1.43636,1.39827,1.183,1.23307,1.36479,1.58928,1.43,1.38135,1.61567,1.6311,6.19341e+08,-28.8342,-32.8487,-36.9715,-40.8682,-44.1485,-46.1324,-48.8082,-55.5926,-55.0773,-53.6364,-40.6671,-33.1752,-29.551,-34.9546,-38.7956,-41.9526,-45.0456,-47.0694,-52.5096,-52.9493,-52.2187,-46.3302,-42.093,-30.7606,-35.1853,-38.0458,-40.3811,-42.6502,-44.0765,-45.1663,-45.8519,-45.763,-45.2447,-44.1715,-41.7173,-38.4936,-33.5034,-27.9511,-31.8081,-36.5937,-39.5855,-42.3109,-44.3674,-45.6514,-46.6782,-47.1086,-47.1395,-46.7243,-45.7717,-43.7468,-42.0796,-39.4989,-35.9326,-32.0031,-35.5224,-38.1327,-40.1509,-42.5746,-44.2412,-45.4117,-58.2535,-57.9326,-52.9648,-49.7866,-45.0787,-35.3852,-31.1252,-34.3101,-37.599,-39.9136,-42.15,-44.0288,-45.5718,-46.0423,-27.788,-33.0065,-37.3273,-40.7136,-44.1329,-30.1239,-33.2056,-35.1938,-37.5038,-39.0415,-40.585,-41.7432,-42.3004,-54.6635,-22.0843,-54.7613,-43.0365,-56.0942,-34.1759,-55.8273,-32.8212,-44.8777,-37.4489,-44.896,-27.843,-47.9838,-39.5172,-47.6351,-33.304,-45.1901,-37.6062,-46.6933,-47.0061,-45.2637,-35.7076,-39.0419,-54.6635,-47.9838,-45.4301,-44.9397,-37.8015,-45.6157,-44.0448,-37.53,-43.0365,-44.8939,-47.1553,-46.4796,-46.5574,-46.7745,-54.2452,-52.9395,-53.5074,-34.2047,-48.8567,-58.3337,-57.9931,-56.7221,-55.8465,-39.1212,-37.096,-27.3345,-32.4959,-35.9398,-37.7483,-39.4713,-44.0927,-45.8331,-46.6583,-47.956,-46.8478,-48.9564,-42.8622,-45.5426,-37.0899,-44.9249,-47.3799,-45.718,-45.6638,-41.3948,-32.5245,-36.8026,-38.6882,-35.9804,-36.4009,-31.4508
gen=137_member=4081_de,1.6134,0.499401,1.22097,1.434,1.36311,1.27522,1.3247,1.38636,0.752086,1.42775,1.43608,1.39802,1.18281,1.22716,1.36008,1.6134,1.36906,1.16786,1.59178,1.60517,6.07693e+08,-26.6085,-30.4397,-34.3638,-37.9326,-41.0401,-42.9394,-45.5165,-47.0508,-48.6521,-48.2687,-37.3943,-30.5098,-29.2476,-34.6255,-38.4322,-41.5448,-44.605,-46.5984,-52.0651,-52.5122,-51.7929,-45.8773,-41.6397,-30.6703,-35.0877,-37.9448,-40.2779,-42.5436,-43.9709,-45.0718,-45.7599,-45.6764,-45.1683,-44.1072,-41.6615,-38.4441,-33.4592,-27.9092,-31.7955,-36.5805,-39.5715,-42.2967,-44.3531,-45.6368,-46.664,-47.0945,-47.1241,-46.7085,-45.7565,-43.7322,-42.0666,-39.4877,-35.9225,-31.9995,-35.5191,-38.1295,-40.1477,-42.5711,-44.2376,-45.4081,-56.4929,-56.5334,-50.5583,-47.9048,-43.332,-33.9155,-28.5599,-31.3891,-34.1542,-35.9476,-37.6,-38.9007,-40.5365,-41.1577,-26.146,-31.2714,-35.5023,-38.7929,-42.1757,-27.7184,-30.778,-32.7861,-34.8793,-36.2229,-37.4942,-38.4504,-38.934,-55.7488,-80.3755,-34.8324,1.62262,-49.2773,-41.7064,-50.9994,-57.1003,-44.6884,-60.6613,-44.3962,-46.6139,-45.325,-52.7424,-46.0367,-58.2726,-31.8907,-33.612,-46.6835,-46.9964,-45.2545,-35.7,-38.7927,-55.7488,-45.325,-45.2819,-44.8183,-37.7322,-45.5203,-43.9294,-37.5196,-43.023,-44.879,-47.1397,-46.46,-46.533,-46.7484,-53.5466,-52.2233,-52.904,-34.0243,-48.5133,-55.0678,-54.9011,-52.3056,-51.7027,-39.1201,-37.0933,-26.3068,-32.4745,-34.1217,-34.8081,-36.4314,-40.6449,-42.1786,-42.8103,-43.8091,-42.2771,-44.4074,-39.1191,-41.2841,-36.9804,-44.7857,-47.2155,-45.7117,-45.6565,-41.3932,-32.5259,-36.8026,-38.6851,-35.9765,-36.3985,-31.4478
gen=137_member=4082_de,0.162171,0.334154,0.841468,1.03866,0.522616,1.31708,1.14962,0.673782,0.672812,1.42235,1.43089,1.39326,1.17908,1.16663,1.18365,0.965754,1.22753,1.09558,1.43114,1.20962,5.88253e+08,-23.8745,-27.4239,-30.8749,-34.0144,-36.5389,-38.0617,-40.2077,-41.2144,-42.6162,-42.5085,-34.2939,-28.0696,-27.3969,-32.6158,-36.301,-39.3181,-42.2794,-44.193,-49.5692,-50.0249,-49.349,-43.3356,-39.0885,-28.9572,-33.1444,-35.8257,-37.9939,-40.0506,-41.4424,-42.8507,-43.631,-43.7276,-43.479,-42.7062,-40.4669,-37.397,-32.5392,-27.0506,-31.4952,-36.274,-39.2517,-41.9752,-44.0338,-45.3134,-46.3506,-46.784,-46.7906,-46.3679,-45.4314,-43.4241,-41.7957,-39.2607,-35.7241,-31.8839,-35.411,-38.0287,-40.049,-42.4687,-44.1363,-45.3121,-47.2117,-44.6571,-42.4924,-40.9399,-37.4301,-29.1881,-27.1229,-29.7832,-32.3665,-34.0418,-35.6016,-36.7368,-38.2583,-38.85,-22.8563,-27.4283,-30.9268,-33.3759,-35.4081,-26.3906,-29.5159,-31.5855,-33.6112,-34.8887,-36.054,-36.9137,-37.341,-27.3371,-16.8649,-27.8267,-23.3807,-36.479,-27.2315,-41.8847,-43.7022,-33.5467,-20.895,-42.8069,-50.9868,-39.1456,-37.6617,-29.977,-22.8982,-28.4415,-27.338,-46.4633,-46.7852,-45.062,-35.5518,-36.1618,-27.3371,-39.1456,-41.1806,-41.7634,-36.3347,-43.4112,-41.0956,-37.3118,-42.7409,-44.5616,-46.7994,-46.0382,-46.0048,-46.182,-50.2675,-49.0318,-49.9789,-32.6479,-46.3857,-45.8859,-47.113,-40.9264,-42.5151,-39.0605,-36.9999,-25.8231,-31.998,-33.2582,-33.1184,-34.6869,-38.6256,-40.0158,-40.5789,-41.3624,-39.918,-41.6651,-37.3927,-39.1775,-35.3628,-42.5645,-44.3236,-45.5783,-45.5027,-41.3269,-32.4926,-36.7581,-38.5862,-35.8574,-36.375,-31.4143
gen=137_member=4083_de,1.45744,1.14172,1.32735,1.57346,1.06624,1.31029,1.4036,1.25539,1.30043,1.42622,1.43461,1.39667,1.18175,1.21352,1.30515,1.58779,1.4057,1.34608,1.59895,1.60875,6.13071e+08,-28.0234,-31.9633,-35.9739,-39.7451,-42.8857,-44.7771,-47.3314,-51.9262,-52.2248,-51.2208,-39.1996,-31.9794,-29.0213,-34.3818,-38.2,-41.3547,-44.4403,-46.4681,-51.9112,-52.3722,-51.6807,-45.8579,-41.6383,-30.1637,-34.5083,-37.3067,-39.5836,-41.7788,-43.1919,-44.3873,-45.1054,-45.0795,-44.651,-43.6777,-41.2953,-38.123,-33.1769,-27.6458,-31.6986,-36.4824,-39.4698,-42.1947,-44.2521,-45.5347,-46.5651,-46.9966,-47.0192,-46.6015,-45.6544,-43.6354,-41.9814,-39.4161,-35.8598,-31.9602,-35.4826,-38.0957,-40.1148,-42.5372,-44.2043,-45.3766,-57.127,-56.9262,-51.6349,-48.7201,-44.107,-34.572,-30.499,-33.611,-36.8061,-39.0391,-41.1864,-42.957,-44.4435,-44.9025,-26.9691,-32.0823,-36.2687,-39.4986,-42.6882,-29.536,-32.6238,-34.6217,-36.8869,-38.3819,-39.8616,-40.9599,-41.4814,-54.603,-40.3591,-47.1017,-20.0821,-52.0355,-28.7083,-53.7214,-49.0188,-41.1817,-19.6034,-44.3627,-35.4374,-46.9177,-42.3272,-44.7666,-29.3445,-43.376,-36.396,-46.6134,-46.9294,-45.1935,-35.6527,-38.1824,-54.603,-46.9177,-44.0081,-43.8743,-37.312,-44.8785,-43.0554,-37.4539,-42.9343,-44.7793,-47.0327,-46.328,-46.3682,-46.5717,-53.6484,-52.3365,-52.9249,-33.832,-48.3636,-56.5172,-56.3075,-54.1851,-53.7273,-39.0998,-37.0618,-27.0752,-32.3242,-35.4901,-36.6977,-38.4265,-42.9315,-44.6307,-45.4825,-46.7158,-45.6839,-47.6488,-41.988,-44.4803,-36.545,-44.1735,-46.3955,-45.669,-45.6074,-41.3709,-32.5142,-36.7873,-38.652,-35.9366,-36.3907,-31.4366
gen=137_member=4084_de,1.51454,1.33275,1.39615,1.59273,1.30031,1.30836,1.34841,1.23506,0.957334,1.42755,1.43588,1.39783,1.18266,1.22741,1.3511,1.6123,1.38195,1.24299,1.60609,1.62762,6.12702e+08,-27.1625,-31.0379,-34.9929,-38.6616,-41.8014,-43.7269,-46.3873,-53.1121,-53.1485,-52.0185,-39.6543,-32.3424,-29.3052,-34.6946,-38.5195,-41.6552,-44.7358,-46.7434,-52.2139,-52.661,-51.9439,-46.0632,-41.8334,-30.6105,-35.0168,-37.8637,-40.1864,-42.4393,-43.8633,-44.9781,-45.6714,-45.5973,-45.1004,-44.0512,-41.6143,-38.4031,-33.4237,-27.8767,-31.7824,-36.5674,-39.5579,-42.2832,-44.3398,-45.6234,-46.6511,-47.0817,-47.1104,-46.6945,-45.7432,-43.7196,-42.0556,-39.4785,-35.9146,-31.9941,-35.5141,-38.125,-40.1433,-42.5667,-44.2334,-45.4043,-57.4295,-57.4198,-52.223,-49.2043,-44.5347,-34.924,-29.4093,-32.3615,-35.3153,-37.3051,-39.194,-40.7384,-42.4121,-43.0127,-26.3999,-31.496,-35.6699,-38.8813,-42.0788,-28.5175,-31.6001,-33.6157,-35.7991,-37.2259,-38.6161,-39.677,-40.2157,-55.6824,-43.0482,-50.0872,-28.5341,-53.431,-30.6434,-54.5696,-46.5403,-44.0529,-34.4249,-44.8325,-32.7928,-45.877,-34.9168,-44.0526,-26.0847,-36.6596,-18.2156,-46.6745,-46.988,-45.247,-35.6946,-38.7958,-55.6824,-45.877,-45.0941,-44.6848,-37.6813,-45.4368,-43.8071,-37.5112,-43.0115,-44.866,-47.1257,-46.4427,-46.5113,-46.7251,-53.7999,-52.466,-53.1161,-34.0666,-48.6295,-56.9628,-56.4979,-55.1443,-54.5422,-39.1174,-37.089,-26.6763,-32.4545,-34.7861,-36.3977,-38.0051,-42.386,-43.9728,-44.5654,-45.65,-44.0945,-46.3292,-40.5126,-42.9598,-36.9474,-44.7328,-47.1346,-45.7069,-45.6508,-41.3903,-32.524,-36.8005,-38.6807,-35.971,-36.4007,-31.4495
gen=137_member=4085_de,1.24428,0.940422,1.43852,1.26495,0.938963,1.26517,1.39364,1.20069,1.34412,1.42518,1.43361,1.39576,1.18104,1.20003,1.27482,1.51116,1.39446,1.35291,1.57814,1.56258,6.10388e+08,-27.8537,-31.7741,-35.7456,-39.4857,-42.565,-44.409,-46.8898,-50.2785,-50.8823,-50.0234,-38.4941,-31.412,-28.6473,-33.9654,-37.751,-40.889,-43.9529,-45.9808,-51.4198,-51.9011,-51.2407,-45.4492,-41.2374,-29.8344,-34.1373,-36.9055,-39.1548,-41.3151,-42.7233,-43.9745,-44.7086,-44.7149,-44.3344,-43.4149,-41.0711,-37.9266,-33.0048,-27.4859,-31.6424,-36.425,-39.4097,-42.1343,-44.1921,-45.4738,-46.5062,-46.9382,-46.9564,-46.5373,-45.5931,-43.5772,-41.9301,-39.3729,-35.8218,-31.9391,-35.4629,-38.0773,-40.0968,-42.5184,-44.1857,-45.3589,-56.0387,-55.498,-50.6128,-47.8162,-43.3197,-33.9275,-30.479,-33.5946,-36.8025,-39.0549,-41.2227,-42.9988,-44.4269,-44.8529,-26.7094,-31.7724,-35.8932,-39.0511,-42.1247,-29.5174,-32.6102,-34.6093,-36.8746,-38.3677,-39.8418,-40.9255,-41.4304,-51.2471,9.12331,-43.4442,31.0756,-52.5185,-8.94189,-51.8683,2.33984,-39.384,16.7561,-43.2962,-13.2734,-46.4325,-24.3935,-43.5689,-3.54427,-43.9901,-22.8403,-46.5721,-46.8897,-45.1572,-35.6245,-37.5966,-51.2471,-46.4325,-43.2654,-43.3126,-37.0475,-44.4827,-42.5324,-37.4143,-42.8809,-44.7194,-46.9686,-46.2485,-46.2688,-46.4651,-53.1569,-51.8586,-52.448,-33.564,-47.9717,-55.5682,-55.4465,-53.4967,-52.612,-39.0893,-37.0448,-27.0621,-32.2343,-35.466,-36.3676,-38.1225,-42.6074,-44.3127,-45.2253,-46.4621,-45.5646,-47.417,-41.9575,-44.3871,-36.2254,-43.7338,-45.826,-45.6439,-45.5785,-41.359,-32.5092,-36.7797,-38.6339,-35.9147,-36.3863,-31.4303
gen=137_member=4086_de,0.968252,1.0101,1.48075,1.29836,0.978933,1.27472,1.34572,1.17091,1.03563,1.42529,1.43371,1.39584,1.1811,1.20129,1.2824,1.41039,1.36651,1.25562,1.55487,1.50542,6.0712e+08,-26.8864,-30.7296,-34.6204,-38.2345,-41.2691,-43.1101,-45.6292,-50.1113,-50.5989,-49.7089,-38.2871,-31.2429,-28.5939,-33.9103,-37.6845,-40.7965,-43.8417,-45.842,-51.2694,-51.7358,-51.0549,-45.1878,-40.9616,-29.8987,-34.2116,-36.988,-39.2453,-41.4154,-42.8257,-44.0641,-44.7939,-44.7923,-44.4012,-43.4704,-41.1185,-37.9682,-33.0412,-27.5194,-31.657,-36.4394,-39.4245,-42.1491,-44.2067,-45.4887,-46.5207,-46.9526,-46.9718,-46.5531,-45.6085,-43.5922,-41.9439,-39.3853,-35.8336,-31.9465,-35.4697,-38.0837,-40.1029,-42.5247,-44.1918,-45.3648,-54.7236,-53.7599,-49.7133,-46.9825,-42.6242,-33.3695,-29.3727,-32.3304,-35.3054,-37.3269,-39.2484,-40.7983,-42.361,-42.9007,-25.9828,-31.0004,-35.073,-38.1765,-41.2036,-28.4831,-31.5727,-33.5893,-35.771,-37.1927,-38.5706,-39.6028,-40.1098,-46.8279,-44.8099,-44.1329,-43.8348,-52.3649,-58.9412,-51.4861,-49.1635,-39.8862,-34.9484,-43.4658,-48.9518,-45.2122,-54.4333,-42.435,-39.4405,-37.8706,-40.8089,-46.583,-46.9003,-45.1674,-35.634,-37.6593,-46.8279,-45.2122,-43.4363,-43.4374,-37.1,-44.5653,-42.6477,-37.4262,-42.895,-44.7346,-46.9842,-46.2675,-46.2917,-46.4894,-52.7728,-51.4871,-52.1502,-33.5215,-47.834,-54.5158,-54.4739,-52.695,-51.9504,-39.0939,-37.0509,-26.6488,-32.2553,-34.737,-35.7901,-37.4426,-41.7833,-43.3783,-44.078,-45.1661,-43.8544,-45.8816,-40.4433,-42.7703,-36.2692,-43.8024,-45.9262,-45.6517,-45.5871,-41.3638,-32.5132,-36.7838,-38.6402,-35.922,-36.3904,-31.4352
gen=137_member=4087_de,1.28905,0.750353,1.28029,0.788054,0.713437,1.34287,1.22822,0.801486,1.20128,1.42394,1.43241,1.39466,1.18018,1.18848,1.23154,1.48822,1.2988,1.28777,1.54987,1.52338,6.02602e+08,-26.1819,-29.9422,-33.6613,-37.1615,-39.9552,-41.6285,-43.9478,-47.3516,-48.1763,-47.5667,-37.1395,-30.3279,-28.2015,-33.5,-37.2683,-40.3777,-43.4271,-45.4191,-50.8808,-51.3569,-50.7002,-44.8841,-40.6768,-29.4574,-33.7065,-36.4321,-38.6406,-40.7491,-42.1475,-43.4706,-44.2272,-44.2762,-43.9551,-43.1008,-40.8038,-37.6926,-32.7992,-27.2938,-31.5769,-36.3578,-39.3394,-42.0634,-44.1215,-45.4022,-46.4367,-46.8693,-46.8822,-46.4614,-45.5206,-43.5084,-41.8696,-39.3222,-35.7774,-31.9145,-35.4398,-38.0557,-40.0756,-42.4963,-44.1637,-45.338,-54.0988,-53.7436,-48.8286,-46.3668,-42.0267,-32.8624,-29.3819,-32.3645,-35.4095,-37.5304,-39.5736,-41.2,-42.6178,-43.0663,-24.8372,-29.6121,-33.354,-36.0741,-38.4532,-28.4963,-31.618,-33.6516,-35.8553,-37.2919,-38.6821,-39.7017,-40.1797,-50.2603,-51.9294,-38.7814,-24.8482,-48.5156,-49.6817,-47.614,-29.4355,-36.5128,-16.2372,-43.92,-56.0142,-42.2498,-44.5836,-34.7988,-15.2151,-40.5304,-48.8842,-46.5234,-46.8428,-45.1143,-35.5914,-37.1031,-50.2603,-42.2498,-42.311,-42.6119,-36.7377,-44.0096,-41.8845,-37.3678,-42.8179,-44.6485,-46.8929,-46.1545,-46.1508,-46.3387,-52.2696,-50.9374,-51.6897,-33.2819,-47.5178,-53.0954,-52.9172,-50.5181,-49.714,-39.0767,-37.0249,-26.667,-32.1297,-34.77,-35.2853,-36.9861,-41.2941,-42.9003,-43.7219,-44.8158,-43.831,-45.5674,-40.5808,-42.7984,-35.8844,-43.2655,-45.212,-45.6143,-45.5443,-41.3449,-32.5024,-36.7705,-38.6127,-35.8892,-36.3805,-31.4223
gen=137_member=4088_de,1.06732,1.27713,1.30109,1.2851,1.2568,1.34026,1.38702,1.2318,1.16995,1.42737,1.43571,1.39768,1.18254,1.22599,1.34394,1.44448,1.39105,1.30372,1.56558,1.5213,6.11604e+08,-27.5217,-31.4202,-35.3815,-39.0854,-42.1858,-44.0598,-46.6037,-51.741,-51.5871,-50.4561,-38.8163,-31.6814,-29.2309,-34.6159,-38.4342,-41.5542,-44.617,-46.5965,-51.9972,-52.4125,-51.6549,-45.6492,-41.389,-30.5479,-34.9451,-37.7845,-40.0997,-42.3431,-43.7647,-44.8912,-45.5878,-45.5206,-45.0337,-43.9958,-41.5669,-38.3613,-33.3867,-27.8418,-31.7701,-36.5549,-39.545,-42.2702,-44.3269,-45.6104,-46.6385,-47.0692,-47.0971,-46.681,-45.7303,-43.7075,-42.045,-39.4697,-35.907,-31.9888,-35.5092,-38.1203,-40.1388,-42.562,-44.2287,-45.3998,-55.293,-54.3828,-49.9506,-47.2405,-42.8594,-33.5717,-29.9856,-33.0267,-36.1197,-38.2544,-40.2985,-41.9723,-43.5129,-44.0187,-26.5477,-31.6237,-35.7664,-38.948,-42.0788,-29.0562,-32.1454,-34.1531,-36.3821,-37.8461,-39.2836,-40.3591,-40.8813,-48.3125,-11.4024,-48.646,-24.9313,-50.2978,-24.8554,-51.5408,-23.1772,-43.5778,-29.9009,-45.1807,-36.1829,-46.2787,-38.4883,-43.9511,-26.0061,-40.7741,-22.6226,-46.6655,-46.9793,-45.2391,-35.6885,-38.7339,-48.3125,-46.2787,-44.9312,-44.5647,-37.6253,-45.3539,-43.6965,-37.5032,-43.0004,-44.8535,-47.1121,-46.426,-46.4904,-46.7027,-53.3351,-52.0623,-52.7533,-33.9455,-48.3875,-54.8912,-55.0479,-52.1467,-51.9232,-39.1143,-37.0847,-26.8851,-32.4355,-35.156,-36.4376,-38.1172,-42.5532,-44.1987,-44.95,-46.1107,-44.9012,-46.9275,-41.3021,-43.744,-36.8779,-44.6452,-47.0275,-45.701,-45.6442,-41.387,-32.5217,-36.7979,-38.6761,-35.9657,-36.3977,-31.4463
gen=137_member=4089_de,1.70109,1.61968,1.54832,1.2642,1.36899,1.29628,1.4448,1.45754,1.37882,1.42815,1.43646,1.39837,1.18308,1.23501,1.36619,1.70109,1.4448,1.38879,1.64372,1.699,6.21463e+08,-29.1573,-33.2021,-37.3756,-41.3181,-44.6617,-46.6876,-49.4158,-56.2188,-55.6437,-54.1659,-41.0159,-33.4591,-29.674,-35.0881,-38.9451,-42.1267,-45.2411,-47.2894,-52.7554,-53.2083,-52.495,-46.6807,-42.4592,-30.7895,-35.2163,-38.0778,-40.4137,-42.6838,-44.1099,-45.1965,-45.8817,-45.7914,-45.2699,-44.1929,-41.736,-38.5104,-33.5188,-27.9663,-31.8121,-36.5979,-39.59,-42.3154,-44.3718,-45.6559,-46.6826,-47.1129,-47.1441,-46.729,-45.7761,-43.7508,-42.083,-39.5014,-35.9346,-32.0045,-35.5239,-38.134,-40.1522,-42.576,-44.2427,-45.413,-59.7834,-59.9966,-54.1164,-50.85,-45.9733,-36.1091,-31.3056,-34.5087,-37.8167,-40.143,-42.3886,-44.2847,-45.844,-46.3199,-28.1741,-33.4523,-37.8507,-41.324,-44.8798,-30.2922,-33.3666,-35.348,-37.6657,-39.2112,-40.767,-41.9369,-42.5013,-59.5734,-21.7678,-55.5641,-17.5546,-57.0964,-9.10738,-55.8818,10.9604,-44.9344,-14.2216,-44.9544,-1.90483,-48.6309,-17.5421,-49.1412,-18.56,-45.504,-18.2365,-46.6963,-47.0089,-45.266,-35.7089,-39.1236,-59.5734,-48.6309,-45.4765,-44.9781,-37.826,-45.6474,-44.0812,-37.5322,-43.0401,-44.8982,-47.1601,-46.4855,-46.5649,-46.7826,-54.6977,-53.3657,-53.8786,-34.3164,-49.0819,-59.6224,-59.069,-57.998,-56.7009,-39.1222,-37.0973,-27.4017,-32.5028,-36.0548,-37.9719,-39.7005,-44.3545,-46.1109,-46.9408,-48.2618,-47.1357,-49.2922,-43.0766,-45.802,-37.1347,-44.9778,-47.4378,-45.7195,-45.6656,-41.3958,-32.5255,-36.8035,-38.6896,-35.982,-36.4007,-31.4503
