real_name,hmuni1,hmuni2,hmuni3,hmuni4,hmuni5,hmuni6,hmuni7,hmuni8,hmuni9,hpz01,hpz02,hpz03,hpz04,hpz05,hpz06,hpz07,hpz08,hpz09,hpz10,hpz11,vlens,zert01,zert02,zert03,zert04,zert05,zert06,zert07,zert08,zert09,zert10,zert11,zert12,zert13,zert14,zert15,zert16,zert17,zert18,zert19,zert20,zert21,zert22,zert23,zert24,zert25,zert26,zert27,zert28,zert29,zert30,zert31,zert32,zert33,zert34,zert35,zert36,zert37,zert38,zert39,zert40,zert41,zert42,zert43,zert44,zert45,zert46,zert47,zert48,zert49,zert50,zert51,zert52,zert53,zert54,zert55,zert56,zert57,zert58,zert59,zert60,zert61,zert62,zert63,zert64,zert65,zert66,zert67,zert68,zert69,zert70,zert71,zert72,zert73,zert74,zert75,zert76,zert77,zert78,zert79,zert80,zert81,zert82,zert83,zert84,zert85,zert86,zert87,zmuni1,zmuni1_pct,zmuni2,zmuni2_pct,zmuni3,zmuni3_pct,zmuni4,zmuni4_pct,zmuni5,zmuni5_pct,zmuni6,zmuni6_pct,zmuni7,zmuni7_pct,zmuni8,zmuni8_pct,zmuni9,zmuni9_pct,zpz01,zpz02,zpz03,zpz04,zpz05,zpz07,zpz08,ztdem01,ztdem02,ztdem03,ztdem05,ztdem08,ztdem12,ztdem14,ztdem15,ztdem17,ztdem20,ztdem21,ztdem22,ztdem32,ztdem33,ztdem34,ztdem35,ztdem37,ztdem41,ztdem42,ztdem43,ztdem44,ztdem45,ztdem46,ztdem47,ztdem48,ztdem49,ztdem51,ztdem52,ztdem53,ztdem54,ztdem55,ztdem56,ztdem57,ztdem58,ztdem59,ztdem61,ztdem62,ztdem63,ztdem64,ztdem65,ztdem66,ztdem68,ztdem69,ztdem71,ztdem74,ztdem75,ztdem80,ztdem81
gen=131_member=3927_de,0.188183,0.344294,0.982885,0.645531,0.594769,1.30726,1.22092,0.770382,0.681722,1.42279,1.43131,1.39365,1.17938,1.17158,1.19919,0.990807,1.26528,1.10363,1.44048,1.22895,5.89998e+08,-24.213,-27.798,-31.3096,-34.4986,-37.0931,-38.6587,-40.8469,-41.4887,-42.7844,-42.613,-34.3811,-28.1411,-27.5683,-32.7993,-36.4951,-39.5233,-42.492,-44.4146,-49.7797,-50.2314,-49.5469,-43.5291,-39.2778,-29.0959,-33.3021,-35.998,-38.1799,-40.2539,-41.6485,-43.0308,-43.8031,-43.8844,-43.6144,-42.8179,-40.5616,-37.4794,-32.6106,-27.1156,-31.5194,-36.2987,-39.2775,-42.0011,-44.0596,-45.3395,-46.3761,-46.8093,-46.8176,-46.3955,-45.4579,-43.4493,-41.8181,-39.2797,-35.741,-31.8936,-35.4202,-38.0373,-40.0575,-42.4774,-44.145,-45.3203,-47.8714,-45.3389,-42.8292,-41.2371,-37.6733,-29.3801,-27.2817,-29.9611,-32.5639,-34.2506,-35.8169,-36.9664,-38.4948,-39.0872,-23.2975,-27.9506,-31.5564,-34.1235,-36.3501,-26.5365,-29.6529,-31.7142,-33.746,-35.0293,-36.2042,-37.0716,-37.5027,-28.4317,-21.2869,-28.2532,-23.7937,-38.9684,-34.1079,-40.8324,-27.4011,-34.5822,-25.1432,-42.8444,-49.6397,-40.7974,-43.1583,-32.3671,-32.2736,-28.826,-31.6804,-46.4813,-46.8026,-45.0779,-35.5645,-36.3743,-28.4317,-40.7974,-41.5216,-42.014,-36.4444,-43.5809,-41.3276,-37.3294,-42.7642,-44.5875,-46.8269,-46.0723,-46.0472,-46.2274,-50.5673,-49.3432,-50.2437,-32.754,-46.5532,-46.649,-47.8169,-42.0273,-42.7745,-39.0659,-37.0079,-25.8709,-32.0361,-33.3464,-33.2545,-34.8335,-38.8009,-40.2085,-40.7875,-41.5963,-40.1554,-41.9369,-37.5706,-39.3893,-35.4882,-42.7404,-44.5555,-45.5895,-45.5155,-41.3328,-32.4956,-36.7622,-38.5947,-35.8674,-36.3774,-31.4176
gen=28_member=810_de,1.68988,1.60508,1.58445,1.66495,1.37096,1.3158,1.44738,1.46017,1.38037,1.42826,1.43656,1.39846,1.18315,1.23722,1.36826,1.70513,1.44738,1.3904,1.64838,1.70687,6.22151e+08,-29.2118,-33.2612,-37.4421,-41.3929,-44.7473,-46.7815,-49.5244,-56.5945,-56.1941,-54.7448,-41.2984,-33.6822,-29.7469,-35.1707,-39.037,-42.2256,-45.3474,-47.3967,-52.8615,-53.309,-52.5888,-46.7709,-42.5488,-30.8282,-35.2583,-38.1216,-40.4589,-42.7307,-44.1566,-45.2382,-45.9222,-45.8294,-45.3033,-44.2208,-41.7601,-38.5316,-33.5373,-27.9834,-31.8189,-36.6047,-39.597,-42.3224,-44.3788,-45.6629,-46.6894,-47.1197,-47.1514,-46.7364,-45.7833,-43.7578,-42.0893,-39.5069,-35.9397,-32.0073,-35.5265,-38.1365,-40.1546,-42.5785,-44.2451,-45.4153,-60.0379,-60.2695,-54.6003,-51.2268,-46.3126,-36.3886,-31.3432,-34.5502,-37.8626,-40.1925,-42.442,-44.344,-45.9097,-46.3881,-28.234,-33.5193,-37.9268,-41.4091,-44.9774,-30.3277,-33.4014,-35.382,-37.7021,-39.25,-40.8097,-41.9836,-42.5509,-59.7504,-38.525,-55.6075,-35.0078,-58.0428,-28.9555,-57.7304,-36.6294,-45.0213,-29.0685,-45.2869,-19.4922,-48.7451,-32.5917,-49.258,-32.5935,-45.5734,-30.4426,-46.7013,-47.0137,-45.2705,-35.7128,-39.2217,-59.7504,-48.7451,-45.5429,-45.0321,-37.8554,-45.6891,-44.1323,-37.5373,-43.0465,-44.9052,-47.1675,-46.4945,-46.5761,-46.7945,-54.8076,-53.4727,-53.9843,-34.3667,-49.1629,-60.0175,-59.3702,-58.7591,-57.6235,-39.1238,-37.0996,-27.4174,-32.5133,-36.082,-38.0452,-39.7726,-44.4341,-46.1932,-47.0201,-48.3456,-47.2089,-49.3804,-43.1284,-45.8677,-37.1775,-45.0347,-47.508,-45.7227,-45.6693,-41.3976,-32.527,-36.8049,-38.692,-35.9848,-36.4016,-31.4517
gen=68_member=2010_de,0.88984,1.29025,1.23676,1.22516,1.15017,1.37053,1.29617,1.13653,0.747961,1.42672,1.43509,1.39711,1.1821,1.21908,1.3234,1.36198,1.3395,1.16398,1.53875,1.46476,6.05599e+08,-26.0548,-29.8292,-33.648,-37.1521,-40.1499,-41.9924,-44.5556,-50.7376,-50.5288,-49.4459,-38.2262,-31.2049,-28.96,-34.3285,-38.13,-41.226,-44.2717,-46.2254,-51.6242,-52.0334,-51.2727,-45.228,-40.9643,-30.3477,-34.7177,-37.5362,-39.8317,-42.0501,-43.4671,-44.6294,-45.337,-45.2913,-44.8349,-43.8308,-41.4264,-38.2386,-33.2796,-27.7428,-31.7347,-36.5186,-39.507,-42.2319,-44.2887,-45.5716,-46.6008,-47.0318,-47.0569,-46.6399,-45.691,-43.67,-42.0118,-39.4415,-35.882,-31.9748,-35.4959,-38.1078,-40.1264,-42.5491,-44.2159,-45.3874,-53.6697,-52.5022,-48.6678,-46.1279,-41.9058,-32.7998,-28.4279,-31.2447,-34.0105,-35.8239,-37.5255,-38.8764,-40.5899,-41.2461,-25.3581,-30.3315,-34.3555,-37.4033,-40.3746,-27.6031,-30.6925,-32.7272,-34.8387,-36.2012,-37.5001,-38.4964,-39.0146,-44.7081,-32.7205,-48.0404,-43.5858,-48.2544,-45.1074,-50.0328,-41.0343,-42.2998,-42.9639,-45.3318,-58.9083,-44.0345,-44.9375,-41.3066,-36.7088,-31.7156,-27.0733,-46.6386,-46.9533,-45.2151,-35.6693,-38.4432,-44.7081,-44.0345,-44.4514,-44.2059,-37.4623,-45.1064,-43.3634,-37.4772,-42.966,-44.815,-47.0712,-46.3754,-46.4274,-46.6352,-52.7227,-51.4484,-52.2332,-33.7614,-48.0688,-53.2257,-53.4682,-50.33,-50.4261,-39.1061,-37.0729,-26.3139,-32.3795,-34.1375,-35.4918,-37.0398,-41.2645,-42.7574,-43.2355,-44.186,-42.4463,-44.6693,-39.1678,-41.4355,-36.6905,-44.3888,-46.6969,-45.6838,-45.6247,-41.378,-32.5156,-36.7911,-38.6637,-35.9511,-36.3911,-31.4385
gen=94_member=2804_de,1.52107,1.34355,1.40823,1.244,1.22388,1.30442,1.39888,1.37156,1.26828,1.42717,1.43552,1.3975,1.1824,1.22389,1.33673,1.6188,1.41259,1.34425,1.61162,1.6337,6.15861e+08,-28.3433,-32.3174,-36.3913,-40.2166,-43.4462,-45.4001,-48.0348,-53.4088,-53.2551,-52.0435,-39.7418,-32.4248,-29.3029,-34.6871,-38.5185,-41.6761,-44.7678,-46.7955,-52.2449,-52.6973,-51.9889,-46.1431,-41.9171,-30.4776,-34.8644,-37.6955,-40.0031,-42.2372,-43.6572,-44.7969,-45.498,-45.4391,-44.9634,-43.9375,-41.5174,-38.3182,-33.3491,-27.8076,-31.7559,-36.5407,-39.5304,-42.2556,-44.3125,-45.5959,-46.6245,-47.0554,-47.0824,-46.666,-45.7161,-43.6941,-42.0332,-39.4599,-35.8984,-31.9825,-35.5034,-38.1149,-40.1335,-42.5567,-44.2235,-45.3949,-57.9099,-57.8038,-52.2614,-49.2696,-44.5877,-34.9702,-30.6132,-33.7318,-36.9259,-39.1485,-41.2822,-43.0553,-44.5954,-45.0828,-27.3829,-32.5698,-36.8553,-40.2041,-43.5863,-29.6425,-32.7214,-34.7136,-36.9821,-38.482,-39.9718,-41.0869,-41.6248,-55.9655,-33.1719,-50.556,-22.2429,-53.6345,-24.7454,-53.536,-13.7926,-43.1479,-22.3569,-44.6567,-28.1271,-47.2187,-35.5657,-47.0113,-31.4399,-43.0371,-26.1724,-46.6554,-46.9697,-45.2305,-35.682,-38.6382,-55.9655,-47.2187,-44.7576,-44.4352,-37.5705,-45.2667,-43.5761,-37.4942,-42.9882,-44.8396,-47.0971,-46.4076,-46.4675,-46.6781,-53.9987,-52.6823,-53.2598,-34.0384,-48.6442,-57.4508,-57.1742,-55.243,-54.3531,-39.1106,-37.0795,-27.1219,-32.4141,-35.5695,-37.067,-38.779,-43.316,-45.0188,-45.8261,-47.0685,-45.9238,-48.0003,-42.1222,-44.6854,-36.8347,-44.5717,-46.9162,-45.6949,-45.6372,-41.3831,-32.5186,-36.7947,-38.6708,-35.9594,-36.3965,-31.4446
gen=129_member=3844_de,1.50581,1.4765,1.55717,1.63766,1.28612,1.31416,1.42733,1.40892,1.32017,1.42769,1.43602,1.39796,1.18277,1.23009,1.35059,1.63587,1.43108,1.36635,1.62649,1.65944,6.18941e+08,-28.7612,-32.7717,-36.8973,-40.7842,-44.0757,-46.0705,-48.7635,-55.2201,-55.0072,-53.6737,-40.6434,-33.1483,-29.5103,-34.9134,-38.7619,-41.9343,-45.0399,-47.0765,-52.5267,-52.9739,-52.2564,-46.4152,-42.1888,-30.6336,-35.0395,-37.8845,-40.2049,-42.4553,-43.8776,-44.9915,-45.685,-45.611,-45.1128,-44.0617,-41.6234,-38.411,-33.4305,-27.8833,-31.7825,-36.5678,-39.5587,-42.284,-44.3406,-45.6242,-46.6518,-47.0823,-47.1113,-46.6954,-45.7438,-43.7198,-42.0553,-39.4777,-35.9132,-31.9919,-35.5121,-38.1229,-40.1414,-42.5649,-44.2316,-45.4024,-58.8124,-58.7413,-53.4843,-50.2469,-45.462,-35.6903,-30.9657,-34.127,-37.3782,-39.6528,-41.8432,-43.6804,-45.2386,-45.7244,-27.7915,-33.0253,-37.3686,-40.7798,-44.2473,-29.9735,-33.0503,-35.0374,-37.3316,-38.8555,-40.3804,-41.5262,-42.0802,-56.7089,-25.1796,-53.2515,-24.0589,-56.7323,-30.5298,-56.5342,-39.6707,-43.9624,-22.8769,-45.005,-23.4591,-48.0297,-33.2394,-48.0266,-29.606,-44.2416,-25.8592,-46.6742,-46.9875,-45.2463,-35.6927,-38.9084,-56.7089,-48.0297,-45.1036,-44.6984,-37.6954,-45.453,-43.8215,-37.51,-43.0114,-44.8664,-47.1266,-46.4442,-46.5138,-46.7281,-54.3585,-53.0386,-53.5853,-34.1838,-48.8748,-58.779,-58.292,-57.3832,-56.396,-39.1147,-37.0869,-27.2664,-32.457,-35.8201,-37.5782,-39.2944,-43.8939,-45.6231,-46.4332,-47.7153,-46.5616,-48.6942,-42.6148,-45.2707,-36.9871,-44.7785,-47.1809,-45.7055,-45.6496,-41.3879,-32.5197,-36.7972,-38.6787,-35.9692,-36.3971,-31.4459
gen=71_member=2125_de,1.55155,1.49444,1.51758,1.34142,1.23508,1.31587,1.43176,1.43128,1.30067,1.42733,1.43567,1.39764,1.18251,1.22713,1.34074,1.64514,1.43317,1.36085,1.62614,1.66064,6.1853e+08,-28.7514,-32.7621,-36.892,-40.7771,-44.0754,-46.0748,-48.7703,-55.0177,-54.6633,-53.3044,-40.475,-33.0174,-29.4493,-34.8467,-38.6941,-41.8706,-44.978,-47.019,-52.4666,-52.9175,-52.2064,-46.3805,-42.1572,-30.5392,-34.9317,-37.7662,-40.0767,-42.3146,-43.7346,-44.8658,-45.5646,-45.5011,-45.0177,-43.9831,-41.5567,-38.3528,-33.3795,-27.8352,-31.7667,-36.5516,-39.5417,-42.2669,-44.3237,-45.6072,-46.6355,-47.0663,-47.0941,-46.6779,-45.7276,-43.705,-42.0429,-39.4682,-35.9058,-31.987,-35.5076,-38.1188,-40.1374,-42.5606,-44.2275,-45.3987,-58.7993,-58.7648,-53.2396,-50.0763,-45.3027,-35.5588,-30.9121,-34.0652,-37.3027,-39.5621,-41.7349,-43.5566,-45.121,-45.6129,-27.8156,-33.0598,-37.418,-40.8469,-44.3471,-29.9227,-32.9971,-34.9834,-37.2719,-38.7909,-40.3093,-41.4509,-42.0042,-57.117,-32.8248,-53.3538,-30.2947,-55.9598,-30.7384,-55.2091,-18.732,-43.3519,-20.8699,-44.9239,-27.0565,-48.1216,-36.0578,-48.3787,-35.7298,-43.8858,-26.1331,-46.6633,-46.9774,-45.2376,-35.6877,-38.7798,-57.117,-48.1216,-44.8718,-44.5256,-37.6174,-45.3344,-43.6613,-37.5019,-42.9982,-44.8508,-47.109,-46.4222,-46.4855,-46.6973,-54.3319,-53.0132,-53.549,-34.1365,-48.8235,-58.6155,-58.1961,-56.8847,-55.784,-39.1131,-37.0832,-27.2416,-32.4309,-35.7783,-37.5294,-39.2422,-43.8343,-45.5587,-46.3607,-47.6362,-46.4629,-48.6055,-42.5286,-45.1769,-36.9021,-44.6602,-47.0244,-45.7,-45.643,-41.3859,-32.5202,-36.7966,-38.6747,-35.964,-36.3987,-31.4471
gen=52_member=1543_de,1.46394,1.39406,1.57702,1.471,1.27021,1.312,1.41369,1.40252,1.27506,1.42751,1.43585,1.39781,1.18264,1.22827,1.34691,1.61796,1.42301,1.35043,1.61983,1.64632,6.17659e+08,-28.551,-32.5442,-36.649,-40.5062,-43.777,-45.76,-48.438,-54.4497,-54.3492,-53.0813,-40.2936,-32.8645,-29.4442,-34.8412,-38.6834,-41.849,-44.9487,-46.9802,-52.4285,-52.8758,-52.1591,-46.3094,-42.0818,-30.5926,-34.9932,-37.8345,-40.1516,-42.3976,-43.8194,-44.9401,-45.6356,-45.5656,-45.0734,-44.0291,-41.5958,-38.387,-33.4097,-27.864,-31.7767,-36.5617,-39.5521,-42.2773,-44.3339,-45.6175,-46.6453,-47.0759,-47.1043,-46.6883,-45.7371,-43.7137,-42.0501,-39.4737,-35.91,-31.9905,-35.5107,-38.1217,-40.1401,-42.5635,-44.2303,-45.4012,-58.4368,-58.2992,-53.0699,-49.8963,-45.1494,-35.4316,-30.7489,-33.882,-37.0931,-39.3287,-41.4761,-43.2697,-44.8304,-45.3254,-27.6141,-32.8331,-37.1597,-40.5534,-44.0025,-29.7697,-32.8455,-34.8348,-37.1119,-38.6204,-40.1236,-41.2526,-41.7999,-55.9248,-26.4209,-51.7935,-24.0546,-56.5589,-36.4477,-55.558,-28.3475,-43.7526,-24.7828,-44.914,-27.5635,-47.6772,-35.5937,-47.7467,-33.7928,-43.3075,-25.4231,-46.67,-46.9836,-45.2429,-35.6907,-38.832,-55.9248,-47.6772,-45.0124,-44.6289,-37.6626,-45.4036,-43.7567,-37.5066,-43.006,-44.86,-47.1195,-46.4352,-46.5022,-46.7155,-54.2169,-52.8996,-53.4614,-34.1361,-48.7927,-58.3662,-57.9084,-56.9729,-55.8256,-39.1144,-37.0858,-27.1763,-32.4468,-35.6649,-37.3175,-39.0267,-43.5921,-45.3046,-46.1021,-47.36,-46.1818,-48.3073,-42.3061,-44.9174,-36.9452,-44.7217,-47.1089,-45.7035,-45.6471,-41.3874,-32.5199,-36.7972,-38.6775,-35.9675,-36.3984,-31.447
gen=128_member=3833_de,1.37299,1.38471,1.39212,1.59513,1.20547,1.3277,1.40883,1.32354,1.24998,1.42717,1.43552,1.39751,1.18242,1.22431,1.33455,1.5714,1.41288,1.33739,1.60211,1.60759,6.15338e+08,-28.1876,-32.1461,-36.1958,-39.9984,-43.2023,-45.1422,-47.769,-53.6843,-53.5284,-52.3004,-39.8542,-32.5127,-29.3001,-34.6877,-38.5214,-41.6763,-44.7663,-46.7846,-52.2168,-52.6573,-51.9341,-46.051,-41.8168,-30.4682,-34.8525,-37.6811,-39.986,-42.2168,-43.6356,-44.778,-45.4799,-45.4227,-44.9489,-43.925,-41.5062,-38.3077,-33.339,-27.7972,-31.7534,-36.5381,-39.5276,-42.2527,-44.3095,-45.5927,-46.6212,-47.052,-47.0786,-46.6619,-45.7118,-43.6894,-42.0285,-39.4552,-35.8934,-31.9814,-35.5023,-38.1139,-40.1326,-42.5556,-44.2224,-45.3938,-57.3824,-57.0446,-52.0362,-49.0238,-44.3985,-34.8222,-30.5123,-33.6177,-36.7956,-39.0054,-41.1284,-42.8908,-44.4421,-44.9378,-27.2155,-32.3763,-36.6269,-39.9317,-43.243,-29.5492,-32.6314,-34.6279,-36.8918,-38.388,-39.8727,-40.9864,-41.5262,-53.884,-25.0747,-51.1867,-28.5088,-53.3653,-25.823,-54.6752,-42.4406,-42.9766,-22.5808,-44.9696,-32.4213,-47.2358,-38.3877,-46.1196,-29.2881,-42.6464,-27.7389,-46.6529,-46.967,-45.2275,-35.678,-38.6572,-53.884,-47.2358,-44.7173,-44.4076,-37.5582,-45.2494,-43.5513,-37.4894,-42.9836,-44.8351,-47.0933,-46.4028,-46.4619,-46.6726,-53.8834,-52.5792,-53.1777,-34.019,-48.6002,-57.0921,-56.876,-54.9869,-54.504,-39.1102,-37.0786,-27.0885,-32.4105,-35.512,-37.0589,-38.7573,-43.2817,-44.972,-45.7535,-46.9797,-45.7972,-47.8835,-42.008,-44.567,-36.8253,-44.5614,-46.9037,-45.6926,-45.6347,-41.3825,-32.5188,-36.7945,-38.6698,-35.9582,-36.395,-31.4427
gen=123_member=3664_de,1.38294,1.29648,1.34475,1.43451,1.151,1.28111,1.40148,1.29703,1.17822,1.42658,1.43495,1.39698,1.182,1.21597,1.3197,1.5649,1.40551,1.31207,1.59512,1.59696,6.13009e+08,-27.843,-31.7733,-35.7871,-39.541,-42.7089,-44.6291,-47.2352,-52.6914,-52.644,-51.5023,-39.3972,-32.1434,-29.0615,-34.4205,-38.2308,-41.3738,-44.4494,-46.4719,-51.9165,-52.3779,-51.684,-45.8426,-41.6185,-30.2836,-34.6466,-37.4605,-39.7525,-41.9667,-43.384,-44.5556,-45.2658,-45.2252,-44.7771,-43.7824,-41.3846,-38.2014,-33.2462,-27.7109,-31.7224,-36.5066,-39.4948,-42.2198,-44.2769,-45.5598,-46.5895,-47.0208,-47.0451,-46.6279,-45.6797,-43.6594,-42.0026,-39.4341,-35.8756,-31.9703,-35.4921,-38.1045,-40.1233,-42.546,-44.2129,-45.3848,-56.9598,-56.6254,-51.5064,-48.5974,-44.0145,-34.5037,-30.17,-33.2317,-36.3471,-38.4967,-40.5543,-42.2506,-43.8122,-44.3252,-26.9221,-32.0571,-36.2766,-39.5448,-42.8101,-29.2279,-32.3108,-34.3125,-36.5514,-38.0251,-39.4778,-40.5682,-41.0998,-53.5982,-31.2113,-49.4827,-26.8402,-52.194,-26.7285,-53.3873,-33.745,-42.1537,-21.7901,-44.0689,-30.6448,-46.9084,-40.2219,-45.4175,-30.8052,-41.1315,-25.2455,-46.6309,-46.9462,-45.2088,-35.6649,-38.2918,-53.5982,-46.9084,-44.3293,-44.1088,-37.4134,-45.0346,-43.2718,-37.4705,-42.9564,-44.804,-47.0591,-46.3605,-46.4085,-46.6149,-53.6238,-52.3177,-52.9108,-33.8649,-48.3774,-56.4815,-56.3223,-54.1217,-53.6317,-39.1054,-37.07,-26.9542,-32.3607,-35.2767,-36.7021,-38.3851,-42.8573,-44.5194,-45.2715,-46.4573,-45.2214,-47.3051,-41.5348,-44.0313,-36.6432,-44.3115,-46.5826,-45.6799,-45.6199,-41.3769,-32.5179,-36.7917,-38.6606,-35.9468,-36.3934,-31.4402
gen=129_member=3848_de,1.08063,1.02844,1.20492,1.11536,0.969709,1.28229,1.35018,1.18783,1.07893,1.4254,1.43382,1.39596,1.18121,1.20128,1.28106,1.4288,1.36742,1.26769,1.55049,1.4984,6.06433e+08,-26.9633,-30.8122,-34.7066,-38.3268,-41.3529,-43.1807,-45.6642,-49.4256,-49.6786,-48.7908,-37.8504,-30.9024,-28.5839,-33.901,-37.6755,-40.7863,-43.83,-45.8266,-51.2452,-51.7068,-51.0201,-45.1359,-40.9049,-29.8848,-34.1963,-36.9714,-39.2272,-41.3955,-42.8052,-44.0457,-44.7761,-44.7756,-44.3861,-43.4569,-41.1058,-37.9559,-33.0288,-27.5061,-31.651,-36.4338,-39.419,-42.1437,-44.2013,-45.4832,-46.5152,-46.9471,-46.966,-46.547,-45.6022,-43.5857,-41.9373,-39.3787,-35.8265,-31.9417,-35.4653,-38.0795,-40.0989,-42.5207,-44.1878,-45.3609,-54.3962,-53.489,-48.9069,-46.394,-42.0987,-32.9414,-29.4799,-32.4551,-35.4568,-37.5058,-39.4555,-41.0274,-42.5566,-43.0742,-26.0265,-31.0451,-35.1186,-38.2261,-41.2588,-28.5826,-31.6727,-33.6869,-35.8764,-37.3041,-38.689,-39.721,-40.2223,-47.6309,-24.6374,-43.9873,-24.0784,-47.9044,-31.4376,-49.3696,-25.0998,-39.7796,-22.9196,-43.5561,-41.591,-45.2465,-44.3748,-42.6862,-33.8139,-38.6942,-28.4363,-46.5781,-46.8953,-45.162,-35.6275,-37.6518,-47.6309,-45.2465,-43.4031,-43.4129,-37.0857,-44.5476,-42.625,-37.4193,-42.8886,-44.7282,-46.9784,-46.2608,-46.2844,-46.4821,-52.7149,-51.4356,-52.1057,-33.5036,-47.804,-53.6325,-53.9055,-50.422,-50.2754,-39.0899,-37.0467,-26.6833,-32.2485,-34.7999,-35.7466,-37.4162,-41.7641,-43.3704,-44.1077,-45.2098,-43.9814,-45.9539,-40.5814,-42.8972,-36.255,-43.7861,-45.9068,-45.6469,-45.5822,-41.3599,-32.5081,-36.7796,-38.6361,-35.9175,-36.3848,-31.429
