real_name,hmuni1,hmuni2,hmuni3,hmuni4,hmuni5,hmuni6,hmuni7,hmuni8,hmuni9,hpz01,hpz02,hpz03,hpz04,hpz05,hpz06,hpz07,hpz08,hpz09,hpz10,hpz11,vlens,zert01,zert02,zert03,zert04,zert05,zert06,zert07,zert08,zert09,zert10,zert11,zert12,zert13,zert14,zert15,zert16,zert17,zert18,zert19,zert20,zert21,zert22,zert23,zert24,zert25,zert26,zert27,zert28,zert29,zert30,zert31,zert32,zert33,zert34,zert35,zert36,zert37,zert38,zert39,zert40,zert41,zert42,zert43,zert44,zert45,zert46,zert47,zert48,zert49,zert50,zert51,zert52,zert53,zert54,zert55,zert56,zert57,zert58,zert59,zert60,zert61,zert62,zert63,zert64,zert65,zert66,zert67,zert68,zert69,zert70,zert71,zert72,zert73,zert74,zert75,zert76,zert77,zert78,zert79,zert80,zert81,zert82,zert83,zert84,zert85,zert86,zert87,zmuni1,zmuni1_pct,zmuni2,zmuni2_pct,zmuni3,zmuni3_pct,zmuni4,zmuni4_pct,zmuni5,zmuni5_pct,zmuni6,zmuni6_pct,zmuni7,zmuni7_pct,zmuni8,zmuni8_pct,zmuni9,zmuni9_pct,zpz01,zpz02,zpz03,zpz04,zpz05,zpz07,zpz08,ztdem01,ztdem02,ztdem03,ztdem05,ztdem08,ztdem12,ztdem14,ztdem15,ztdem17,ztdem20,ztdem21,ztdem22,ztdem32,ztdem33,ztdem34,ztdem35,ztdem37,ztdem41,ztdem42,ztdem43,ztdem44,ztdem45,ztdem46,ztdem47,ztdem48,ztdem49,ztdem51,ztdem52,ztdem53,ztdem54,ztdem55,ztdem56,ztdem57,ztdem58,ztdem59,ztdem61,ztdem62,ztdem63,ztdem64,ztdem65,ztdem66,ztdem68,ztdem69,ztdem71,ztdem74,ztdem75,ztdem80,ztdem81
gen=75_member=2220_de,1.62691,1.32973,1.33864,1.58678,1.16254,1.36755,1.32503,1.17785,0.796138,1.42691,1.43527,1.39727,1.18222,1.22375,1.32832,1.64221,1.36836,1.18965,1.60867,1.64046,6.10805e+08,-26.616,-30.4434,-34.3428,-37.9352,-41.0353,-42.9501,-45.6261,-52.848,-52.9138,-51.8217,-39.5399,-32.2485,-29.2285,-34.6218,-38.4589,-41.6082,-44.703,-46.7119,-52.1837,-52.6263,-51.909,-46.0454,-41.8219,-30.4289,-34.8059,-37.6282,-39.9268,-42.1497,-43.5668,-44.7187,-45.4244,-45.3736,-44.9075,-43.8918,-41.4794,-38.2857,-33.3217,-27.7831,-31.7484,-36.5325,-39.5215,-42.2464,-44.3032,-45.5863,-46.6151,-47.0461,-47.0722,-46.6555,-45.706,-43.6844,-42.0247,-39.4528,-35.8923,-31.9806,-35.5014,-38.113,-40.1315,-42.5545,-44.2213,-45.3927,-57.4795,-57.6849,-52.2701,-49.2745,-44.5831,-34.9599,-28.8307,-31.6981,-34.5285,-36.3973,-38.1574,-39.5814,-41.3255,-41.9851,-25.9641,-31.021,-35.1483,-38.3015,-41.4246,-27.9785,-31.061,-33.0869,-35.2263,-36.6156,-37.9545,-38.9871,-39.5256,-57.009,-43.4641,-49.8318,-22.4,-52.6489,-21.0349,-54.32,-41.3253,-42.5433,-18.822,-45.4747,-36.114,-45.293,-29.4395,-42.7685,-17.0161,-33.1446,7.55813,-46.6491,-46.9636,-45.2248,-35.6777,-38.6428,-57.009,-45.293,-44.5964,-44.3221,-37.5293,-45.1975,-43.4728,-37.4878,-42.9793,-44.8297,-47.0867,-46.3943,-46.4506,-46.66,-53.7531,-52.4049,-53.0743,-34.0164,-48.5888,-56.8108,-56.2521,-54.8948,-54.3725,-39.1097,-37.0778,-26.4669,-32.4008,-34.4103,-36.0663,-37.6238,-41.9278,-43.4582,-43.9463,-44.9532,-43.1909,-45.5076,-39.7211,-42.1085,-36.8028,-44.526,-46.8527,-45.6913,-45.6329,-41.3819,-32.5181,-36.794,-38.6689,-35.9571,-36.3966,-31.4444
gen=75_member=2221_de,1.12478,1.25885,1.19419,1.14141,0.968737,1.36007,1.32305,1.17557,1.05765,1.42559,1.434,1.39611,1.18131,1.20848,1.28716,1.44937,1.35815,1.2643,1.55714,1.51317,6.08019e+08,-26.9726,-30.8234,-34.7223,-38.3528,-41.397,-43.2438,-45.77,-50.999,-50.8087,-49.7239,-38.4239,-31.3684,-28.7842,-34.1332,-37.9362,-41.0614,-44.1244,-46.1129,-51.523,-51.9596,-51.2407,-45.3134,-41.0739,-30.0048,-34.3264,-37.1068,-39.3663,-41.5395,-42.9482,-44.1735,-44.9007,-44.8927,-44.4894,-43.5439,-41.1816,-38.0237,-33.0904,-27.566,-31.6735,-36.4562,-39.4419,-42.1664,-44.2237,-45.5057,-46.5369,-46.9686,-46.9888,-46.5701,-45.6244,-43.6067,-41.9562,-39.395,-35.8412,-31.9529,-35.4757,-38.0892,-40.1084,-42.5302,-44.1973,-45.37,-54.7514,-53.9467,-49.3844,-46.794,-42.4592,-33.2423,-29.4872,-32.4603,-35.4583,-37.5034,-39.4539,-41.0349,-42.6095,-43.1505,-26.0261,-31.0418,-35.111,-38.215,-41.2375,-28.5912,-31.6835,-33.7013,-35.8951,-37.3283,-38.7228,-39.771,-40.2878,-48.5387,-6.50327,-47.9224,-17.1987,-48.2523,-10.907,-50.1362,-8.5801,-40.0133,-4.60809,-44.8308,-35.1348,-44.8441,-29.1833,-42.5375,-16.8135,-38.3825,-10.4315,-46.5944,-46.9109,-45.1765,-35.6396,-37.9736,-48.5387,-44.8441,-43.6065,-43.5781,-37.1797,-44.6767,-42.7815,-37.4346,-42.9081,-44.7498,-47.0016,-46.2887,-46.3186,-46.5187,-52.9066,-51.6191,-52.3194,-33.6384,-48.0008,-54.1086,-54.3014,-50.939,-50.8987,-39.0974,-37.0561,-26.7008,-32.2819,-34.8296,-36.0622,-37.7059,-42.0694,-43.6674,-44.3478,-45.4425,-44.1081,-46.1591,-40.6326,-43.004,-36.39,-43.9655,-46.1303,-45.6581,-45.5945,-41.3676,-32.5155,-36.7866,-38.6457,-35.9285,-36.392,-31.4368
gen=75_member=2222_de,0.932431,1.33252,1.28173,1.43351,1.26453,1.34103,1.39106,1.42424,1.35931,1.42749,1.43583,1.39779,1.18263,1.22742,1.34601,1.40365,1.40328,1.3686,1.56325,1.50378,6.14477e+08,-28.4949,-32.4804,-36.5605,-40.4016,-43.6153,-45.5427,-48.1026,-52.4446,-52.1387,-50.915,-39.0956,-31.9119,-29.3079,-34.6969,-38.521,-41.6492,-44.7152,-46.6987,-52.0749,-52.4833,-51.7155,-45.6916,-41.4243,-30.5742,-34.9744,-37.8156,-40.1324,-42.3778,-43.7995,-44.9219,-45.6174,-45.548,-45.0577,-44.0158,-41.584,-38.3764,-33.4002,-27.8548,-31.7733,-36.5584,-39.5488,-42.274,-44.3308,-45.6143,-46.6422,-47.0729,-47.101,-46.6849,-45.7339,-43.7105,-42.0473,-39.4711,-35.9076,-31.9894,-35.5098,-38.121,-40.1395,-42.5628,-44.2296,-45.4006,-55.3389,-54.1121,-49.903,-47.172,-42.824,-33.5532,-30.8491,-34.0041,-37.2545,-39.5352,-41.7292,-43.5495,-45.0236,-45.4668,-27.4317,-32.6111,-36.8887,-40.2443,-43.6351,-29.8629,-32.9438,-34.9319,-37.2176,-38.7309,-40.2368,-41.3531,-41.8799,-46.5139,5.50459,-49.8611,-22.5849,-50.1887,-16.8446,-52.2702,-28.6556,-43.6888,-27.3775,-45.2366,-33.2168,-46.8099,-35.8477,-47.6816,-38.6424,-44.6492,-37.0974,-46.6678,-46.9815,-45.2409,-35.6889,-38.7928,-46.5139,-46.8099,-44.9841,-44.6059,-37.6464,-45.3838,-43.7351,-37.5042,-43.003,-44.8568,-47.1162,-46.431,-46.4971,-46.7101,-53.4509,-52.2002,-52.8578,-33.9749,-48.4344,-55.1428,-55.5574,-52.1037,-52.1359,-39.1145,-37.0852,-27.2057,-32.4415,-35.7158,-37.011,-38.7566,-43.3096,-45.0354,-45.9183,-47.1899,-46.2137,-48.1793,-42.4304,-44.9741,-36.9065,-44.6813,-47.072,-45.7022,-45.6456,-41.3873,-32.5217,-36.7979,-38.6768,-35.9665,-36.3982,-31.4466
gen=75_member=2223_de,1.0777,1.33969,1.35546,1.14449,1.17699,1.36583,1.35373,1.23032,0.83538,1.4269,1.43526,1.39726,1.18222,1.22266,1.32979,1.44759,1.37413,1.19967,1.5643,1.5232,6.08964e+08,-26.6781,-30.5105,-34.4141,-38.0083,-41.0972,-42.9932,-45.6121,-51.8539,-51.6102,-50.4508,-38.8062,-31.6699,-29.1409,-34.5229,-38.3423,-41.4645,-44.5307,-46.5087,-51.9149,-52.3308,-51.5773,-45.5838,-41.3286,-30.4266,-34.8051,-37.6294,-39.9302,-42.1554,-43.5732,-44.7234,-45.4276,-45.375,-44.908,-43.8918,-41.4787,-38.2845,-33.3199,-27.7805,-31.7495,-36.5336,-39.5225,-42.2474,-44.3042,-45.5872,-46.616,-47.0469,-47.073,-46.6563,-45.7069,-43.6853,-42.0256,-39.4537,-35.8932,-31.982,-35.5027,-38.1143,-40.1328,-42.5556,-44.2224,-45.3938,-55.1863,-54.3508,-49.9721,-47.2534,-42.8677,-33.5779,-28.9046,-31.785,-34.6354,-36.5244,-38.3034,-39.7386,-41.4404,-42.0753,-26.0055,-31.0675,-35.2038,-38.3754,-41.5316,-28.0464,-31.1279,-33.1504,-35.2935,-36.6847,-38.025,-39.0513,-39.58,-48.4597,-3.5738,-49.3851,-23.0402,-50.9732,-21.9315,-51.1623,-8.92063,-42.6694,-19.9649,-45.4011,-35.9074,-45.5475,-32.03,-43.5136,-20.9871,-33.9112,4.97909,-46.65,-46.9645,-45.2256,-35.6785,-38.5964,-48.4597,-45.5475,-44.6146,-44.3317,-37.5248,-45.1975,-43.4811,-37.4887,-42.9802,-44.8306,-47.0876,-46.3952,-46.4516,-46.661,-53.2256,-51.9423,-52.6539,-33.8894,-48.3167,-54.8221,-54.8447,-52.3808,-51.9246,-39.1113,-37.0792,-26.4859,-32.4018,-34.4441,-35.9369,-37.5126,-41.8141,-43.3524,-43.8814,-44.8971,-43.2295,-45.4757,-39.7984,-42.1561,-36.7756,-44.4995,-46.8323,-45.692,-45.6336,-41.3834,-32.5207,-36.796,-38.6702,-35.9584,-36.397,-31.4449
gen=75_member=2224_de,1.41652,1.43741,1.21368,1.06131,1.08036,1.29411,1.38965,1.30406,1.22411,1.42618,1.43457,1.39663,1.18172,1.21248,1.30641,1.56528,1.40037,1.32652,1.59065,1.58881,6.12984e+08,-27.9655,-31.905,-35.9265,-39.6982,-42.869,-44.7869,-47.3824,-52.9859,-52.4634,-51.1873,-39.3203,-32.0945,-28.9779,-34.3311,-38.1406,-41.2864,-44.3629,-46.3859,-51.8231,-52.2845,-51.5929,-45.7554,-41.5321,-30.1621,-34.5077,-37.3077,-39.5863,-41.7837,-43.1976,-44.3918,-45.1089,-45.0818,-44.6526,-43.6787,-41.2956,-38.1227,-33.1759,-27.6439,-31.7,-36.4837,-39.471,-42.1959,-44.2532,-45.5358,-46.5662,-46.9977,-47.0203,-46.6026,-45.6554,-43.6364,-41.9823,-39.4171,-35.8608,-31.9616,-35.4839,-38.0969,-40.116,-42.5384,-44.2054,-45.3778,-56.7193,-56.3684,-50.9795,-48.2023,-43.6684,-34.2255,-30.3402,-33.4249,-36.5757,-38.7617,-40.8602,-42.5948,-44.1439,-44.6435,-26.983,-32.1147,-36.3295,-39.5976,-42.8565,-29.3881,-32.4731,-34.4738,-36.7269,-38.2133,-39.6834,-40.7858,-41.3207,-53.6181,-26.4379,-51.414,-30.5949,-49.9594,-12.3785,-51.4359,-3.70746,-41.3023,-12.5213,-44.1149,-28.5824,-46.6867,-35.6863,-45.5507,-27.0699,-42.0445,-23.5161,-46.6146,-46.9305,-45.1946,-35.654,-38.1393,-53.6181,-46.6867,-44.0242,-43.8829,-37.3104,-44.8801,-43.0627,-37.4549,-42.9353,-44.7803,-47.0338,-46.329,-46.3692,-46.5728,-53.5262,-52.2237,-52.8179,-33.7972,-48.2914,-56.0421,-56.0727,-52.8733,-52.5336,-39.1009,-37.063,-27.0241,-32.3254,-35.3981,-36.8793,-38.5693,-43.0653,-44.7393,-45.5055,-46.7082,-45.5119,-47.5794,-41.7821,-44.3054,-36.5332,-44.1605,-46.3834,-45.6703,-45.6087,-41.372,-32.5155,-36.7884,-38.6532,-35.9378,-36.393,-31.4389
gen=75_member=2225_de,1.28124,0.622285,1.32229,1.46859,0.835331,1.30949,1.39724,1.31939,1.22126,1.42474,1.43318,1.39536,1.18073,1.19768,1.25707,1.51246,1.39724,1.31435,1.57422,1.55457,6.08312e+08,-27.6713,-31.5819,-35.5624,-39.2714,-42.3712,-44.2294,-46.7079,-48.1066,-49.3717,-48.811,-37.7331,-30.7918,-28.6183,-33.9398,-37.7357,-40.8862,-43.9593,-45.9875,-51.4049,-51.8761,-51.2062,-45.4038,-41.1891,-29.7029,-33.9839,-36.7336,-38.9646,-41.102,-42.5049,-43.784,-44.5273,-44.5508,-44.1931,-43.2983,-40.9724,-37.8404,-32.9291,-27.4147,-31.6181,-36.4001,-39.3838,-42.1083,-44.1662,-45.4476,-46.4809,-46.9132,-46.9296,-46.51,-45.5672,-43.553,-41.9092,-39.3559,-35.8075,-31.9297,-35.4541,-38.0692,-40.0888,-42.5101,-44.1775,-45.3512,-55.7731,-55.2232,-50.0889,-47.4085,-42.9447,-33.6135,-30.0583,-33.1119,-36.2208,-38.3675,-40.4102,-42.0669,-43.5049,-43.9568,-26.733,-31.8433,-36.0357,-39.2816,-42.5276,-29.1203,-32.1981,-34.1922,-36.4126,-37.8654,-39.2839,-40.3239,-40.8106,-51.3068,-16.9012,-37.5492,23.3317,-50.466,-19.6008,-51.4514,-31.1519,-38.158,4.38473,-43.799,-29.9155,-46.5558,-36.4524,-45.4254,-28.3227,-41.6029,-23.2124,-46.5544,-46.8728,-45.1421,-35.6138,-37.4956,-51.3068,-46.5558,-42.8917,-43.0436,-36.935,-44.3067,-42.2852,-37.399,-42.859,-44.6943,-46.9412,-46.2145,-46.2257,-46.4188,-53.1259,-51.8375,-52.4256,-33.5214,-47.9313,-54.91,-54.9591,-52.3553,-51.7863,-39.0844,-37.0372,-26.8762,-32.1958,-35.1369,-35.7429,-37.4921,-41.9047,-43.5809,-44.4815,-45.675,-44.7211,-46.5805,-41.2729,-43.5982,-36.1181,-43.5818,-45.6183,-45.6335,-45.5665,-41.3536,-32.5063,-36.776,-38.6259,-35.9051,-36.384,-31.4275
gen=75_member=2226_de,1.6896,1.49803,1.48617,1.34687,1.36801,1.29048,1.43912,1.44928,1.30278,1.42807,1.43638,1.39829,1.18302,1.23379,1.36517,1.68961,1.43912,1.36301,1.63712,1.68662,6.1985e+08,-28.8471,-32.8666,-37.0111,-40.909,-44.2252,-46.2365,-48.9475,-55.1906,-54.8472,-53.4916,-40.5922,-33.1119,-29.6184,-35.0269,-38.877,-42.0502,-45.1575,-47.1998,-52.6642,-53.117,-52.4036,-46.5779,-42.3544,-30.7707,-35.1958,-38.0563,-40.3917,-42.6608,-44.0871,-45.1758,-45.8614,-45.7722,-45.2528,-44.1782,-41.723,-38.4986,-33.5079,-27.9559,-31.8094,-36.5951,-39.5869,-42.3123,-44.3687,-45.6527,-46.6794,-47.1098,-47.1406,-46.7253,-45.7725,-43.7472,-42.0797,-39.4986,-35.9319,-32.0035,-35.5229,-38.133,-40.1513,-42.575,-44.2417,-45.4121,-59.3683,-59.5506,-53.6696,-50.4784,-45.6417,-35.8341,-30.9643,-34.1227,-37.3658,-39.6287,-41.804,-43.6307,-45.1995,-45.6929,-27.934,-33.1964,-37.5779,-41.0314,-44.5699,-29.9713,-33.0435,-35.0278,-37.3185,-38.8397,-40.3617,-41.5065,-42.0618,-59.0713,-50.1035,-53.5109,-35.8413,-55.9002,-32.0024,-55.4483,-22.9467,-44.8931,-38.7158,-44.8357,-28.397,-48.3831,-41.8453,-48.7796,-41.9934,-43.9789,-30.8165,-46.6942,-47.0069,-45.2642,-35.7075,-39.0721,-59.0713,-48.3831,-45.4442,-44.9517,-37.8099,-45.6262,-44.0562,-37.5295,-43.0368,-44.8946,-47.1566,-46.4809,-46.5593,-46.7767,-54.5578,-53.2288,-53.7581,-34.2755,-49.0066,-59.0368,-58.5508,-57.2103,-56.0958,-39.1213,-37.0964,-27.2615,-32.4982,-35.8114,-37.5913,-39.306,-43.9073,-45.6365,-46.4405,-47.723,-46.5455,-48.7016,-42.5903,-45.2512,-37.1096,-44.9467,-47.4015,-45.7186,-45.6644,-41.395,-32.5241,-36.8025,-38.6886,-35.9809,-36.4025,-31.4522
gen=75_member=2227_de,1.09995,1.48119,1.24138,1.38895,1.27441,1.34476,1.33408,1.25269,0.932788,1.42746,1.4358,1.39776,1.18261,1.22694,1.34743,1.45479,1.36891,1.23309,1.56646,1.52612,6.10689e+08,-26.9998,-30.8608,-34.796,-38.4416,-41.5576,-43.465,-46.0889,-52.8436,-52.3306,-51.0572,-39.1817,-31.9768,-29.2281,-34.6153,-38.4325,-41.5466,-44.6077,-46.5818,-51.9963,-52.4119,-51.6544,-45.6469,-41.3882,-30.5831,-34.9852,-37.8284,-40.1473,-42.3953,-43.8179,-44.9383,-45.6331,-45.5624,-45.0702,-44.0264,-41.5934,-38.3851,-33.4083,-27.8627,-31.7775,-36.5624,-39.5527,-42.2778,-44.3344,-45.6179,-46.6457,-47.0764,-47.1048,-46.6888,-45.7378,-43.7145,-42.0512,-39.4749,-35.9116,-31.9924,-35.5124,-38.1234,-40.1417,-42.5649,-44.2316,-45.4025,-55.2997,-54.4728,-50.1343,-47.3914,-43.0026,-33.6937,-29.2797,-32.214,-35.1441,-37.1126,-38.98,-40.5014,-42.1795,-42.7868,-26.2236,-31.2978,-35.4472,-38.6407,-41.8172,-28.3972,-31.4816,-33.5005,-35.6752,-37.0945,-38.4739,-39.5278,-40.0649,-48.7701,-4.9829,-51.7228,-34.1467,-49.7165,-14.1466,-52.1348,-25.4222,-43.7953,-28.3016,-45.2758,-33.6212,-45.3109,-30.2164,-44.0589,-22.7633,-36.0782,-1.61412,-46.6707,-46.9842,-45.2435,-35.6918,-38.7793,-48.7701,-45.3109,-45.0168,-44.6289,-37.6564,-45.399,-43.7559,-37.508,-43.0069,-44.8607,-47.1199,-46.4356,-46.5023,-46.7154,-53.2883,-52.0025,-52.72,-33.9604,-48.3946,-54.9297,-55.043,-52.0935,-52.1736,-39.1165,-37.0876,-26.6309,-32.4466,-34.7041,-36.3224,-37.9157,-42.2739,-43.8429,-44.4086,-45.4691,-43.8838,-46.1111,-40.3423,-42.7674,-36.912,-44.6906,-47.0872,-45.7041,-45.6477,-41.3892,-32.524,-36.7999,-38.6791,-35.9692,-36.3976,-31.4462
gen=75_member=2228_de,1.47895,1.4073,1.61378,1.61755,1.37342,1.35644,1.41808,1.44922,1.37302,1.42839,1.43669,1.39858,1.18324,1.23953,1.37087,1.63097,1.4303,1.3828,1.62786,1.65934,6.20222e+08,-28.9797,-33.0085,-37.1576,-41.0728,-44.3831,-46.3843,-49.0709,-54.9815,-54.9084,-53.6162,-40.5933,-33.1063,-29.7511,-35.1827,-39.0504,-42.2256,-45.339,-47.3635,-52.8013,-53.2246,-52.4727,-46.568,-42.3274,-30.8709,-35.3057,-38.1718,-40.5114,-42.786,-44.2119,-45.2874,-45.9699,-45.8737,-45.3423,-44.2536,-41.7885,-38.557,-33.5604,-28.0062,-31.8258,-36.6117,-39.6043,-42.3298,-44.3861,-45.6703,-46.6965,-47.1267,-47.159,-46.7442,-45.7907,-43.7647,-42.0953,-39.5119,-35.9438,-32.0091,-35.5281,-38.1379,-40.1559,-42.5799,-44.2465,-45.4166,-58.9004,-58.7873,-53.5499,-50.2963,-45.5039,-35.7241,-31.173,-34.3618,-37.6519,-39.9632,-42.1904,-44.0609,-45.5901,-46.0541,-27.9805,-33.2335,-37.6016,-41.0458,-44.5625,-30.1672,-33.2418,-35.2234,-37.53,-39.0643,-40.6031,-41.754,-42.3046,-56.4958,-31.4013,-52.3154,-28.4311,-57.4788,-42.6353,-56.6042,-44.6555,-45.1313,-39.6153,-45.8824,-34.9639,-47.9963,-39.0715,-48.7788,-41.9908,-45.2514,-39.1296,-46.706,-47.0182,-45.2746,-35.7157,-39.3245,-56.4958,-47.9963,-45.6237,-45.0965,-37.8895,-45.7375,-44.1931,-37.5418,-43.0528,-44.9124,-47.1752,-46.5043,-46.5884,-46.8077,-54.528,-53.2122,-53.785,-34.3472,-49.0781,-58.9315,-58.4369,-57.7085,-56.5441,-39.1236,-37.1007,-27.3395,-32.5246,-35.9483,-37.6252,-39.3652,-43.9888,-45.7402,-46.5992,-47.9105,-46.844,-48.9391,-42.8748,-45.539,-37.2165,-45.0912,-47.5848,-45.7252,-45.6723,-41.3977,-32.5245,-36.8038,-38.6933,-35.9868,-36.4007,-31.4511
gen=75_member=2229_de,1.27832,1.443,1.65814,1.51874,1.17288,1.30771,1.41189,1.44517,1.3717,1.42697,1.43533,1.39733,1.18228,1.22174,1.32732,1.56424,1.4241,1.38143,1.61147,1.62143,6.18094e+08,-28.9114,-32.9346,-37.0743,-40.9821,-44.2812,-46.2743,-48.9484,-54.9427,-54.7435,-53.4046,-40.4786,-33.0167,-29.2928,-34.6741,-38.5092,-41.678,-44.7752,-46.8118,-52.2452,-52.6979,-51.9911,-46.1566,-41.9314,-30.393,-34.7672,-37.5881,-39.8859,-42.1077,-43.5251,-44.6809,-45.387,-45.3379,-44.8757,-43.8648,-41.4556,-38.264,-33.3015,-27.7628,-31.7388,-36.5235,-39.5126,-42.2377,-44.2948,-45.578,-46.6071,-47.0382,-47.064,-46.6473,-45.6982,-43.677,-42.0179,-39.4466,-35.8865,-31.9746,-35.4959,-38.1079,-40.1267,-42.5497,-44.2166,-45.3882,-58.1039,-57.6623,-52.9164,-49.7069,-45.008,-35.3229,-31.1396,-34.3249,-37.6118,-39.9215,-42.1481,-44.0166,-45.5445,-46.0083,-27.8862,-33.1251,-37.4762,-40.906,-44.4003,-30.1362,-33.2126,-35.1961,-37.5018,-39.0352,-40.5724,-41.7223,-42.2725,-53.5648,-17.0162,-52.7094,-31.2424,-57.5473,-46.8471,-56.0059,-35.8331,-42.5459,-19.601,-44.6226,-29.8996,-47.725,-38.2931,-48.6015,-41.4017,-45.1943,-38.9228,-46.6427,-46.9574,-45.219,-35.6722,-38.5423,-53.5648,-47.725,-44.5406,-44.2748,-37.4993,-45.1578,-43.4278,-37.4819,-42.9723,-44.822,-47.0783,-46.3848,-46.4393,-46.6479,-54.0701,-52.767,-53.3093,-34.0121,-48.6334,-58.3735,-57.9978,-57.2251,-56.0352,-39.1056,-37.0729,-27.3289,-32.3883,-35.9297,-37.6069,-39.3435,-43.9614,-45.7084,-46.5617,-47.867,-46.7983,-48.8864,-42.8395,-45.4981,-36.7615,-44.4687,-46.7775,-45.6862,-45.6275,-41.3778,-32.5139,-36.7901,-38.6639,-35.9515,-36.3916,-31.4391
