child,parent_1,parent_2,parent_3
GEN=1_MEMBER=0_DE,GEN=0_MEMBER=24,GEN=0_MEMBER=9,GEN=0_MEMBER=12,GEN=0_MEMBER=13
GEN=1_MEMBER=1_DE,GEN=0_MEMBER=18,GEN=0_MEMBER=16,GEN=0_MEMBER=15,GEN=0_MEMBER=11
GEN=1_MEMBER=2_DE,GEN=0_MEMBER=18,GEN=0_MEMBER=8,GEN=0_MEMBER=29,GEN=0_MEMBER=22
GEN=1_MEMBER=3_DE,GEN=0_MEMBER=12,GEN=0_MEMBER=21,GEN=0_MEMBER=20,GEN=0_MEMBER=25
GEN=1_MEMBER=4_DE,GEN=0_MEMBER=24,GEN=0_MEMBER=8,GEN=0_MEMBER=11,GEN=0_MEMBER=17
GEN=1_MEMBER=5_DE,GEN=0_MEMBER=2,GEN=0_MEMBER=12,GEN=0_MEMBER=11,GEN=0_MEMBER=0
GEN=1_MEMBER=6_DE,GEN=0_MEMBER=16,GEN=0_MEMBER=28,GEN=0_MEMBER=19,GEN=0_MEMBER=14
GEN=1_MEMBER=7_DE,GEN=0_MEMBER=2,GEN=0_MEMBER=29,GEN=0_MEMBER=22,GEN=0_MEMBER=6
GEN=1_MEMBER=8_DE,GEN=0_MEMBER=18,GEN=0_MEMBER=16,GEN=0_MEMBER=28,GEN=0_MEMBER=20
GEN=1_MEMBER=9_DE,GEN=0_MEMBER=15,GEN=0_MEMBER=21,GEN=0_MEMBER=19,GEN=0_MEMBER=29
GEN=1_MEMBER=10_DE,GEN=0_MEMBER=16,GEN=0_MEMBER=27,GEN=0_MEMBER=20,GEN=0_MEMBER=17
GEN=1_MEMBER=11_DE,GEN=0_MEMBER=16,GEN=0_MEMBER=22,GEN=0_MEMBER=25,GEN=0_MEMBER=17
GEN=1_MEMBER=12_DE,GEN=0_MEMBER=18,GEN=0_MEMBER=15,GEN=0_MEMBER=19,GEN=0_MEMBER=17
GEN=1_MEMBER=13_DE,GEN=0_MEMBER=18,GEN=0_MEMBER=28,GEN=0_MEMBER=25,GEN=0_MEMBER=26
GEN=1_MEMBER=14_DE,GEN=0_MEMBER=18,GEN=0_MEMBER=14,GEN=0_MEMBER=4,GEN=0_MEMBER=1
GEN=1_MEMBER=15_DE,GEN=0_MEMBER=9,GEN=0_MEMBER=14,GEN=0_MEMBER=22,GEN=0_MEMBER=25
GEN=1_MEMBER=16_DE,GEN=0_MEMBER=24,GEN=0_MEMBER=2,GEN=0_MEMBER=27,GEN=0_MEMBER=9
