generation,member,_risk_,pump_rate,nsga2_front,nsga2_crowding_distance,spea2_unconstrained_fitness,spea2_constrained_fitness,is_feasible,feasible_distance
0,gen=0_member=18,0.508358,185.153,1,1e+30,0.0171491,0.0171491,1,-999
0,gen=0_member=16,0.726645,112.813,1,1e+30,0.0554671,0.0554671,1,-999
0,gen=0_member=24,0.531042,143.636,1,0.778433,0.0500093,0.0500093,1,-999
0,gen=0_member=2,0.601282,128.841,1,0.701605,0.0595412,0.0595412,1,-999
0,gen=0_member=15,0.62989,125.64,1,0.574302,0.0674423,0.0674423,1,-999
1,gen=0_member=18,0.508358,185.153,2,1e+30,0.032722,0.032722,1,-999
1,gen=0_member=16,0.726645,112.813,1,0.334169,0.0554671,0.0554671,1,-999
1,gen=0_member=24,0.531042,143.636,2,1e+30,0.0365027,0.0365027,1,-999
1,gen=0_member=2,0.601282,128.841,1,0.516106,0.0595412,0.0595412,1,-999
1,gen=0_member=15,0.62989,125.64,1,0.352334,0.0674423,0.0674423,1,-999
1,gen=1_member=2_de,0.435991,213.713,1,1e+30,0.0307066,0.0307066,1,-999
1,gen=1_member=10_de,0.855357,82.2824,1,1e+30,0.0220468,0.0220468,1,-999
1,gen=1_member=4_de,0.596947,183.148,1,0.652206,1.03071,1.03071,1,-999
1,gen=1_member=27_de,0.715218,118.241,1,0.328312,0.0793633,0.0793633,1,-999
1,gen=1_member=0_de,0.508358,185.438,1,0.232562,1.03303,1.03303,1,-999
2,gen=1_member=2_de,0.435991,213.713,1,1e+30,0.0210908,0.0210908,1,-999
2,gen=1_member=10_de,0.855357,82.2824,2,1e+30,0.0274419,0.0274419,1,-999
2,gen=1_member=4_de,0.596947,183.148,1,0.390078,0.0307066,0.0307066,1,-999
2,gen=0_member=2,0.601282,128.841,2,1e+30,0.0793633,0.0793633,1,-999
2,gen=0_member=15,0.62989,125.64,2,0.344258,0.106394,0.106394,1,-999
2,gen=0_member=16,0.726645,112.813,2,0.887402,0.098686,0.098686,1,-999
2,gen=1_member=27_de,0.715218,118.241,1,0.258572,0.106394,0.106394,1,-999
2,gen=1_member=0_de,0.508358,185.438,1,0.184274,0.0330303,0.0330303,1,-999
2,gen=2_member=42_de,0.917116,47.8419,1,1e+30,0.0149318,0.0149318,1,-999
2,gen=2_member=36_de,0.646322,168.3,1,0.459252,4.02653,4.02653,1,-999
2,gen=2_member=49_de,0.671286,132.6,1,0.444988,4.06113,4.06113,1,-999
2,gen=2_member=55_de,0.751598,117.398,1,0.416914,1.09763,1.09763,1,-999
2,gen=2_member=38_de,0.876473,104.681,1,0.344023,1.06426,1.06426,1,-999
3,gen=2_member=42_de,0.917116,47.8419,1,1e+30,0.0139749,0.0139749,1,-999
3,gen=1_member=2_de,0.435991,213.713,1,1e+30,0.0307066,0.0307066,1,-999
3,gen=2_member=36_de,0.646322,168.3,1,0.459252,0.046474,0.046474,1,-999
3,gen=2_member=49_de,0.671286,132.6,1,0.325592,0.0581339,0.0581339,1,-999
3,gen=2_member=55_de,0.751598,117.398,1,0.135739,0.0679442,0.0679442,1,-999
3,gen=1_member=4_de,0.596947,183.148,1,0.297679,0.0593547,0.0593547,1,-999
3,gen=2_member=38_de,0.876473,104.681,1,0.301804,0.0642621,0.0642621,1,-999
3,gen=1_member=27_de,0.715218,118.241,1,0.200092,0.0698559,0.0698559,1,-999
3,gen=1_member=0_de,0.508358,185.438,2,-999,0.0522493,0.0522493,1,-999
3,gen=3_member=78_de,0.771911,115.271,1,0.336217,0.0794232,0.0794232,1,-999
3,gen=3_member=68_de,0.559713,187.817,1,0.184274,1.04647,1.04647,1,-999
3,gen=3_member=76_de,0.693495,130.557,1,0.177875,0.0659706,0.0659706,1,-999
4,gen=2_member=42_de,0.917116,47.8419,1,1e+30,0.0139749,0.0139749,1,-999
4,gen=1_member=2_de,0.435991,213.713,1,0.191103,0.0399807,0.0399807,1,-999
4,gen=2_member=36_de,0.646322,168.3,1,0.540478,0.0455554,0.0455554,1,-999
4,gen=3_member=78_de,0.771911,115.271,2,1e+30,0.0794232,0.0794232,1,-999
4,gen=2_member=49_de,0.671286,132.6,2,1e+30,0.0581339,0.0581339,1,-999
4,gen=2_member=38_de,0.876473,104.681,1,0.218891,0.0642621,0.0642621,1,-999
4,gen=1_member=4_de,0.596947,183.148,1,0.25891,0.0593547,0.0593547,1,-999
4,gen=1_member=27_de,0.715218,118.241,2,1.33676,0.0698559,0.0698559,1,-999
4,gen=3_member=68_de,0.559713,187.817,1,0.213647,0.0675103,0.0675103,1,-999
4,gen=3_member=76_de,0.693495,130.557,2,0.828604,0.0659706,0.0659706,1,-999
