generation,member,_risk_,pump_rate,nsga2_front,nsga2_crowding_distance,spea2_unconstrained_fitness,spea2_constrained_fitness,is_feasible,feasible_distance
0,gen=0_member=1,0.369632,106.978,5,0.780911,0.22187,0.22187,1,-999
0,gen=0_member=2,0.601282,128.841,1,0.701605,136.1,136.1,1,-999
0,gen=0_member=3,0.443222,77.7721,4,1e+30,0.0320451,0.0320451,1,-999
0,gen=0_member=4,0.040206,120.856,5,1e+30,0.0992812,0.0992812,1,-999
0,gen=0_member=6,0.41586,105.263,5,1e+30,0.175814,0.175814,1,-999
0,gen=0_member=7,0.419334,110.248,4,0.237733,52.1471,52.1471,1,-999
0,gen=0_member=8,0.266227,179.854,2,1e+30,73.0385,73.0385,1,-999
0,gen=0_member=9,0.506011,166.797,2,0.750577,158.065,158.065,1,-999
0,gen=0_member=11,0.183846,163.352,3,0.153547,58.0633,58.0633,1,-999
0,gen=0_member=12,0.546344,121.912,2,0.205209,115.09,115.09,1,-999
0,gen=0_member=13,0.122508,108.078,5,0.890036,0.207051,0.207051,1,-999
0,gen=0_member=14,0.0792122,148.049,4,1e+30,19.1094,19.1094,1,-999
0,gen=0_member=15,0.62989,125.64,1,0.574302,136.112,136.112,1,-999
0,gen=0_member=16,0.726645,112.813,1,1e+30,105.107,105.107,1,-999
0,gen=0_member=18,0.508358,185.153,1,1e+30,160.032,160.032,1,-999
0,gen=0_member=19,0.16317,166.264,3,1e+30,48.0641,48.0641,1,-999
0,gen=0_member=20,0.438688,155.905,3,0.935707,119.093,119.093,1,-999
0,gen=0_member=21,0.48477,98.798,3,1e+30,16.0886,16.0886,1,-999
0,gen=0_member=22,0.19813,137.046,4,0.584169,40.0979,40.0979,1,-999
0,gen=0_member=24,0.531042,143.636,1,0.778433,142.126,142.126,1,-999
0,gen=0_member=25,0.172037,138.001,4,0.156569,40.0896,40.0896,1,-999
0,gen=0_member=27,0.599579,104.481,2,1e+30,31.1552,31.1552,1,-999
0,gen=0_member=28,0.531172,123.281,2,0.716501,115.088,115.088,1,-999
0,gen=0_member=29,0.356685,132.596,4,0.988996,40.0966,40.0966,1,-999
1,gen=1_member=0_de,0.508358,185.438,1,0.232562,522.049,522.049,1,-999
1,gen=1_member=2_de,0.435991,213.713,1,1e+30,426.027,426.027,1,-999
1,gen=1_member=3_de,0.58321,68.7987,3,1e+30,0.0265373,0.0265373,1,-999
1,gen=1_member=4_de,0.596947,183.148,1,0.652206,647.054,647.054,1,-999
1,gen=1_member=5_de,0.266227,122.406,8,1e+30,129.118,129.118,1,-999
1,gen=1_member=9_de,0.546344,95.8811,3,0.160275,38.0704,38.0704,1,-999
1,gen=1_member=10_de,0.855357,82.2824,1,1e+30,77.0413,77.0413,1,-999
1,gen=1_member=11_de,0.16317,112.382,9,1e+30,46.1268,46.1268,1,-999
1,gen=1_member=14_de,0.539563,175.278,2,0.525231,554.082,554.082,1,-999
1,gen=1_member=15_de,0.410876,150.862,6,1e+30,318.175,318.175,1,-999
1,gen=1_member=16_de,0.532405,142.425,3,0.478285,438.155,438.155,1,-999
1,gen=1_member=19_de,0.172037,148.817,7,1e+30,178.161,178.161,1,-999
1,gen=1_member=22_de,0.489469,156.542,4,0.943814,480.111,480.111,1,-999
1,gen=1_member=23_de,0.509721,178.886,2,0.142008,514.071,514.071,1,-999
1,gen=1_member=24_de,0.284264,203.9,2,1e+30,282.037,282.037,1,-999
1,gen=1_member=27_de,0.715218,118.241,1,0.328312,337.106,337.106,1,-999
1,gen=1_member=29_de,0.771911,77.3286,2,1e+30,27.0343,27.0343,1,-999
1,gen=0_member=18,0.508358,185.153,2,0.197632,520.049,520.049,1,-999
1,gen=0_member=16,0.726645,112.813,1,0.334169,337.127,337.127,1,-999
1,gen=0_member=24,0.531042,143.636,3,0.302728,418.155,418.155,1,-999
1,gen=0_member=2,0.601282,128.841,1,0.516106,449.118,449.118,1,-999
1,gen=0_member=15,0.62989,125.64,1,0.352334,449.112,449.112,1,-999
1,gen=0_member=8,0.266227,179.854,3,1e+30,276.066,276.066,1,-999
1,gen=0_member=27,0.599579,104.481,2,0.462561,124.13,124.13,1,-999
1,gen=0_member=9,0.506011,166.797,3,0.326124,508.071,508.071,1,-999
1,gen=0_member=28,0.531172,123.281,4,1e+30,338.132,338.132,1,-999
1,gen=0_member=12,0.546344,121.912,2,0.682413,330.112,330.112,1,-999
1,gen=0_member=21,0.48477,98.798,5,1e+30,38.0886,38.0886,1,-999
1,gen=0_member=19,0.16317,166.264,4,1e+30,150.068,150.068,1,-999
1,gen=0_member=20,0.438688,155.905,5,1e+30,399.112,399.112,1,-999
1,gen=0_member=11,0.183846,163.352,4,0.226168,197.079,197.079,1,-999
1,gen=0_member=3,0.443222,77.7721,6,1e+30,0.0348313,0.0348313,1,-999
1,gen=0_member=14,0.0792122,148.049,8,1e+30,41.1554,41.1554,1,-999
1,gen=0_member=29,0.356685,132.596,7,1.39375,162.129,162.129,1,-999
1,gen=0_member=22,0.19813,137.046,7,0.372437,129.155,129.155,1,-999
1,gen=0_member=7,0.419334,110.248,6,0,118.147,118.147,1,-999
1,gen=0_member=25,0.172037,138.001,8,0,129.158,129.158,1,-999
1,gen=0_member=6,0.41586,105.263,7,1e+30,0.143165,0.143165,1,-999
1,gen=0_member=4,0.040206,120.856,9,1e+30,0.0999527,0.0999527,1,-999
1,gen=0_member=13,0.122508,108.078,10,-999,0.177685,0.177685,1,-999
1,gen=0_member=1,0.369632,106.978,7,0.242698,0.189727,0.189727,1,-999
2,gen=2_member=31_de,0.487666,128.43,5,0.576604,121.14,121.14,1,-999
2,gen=2_member=33_de,0.592635,135.008,2,0.489901,302.094,302.094,1,-999
2,gen=2_member=34_de,0.62989,117.543,3,0.446062,258.129,258.129,1,-999
2,gen=2_member=35_de,0.535943,145.098,3,0.517553,188.071,188.071,1,-999
2,gen=2_member=36_de,0.646322,168.3,1,0.459252,516.111,516.111,1,-999
2,gen=2_member=38_de,0.876473,104.681,1,0.344023,190.099,190.099,1,-999
2,gen=2_member=41_de,0.539563,104.251,5,0.327774,82.0964,82.0964,1,-999
2,gen=2_member=42_de,0.917116,47.8419,1,1e+30,0.0199837,0.0199837,1,-999
2,gen=2_member=48_de,0.560058,114.888,4,0.153923,176.111,176.111,1,-999
2,gen=2_member=49_de,0.671286,132.6,1,0.444988,345.112,345.112,1,-999
2,gen=2_member=51_de,0.256106,163.727,4,0.157348,22.1018,22.1018,1,-999
2,gen=2_member=55_de,0.751598,117.398,1,0.416914,264.127,264.127,1,-999
