real_name,hmuni1,hmuni2,hmuni3,hmuni4,hmuni5,hmuni6,hmuni7,hmuni8,hmuni9,hpz01,hpz02,hpz03,hpz04,hpz05,hpz06,hpz07,hpz08,hpz09,hpz10,hpz11,vlens,zert01,zert02,zert03,zert04,zert05,zert06,zert07,zert08,zert09,zert10,zert11,zert12,zert13,zert14,zert15,zert16,zert17,zert18,zert19,zert20,zert21,zert22,zert23,zert24,zert25,zert26,zert27,zert28,zert29,zert30,zert31,zert32,zert33,zert34,zert35,zert36,zert37,zert38,zert39,zert40,zert41,zert42,zert43,zert44,zert45,zert46,zert47,zert48,zert49,zert50,zert51,zert52,zert53,zert54,zert55,zert56,zert57,zert58,zert59,zert60,zert61,zert62,zert63,zert64,zert65,zert66,zert67,zert68,zert69,zert70,zert71,zert72,zert73,zert74,zert75,zert76,zert77,zert78,zert79,zert80,zert81,zert82,zert83,zert84,zert85,zert86,zert87,zmuni1,zmuni1_pct,zmuni2,zmuni2_pct,zmuni3,zmuni3_pct,zmuni4,zmuni4_pct,zmuni5,zmuni5_pct,zmuni6,zmuni6_pct,zmuni7,zmuni7_pct,zmuni8,zmuni8_pct,zmuni9,zmuni9_pct,zpz01,zpz02,zpz03,zpz04,zpz05,zpz07,zpz08,ztdem01,ztdem02,ztdem03,ztdem05,ztdem08,ztdem12,ztdem14,ztdem15,ztdem17,ztdem20,ztdem21,ztdem22,ztdem32,ztdem33,ztdem34,ztdem35,ztdem37,ztdem41,ztdem42,ztdem43,ztdem44,ztdem45,ztdem46,ztdem47,ztdem48,ztdem49,ztdem51,ztdem52,ztdem53,ztdem54,ztdem55,ztdem56,ztdem57,ztdem58,ztdem59,ztdem61,ztdem62,ztdem63,ztdem64,ztdem65,ztdem66,ztdem68,ztdem69,ztdem71,ztdem74,ztdem75,ztdem80,ztdem81
gen=0_member=0,1.47566,1.31654,1.41378,1.30048,1.15501,1.13135,1.19171,1.20073,1.10102,1.23773,1.2461,1.20797,0.992208,1.04344,1.17207,1.49948,1.22391,1.16721,1.44842,1.50265,6.18368e+08,-28.9372,-32.9487,-37.0749,-40.9634,-44.2626,-46.2677,-48.9879,-55.9101,-55.6633,-54.3042,-41.1269,-33.5776,-29.8698,-35.2988,-39.1645,-42.3458,-45.4653,-47.5065,-52.9941,-53.4434,-52.7246,-46.8863,-42.6576,-31.0094,-35.444,-38.3093,-40.6477,-42.9192,-44.3478,-45.4413,-46.1303,-46.0434,-45.5245,-44.4489,-41.9901,-38.7603,-33.7607,-28.1985,-32.0424,-36.8407,-39.8401,-42.5718,-44.6327,-45.9194,-46.9479,-47.3788,-47.4099,-46.9937,-46.0384,-44.0084,-42.336,-39.747,-36.1704,-32.2367,-35.7655,-38.3823,-40.4052,-42.8341,-44.5039,-45.6762,-59.7752,-60.0214,-54.4158,-51.1089,-46.2283,-36.3496,-31.1501,-34.3045,-37.544,-39.8056,-41.9834,-43.8112,-45.3938,-45.8947,-27.9625,-33.1948,-37.5324,-40.9369,-44.3911,-30.1619,-33.2441,-35.2366,-37.5296,-39.0522,-40.5752,-41.7233,-42.2824,-59.4166,-45.6042,-54.1525,-34.0022,-58.0824,-39.6012,-56.9249,-31.186,-44.9922,-33.7362,-45.575,-29.1044,-47.6297,-32.6992,-48.0296,-32.9909,-44.0361,-27.6997,-46.961,-47.2728,-45.5237,-35.939,-39.384,-59.4166,-47.6297,-45.6928,-45.2102,-38.073,-45.8984,-44.3144,-37.7723,-43.2955,-45.1584,-47.4261,-46.7502,-46.8301,-47.048,-54.8327,-53.4846,-54.0482,-34.5576,-49.3235,-59.705,-59.0055,-58.5593,-57.2515,-39.3741,-37.3433,-27.4907,-32.7346,-36.042,-37.8808,-39.5882,-44.1931,-45.9177,-46.702,-47.9762,-46.7638,-48.9357,-42.8014,-45.4705,-37.3843,-45.2373,-47.6952,-45.9765,-45.9231,-41.6523,-32.7643,-37.0512,-38.9392,-36.2245,-36.622,-31.6538
gen=0_member=1,1.44411,1.31479,1.39207,1.03261,1.16904,1.21099,1.23565,1.22414,1.15856,1.2382,1.24655,1.20837,0.992529,1.052,1.18111,1.48689,1.24289,1.18496,1.44628,1.49289,6.19352e+08,-29.1626,-33.1913,-37.3381,-41.2499,-44.5598,-46.5647,-49.2691,-55.6669,-55.3054,-53.923,-40.9473,-33.4387,-30.1192,-35.5825,-39.4783,-42.6751,-45.8114,-47.8418,-53.2921,-53.7063,-52.9409,-47.0216,-42.7732,-31.1607,-35.6099,-38.4838,-40.8289,-43.1091,-44.5372,-45.6104,-46.2944,-46.1967,-45.6593,-44.5622,-42.0881,-38.8471,-33.8379,-28.2716,-32.0672,-36.8661,-39.8666,-42.5985,-44.6593,-45.9463,-46.9741,-47.4049,-47.438,-47.0226,-46.0662,-44.0352,-42.36,-39.7677,-36.1892,-32.2455,-35.7737,-38.3899,-40.4127,-42.842,-44.5118,-45.6837,-59.6726,-59.802,-54.0538,-50.8268,-45.9795,-36.1479,-31.3685,-34.5524,-37.8338,-40.1357,-42.3546,-44.2194,-45.7721,-46.25,-28.1759,-33.4307,-37.7952,-41.226,-44.7164,-30.3662,-33.4471,-35.4346,-37.7415,-39.2759,-40.8146,-41.9693,-42.5257,-58.8629,-46.472,-54.026,-38.6391,-57.475,-42.0407,-55.6814,-18.8402,-45.3926,-39.0615,-46.8788,-42.7053,-48.4608,-41.9673,-48.5516,-38.9554,-45.132,-37.3817,-46.9795,-47.2907,-45.5404,-35.953,-39.7564,-58.8629,-48.4608,-45.9672,-45.4305,-38.1918,-46.0662,-44.5225,-37.7916,-43.3202,-45.1857,-47.4547,-46.7858,-46.8741,-47.095,-55.021,-53.6924,-54.2711,-34.7013,-49.517,-59.5059,-58.946,-58.0286,-56.6169,-39.3779,-37.3502,-27.571,-32.7745,-36.181,-37.9549,-39.6849,-44.3152,-46.0613,-46.8916,-48.1942,-47.0697,-49.2013,-43.0819,-45.7618,-37.5471,-45.4553,-47.969,-45.988,-45.9363,-41.6568,-32.7644,-37.0532,-38.9467,-36.2337,-36.6236,-31.6566
gen=0_member=2,1.47202,1.42146,1.38019,1.09643,1.07639,1.16475,1.23882,1.21665,1.12611,1.23749,1.24587,1.20776,0.992046,1.04222,1.15971,1.4976,1.24413,1.17692,1.44888,1.50058,6.18858e+08,-29.1173,-33.143,-37.2892,-41.1986,-44.5168,-46.5322,-49.2619,-56.3873,-55.8507,-54.3877,-41.2318,-33.6706,-29.8873,-35.3215,-39.1995,-42.3974,-45.5287,-47.5763,-53.0424,-53.484,-52.7578,-46.9179,-42.6873,-30.914,-35.3327,-38.1843,-40.5091,-42.7636,-44.188,-45.3015,-45.9973,-45.9231,-45.4208,-44.3632,-41.9176,-38.697,-33.7054,-28.1472,-32.0218,-36.8201,-39.8188,-42.5506,-44.6117,-45.8982,-46.9275,-47.3586,-47.3885,-46.972,-46.0178,-43.989,-42.3189,-39.7327,-36.1578,-32.2266,-35.7561,-38.3735,-40.3967,-42.8255,-44.4954,-45.6681,-59.8472,-60.0335,-54.3062,-51.0354,-46.1677,-36.3045,-31.2996,-34.4722,-37.736,-40.02,-42.2218,-44.0755,-45.6598,-46.157,-28.1533,-33.4088,-37.7748,-41.2058,-44.6969,-30.3023,-33.3834,-35.3733,-37.6767,-39.2089,-40.7457,-41.9049,-42.4691,-59.3347,-46.8026,-55.6695,-46.9224,-57.5898,-37.6882,-56.2115,-17.9191,-44.1588,-26.6245,-45.955,-34.0176,-48.5189,-39.9831,-48.455,-36.4541,-44.5852,-31.7948,-46.9461,-47.2585,-45.5108,-35.929,-39.3284,-59.3347,-48.5189,-45.4226,-45.0143,-37.9917,-45.7701,-44.1341,-37.7591,-43.2777,-45.1383,-47.4042,-46.7237,-46.797,-47.0125,-54.9198,-53.5839,-54.1236,-34.5475,-49.3391,-59.7355,-59.135,-58.2785,-56.9627,-39.3673,-37.3348,-27.5518,-32.7039,-36.1464,-38.0706,-39.7814,-44.41,-46.145,-46.9336,-48.2232,-47.0182,-49.2018,-43.0052,-45.7062,-37.3124,-45.1326,-47.5498,-45.9669,-45.9123,-41.6454,-32.7572,-37.0447,-38.9305,-36.2145,-36.6174,-31.649
gen=0_member=3,1.47022,1.38529,1.48905,1.34032,1.11804,1.19925,1.2536,1.25961,1.12971,1.23788,1.24625,1.2081,0.992312,1.04879,1.17098,1.50928,1.25457,1.18098,1.45794,1.51621,6.2041e+08,-29.2997,-33.3429,-37.5184,-41.4538,-44.8081,-46.8474,-49.6065,-56.7729,-56.4396,-55.0039,-41.5378,-33.912,-30.0882,-35.5454,-39.4432,-42.654,-45.7992,-47.8474,-53.3071,-53.7349,-52.9891,-47.1282,-42.8922,-31.0601,-35.495,-38.3578,-40.6924,-42.9595,-44.3852,-45.4764,-46.1659,-46.0792,-45.5572,-44.4771,-42.0154,-38.7833,-33.782,-28.2199,-32.0483,-36.8468,-39.8464,-42.5782,-44.639,-45.9258,-46.954,-47.3849,-47.4165,-47.0004,-46.0448,-44.0145,-42.3413,-39.7514,-36.1741,-32.2378,-35.7666,-38.3832,-40.4061,-42.8352,-44.505,-45.6772,-60.3709,-60.5904,-54.9724,-51.572,-46.6411,-36.6919,-31.3958,-34.5787,-37.853,-40.143,-42.3488,-44.211,-45.803,-46.3026,-28.3758,-33.6666,-38.0782,-41.5596,-45.1301,-30.3916,-33.4684,-35.4543,-37.7617,-39.2978,-40.8409,-42.0058,-42.5734,-59.8439,-48.6644,-55.4904,-44.2436,-59.5242,-50.7371,-57.8367,-38.5736,-44.7775,-32.9209,-46.6239,-39.9063,-48.9735,-44.0046,-49.3339,-42.8227,-44.7513,-34.2716,-46.9651,-47.2766,-45.5272,-35.9415,-39.6163,-59.8439,-48.9735,-45.7234,-45.2475,-38.1084,-45.9398,-44.3526,-37.7761,-43.301,-45.1646,-47.4328,-46.7587,-46.8407,-47.0594,-55.1853,-53.8485,-54.3825,-34.684,-49.5425,-60.4489,-59.713,-59.5376,-58.0719,-39.3738,-37.344,-27.5852,-32.745,-36.2054,-38.1758,-39.8909,-44.5365,-46.281,-47.0756,-48.3791,-47.1682,-49.3767,-43.1173,-45.841,-37.4602,-45.3318,-47.8026,-45.9786,-45.9257,-41.6523,-32.762,-37.0501,-38.9401,-36.2259,-36.6211,-31.6532
gen=0_member=4,1.50297,1.30308,1.48696,1.4214,1.10139,1.19146,1.18571,1.22167,1.12185,1.23766,1.24603,1.2079,0.99215,1.04609,1.1666,1.51589,1.22477,1.17528,1.45602,1.518,6.19272e+08,-29.0783,-33.1034,-37.2487,-41.1593,-44.4803,-46.4991,-49.2359,-56.2414,-56.102,-54.7507,-41.3603,-33.7632,-29.972,-35.4208,-39.309,-42.5093,-45.6479,-47.6915,-53.1717,-53.6077,-52.8737,-47.0283,-42.7984,-31.0013,-35.4302,-38.289,-40.6201,-42.8827,-44.3081,-45.4082,-46.1005,-46.0188,-45.5046,-44.4335,-41.9784,-38.7511,-33.754,-28.1937,-32.0391,-36.8374,-39.8366,-42.5684,-44.6294,-45.916,-46.9447,-47.3758,-47.4067,-46.9905,-46.0356,-44.006,-42.3342,-39.7459,-36.1699,-32.2355,-35.7645,-38.3814,-40.4044,-42.8333,-44.5031,-45.6755,-60.1981,-60.5211,-54.9287,-51.5315,-46.5979,-36.6516,-31.2669,-34.4367,-37.6965,-39.9764,-42.1729,-44.0206,-45.6019,-46.0983,-28.0972,-33.3466,-37.7055,-41.1353,-44.6262,-30.271,-33.3525,-35.3429,-37.644,-39.1739,-40.7072,-41.8628,-42.4246,-60.1329,-57.0241,-54.2026,-45.3002,-59.4192,-54.8495,-57.9197,-51.537,-44.5352,-39.5194,-46.4298,-45.1759,-47.6612,-42.9565,-48.4886,-45.1374,-44.4853,-39.2447,-46.959,-47.271,-45.5224,-35.9388,-39.4973,-60.1329,-47.6612,-45.6065,-45.1566,-38.0641,-45.8742,-44.2672,-37.7715,-43.2934,-45.1557,-47.4227,-46.7461,-46.8245,-47.0419,-55.0097,-53.6561,-54.2209,-34.6252,-49.4472,-60.246,-59.4288,-59.4676,-58.0189,-39.3738,-37.3424,-27.5379,-32.7295,-36.1216,-37.9936,-39.7079,-44.3315,-46.0673,-46.8641,-48.1541,-46.9576,-49.136,-42.9587,-45.6496,-37.4028,-45.2544,-47.705,-45.9758,-45.9222,-41.6519,-32.7645,-37.0512,-38.9383,-36.2233,-36.6232,-31.655
gen=0_member=5,1.40025,1.41107,1.45416,0.91944,1.10991,1.11108,1.15819,1.25381,1.15908,1.23732,1.2457,1.2076,0.991925,1.03846,1.16154,1.47593,1.21246,1.18658,1.44258,1.48916,6.18592e+08,-29.1868,-33.2211,-37.3766,-41.3046,-44.6326,-46.6511,-49.3743,-56.2806,-55.7215,-54.2459,-41.1561,-33.6104,-29.7364,-35.1496,-39.0036,-42.1802,-45.2926,-47.3362,-52.8237,-53.2821,-52.5767,-46.7557,-42.5307,-30.8875,-35.3071,-38.1615,-40.49,-42.749,-44.1759,-45.2894,-45.9842,-45.9088,-45.4074,-44.3517,-41.9072,-38.6875,-33.6966,-28.1381,-32.0219,-36.8198,-39.8182,-42.5499,-44.6111,-45.8976,-46.927,-47.3582,-47.3879,-46.9715,-46.0176,-43.9894,-42.32,-39.7346,-36.1606,-32.2296,-35.7589,-38.3762,-40.3993,-42.8279,-44.4978,-45.6705,-59.5445,-59.6508,-54.1047,-50.8407,-45.9996,-36.1656,-31.4048,-34.5929,-37.8803,-40.1879,-42.4147,-44.29,-45.8572,-46.3412,-28.1483,-33.397,-37.7568,-41.1991,-44.7073,-30.4007,-33.483,-35.4717,-37.7833,-39.3223,-40.868,-42.0311,-42.5938,-58.3819,-37.6116,-55.5009,-44.4499,-58.3033,-43.1848,-55.6495,-1.5669,-44.3887,-27.5618,-45.1385,-26.4369,-47.1258,-28.6078,-48.9608,-39.2317,-45.1929,-33.706,-46.9467,-47.2593,-45.5119,-35.9317,-39.1666,-58.3819,-47.1258,-45.4245,-45.0052,-37.9743,-45.7523,-44.1232,-37.7615,-43.2784,-45.1384,-47.4035,-46.7224,-46.7945,-47.0094,-54.6846,-53.3401,-53.897,-34.4609,-49.1891,-59.6139,-59.0048,-58.3691,-56.7978,-39.3712,-37.3378,-27.5912,-32.7013,-36.2162,-38.1035,-39.826,-44.4669,-46.2127,-47.026,-48.3298,-47.1744,-49.3326,-43.1499,-45.8557,-37.2648,-45.0743,-47.4854,-45.9686,-45.9138,-41.6488,-32.764,-37.0496,-38.9333,-36.2171,-36.6211,-31.6525
gen=0_member=6,1.39015,1.3946,1.48943,1.2072,1.15674,1.20879,1.23181,1.1921,1.12586,1.23811,1.24646,1.2083,0.992467,1.05102,1.17857,1.47947,1.24095,1.17634,1.44832,1.49585,6.19587e+08,-29.0666,-33.0876,-37.2252,-41.1289,-44.4381,-46.4491,-49.1793,-56.4947,-56.0885,-54.6445,-41.3416,-33.7549,-30.098,-35.559,-39.4539,-42.6516,-45.7888,-47.8216,-53.2775,-53.6953,-52.9353,-47.0297,-42.785,-31.1351,-35.5807,-38.4518,-40.7943,-43.0712,-44.4988,-45.5764,-46.2617,-46.1667,-45.6331,-44.5402,-42.0692,-38.8305,-33.8236,-28.259,-32.0625,-36.8612,-39.8614,-42.5931,-44.6538,-45.9407,-46.9684,-47.399,-47.4316,-47.0158,-46.0594,-44.0281,-42.3531,-39.7611,-36.1824,-32.2436,-35.7719,-38.3882,-40.411,-42.8401,-44.5098,-45.6818,-59.8104,-59.9159,-54.4882,-51.1487,-46.2752,-36.393,-31.2784,-34.4495,-37.7125,-39.9968,-42.2002,-44.0547,-45.6402,-46.138,-28.0889,-33.3329,-37.6826,-41.0934,-44.5507,-30.2826,-33.3657,-35.3574,-37.661,-39.1934,-40.7304,-41.89,-42.4547,-58.5366,-41.7991,-55.4127,-45.5951,-59.0971,-50.5623,-57.0108,-29.395,-45.2429,-37.3049,-46.8204,-41.6981,-48.3783,-40.5797,-48.0369,-35.4804,-44.5614,-34.015,-46.9752,-47.2863,-45.5358,-35.9478,-39.7165,-58.5366,-48.3783,-45.9062,-45.3844,-38.1705,-46.034,-44.4796,-37.785,-43.3134,-45.1788,-47.4483,-46.7777,-46.8646,-47.0852,-55.0263,-53.6929,-54.2691,-34.6915,-49.5102,-59.9202,-59.2217,-58.9796,-57.4961,-39.3768,-37.3486,-27.5455,-32.7672,-36.1365,-38.0666,-39.7757,-44.4024,-46.1358,-46.9217,-48.2093,-47.0007,-49.1842,-42.989,-45.6899,-37.5243,-45.4228,-47.9259,-45.9847,-45.9326,-41.6556,-32.764,-37.0525,-38.945,-36.2317,-36.6223,-31.6548
gen=0_member=7,1.45093,1.41573,1.43088,1.30648,1.12245,1.1799,1.18412,1.23444,1.13919,1.23771,1.24607,1.20793,0.992174,1.04608,1.16962,1.49636,1.22401,1.18155,1.45048,1.50401,6.19478e+08,-29.1605,-33.1924,-37.3463,-41.2695,-44.5992,-46.6223,-49.3613,-56.6577,-56.2207,-54.7679,-41.4194,-33.8185,-29.9628,-35.4077,-39.2905,-42.4842,-45.6164,-47.6559,-53.1301,-53.5648,-52.8283,-46.9677,-42.7339,-31.0238,-35.4562,-38.3182,-40.6527,-42.9195,-44.346,-45.4413,-46.1318,-46.0469,-45.529,-44.454,-41.996,-38.7667,-33.7679,-28.2068,-32.0447,-36.8429,-39.8423,-42.574,-44.635,-45.9217,-46.9504,-47.3814,-47.4128,-46.9969,-46.042,-44.0125,-42.3404,-39.7517,-36.1757,-32.238,-35.7667,-38.3834,-40.4063,-42.8352,-44.505,-45.6774,-59.9236,-60.126,-54.603,-51.2571,-46.3682,-36.4687,-31.3547,-34.536,-37.8122,-40.1081,-42.323,-44.1897,-45.7737,-46.2684,-28.1585,-33.4114,-37.7752,-41.2136,-44.7151,-30.3535,-33.4358,-35.4258,-37.7347,-39.2718,-40.8152,-41.9796,-42.5459,-59.2766,-46.8402,-55.7582,-47.722,-58.5087,-44.9602,-57.3103,-36.2248,-44.75,-33.7407,-46.2854,-38.0942,-47.6311,-35.4721,-48.7202,-39.8114,-44.8489,-35.3485,-46.9631,-47.2751,-45.5264,-35.943,-39.5006,-59.2766,-47.6311,-45.6711,-45.2031,-38.0827,-45.9037,-44.31,-37.7772,-43.2996,-45.1622,-47.4289,-46.7538,-46.8337,-47.0514,-54.9405,-53.5949,-54.1633,-34.6108,-49.4111,-59.9788,-59.2909,-58.8669,-57.5698,-39.3749,-37.3443,-27.5727,-32.7376,-36.1867,-38.1402,-39.8532,-44.4915,-46.2316,-47.0248,-48.3218,-47.1243,-49.3105,-43.0901,-45.8044,-37.4145,-45.2734,-47.7336,-45.9786,-45.9254,-41.6531,-32.7646,-37.0518,-38.9403,-36.2258,-36.6233,-31.6556
gen=0_member=8,1.34414,1.29118,1.46755,1.10049,1.06063,1.11731,1.23993,1.18965,1.10937,1.23707,1.24546,1.20738,0.991738,1.03625,1.15252,1.45792,1.24073,1.16874,1.43899,1.4786,6.17385e+08,-28.9291,-32.9388,-37.0608,-40.9427,-44.2306,-46.226,-48.9292,-55.5535,-55.2857,-53.9255,-40.9151,-33.4089,-29.7052,-35.1152,-38.9709,-42.1542,-45.269,-47.3164,-52.7864,-53.2428,-52.5361,-46.714,-42.4876,-30.8036,-35.2112,-38.0559,-40.3751,-42.6225,-44.0469,-45.1759,-45.8756,-45.8099,-45.3216,-44.2804,-41.8465,-38.6345,-33.6506,-28.0963,-32.0051,-36.8028,-39.8006,-42.5322,-44.5935,-45.8797,-46.9095,-47.3408,-47.3691,-46.9521,-45.9988,-43.9709,-42.3031,-39.7195,-36.1464,-32.2223,-35.7521,-38.3698,-40.3931,-42.8215,-44.4915,-45.6645,-59.3305,-59.3411,-53.9347,-50.6799,-45.8594,-36.049,-31.1488,-34.3051,-37.5476,-39.8127,-41.9935,-43.8217,-45.3926,-45.8869,-27.9661,-33.1998,-37.5377,-40.9359,-44.3795,-30.16,-33.2429,-35.2353,-37.5285,-39.0508,-40.5728,-41.7179,-42.2735,-57.5902,-39.5387,-53.6496,-38.2108,-58.3184,-49.5722,-56.0068,-24.2382,-43.8165,-29.5946,-45.1374,-33.7187,-48.3657,-43.547,-47.8519,-37.5696,-44.1547,-34.0507,-46.934,-47.2469,-45.5002,-35.9212,-39.0679,-57.5902,-48.3657,-45.2143,-44.8491,-37.9057,-45.6461,-43.9786,-37.7471,-43.2612,-45.1197,-47.3845,-46.6988,-46.7657,-46.9789,-54.6725,-53.3431,-53.8803,-34.4219,-49.1454,-59.3547,-58.7482,-58.2483,-56.7471,-39.3669,-37.3317,-27.4876,-32.6757,-36.0374,-37.8144,-39.5276,-44.1292,-45.8554,-46.6522,-47.9278,-46.7422,-48.8926,-42.797,-45.4537,-37.1935,-44.9727,-47.3493,-45.9603,-45.9044,-41.6443,-32.7607,-37.046,-38.927,-36.2097,-36.6195,-31.6501
gen=0_member=9,1.42882,1.29001,1.4284,1.36724,1.08051,1.13396,1.19831,1.1978,1.1098,1.23731,1.2457,1.2076,0.991917,1.03899,1.15774,1.48554,1.22579,1.1694,1.44536,1.49516,6.17783e+08,-28.9379,-32.9496,-37.0747,-40.9628,-44.2579,-46.2592,-48.9722,-55.7794,-55.5998,-54.2622,-41.0871,-33.5444,-29.7642,-35.1842,-39.0469,-42.232,-45.3522,-47.3977,-52.8802,-53.3339,-52.6235,-46.8022,-42.5772,-30.865,-35.2803,-38.1305,-40.4546,-42.708,-44.1334,-45.2525,-45.9495,-45.8781,-45.3811,-44.3299,-41.8888,-38.6717,-33.6833,-28.1271,-32.0148,-36.8129,-39.8112,-42.543,-44.6042,-45.8906,-46.9202,-47.3514,-47.3806,-46.964,-46.0102,-43.9818,-42.3127,-39.7276,-36.1536,-32.225,-35.7547,-38.3722,-40.3955,-42.8241,-44.4941,-45.6669,-59.6247,-59.7987,-54.3272,-51.0172,-46.1523,-36.2876,-31.1622,-34.32,-37.5646,-39.8316,-42.0148,-43.8464,-45.4216,-45.9177,-27.9552,-33.1857,-37.5207,-40.9217,-44.3697,-30.1728,-33.2558,-35.2483,-37.5428,-39.0666,-40.5907,-41.7382,-42.2957,-58.8009,-44.0424,-53.7628,-35.2311,-58.205,-43.6326,-57.1058,-39.8032,-44.1035,-28.555,-45.4464,-32.1298,-47.7075,-36.0413,-47.97,-35.1086,-44.1801,-31.3446,-46.9413,-47.254,-45.5067,-35.9264,-39.1851,-58.8009,-47.7075,-45.3485,-44.9521,-37.9561,-45.7204,-44.0747,-37.7546,-43.2711,-45.1309,-47.3962,-46.7136,-46.7842,-46.9988,-54.7472,-53.4029,-53.9567,-34.4774,-49.2261,-59.6093,-58.9257,-58.5395,-57.259,-39.3676,-37.3338,-27.4929,-32.6919,-36.0486,-37.856,-39.5675,-44.1727,-45.8996,-46.6931,-47.9701,-46.7767,-48.9357,-42.8196,-45.4843,-37.2567,-45.0588,-47.4598,-45.9645,-45.9094,-41.6453,-32.7594,-37.0458,-38.9294,-36.2128,-36.6188,-31.6499
