real_name,hmuni1,hmuni2,hmuni3,hmuni4,hmuni5,hmuni6,hmuni7,hmuni8,hmuni9,hpz01,hpz02,hpz03,hpz04,hpz05,hpz06,hpz07,hpz08,hpz09,hpz10,hpz11,vlens,zert01,zert02,zert03,zert04,zert05,zert06,zert07,zert08,zert09,zert10,zert11,zert12,zert13,zert14,zert15,zert16,zert17,zert18,zert19,zert20,zert21,zert22,zert23,zert24,zert25,zert26,zert27,zert28,zert29,zert30,zert31,zert32,zert33,zert34,zert35,zert36,zert37,zert38,zert39,zert40,zert41,zert42,zert43,zert44,zert45,zert46,zert47,zert48,zert49,zert50,zert51,zert52,zert53,zert54,zert55,zert56,zert57,zert58,zert59,zert60,zert61,zert62,zert63,zert64,zert65,zert66,zert67,zert68,zert69,zert70,zert71,zert72,zert73,zert74,zert75,zert76,zert77,zert78,zert79,zert80,zert81,zert82,zert83,zert84,zert85,zert86,zert87,zmuni1,zmuni1_pct,zmuni2,zmuni2_pct,zmuni3,zmuni3_pct,zmuni4,zmuni4_pct,zmuni5,zmuni5_pct,zmuni6,zmuni6_pct,zmuni7,zmuni7_pct,zmuni8,zmuni8_pct,zmuni9,zmuni9_pct,zpz01,zpz02,zpz03,zpz04,zpz05,zpz07,zpz08,ztdem01,ztdem02,ztdem03,ztdem05,ztdem08,ztdem12,ztdem14,ztdem15,ztdem17,ztdem20,ztdem21,ztdem22,ztdem32,ztdem33,ztdem34,ztdem35,ztdem37,ztdem41,ztdem42,ztdem43,ztdem44,ztdem45,ztdem46,ztdem47,ztdem48,ztdem49,ztdem51,ztdem52,ztdem53,ztdem54,ztdem55,ztdem56,ztdem57,ztdem58,ztdem59,ztdem61,ztdem62,ztdem63,ztdem64,ztdem65,ztdem66,ztdem68,ztdem69,ztdem71,ztdem74,ztdem75,ztdem80,ztdem81
gen=16_member=450_de,1.16581,1.19749,1.18517,1.25638,1.01392,0.970859,1.20621,1.09331,1.11592,1.23611,1.24454,1.20654,0.991086,1.01744,1.13045,1.37124,1.21381,1.16114,1.40518,1.4084,6.12897e+08,-28.4604,-32.4245,-36.4687,-40.2797,-43.4645,-45.3872,-47.9883,-53.8133,-53.5809,-52.3389,-40.0057,-32.678,-29.1068,-34.4395,-38.2218,-41.3526,-44.4116,-46.453,-51.9408,-52.4427,-51.7968,-46.0232,-41.8087,-30.4578,-34.8314,-37.6555,-39.958,-42.1836,-43.6083,-44.7855,-45.497,-45.4567,-45.0117,-44.0208,-41.6224,-38.4361,-33.4738,-27.9281,-31.9469,-36.7437,-39.7392,-42.4707,-44.5326,-45.8182,-46.85,-47.282,-47.3062,-46.888,-45.9377,-43.9131,-42.2522,-39.6768,-36.109,-32.1993,-35.7307,-38.3499,-40.3736,-42.8014,-44.4716,-45.6456,-57.4076,-57.0484,-52.047,-49.0749,-44.4713,-34.9175,-30.9083,-34.0408,-37.261,-39.5152,-41.6876,-43.4906,-45.0132,-45.4861,-27.3866,-32.5282,-36.7477,-40.0174,-43.2605,-29.9358,-33.0284,-35.0289,-37.3099,-38.8195,-40.3206,-41.4418,-41.9795,-53.7901,-22.5817,-51.4605,-27.1688,-53.2121,-23.9407,-54.204,-30.2663,-42.7633,-22.4266,-42.5394,-17.9336,-47.1898,-36.8576,-45.7032,-25.7884,-43.9568,-31.5305,-46.892,-47.2067,-45.4636,-35.8929,-38.2436,-53.7901,-47.1898,-44.5679,-44.3362,-37.6322,-45.2589,-43.4955,-37.708,-43.2082,-45.0601,-47.3202,-46.6197,-46.667,-46.873,-53.8058,-52.4911,-53.0429,-34.014,-48.5051,-57.1144,-56.9319,-54.885,-54.3648,-39.3547,-37.3131,-27.3935,-32.5836,-35.8747,-37.3612,-39.079,-43.6278,-45.3352,-46.1535,-47.3994,-46.2975,-48.3344,-42.4936,-45.0594,-36.8138,-44.469,-46.7214,-45.9346,-45.8749,-41.6308,-32.7527,-37.0364,-38.9074,-36.1862,-36.6139,-31.6427
gen=16_member=451_de,1.06658,1.33439,1.14778,1.17213,1.08036,1.12645,1.22492,1.15792,1.10787,1.23717,1.24556,1.20747,0.991824,1.03594,1.15559,1.33918,1.22492,1.16253,1.40198,1.39044,6.14766e+08,-28.6445,-32.6273,-36.7046,-40.5426,-43.7689,-45.7183,-48.3474,-54.4937,-53.9196,-52.545,-40.1705,-32.8179,-29.6041,-35.0069,-38.8463,-41.9991,-45.0876,-47.1009,-52.5307,-52.9638,-52.226,-46.2896,-42.0376,-30.8185,-35.2304,-38.0791,-40.4021,-42.654,-44.0796,-45.2038,-45.9014,-45.8321,-45.3401,-44.2951,-41.858,-38.6436,-33.6569,-28.0999,-32.0079,-36.8058,-39.8038,-42.5355,-44.5969,-45.8832,-46.913,-47.3444,-47.3731,-46.9563,-46.003,-43.9752,-42.3071,-39.7233,-36.1502,-32.2225,-35.7523,-38.37,-40.3933,-42.8218,-44.4918,-45.6648,-57.2411,-56.6532,-51.7825,-48.85,-44.2936,-34.7822,-30.9875,-34.1272,-37.3523,-39.6066,-41.7777,-43.5865,-45.1306,-45.6142,-27.6258,-32.8085,-37.0823,-40.4141,-43.7579,-30.0094,-33.0979,-35.0954,-37.3801,-38.8938,-40.4018,-41.5322,-42.0776,-52.3779,-15.7499,-53.5049,-38.4813,-52.5786,-21.2767,-53.8455,-24.1125,-44.0237,-28.3047,-45.2302,-31.1793,-47.6743,-39.0161,-46.923,-31.4006,-43.9318,-30.7365,-46.9363,-47.2493,-45.5026,-35.9237,-39.0544,-52.3779,-47.6743,-45.2741,-44.8904,-37.9158,-45.6689,-44.0163,-37.7509,-43.2652,-45.1239,-47.3884,-46.704,-46.772,-46.9856,-54.1298,-52.8395,-53.4492,-34.3135,-48.8978,-57.0007,-56.9951,-54.4343,-54.075,-39.3662,-37.3318,-27.4268,-32.6805,-35.9295,-37.5558,-39.2666,-43.8329,-45.543,-46.3425,-47.5942,-46.448,-48.5313,-42.5914,-45.1923,-37.1855,-44.9738,-47.3651,-45.9617,-45.9061,-41.6438,-32.7582,-37.0446,-38.9272,-36.2101,-36.6185,-31.6493
gen=16_member=452_de,1.20247,1.27983,1.28004,0.868247,1.06369,0.920246,1.18002,1.05292,0.951244,1.23618,1.24462,1.20661,0.991145,1.01557,1.13624,1.38439,1.20036,1.11071,1.40665,1.41726,6.11609e+08,-27.9512,-31.8749,-35.8766,-39.6246,-42.7895,-44.7162,-47.3558,-54.0944,-53.6647,-52.3506,-40.044,-32.7103,-29.0205,-34.3387,-38.1033,-41.219,-44.2654,-46.3077,-51.8233,-52.3428,-51.7181,-45.9752,-41.7688,-30.4755,-34.8555,-37.6864,-39.9962,-42.2309,-43.6586,-44.8284,-45.5367,-45.491,-45.0404,-44.0439,-41.6412,-38.4519,-33.4867,-27.9393,-31.9518,-36.7487,-39.7444,-42.4759,-44.5377,-45.8233,-46.855,-47.2869,-47.3114,-46.8932,-45.9426,-43.9176,-42.256,-39.6798,-36.1114,-32.2015,-35.7327,-38.3518,-40.3754,-42.8032,-44.4733,-45.6472,-57.4746,-57.2339,-52.1425,-49.1635,-44.5394,-34.9699,-30.3338,-33.3851,-36.4856,-38.6215,-40.6697,-42.3617,-43.9675,-44.5056,-26.9993,-32.1145,-36.3038,-39.5355,-42.7356,-29.3986,-32.4908,-34.5017,-36.7415,-38.2166,-39.6716,-40.7717,-41.3155,-54.3708,-25.2036,-52.5566,-33.7143,-54.3955,-30.9074,-53.1607,-4.09157,-43.2226,-26.6759,-41.7957,-14.1236,-46.602,-34.1181,-44.7734,-22.4915,-40.7712,-17.2094,-46.8954,-47.2098,-45.4663,-35.8944,-38.1631,-54.3708,-46.602,-44.6682,-44.4019,-37.6504,-45.2942,-43.5542,-37.7105,-43.2122,-45.0648,-47.3255,-46.6264,-46.6755,-46.8822,-53.7109,-52.3812,-52.9398,-33.9809,-48.4433,-57.2503,-56.906,-55.3477,-54.3195,-39.356,-37.3149,-27.183,-32.5911,-35.5032,-37.1461,-38.8056,-43.2865,-44.9366,-45.6312,-46.8005,-45.4558,-47.6074,-41.7264,-44.2582,-36.8131,-44.4729,-46.7354,-45.9364,-45.8769,-41.6322,-32.7538,-37.0376,-38.9092,-36.1884,-36.6134,-31.642
gen=16_member=453_de,1.36748,1.00865,1.44541,1.06108,1.04897,0.910975,1.19811,1.15355,1.02546,1.23626,1.2447,1.20669,0.991221,1.01571,1.13384,1.45276,1.21681,1.1364,1.42858,1.46733,6.12952e+08,-28.4081,-32.3752,-36.4401,-40.2495,-43.4753,-45.4327,-48.0868,-53.434,-53.7057,-52.6042,-40.0885,-32.7306,-29.0853,-34.4081,-38.1838,-41.3211,-44.3843,-46.4499,-51.9821,-52.515,-51.9078,-46.2313,-42.038,-30.4532,-34.8303,-37.6584,-39.9654,-42.1966,-43.6236,-44.7978,-45.5079,-45.4652,-45.018,-44.025,-41.6249,-38.4372,-33.4735,-27.9268,-31.9439,-36.7414,-39.7372,-42.469,-44.531,-45.8167,-46.8485,-47.2805,-47.3047,-46.8865,-45.9359,-43.911,-42.2498,-39.6739,-36.1056,-32.1962,-35.7281,-38.3475,-40.3713,-42.7993,-44.4696,-45.6436,-58.7071,-58.7836,-53.2957,-50.1465,-45.367,-35.63,-30.6673,-33.7644,-36.9242,-39.1114,-41.2056,-42.941,-44.4997,-45.0037,-27.4802,-32.6654,-36.9451,-40.2825,-43.6478,-29.7074,-32.7912,-34.7895,-37.0463,-38.5349,-40.0082,-41.1125,-41.6482,-57.3566,-37.9223,-48.9136,-13.6043,-57.3628,-44.9215,-54.844,-16.669,-43.0499,-25.3523,-41.6699,-13.4195,-47.3051,-36.0099,-46.8026,-30.9665,-42.3017,-23.2028,-46.8901,-47.2048,-45.4614,-35.8895,-38.1558,-57.3566,-47.3051,-44.6098,-44.3594,-37.6338,-45.2672,-43.5148,-37.7048,-43.2059,-45.0582,-47.3188,-46.6185,-46.6663,-46.8726,-54.0649,-52.7191,-53.2202,-34.0393,-48.5908,-58.5106,-57.8933,-57.3866,-55.8071,-39.3526,-37.3107,-27.2887,-32.5813,-35.6934,-37.1408,-38.8474,-43.3686,-45.0611,-45.8508,-47.0756,-45.8792,-47.9798,-42.1163,-44.6564,-36.8079,-44.4589,-46.7086,-45.9324,-45.8727,-41.6288,-32.7507,-37.0344,-38.9051,-36.1836,-36.6107,-31.639
gen=16_member=454_de,1.20679,1.12065,1.29336,1.14379,1.07092,0.955229,1.16992,1.10571,0.976676,1.2364,1.24482,1.2068,0.991302,1.01936,1.14044,1.38817,1.19893,1.11849,1.409,1.42108,6.11879e+08,-28.0935,-32.0307,-36.0529,-39.8187,-43.0013,-44.9345,-47.5657,-53.4247,-53.3946,-52.2218,-39.9031,-32.5882,-29.1273,-34.461,-38.2393,-41.362,-44.417,-46.4556,-51.9626,-52.4692,-51.8275,-46.0597,-41.8477,-30.5422,-34.9289,-37.7639,-40.0769,-42.3157,-43.7433,-44.9039,-45.6101,-45.5596,-45.1007,-44.0945,-41.6851,-38.491,-33.5218,-27.9728,-31.9623,-36.7595,-39.7558,-42.4874,-44.5492,-45.8351,-46.8665,-47.2983,-47.3238,-46.9061,-45.955,-43.9297,-42.267,-39.6894,-36.1203,-32.2047,-35.7358,-38.3546,-40.3782,-42.8062,-44.4763,-45.65,-57.5889,-57.3605,-52.2931,-49.2797,-44.6357,-35.0437,-30.4282,-33.4923,-36.6092,-38.7588,-40.8168,-42.5158,-44.0938,-44.6151,-27.15,-32.2881,-36.509,-39.7826,-43.0521,-29.4856,-32.5732,-34.5784,-36.8206,-38.2969,-39.753,-40.8483,-41.3844,-54.5336,-25.5245,-50.2508,-21.4443,-54.7092,-31.9436,-54.1124,-22.1824,-43.413,-27.344,-42.4021,-16.7553,-46.5368,-33.1462,-45.714,-26.7864,-41.2674,-19.2131,-46.9034,-47.2177,-45.4737,-35.9011,-38.3282,-54.5336,-46.5368,-44.7926,-44.5009,-37.704,-45.3695,-43.6475,-37.7197,-43.2235,-45.0771,-47.3381,-46.6422,-46.695,-46.9029,-53.8121,-52.4832,-53.0511,-34.0486,-48.5407,-57.3475,-56.9875,-55.6101,-54.6598,-39.3569,-37.3174,-27.2068,-32.6083,-35.5461,-37.0381,-38.7191,-43.2057,-44.8703,-45.6105,-46.798,-45.5289,-47.6419,-41.8156,-44.3307,-36.887,-44.5711,-46.8586,-45.9414,-45.8828,-41.6335,-32.7529,-37.0376,-38.912,-36.1919,-36.6138,-31.6432
gen=16_member=455_de,1.12607,0.535456,1.00923,0.931229,1.10344,0.821625,1.11699,0.974942,0.964876,1.23592,1.24436,1.20638,0.990973,1.00603,1.13479,1.31626,1.15864,1.09584,1.37073,1.3479,6.05095e+08,-27.2641,-31.1204,-35.0116,-38.6401,-41.6431,-43.447,-45.8848,-48.1187,-49.0226,-48.4024,-37.6885,-30.8053,-28.6235,-33.8916,-37.598,-40.6554,-43.6489,-45.6653,-51.1945,-51.735,-51.1363,-45.3697,-41.1606,-30.365,-34.7402,-37.5717,-39.8842,-42.1216,-43.5529,-44.7319,-45.4408,-45.3979,-44.9569,-43.9726,-41.5781,-38.3947,-33.434,-27.8865,-31.9359,-36.7325,-39.7275,-42.459,-44.5209,-45.8064,-46.8386,-47.2706,-47.2939,-46.8754,-45.9254,-43.9011,-42.2414,-39.6672,-36.1001,-32.1953,-35.7269,-38.3463,-40.37,-42.7976,-44.4678,-45.6419,-55.2629,-54.8088,-49.6056,-47.0775,-42.6799,-33.4333,-29.8938,-32.9001,-35.9501,-38.0489,-40.049,-41.6564,-43.1162,-43.5896,-26.2242,-31.2272,-35.2757,-38.3586,-41.3436,-28.9847,-32.0813,-34.0947,-36.2978,-37.7344,-39.1281,-40.1538,-40.639,-51.3893,-19.5583,-39.1965,16.8125,-48.3422,-11.5718,-49.5139,-7.54568,-43.3611,-30.3224,-40.0879,-7.0197,-44.7762,-28.1714,-42.5395,-16.406,-40.3868,-18.1837,-46.8837,-47.1986,-45.4558,-35.8859,-37.748,-51.3893,-44.7762,-44.5437,-44.2865,-37.5667,-45.1891,-43.4418,-37.6989,-43.1971,-45.048,-47.3077,-46.6045,-46.6483,-46.8532,-52.8869,-51.5684,-52.1997,-33.717,-47.9629,-54.1906,-54.2667,-51.1138,-50.6918,-39.3526,-37.3099,-26.982,-32.5653,-35.1492,-35.7653,-37.482,-41.8441,-43.4796,-44.3135,-45.4485,-44.4018,-46.2591,-41.0464,-43.3232,-36.6586,-44.2785,-46.5101,-45.929,-45.8685,-41.6285,-32.7521,-37.035,-38.9039,-36.1821,-36.6113,-31.6395
gen=16_member=456_de,0.891867,0.735599,1.13803,0.541085,1.06754,0.717381,1.16544,1.10271,0.829353,1.23532,1.24379,1.20586,0.990565,0.994958,1.12013,1.24354,1.18179,1.06068,1.35998,1.31357,6.04503e+08,-27.3048,-31.1738,-35.1095,-38.7506,-41.8311,-43.6949,-46.2125,-49.1465,-49.5303,-48.6885,-37.9021,-30.9835,-28.3626,-33.5859,-37.2572,-40.3041,-43.2757,-45.3092,-50.8332,-51.4053,-50.8475,-45.1383,-40.9386,-30.1539,-34.5066,-37.3237,-39.6241,-41.8461,-43.2769,-44.487,-45.2038,-45.1779,-44.7648,-43.8127,-41.4411,-38.2744,-33.3282,-27.7876,-31.8999,-36.6961,-39.6897,-42.4212,-44.4836,-45.7687,-46.8023,-47.2348,-47.2556,-46.8365,-45.8886,-43.8666,-42.2112,-39.6423,-36.0788,-32.1807,-35.7133,-38.3337,-40.3577,-42.785,-44.4553,-45.6301,-54.8902,-53.9941,-49.207,-46.6933,-42.3716,-33.1922,-29.6378,-32.5982,-35.5675,-37.5752,-39.4723,-40.9988,-42.5481,-43.0841,-26.481,-31.5624,-35.7203,-38.9294,-42.1347,-28.744,-31.8282,-33.8397,-36.0157,-37.4308,-38.7985,-39.8184,-40.3165,-48.1921,-4.11951,-42.6333,4.46608,-49.8227,-20.2268,-48.4048,16.1233,-42.6421,-26.906,-38.2054,0.137186,-45.7911,-32.5931,-44.8743,-26.4061,-37.8991,-8.05852,-46.858,-47.1742,-45.4339,-35.8699,-37.2611,-48.1921,-45.7911,-44.1287,-43.9614,-37.4006,-44.9481,-43.1365,-37.6764,-43.1655,-45.0122,-47.2686,-46.5564,-46.5881,-46.7883,-52.6896,-51.3967,-51.9588,-33.5224,-47.6956,-54.2045,-54.4368,-51.2803,-50.4404,-39.3445,-37.298,-26.884,-32.5087,-34.9738,-35.8558,-37.528,-41.8707,-43.4751,-44.207,-45.3033,-44.0279,-46.0401,-40.6521,-42.9506,-36.4355,-43.9754,-46.1236,-45.9135,-45.8508,-41.6197,-32.7459,-37.0283,-38.8915,-36.1672,-36.6077,-31.6349
gen=16_member=457_de,1.29388,1.04493,1.20385,1.21727,1.18359,1.21109,1.17975,1.13541,1.08503,1.2382,1.24655,1.20838,0.992528,1.05019,1.18226,1.41401,1.20771,1.15176,1.41732,1.43306,6.14956e+08,-28.4487,-32.414,-36.4671,-40.2751,-43.4732,-45.4048,-48.0116,-53.034,-53.13,-52.0211,-39.7925,-32.5,-29.9573,-35.4092,-39.2843,-42.4472,-45.5572,-47.5562,-52.9963,-53.3992,-52.6192,-46.6236,-42.3609,-31.1482,-35.599,-38.4752,-40.8228,-43.1059,-44.5353,-45.6078,-46.291,-46.1922,-45.6547,-44.5579,-42.0839,-38.8432,-33.8345,-28.2683,-32.0655,-36.8644,-39.8648,-42.5967,-44.6575,-45.9445,-46.9723,-47.4029,-47.4359,-47.0203,-46.0639,-44.0325,-42.3572,-39.7648,-36.1858,-32.2442,-35.7725,-38.3887,-40.4115,-42.8407,-44.5105,-45.6824,-57.9262,-57.7826,-52.3689,-49.3935,-44.7257,-35.1178,-30.8093,-33.9273,-37.1228,-39.3493,-41.4872,-43.2573,-44.7777,-45.255,-27.4436,-32.6056,-36.8535,-40.157,-43.4638,-29.8416,-32.9286,-34.9262,-37.1948,-38.6931,-40.1784,-41.286,-41.8168,-55.6666,-31.9704,-49.133,-16.0773,-53.6116,-25.2986,-54.0933,-27.3693,-45.5034,-40.1706,-46.8081,-41.1799,-46.9187,-34.1461,-46.4076,-29.3611,-43.3658,-28.5083,-46.9778,-47.2889,-45.5384,-35.9503,-39.6793,-55.6666,-46.9187,-45.9756,-45.4313,-38.1842,-46.0603,-44.5219,-37.7884,-43.3176,-45.1833,-47.4526,-46.7834,-46.8716,-47.0925,-54.4592,-53.1433,-53.8101,-34.5812,-49.2609,-57.4215,-57.1398,-55.2788,-54.5209,-39.3765,-37.349,-27.3465,-32.7721,-35.7897,-37.1502,-38.873,-43.404,-45.1081,-45.9359,-47.1757,-46.0743,-48.1082,-42.3169,-44.8503,-37.516,-45.4228,-47.9405,-45.9863,-45.9346,-41.6555,-32.7624,-37.0516,-38.9454,-36.2324,-36.6219,-31.6548
gen=16_member=458_de,1.36773,0.713449,1.37728,1.12077,1.0003,0.6846,1.13214,1.16507,1.10698,1.23494,1.24342,1.20552,0.990299,0.991143,1.10634,1.4396,1.18583,1.15495,1.41613,1.45067,6.10195e+08,-28.4145,-32.3785,-36.4282,-40.2342,-43.4232,-45.344,-47.9209,-51.3747,-52.1928,-51.3471,-39.3181,-32.105,-28.3935,-33.6154,-37.3023,-40.3927,-43.4005,-45.4897,-51.086,-51.7043,-51.209,-45.7002,-41.5455,-30.0246,-34.3582,-37.1603,-39.4467,-41.6513,-43.0791,-44.3138,-45.0386,-45.0277,-44.6348,-43.7048,-41.3492,-38.1938,-33.2573,-27.7216,-31.8755,-36.6714,-39.6641,-42.3956,-44.4581,-45.7429,-46.7772,-47.2099,-47.2289,-46.8091,-45.8623,-43.8414,-42.1889,-39.6232,-36.0617,-32.1714,-35.7049,-38.3259,-40.3502,-42.7771,-44.4476,-45.6228,-58.0465,-58.1222,-52.5923,-49.5569,-44.834,-35.1848,-30.7995,-33.919,-37.1181,-39.3487,-41.486,-43.2467,-44.7196,-45.1722,-27.3608,-32.5124,-36.7524,-40.0636,-43.3881,-29.831,-32.9156,-34.9093,-37.1729,-38.665,-40.1398,-41.2298,-41.7436,-56.7941,-37.87,-43.8519,5.6629,-55.8495,-38.6994,-53.9272,-20.5722,-41.7933,-21.1665,-37.6069,2.33743,-45.9597,-29.6567,-46.7529,-32.0099,-43.665,-30.6039,-46.8403,-47.1571,-45.4181,-35.8569,-37.088,-56.7941,-45.9597,-43.8054,-43.7218,-37.2966,-44.7869,-42.9144,-37.6586,-43.1424,-44.9864,-47.2413,-46.5227,-46.5462,-46.7435,-53.408,-52.0478,-52.4996,-33.6064,-47.9702,-57.6525,-57.1334,-56.2842,-54.8281,-39.3409,-37.291,-27.3259,-32.4707,-35.7558,-36.7924,-38.546,-43.0615,-44.7773,-45.6717,-46.9227,-45.9377,-47.8901,-42.2595,-44.7337,-36.3421,-43.8324,-45.918,-45.9026,-45.8382,-41.6154,-32.7467,-37.0267,-38.8839,-36.1578,-36.6063,-31.6323
gen=16_member=459_de,1.24828,1.41908,1.44626,1.17859,1.05557,1.17766,1.20811,1.1383,1.07379,1.23729,1.24568,1.20757,0.991894,1.04057,1.15569,1.42616,1.22472,1.15722,1.43138,1.45986,6.16995e+08,-28.7016,-32.6923,-36.7858,-40.6429,-43.9065,-45.8919,-48.5985,-56.1461,-55.6366,-54.1813,-41.079,-33.5437,-29.7821,-35.2113,-39.0807,-42.2631,-45.3825,-47.4125,-52.8684,-53.3011,-52.5643,-46.6791,-42.4399,-30.8683,-35.2819,-38.1297,-40.4509,-42.7008,-44.1245,-45.2454,-45.9433,-45.8734,-45.3774,-44.327,-41.8864,-38.6695,-33.6812,-28.1248,-32.0149,-36.8129,-39.8111,-42.5428,-44.604,-45.8903,-46.9198,-47.351,-47.38,-46.9632,-46.0093,-43.9807,-42.3116,-39.7264,-36.1522,-32.2257,-35.7554,-38.3729,-40.3962,-42.8248,-44.4947,-45.6675,-58.8755,-58.7527,-53.7026,-50.4531,-45.6808,-35.9099,-30.9896,-34.126,-37.3427,-39.5859,-41.7482,-43.5602,-45.1596,-45.6727,-27.7127,-32.9105,-37.2013,-40.5468,-43.9064,-30.0122,-33.1007,-35.1004,-37.3876,-38.9054,-40.4215,-41.5679,-42.13,-56.1914,-28.7084,-55.4464,-47.4162,-57.9349,-45.1319,-56.2226,-24.927,-43.9073,-26.0907,-46.0519,-36.5945,-47.6585,-37.1421,-46.84,-29.6721,-43.45,-27.506,-46.9412,-47.2538,-45.5063,-35.9254,-39.2538,-56.1914,-47.6585,-45.323,-44.9385,-37.9552,-45.7163,-44.0635,-37.7533,-43.2701,-45.1299,-47.3956,-46.7126,-46.7831,-46.9977,-54.5914,-53.2649,-53.854,-34.4659,-49.1813,-59.0348,-58.4602,-57.9203,-56.6506,-39.3688,-37.3346,-27.4372,-32.6918,-35.9511,-37.8624,-39.5503,-44.1363,-45.8423,-46.5879,-47.8376,-46.5692,-48.7549,-42.6256,-45.2884,-37.2647,-45.0709,-47.4746,-45.9646,-45.9093,-41.6464,-32.7617,-37.0474,-38.9301,-36.2134,-36.6208,-31.6515
