real_name,hmuni1,hmuni2,hmuni3,hmuni4,hmuni5,hmuni6,hmuni7,hmuni8,hmuni9,hpz01,hpz02,hpz03,hpz04,hpz05,hpz06,hpz07,hpz08,hpz09,hpz10,hpz11,vlens,zert01,zert02,zert03,zert04,zert05,zert06,zert07,zert08,zert09,zert10,zert11,zert12,zert13,zert14,zert15,zert16,zert17,zert18,zert19,zert20,zert21,zert22,zert23,zert24,zert25,zert26,zert27,zert28,zert29,zert30,zert31,zert32,zert33,zert34,zert35,zert36,zert37,zert38,zert39,zert40,zert41,zert42,zert43,zert44,zert45,zert46,zert47,zert48,zert49,zert50,zert51,zert52,zert53,zert54,zert55,zert56,zert57,zert58,zert59,zert60,zert61,zert62,zert63,zert64,zert65,zert66,zert67,zert68,zert69,zert70,zert71,zert72,zert73,zert74,zert75,zert76,zert77,zert78,zert79,zert80,zert81,zert82,zert83,zert84,zert85,zert86,zert87,zmuni1,zmuni1_pct,zmuni2,zmuni2_pct,zmuni3,zmuni3_pct,zmuni4,zmuni4_pct,zmuni5,zmuni5_pct,zmuni6,zmuni6_pct,zmuni7,zmuni7_pct,zmuni8,zmuni8_pct,zmuni9,zmuni9_pct,zpz01,zpz02,zpz03,zpz04,zpz05,zpz07,zpz08,ztdem01,ztdem02,ztdem03,ztdem05,ztdem08,ztdem12,ztdem14,ztdem15,ztdem17,ztdem20,ztdem21,ztdem22,ztdem32,ztdem33,ztdem34,ztdem35,ztdem37,ztdem41,ztdem42,ztdem43,ztdem44,ztdem45,ztdem46,ztdem47,ztdem48,ztdem49,ztdem51,ztdem52,ztdem53,ztdem54,ztdem55,ztdem56,ztdem57,ztdem58,ztdem59,ztdem61,ztdem62,ztdem63,ztdem64,ztdem65,ztdem66,ztdem68,ztdem69,ztdem71,ztdem74,ztdem75,ztdem80,ztdem81
gen=4_member=90_de,1.24688,1.18294,1.30349,1.05521,1.04569,0.978093,1.23125,1.19193,1.1004,1.23643,1.24485,1.20683,0.991313,1.02148,1.13815,1.40829,1.23125,1.16151,1.41873,1.43686,6.14356e+08,-28.7366,-32.7295,-36.826,-40.6771,-43.9281,-45.8944,-48.5438,-54.1228,-53.9302,-52.6715,-40.1978,-32.8309,-29.2585,-34.6051,-38.4019,-41.5483,-44.6205,-46.6726,-52.1602,-52.6601,-52.0101,-46.2496,-42.0362,-30.5476,-34.9319,-37.7636,-40.0729,-42.3071,-43.7329,-44.8954,-45.6028,-45.5541,-45.0965,-44.0911,-41.6823,-38.4883,-33.5192,-27.97,-31.961,-36.7583,-39.7546,-42.4862,-44.548,-45.8338,-46.8651,-47.2969,-47.3222,-46.9043,-45.9531,-43.9275,-42.2647,-39.687,-36.1176,-32.2038,-35.7349,-38.3539,-40.3775,-42.8055,-44.4757,-45.6494,-58.2174,-57.9932,-52.6805,-49.6275,-44.9397,-35.2951,-30.999,-34.1389,-37.3604,-39.6075,-41.7666,-43.5656,-45.1066,-45.5898,-27.7626,-32.9728,-37.2834,-40.657,-44.0702,-30.0188,-33.1021,-35.0954,-37.3765,-38.8868,-40.3904,-41.5157,-42.0575,-55.4096,-40.4519,-51.5012,-39.989,-55.2091,-42.5481,-54.2808,-33.789,-43.202,-36.1702,-42.7818,-29.4718,-47.948,-51.2177,-47.6105,-45.2268,-43.8273,-41.7536,-46.9022,-47.2165,-45.4724,-35.8991,-38.4159,-55.4096,-47.948,-44.7621,-44.4847,-37.7036,-45.365,-43.6341,-37.7171,-43.2213,-45.0751,-47.3366,-46.6402,-46.6929,-46.9009,-54.1176,-52.8001,-53.3171,-34.1199,-48.6845,-57.9902,-57.6881,-56.1083,-55.0479,-39.3565,-37.3167,-27.4197,-32.6071,-35.9208,-37.4675,-39.1888,-43.7564,-45.4737,-46.2926,-47.553,-46.4215,-48.5075,-42.5728,-45.165,-36.9064,-44.5931,-46.878,-45.9404,-45.8817,-41.6331,-32.7528,-37.0374,-38.9113,-36.1911,-36.6136,-31.6427
gen=4_member=91_de,1.44741,1.42333,1.33768,1.3957,1.10307,1.09274,1.21481,1.15164,1.08624,1.23731,1.24569,1.20759,0.991917,1.03657,1.15894,1.48728,1.22997,1.16228,1.44399,1.49299,6.17595e+08,-28.8167,-32.8164,-36.9235,-40.7951,-44.0744,-46.0697,-48.7886,-56.3702,-55.909,-54.4757,-41.2503,-33.6816,-29.69,-35.0963,-38.9453,-42.1216,-45.2321,-47.2805,-52.7723,-53.2384,-52.5431,-46.7425,-42.5219,-30.8466,-35.2624,-38.1143,-40.4408,-42.6971,-44.1239,-45.2431,-45.9395,-45.8674,-45.371,-44.3211,-41.8808,-38.6644,-33.6767,-28.1207,-32.0119,-36.8101,-39.8084,-42.5402,-44.6015,-45.8879,-46.9175,-47.3489,-47.378,-46.9613,-46.0076,-43.9793,-42.3104,-39.7257,-36.1518,-32.223,-35.7527,-38.3703,-40.3936,-42.8223,-44.4923,-45.6651,-59.535,-59.7197,-54.2409,-50.9546,-46.1056,-36.2547,-31.0784,-34.224,-37.453,-39.7069,-41.8801,-43.7043,-45.3035,-45.8142,-27.8328,-33.0451,-37.3546,-40.7208,-44.1111,-30.0958,-33.1821,-35.1793,-37.471,-38.993,-40.5154,-41.6666,-42.2306,-58.881,-46.406,-55.6375,-48.9344,-57.0643,-37.0502,-57.0616,-43.3495,-44.2554,-31.7109,-44.8324,-29.4435,-47.8955,-38.6839,-47.1799,-31.9676,-43.7406,-30.088,-46.9392,-47.2519,-45.5048,-35.9247,-39.0797,-58.881,-47.8955,-45.3479,-44.9446,-37.9438,-45.7074,-44.066,-37.7527,-43.2688,-45.1283,-47.3935,-46.7105,-46.7805,-46.9948,-54.6763,-53.3318,-53.8752,-34.4321,-49.1564,-59.4492,-58.819,-58.0538,-57.0728,-39.3655,-37.3319,-27.4731,-32.6879,-36.0095,-37.9477,-39.6397,-44.2386,-45.9519,-46.705,-47.9653,-46.7053,-48.8975,-42.7361,-45.4141,-37.2261,-45.0204,-47.4159,-45.9628,-45.9076,-41.6434,-32.7562,-37.0434,-38.9274,-36.2108,-36.6173,-31.6486
gen=4_member=92_de,1.36592,1.2748,1.31447,1.19262,1.07695,1.00484,1.17184,1.18785,1.07638,1.2367,1.24512,1.20707,0.991512,1.02581,1.14638,1.45137,1.20974,1.15603,1.42963,1.4652,6.15343e+08,-28.6993,-32.6906,-36.7874,-40.6429,-43.9066,-45.8873,-48.5695,-54.9985,-54.7166,-53.3973,-40.6186,-33.1706,-29.3625,-34.7248,-38.5333,-41.6834,-44.7649,-46.8149,-52.3222,-52.8181,-52.1623,-46.4054,-42.195,-30.6499,-35.046,-37.886,-40.2028,-42.4466,-43.8735,-45.02,-45.7229,-45.6651,-45.1933,-44.1719,-41.7515,-38.5493,-33.5731,-28.0207,-31.9799,-36.7773,-39.7742,-42.5058,-44.5674,-45.8533,-46.884,-47.3156,-47.3422,-46.9247,-45.9726,-43.9461,-42.2811,-39.7009,-36.13,-32.2119,-35.7425,-38.3609,-40.3843,-42.8125,-44.4826,-45.6559,-58.7711,-58.8012,-53.3814,-50.2264,-45.4611,-35.722,-30.9626,-34.0951,-37.3057,-39.5419,-41.6922,-43.488,-45.0597,-45.5604,-27.7105,-32.9122,-37.2132,-40.5827,-43.9888,-29.986,-33.0703,-35.0662,-37.3464,-38.8569,-40.3621,-41.4944,-42.045,-57.3065,-37.9833,-53.104,-33.4353,-55.9651,-33.7497,-55.4319,-25.6596,-43.6633,-27.6656,-43.2997,-20.4671,-47.0086,-33.0203,-47.5391,-33.8379,-43.4388,-27.6964,-46.9157,-47.2294,-45.4841,-35.9083,-38.6102,-57.3065,-47.0086,-44.9794,-44.6518,-37.7861,-45.4858,-43.7902,-37.73,-43.2383,-45.0942,-47.357,-46.6652,-46.724,-46.9343,-54.2581,-52.9168,-53.4569,-34.2147,-48.8236,-58.5966,-58.1145,-56.9545,-55.9119,-39.3614,-37.3234,-27.4162,-32.6362,-35.911,-37.6183,-39.3222,-43.8935,-45.6028,-46.3837,-47.6355,-46.4295,-48.5676,-42.545,-45.1648,-37.0102,-44.7337,-47.0579,-45.9487,-45.8912,-41.6382,-32.7573,-37.0417,-38.9182,-36.1992,-36.6151,-31.6448
gen=4_member=93_de,1.51916,1.17348,1.5031,1.33186,1.10423,1.12579,1.23921,1.23426,1.08267,1.23749,1.24587,1.20776,0.992047,1.04078,1.16239,1.51916,1.24538,1.16255,1.45605,1.5186,6.18334e+08,-29.0081,-33.0266,-37.1692,-41.0617,-44.3792,-46.3958,-49.1258,-55.3977,-55.4921,-54.2441,-41.0424,-33.5023,-29.8512,-35.2761,-39.1452,-42.3404,-45.4681,-47.5242,-53.0103,-53.4679,-52.7613,-46.9626,-42.7414,-30.9158,-35.3371,-38.1918,-40.5202,-42.7791,-44.2053,-45.316,-46.0105,-45.9341,-45.4299,-44.3705,-41.9236,-38.7023,-33.7104,-28.1528,-32.0236,-36.8218,-39.8206,-42.5523,-44.6135,-45.9,-46.9292,-47.3604,-47.3903,-46.9739,-46.0196,-43.9907,-42.3205,-39.7342,-36.1593,-32.2277,-35.7571,-38.3744,-40.3975,-42.8263,-44.4962,-45.6689,-60.2225,-60.5463,-54.79,-51.4281,-46.4938,-36.5599,-31.1202,-34.2686,-37.495,-39.7398,-41.8947,-43.7018,-45.2819,-45.7847,-28.115,-33.3806,-37.7618,-41.2089,-44.7356,-30.1325,-33.2086,-35.1969,-37.4821,-38.9977,-40.5111,-41.6503,-42.2043,-60.2782,-37.1468,-52.1678,-12.2818,-59.4273,-39.5108,-57.3621,-22.3004,-44.3903,-15.9601,-45.4101,-18.6917,-48.5692,-28.7841,-48.6989,-30.797,-43.7149,-15.4657,-46.9475,-47.2599,-45.5121,-35.9304,-39.2645,-60.2782,-48.5692,-45.4622,-45.0382,-37.9969,-45.7809,-44.1549,-37.7606,-43.2793,-45.1401,-47.4061,-46.7259,-46.7997,-47.0154,-54.9708,-53.6237,-54.1446,-34.541,-49.3402,-60.1489,-59.3481,-59.3569,-57.7416,-39.368,-37.3357,-27.4698,-32.7062,-36.0037,-37.7456,-39.4607,-44.0589,-45.7859,-46.5847,-47.8612,-46.6564,-48.8294,-42.7182,-45.3685,-37.306,-45.1248,-47.5427,-45.9679,-45.9134,-41.646,-32.7576,-37.0453,-38.9314,-36.2156,-36.618,-31.6497
gen=4_member=94_de,1.47011,1.33734,1.43734,1.18525,1.11407,1.2111,1.24597,1.2358,1.16383,1.23787,1.24623,1.20808,0.992291,1.04913,1.17082,1.50182,1.24921,1.18852,1.45274,1.5065,6.19836e+08,-29.2636,-33.3018,-37.4635,-41.3909,-44.72,-46.7385,-49.4637,-56.1579,-55.8335,-54.4343,-41.2243,-33.6602,-30.0803,-35.5393,-39.4372,-42.6442,-45.7873,-47.8287,-53.2831,-53.705,-52.9517,-47.0694,-42.8291,-31.0635,-35.4986,-38.3612,-40.6957,-42.9625,-44.388,-45.4791,-46.1689,-46.0823,-45.5603,-44.4801,-42.0185,-38.7866,-33.7858,-28.2247,-32.0492,-36.8477,-39.8473,-42.579,-44.6399,-45.9266,-46.9549,-47.3857,-47.4173,-47.0013,-46.0457,-44.0153,-42.3421,-39.7522,-36.1749,-32.2386,-35.7672,-38.3838,-40.4067,-42.8357,-44.5055,-45.6777,-60.0535,-60.2484,-54.5299,-51.2168,-46.3233,-36.4294,-31.4362,-34.6285,-37.9199,-40.2298,-42.4572,-44.3335,-45.8954,-46.3763,-28.2881,-33.5584,-37.9422,-41.3934,-44.9135,-30.4293,-33.5093,-35.4957,-37.8079,-39.3472,-40.8933,-42.0553,-42.6163,-59.5164,-44.264,-54.5815,-35.1922,-58.4719,-41.0807,-56.7478,-19.0261,-44.7542,-28.7358,-46.7841,-38.3107,-48.7376,-38.8357,-48.8591,-36.419,-45.2943,-34.1778,-46.9658,-47.2773,-45.5278,-35.9422,-39.6326,-59.5164,-48.7376,-45.7254,-45.2503,-38.1128,-45.9434,-44.3554,-37.777,-43.3018,-45.1655,-47.4337,-46.7597,-46.8418,-47.0606,-55.1006,-53.767,-54.3199,-34.6756,-49.5144,-59.9904,-59.3372,-58.787,-57.343,-39.3743,-37.3446,-27.5979,-32.7461,-36.2295,-38.0787,-39.8078,-44.4521,-46.2033,-47.0299,-48.3406,-47.2022,-49.356,-43.1777,-45.8814,-37.4658,-45.3382,-47.8107,-45.9792,-45.9263,-41.6528,-32.7627,-37.0507,-38.9407,-36.2265,-36.6216,-31.6537
gen=4_member=95_de,1.18945,1.12891,1.31192,1.15416,1.09412,1.11048,1.16932,1.14005,1.08469,1.23715,1.24554,1.20745,0.991802,1.03526,1.15706,1.38692,1.20304,1.15315,1.4128,1.42323,6.14226e+08,-28.4778,-32.4472,-36.5062,-40.3243,-43.5339,-45.4751,-48.0992,-53.6866,-53.6313,-52.4327,-40.0321,-32.6941,-29.5685,-34.968,-38.8032,-41.9532,-45.0422,-47.0604,-52.5236,-52.9706,-52.2511,-46.3587,-42.1187,-30.821,-35.2345,-38.085,-40.4102,-42.6646,-44.0911,-45.2137,-45.9106,-45.8401,-45.3468,-44.3004,-41.8624,-38.6474,-33.6602,-28.1029,-32.0099,-36.8077,-39.8057,-42.5374,-44.5987,-45.885,-46.9147,-47.3461,-47.3748,-46.958,-46.0046,-43.9767,-42.3085,-39.7246,-36.1515,-32.2246,-35.7543,-38.3719,-40.3952,-42.8236,-44.4936,-45.6665,-57.7874,-57.5127,-52.4391,-49.4044,-44.7491,-35.1398,-30.8409,-33.9628,-37.1634,-39.3947,-41.5396,-43.3195,-44.8549,-45.3387,-27.4534,-32.6155,-36.8642,-40.1726,-43.4845,-29.8715,-32.9598,-34.9584,-37.2313,-38.7339,-40.2258,-41.3416,-41.8787,-54.4742,-26.2671,-50.5554,-24.4671,-55.0995,-35.1585,-54.3746,-25.3584,-44.1441,-31.4791,-45.0047,-31.3673,-46.712,-35.0226,-46.5021,-32.1195,-43.4077,-31.2994,-46.9379,-47.2508,-45.5041,-35.9251,-39.0246,-54.4742,-46.712,-45.2984,-44.9059,-37.9199,-45.6772,-44.0298,-37.7521,-43.2667,-45.1255,-47.3902,-46.7059,-46.7743,-46.988,-54.1673,-52.8486,-53.4663,-34.3214,-48.9212,-57.599,-57.2678,-55.871,-54.8857,-39.3685,-37.3338,-27.3614,-32.6827,-35.82,-37.2932,-39.0085,-43.5502,-45.2541,-46.0647,-47.3057,-46.1722,-48.234,-42.3782,-44.9373,-37.1855,-44.9749,-47.3678,-45.9631,-45.9075,-41.6459,-32.762,-37.0474,-38.9291,-36.2121,-36.6207,-31.6516
gen=4_member=96_de,1.17232,0.99953,1.256,0.899569,1.08264,0.867553,1.17703,1.07916,1.103,1.23612,1.24455,1.20656,0.991109,1.01179,1.13588,1.3677,1.19882,1.15296,1.39985,1.4029,6.11093e+08,-28.2588,-32.2054,-36.2234,-40.0042,-43.1548,-45.0531,-47.6159,-52.3146,-52.3926,-51.3042,-39.3976,-32.1842,-28.9014,-34.1998,-37.9446,-41.0467,-44.0777,-46.1211,-51.641,-52.1743,-51.5664,-45.8381,-41.6343,-30.4304,-34.8086,-37.6399,-39.9509,-42.1869,-43.6162,-44.7897,-45.4984,-45.4539,-45.0072,-44.0157,-41.6164,-38.4297,-33.4667,-27.9201,-31.9441,-36.7412,-39.7367,-42.4684,-44.5303,-45.8159,-46.8479,-47.2799,-47.304,-46.8858,-45.9355,-43.9109,-42.2501,-39.6747,-36.1069,-32.1977,-35.7293,-38.3486,-40.3723,-42.8001,-44.4704,-45.6444,-57.1017,-56.774,-51.6112,-48.7226,-44.1398,-34.6348,-30.7475,-33.8624,-37.0595,-39.2933,-41.4414,-43.2129,-44.7077,-45.1709,-27.1761,-32.2919,-36.48,-39.7187,-42.9201,-29.7841,-32.8771,-34.8786,-37.1467,-38.6436,-40.1251,-41.2258,-41.7494,-53.6343,-34.9667,-48.1222,-26.8078,-53.5715,-38.7809,-52.4363,-23.5224,-43.2976,-39.4214,-40.9373,-21.2445,-46.5302,-45.2071,-45.2409,-35.164,-43.5614,-41.9568,-46.8902,-47.2049,-45.4618,-35.8909,-37.9945,-53.6343,-46.5302,-44.6192,-44.3559,-37.6181,-45.2524,-43.5092,-37.7059,-43.206,-45.0579,-47.318,-46.6173,-46.6643,-46.8702,-53.5517,-52.2289,-52.778,-33.9007,-48.3126,-56.7168,-56.4968,-54.6314,-53.6029,-39.3536,-37.3119,-27.3213,-32.5795,-35.7503,-36.986,-38.7152,-43.2307,-44.9316,-45.7768,-47.0101,-45.9612,-47.9391,-42.2538,-44.7544,-36.7549,-44.3967,-46.6442,-45.9331,-45.8733,-41.6298,-32.7517,-37.0354,-38.9061,-36.1848,-36.6125,-31.6409
gen=4_member=97_de,1.52639,1.32033,1.5141,1.37086,1.14292,1.19135,1.20766,1.25766,1.08196,1.23793,1.24629,1.20814,0.992348,1.04919,1.17496,1.52639,1.23596,1.1655,1.46061,1.52633,6.19908e+08,-29.1189,-33.1484,-37.3088,-41.2237,-44.5695,-46.6074,-49.3706,-56.449,-56.2836,-54.9123,-41.4572,-33.8416,-30.0744,-35.5305,-39.4244,-42.6286,-45.7708,-47.8165,-53.2938,-53.7263,-52.9861,-47.1347,-42.9025,-31.0934,-35.5334,-38.4006,-40.7397,-43.0123,-44.4394,-45.524,-46.2114,-46.1205,-45.5931,-44.5071,-42.0412,-38.806,-33.8019,-28.238,-32.0565,-36.8549,-39.8547,-42.5865,-44.6473,-45.9341,-46.9622,-47.3931,-47.4252,-47.0095,-46.0538,-44.0234,-42.3497,-39.7592,-36.1818,-32.2423,-35.7707,-38.3871,-40.4099,-42.8389,-44.5087,-45.6807,-60.4739,-60.8249,-55.1355,-51.714,-46.7551,-36.7799,-31.2038,-34.3603,-37.5965,-39.8492,-42.0145,-43.8382,-45.4438,-45.9576,-28.2157,-33.4926,-37.8892,-41.3592,-44.9193,-30.2118,-33.2875,-35.2756,-37.5679,-39.0908,-40.6158,-41.7689,-42.3336,-60.5977,-38.1252,-54.5294,-24.6238,-59.9127,-39.3222,-58.0023,-27.9913,-45.0457,-22.7319,-46.5432,-25.6406,-48.1597,-25.469,-49.1631,-34.528,-43.8159,-15.0594,-46.9713,-47.2828,-45.5332,-35.9475,-39.6377,-60.5977,-48.1597,-45.8136,-45.3136,-38.1368,-45.9838,-44.4135,-37.7839,-43.3095,-45.1736,-47.4417,-46.7694,-46.8535,-47.0729,-55.1544,-53.8029,-54.3552,-34.692,-49.5458,-60.5286,-59.6881,-59.8107,-58.2421,-39.3768,-37.3477,-27.5103,-32.7566,-36.0729,-38.0054,-39.7094,-44.3281,-46.0568,-46.8292,-48.1106,-46.8531,-49.0761,-42.8484,-45.5445,-37.4864,-45.3693,-47.854,-45.9832,-45.9307,-41.6553,-32.7652,-37.0529,-38.9439,-36.2302,-36.6233,-31.6558
gen=4_member=98_de,1.48974,1.25131,1.42289,1.20517,1.07247,1.14588,1.21208,1.18461,1.14725,1.23733,1.24571,1.20761,0.991929,1.03982,1.15724,1.50256,1.23143,1.17975,1.44847,1.5035,6.17982e+08,-29.0058,-33.0213,-37.1469,-41.0403,-44.3278,-46.3206,-49.0177,-55.4813,-55.3307,-54.0178,-40.9594,-33.4416,-29.8001,-35.225,-39.0934,-42.284,-45.4092,-47.4566,-52.9376,-53.3887,-52.6753,-46.8549,-42.6299,-30.8717,-35.2866,-38.136,-40.4591,-42.7114,-44.1361,-45.2553,-45.9526,-45.8816,-45.3845,-44.333,-41.8918,-38.6746,-33.6861,-28.1297,-32.0157,-36.8137,-39.812,-42.5438,-44.605,-45.8913,-46.9208,-47.352,-47.3813,-46.9647,-46.0108,-43.9824,-42.3132,-39.728,-36.1539,-32.2252,-35.7548,-38.3722,-40.3954,-42.8241,-44.494,-45.6668,-59.7799,-60.0386,-54.3264,-51.0441,-46.1636,-36.2935,-31.2669,-34.4403,-37.7092,-40.0013,-42.2112,-44.0646,-45.6165,-46.096,-27.9934,-33.2217,-37.5517,-40.9443,-44.3743,-30.2708,-33.3551,-35.3461,-37.6486,-39.1787,-40.7107,-41.8603,-42.4144,-59.5484,-50.4832,-53.1487,-32.2778,-58.0706,-43.5497,-56.4599,-27.5331,-44.0474,-28.2346,-45.6297,-33.5963,-47.9549,-37.9149,-47.798,-34.1791,-44.8522,-36.0592,-46.9416,-47.2543,-45.5069,-35.9262,-39.2224,-59.5484,-47.9549,-45.3474,-44.954,-37.9604,-45.7246,-44.0771,-37.7549,-43.2717,-45.1315,-47.3969,-46.7146,-46.7855,-47.0001,-54.8169,-53.4714,-54.0207,-34.5014,-49.269,-59.648,-58.9541,-58.4779,-57.0499,-39.3673,-37.3338,-27.5321,-32.6934,-36.1161,-37.8509,-39.5774,-44.1932,-45.9321,-46.7574,-48.0495,-46.9196,-49.042,-42.9605,-45.6232,-37.2679,-45.0727,-47.4747,-45.9644,-45.9094,-41.645,-32.7583,-37.0452,-38.9293,-36.2129,-36.6177,-31.649
gen=4_member=99_de,1.17101,1.32258,1.41783,1.10773,1.09027,1.05189,1.17374,1.13535,1.07168,1.23697,1.24537,1.2073,0.99169,1.03019,1.15214,1.39259,1.20684,1.15312,1.41854,1.43513,6.1507e+08,-28.5569,-32.5346,-36.6075,-40.444,-43.6805,-45.6455,-48.3169,-55.2019,-54.8163,-53.441,-40.6405,-33.1888,-29.4495,-34.8281,-38.6471,-41.7944,-44.8769,-46.9097,-52.3934,-52.8652,-52.1779,-46.3493,-42.1233,-30.7332,-35.1385,-37.9844,-40.306,-42.5559,-43.983,-45.1173,-45.8171,-45.7528,-45.2701,-44.2362,-41.8071,-38.5986,-33.6172,-28.0626,-31.9933,-36.7911,-39.7887,-42.5204,-44.5818,-45.868,-46.8982,-47.3297,-47.3573,-46.9402,-45.9874,-43.96,-42.2933,-39.711,-36.1386,-32.2163,-35.7465,-38.3646,-40.388,-42.8164,-44.4864,-45.6596,-58.189,-57.9328,-53.0294,-49.8725,-45.1719,-35.4905,-30.8958,-34.0217,-37.2262,-39.4599,-41.6112,-43.4061,-44.983,-45.4869,-27.5361,-32.7086,-36.9695,-40.2899,-43.6149,-29.9243,-33.0137,-35.0143,-37.294,-38.8042,-40.3085,-41.4418,-41.9942,-54.723,-24.2132,-53.7664,-38.4474,-56.989,-43.048,-55.2474,-22.1756,-43.941,-29.9465,-44.0681,-25.0724,-46.8802,-34.0571,-46.5716,-29.699,-43.2972,-28.4345,-46.9255,-47.2388,-45.4926,-35.9146,-38.8013,-54.723,-46.8802,-45.1431,-44.7806,-37.853,-45.5815,-43.9113,-37.7391,-43.251,-45.1085,-47.3725,-46.6845,-46.7482,-46.9602,-54.174,-52.8472,-53.4271,-34.2561,-48.8485,-58.3101,-57.8413,-57.0326,-55.8167,-39.3627,-37.3267,-27.3975,-32.6581,-35.8793,-37.626,-39.3208,-43.8844,-45.5854,-46.3491,-47.5898,-46.3639,-48.5023,-42.4861,-45.1047,-37.0946,-44.8498,-47.208,-45.9544,-45.8979,-41.64,-32.7557,-37.0418,-38.9218,-36.2039,-36.6159,-31.6461
