real_name,hmuni1,hmuni2,hmuni3,hmuni4,hmuni5,hmuni6,hmuni7,hmuni8,hmuni9,hpz01,hpz02,hpz03,hpz04,hpz05,hpz06,hpz07,hpz08,hpz09,hpz10,hpz11,vlens,zert01,zert02,zert03,zert04,zert05,zert06,zert07,zert08,zert09,zert10,zert11,zert12,zert13,zert14,zert15,zert16,zert17,zert18,zert19,zert20,zert21,zert22,zert23,zert24,zert25,zert26,zert27,zert28,zert29,zert30,zert31,zert32,zert33,zert34,zert35,zert36,zert37,zert38,zert39,zert40,zert41,zert42,zert43,zert44,zert45,zert46,zert47,zert48,zert49,zert50,zert51,zert52,zert53,zert54,zert55,zert56,zert57,zert58,zert59,zert60,zert61,zert62,zert63,zert64,zert65,zert66,zert67,zert68,zert69,zert70,zert71,zert72,zert73,zert74,zert75,zert76,zert77,zert78,zert79,zert80,zert81,zert82,zert83,zert84,zert85,zert86,zert87,zmuni1,zmuni1_pct,zmuni2,zmuni2_pct,zmuni3,zmuni3_pct,zmuni4,zmuni4_pct,zmuni5,zmuni5_pct,zmuni6,zmuni6_pct,zmuni7,zmuni7_pct,zmuni8,zmuni8_pct,zmuni9,zmuni9_pct,zpz01,zpz02,zpz03,zpz04,zpz05,zpz07,zpz08,ztdem01,ztdem02,ztdem03,ztdem05,ztdem08,ztdem12,ztdem14,ztdem15,ztdem17,ztdem20,ztdem21,ztdem22,ztdem32,ztdem33,ztdem34,ztdem35,ztdem37,ztdem41,ztdem42,ztdem43,ztdem44,ztdem45,ztdem46,ztdem47,ztdem48,ztdem49,ztdem51,ztdem52,ztdem53,ztdem54,ztdem55,ztdem56,ztdem57,ztdem58,ztdem59,ztdem61,ztdem62,ztdem63,ztdem64,ztdem65,ztdem66,ztdem68,ztdem69,ztdem71,ztdem74,ztdem75,ztdem80,ztdem81
gen=30_member=870_de,1.25042,1.26034,1.40487,1.44535,1.1141,1.15859,1.22761,1.2003,1.12804,1.23759,1.24597,1.20784,0.992113,1.04288,1.16587,1.42595,1.23521,1.1736,1.43198,1.45874,6.1758e+08,-28.9555,-32.9671,-37.0898,-40.9747,-44.2592,-46.2492,-48.9377,-55.3731,-55.2142,-53.8954,-40.8623,-33.3633,-29.8497,-35.2803,-39.1482,-42.3283,-45.4446,-47.4752,-52.9266,-53.359,-52.6192,-46.7249,-42.4825,-30.96,-35.3869,-38.2455,-40.5771,-42.8401,-44.2665,-45.3701,-46.0623,-45.9817,-45.4712,-44.4049,-41.9527,-38.7275,-33.7318,-28.1712,-32.0321,-36.8304,-39.8295,-42.5613,-44.6224,-45.909,-46.9379,-47.369,-47.3995,-46.9833,-46.0287,-43.9995,-42.3284,-39.741,-36.1655,-32.2322,-35.7614,-38.3785,-40.4016,-42.8304,-44.5003,-45.6728,-58.9163,-58.7601,-53.665,-50.4231,-45.6503,-35.8823,-31.1953,-34.3585,-37.6119,-39.8884,-42.0809,-43.9179,-45.4741,-45.9589,-27.9684,-33.1991,-37.5337,-40.9321,-44.3756,-30.2037,-33.2868,-35.2782,-37.5744,-39.099,-40.6235,-41.7681,-42.3209,-56.1838,-20.0578,-53.1726,-24.5885,-57.4241,-36.1486,-56.8253,-42.4155,-44.5657,-25.4381,-45.8922,-28.7288,-48.1215,-34.2979,-47.9796,-30.2322,-44.481,-26.6782,-46.954,-47.2662,-45.5179,-35.9351,-39.3557,-56.1838,-48.1215,-45.5558,-45.1107,-38.0301,-45.8324,-44.2229,-37.767,-43.2874,-45.149,-47.4155,-46.7373,-46.8137,-47.0303,-54.6658,-53.347,-53.9226,-34.5083,-49.2322,-58.9667,-58.4717,-57.7306,-56.6726,-39.3717,-37.3397,-27.5037,-32.7189,-36.0653,-37.7913,-39.5117,-44.1156,-45.8466,-46.6607,-47.9423,-46.7939,-48.9197,-42.8553,-45.5059,-37.3409,-45.1784,-47.6184,-45.9724,-45.9184,-41.6497,-32.7625,-37.0492,-38.9355,-36.2201,-36.6209,-31.6526
gen=40_member=1186_de,0.80552,0.757934,0.849739,1.00004,0.965085,0.627919,1.03793,0.924174,0.749238,1.23415,1.24267,1.20483,0.989751,0.97709,1.09081,1.18525,1.11273,1.0246,1.33292,1.26249,5.9972e+08,-26.4308,-30.2173,-34.0239,-37.546,-40.4864,-42.2681,-44.7079,-48.3421,-48.6977,-47.9291,-37.4661,-30.636,-27.7778,-32.9358,-36.5454,-39.5441,-42.4715,-44.4934,-50.0611,-50.6744,-50.1744,-44.5226,-40.3417,-29.7899,-34.1006,-36.8894,-39.165,-41.3553,-42.7835,-44.0512,-44.7838,-44.7898,-44.4267,-43.5314,-41.2001,-38.0625,-33.1412,-27.612,-31.8407,-36.6353,-39.6262,-42.3573,-44.42,-45.7043,-46.7398,-47.1729,-47.189,-46.7685,-45.8236,-43.805,-42.1571,-39.597,-36.0391,-32.1592,-35.6932,-38.3149,-40.3393,-42.7656,-44.4362,-45.6119,-53.2042,-52.1834,-47.9662,-45.6319,-41.473,-32.4741,-29.0776,-31.9677,-34.8508,-36.7887,-38.6216,-40.0723,-41.6327,-42.1889,-25.4722,-30.3974,-34.3541,-37.345,-40.2096,-28.2243,-31.3256,-33.3571,-35.5034,-36.8916,-38.2195,-39.212,-39.7018,-45.6508,-28.3775,-42.3275,-28.5001,-44.8036,-28.0964,-48.3757,-31.77,-41.052,-32.4632,-36.2305,-18.9534,-42.7746,-34.9792,-40.9531,-29.8256,-35.8713,-29.7093,-46.8144,-47.1322,-45.3956,-35.8403,-36.49,-45.6508,-42.7746,-43.3664,-43.375,-37.1122,-44.5248,-42.5882,-37.6348,-43.1092,-44.9488,-47.2006,-46.4721,-46.4825,-46.675,-51.8213,-50.5101,-51.1397,-33.1593,-47.1206,-52.28,-52.7124,-48.5102,-48.9779,-39.3343,-37.2809,-26.6917,-32.413,-34.633,-35.4294,-37.0612,-41.3155,-42.8628,-43.5226,-44.5384,-43.1786,-45.1536,-39.966,-42.1722,-36.0624,-43.4687,-45.4776,-45.8872,-45.8203,-41.608,-32.7425,-37.0217,-38.8731,-36.1449,-36.6033,-31.6285
gen=37_member=1095_de,0.906628,1.05981,1.04596,1.22193,1.02782,0.856848,1.13813,1.09919,0.956943,1.23558,1.24403,1.20607,0.990725,1.00527,1.12283,1.26021,1.17587,1.10607,1.37013,1.33042,6.0807e+08,-27.7727,-31.6814,-35.6601,-39.378,-42.5026,-44.3923,-46.9481,-51.8485,-51.7556,-50.6564,-39.0265,-31.8897,-28.6718,-33.9467,-37.6679,-40.7454,-43.7523,-45.7765,-51.275,-51.805,-51.1947,-45.4205,-41.2076,-30.283,-34.6429,-37.4611,-39.7604,-41.9813,-43.4086,-44.6063,-45.3217,-45.291,-44.8655,-43.8981,-41.516,-38.3416,-33.389,-27.8463,-31.921,-36.7172,-39.7116,-42.443,-44.5052,-45.7905,-46.8234,-47.2558,-47.2781,-46.8595,-45.9109,-43.8883,-42.231,-39.6599,-36.0953,-32.19,-35.7219,-38.3417,-40.3655,-42.793,-44.4633,-45.6377,-55.4436,-54.5984,-50.1655,-47.4582,-43.0773,-33.7847,-30.1978,-33.2352,-36.3186,-38.4401,-40.4675,-42.1259,-43.6741,-44.1867,-26.7924,-31.884,-36.0489,-39.271,-42.4701,-29.2697,-32.3605,-34.3697,-36.5955,-38.0559,-39.4878,-40.5593,-41.0804,-48.9218,-23.1843,-48.525,-39.6794,-49.7264,-31.3273,-52.0588,-39.9154,-42.5517,-34.6824,-40.5476,-29.7122,-45.5299,-41.0135,-45.1405,-37.1971,-40.6634,-32.2869,-46.8735,-47.1892,-45.4482,-35.8827,-37.7166,-48.9218,-45.5299,-44.293,-44.1076,-37.4972,-45.0748,-43.2779,-37.6931,-43.1858,-45.0342,-47.2914,-46.5843,-46.6221,-46.8244,-53.0206,-51.7223,-52.3171,-33.7178,-47.998,-55.0183,-55.2097,-52.0964,-52.1121,-39.3498,-37.3056,-27.1126,-32.5411,-35.3818,-36.6388,-38.3201,-42.7579,-44.403,-45.1516,-46.3095,-45.0824,-47.1215,-41.4927,-43.9283,-36.5982,-44.1887,-46.3824,-45.924,-45.8626,-41.6254,-32.7498,-37.0327,-38.8994,-36.1765,-36.612,-31.6402
gen=26_member=752_de,1.21633,1.16038,1.30661,1.13862,1.0835,1.08733,1.20161,1.17575,1.06012,1.23703,1.24543,1.20735,0.991725,1.03313,1.15358,1.39764,1.21822,1.14798,1.41655,1.43042,6.14606e+08,-28.5593,-32.5368,-36.6142,-40.442,-43.6773,-45.6369,-48.2842,-53.947,-53.8284,-52.5997,-40.1379,-32.7808,-29.5432,-34.9349,-38.7664,-41.9209,-45.0104,-47.0387,-52.5024,-52.9588,-52.2514,-46.3877,-42.1528,-30.7758,-35.1839,-38.0307,-40.3526,-42.603,-44.0291,-45.1587,-45.8575,-45.7909,-45.3038,-44.2646,-41.8317,-38.6203,-33.6362,-28.0804,-32.0013,-36.799,-39.7967,-42.5284,-44.5898,-45.876,-46.906,-47.3374,-47.3656,-46.9486,-45.9956,-43.9681,-42.3008,-39.7178,-36.1452,-32.2204,-35.7503,-38.3682,-40.3914,-42.8199,-44.4899,-45.663,-58.0336,-57.78,-52.5958,-49.5462,-44.8721,-35.241,-30.8308,-33.9469,-37.1353,-39.3509,-41.477,-43.2441,-44.7979,-45.2938,-27.6008,-32.7929,-37.0816,-40.4322,-43.8144,-29.862,-32.9454,-34.9416,-37.21,-38.7094,-40.198,-41.314,-41.8543,-54.9473,-24.1965,-51.101,-22.737,-55.1787,-30.9586,-54.4761,-19.698,-43.9641,-27.0074,-44.6331,-25.8901,-47.3821,-35.1424,-47.2116,-31.4576,-43.0231,-25.1212,-46.9315,-47.2446,-45.4983,-35.9201,-38.9317,-54.9473,-47.3821,-45.2039,-44.8325,-37.8833,-45.6236,-43.9612,-37.7457,-43.2587,-45.1167,-47.3808,-46.6945,-46.7602,-46.973,-54.2375,-52.9218,-53.506,-34.3018,-48.9127,-57.8218,-57.5033,-56.0282,-55.0313,-39.3654,-37.3301,-27.3591,-32.6698,-35.8096,-37.3435,-39.0522,-43.5957,-45.297,-46.0911,-47.3297,-46.1527,-48.2509,-42.3433,-44.9131,-37.1412,-44.9128,-47.2864,-45.9588,-45.9027,-41.6428,-32.7583,-37.0442,-38.9253,-36.2079,-36.6188,-31.6494
gen=43_member=1266_de,1.03528,1.04326,1.14191,1.03958,1.0845,0.901294,1.1296,1.09358,0.976065,1.2362,1.24463,1.20662,0.991161,1.01348,1.13789,1.31141,1.17538,1.11286,1.38344,1.36382,6.09295e+08,-27.8566,-31.7723,-35.7594,-39.4901,-42.6244,-44.5207,-47.0892,-52.0457,-52.0065,-50.9079,-39.1734,-32.0061,-28.8929,-34.1969,-37.9415,-41.0308,-44.0542,-46.0763,-51.5798,-52.0949,-51.4635,-45.6688,-41.4516,-30.4633,-34.845,-37.6784,-39.9912,-42.2293,-43.6585,-44.8272,-45.5346,-45.4875,-45.0366,-44.0403,-41.6376,-38.4483,-33.4831,-27.9349,-31.9504,-36.7474,-39.7431,-42.4747,-44.5366,-45.8223,-46.8541,-47.2861,-47.3106,-46.8926,-45.9421,-43.9173,-42.2559,-39.6799,-36.1117,-32.2001,-35.7314,-38.3505,-40.3742,-42.802,-44.4722,-45.6461,-56.1532,-55.5698,-50.7955,-48.0129,-43.5411,-34.1548,-30.2843,-33.3335,-36.4337,-38.5715,-40.6164,-42.2926,-43.8378,-44.3454,-26.8628,-31.9593,-36.1292,-39.3555,-42.557,-29.3507,-32.4416,-34.4496,-36.6821,-38.1484,-39.5886,-40.666,-41.1888,-51.1676,-24.321,-48.4521,-22.3702,-51.4576,-28.3234,-52.0646,-19.3716,-43.3839,-32.6845,-41.4551,-19.2183,-45.5058,-32.9919,-45.1486,-30.3065,-41.0705,-26.5047,-46.8946,-47.2092,-45.4659,-35.8946,-38.0722,-51.1676,-45.5058,-44.6814,-44.4053,-37.6428,-45.289,-43.5558,-37.7108,-43.212,-45.0644,-47.3247,-46.6256,-46.6744,-46.8809,-53.3041,-51.9917,-52.5979,-33.8813,-48.2377,-55.7365,-55.7212,-53.2121,-52.7222,-39.3543,-37.3136,-27.1469,-32.5891,-35.4412,-36.7152,-38.403,-42.8553,-44.5097,-45.2701,-46.4408,-45.2306,-47.271,-41.6139,-44.0655,-36.7826,-44.4387,-46.7025,-45.9359,-45.8765,-41.6307,-32.751,-37.0355,-38.908,-36.1872,-36.6124,-31.6415
gen=35_member=1039_de,1.23786,1.18953,1.30643,1.30336,1.10538,1.04651,1.22591,1.1885,1.09292,1.2371,1.24549,1.20741,0.991777,1.03148,1.15518,1.4091,1.23009,1.15982,1.42147,1.43996,6.15256e+08,-28.7306,-32.7234,-36.8205,-40.672,-43.9264,-45.8965,-48.5551,-54.3899,-54.2682,-53.0167,-40.3675,-32.9643,-29.5116,-34.8935,-38.7169,-41.871,-44.957,-46.9955,-52.4686,-52.939,-52.2487,-46.4197,-42.1915,-30.7635,-35.1729,-38.0218,-40.3462,-42.5996,-44.0272,-45.156,-45.8541,-45.7865,-45.2992,-44.2601,-41.8271,-38.6158,-33.6315,-28.0752,-31.9979,-36.796,-39.7938,-42.5256,-44.5871,-45.8733,-46.9034,-47.3348,-47.3629,-46.9458,-45.9926,-43.9649,-42.2975,-39.7144,-36.1414,-32.218,-35.7483,-38.3663,-40.3897,-42.8181,-44.4882,-45.6613,-58.3285,-58.1081,-52.9271,-49.8201,-45.1154,-35.4412,-30.9863,-34.1241,-37.3421,-39.5854,-41.7411,-43.5383,-45.0877,-45.576,-27.7634,-32.9743,-37.2854,-40.6586,-44.0706,-30.0071,-33.0905,-35.0844,-37.3649,-38.8751,-40.3787,-41.5056,-42.0497,-55.4436,-22.9005,-51.7283,-22.767,-55.514,-27.9624,-55.3782,-28.7442,-44.1217,-26.6382,-44.0397,-20.1972,-47.8948,-35.9163,-47.572,-30.5675,-43.7039,-25.9515,-46.9292,-47.2423,-45.4958,-35.9168,-38.8524,-55.4436,-47.8948,-45.2136,-44.8336,-37.8764,-45.618,-43.9606,-37.7421,-43.2555,-45.1136,-47.3781,-46.6915,-46.757,-46.9698,-54.3003,-52.9836,-53.5358,-34.2875,-48.9052,-58.1602,-57.8163,-56.4336,-55.5368,-39.364,-37.3282,-27.4161,-32.6659,-35.9153,-37.5033,-39.2198,-43.788,-45.5031,-46.312,-47.5701,-46.4182,-48.5189,-42.5605,-45.1597,-37.1234,-44.8891,-47.2584,-45.9567,-45.9004,-41.6414,-32.7574,-37.0431,-38.9235,-36.2057,-36.6168,-31.6472
gen=45_member=1330_de,1.11987,1.04132,1.30854,1.02911,1.07175,0.941833,1.17443,1.11406,0.988009,1.23636,1.24479,1.20677,0.991276,1.01783,1.13934,1.35625,1.19916,1.1203,1.40067,1.40085,6.11126e+08,-28.0782,-32.0139,-36.0327,-39.7935,-42.966,-44.8888,-47.4968,-52.7299,-52.8005,-51.6833,-39.5889,-32.3351,-29.0721,-34.3982,-38.1683,-41.2835,-44.3302,-46.3647,-51.8642,-52.3712,-51.7299,-45.9496,-41.7345,-30.5179,-34.9027,-37.7368,-40.0492,-42.2872,-43.715,-44.8784,-45.5851,-45.5359,-45.0797,-44.0768,-41.6696,-38.4771,-33.5094,-27.9609,-31.9578,-36.755,-39.7511,-42.4828,-44.5446,-45.8304,-46.8619,-47.2938,-47.3189,-46.901,-45.9501,-43.9249,-42.2625,-39.6852,-36.1163,-32.2024,-35.7336,-38.3526,-40.3762,-42.8042,-44.4743,-45.6481,-57.1511,-56.76,-51.8108,-48.8635,-44.2732,-34.747,-30.4232,-33.4888,-36.6084,-38.761,-40.8206,-42.5168,-44.0737,-44.5841,-27.1292,-32.2652,-36.4839,-39.7566,-43.0268,-29.48,-32.5674,-34.5715,-36.8124,-38.2867,-39.7391,-40.8276,-41.3569,-53.1319,-27.2847,-48.8591,-22.5809,-54.4639,-36.8972,-53.2756,-19.358,-43.375,-30.6486,-42.1634,-20.6536,-46.5454,-36.7442,-45.7875,-31.038,-41.4283,-28.0827,-46.8999,-47.2143,-45.4704,-35.8978,-38.2601,-53.1319,-46.5454,-44.7532,-44.4684,-37.6843,-45.3432,-43.6166,-37.7156,-43.2189,-45.0722,-47.3332,-46.6362,-46.6878,-46.8953,-53.6825,-52.364,-52.9363,-34.0028,-48.4582,-56.9148,-56.6466,-55.1228,-54.0855,-39.3554,-37.3155,-27.198,-32.6016,-35.5328,-36.9013,-38.5932,-43.0725,-44.7402,-45.5048,-46.6949,-45.4741,-47.5497,-41.7949,-44.2852,-36.8551,-44.5314,-46.8115,-45.9388,-45.88,-41.6319,-32.7513,-37.0361,-38.91,-36.1897,-36.6122,-31.6414
gen=6_member=158_de,1.31825,1.12543,1.23773,1.0818,1.09863,1.03937,1.1689,1.13847,1.05048,1.23693,1.24533,1.20726,0.991651,1.02929,1.15266,1.42323,1.20261,1.14252,1.41756,1.43971,6.13553e+08,-28.3814,-32.3433,-36.3954,-40.2002,-43.4066,-45.3483,-47.977,-53.5145,-53.4377,-52.2553,-39.95,-32.6288,-29.4092,-34.7827,-38.5957,-41.7371,-44.8147,-46.8459,-52.3365,-52.8127,-52.1307,-46.307,-42.0823,-30.7271,-35.1327,-37.9794,-40.3021,-42.5532,-43.981,-45.1152,-45.8149,-45.7502,-45.2678,-44.2343,-41.8055,-38.5975,-33.6167,-28.0629,-31.9936,-36.7913,-39.7887,-42.5204,-44.5819,-45.868,-46.8982,-47.3297,-47.3573,-46.9401,-45.9872,-43.9598,-42.2932,-39.7109,-36.1386,-32.2173,-35.7475,-38.3655,-40.3889,-42.8172,-44.4872,-45.6604,-58.0211,-57.942,-52.5103,-49.5071,-44.8236,-35.1965,-30.7189,-33.8235,-36.9981,-39.2034,-41.3198,-43.0735,-44.6215,-45.1167,-27.3921,-32.553,-36.8015,-40.1088,-43.4238,-29.7572,-32.8443,-34.8442,-37.1072,-38.6013,-40.0817,-41.1905,-41.7269,-56.0703,-35.3038,-50.404,-23.3073,-54.1588,-28.9323,-53.9067,-19.2412,-44.0002,-31.3143,-43.8718,-24.5011,-46.6937,-33.9196,-46.4333,-30.4884,-42.7455,-26.8515,-46.9258,-47.2391,-45.4929,-35.9151,-38.7618,-56.0703,-46.6937,-45.145,-44.7795,-37.8502,-45.5782,-43.9096,-37.7391,-43.2509,-45.1084,-47.3724,-46.6842,-46.7477,-46.9596,-54.1072,-52.7765,-53.3644,-34.2339,-48.8101,-57.61,-57.2662,-55.5847,-54.6613,-39.3639,-37.3277,-27.315,-32.6577,-35.7366,-37.2065,-38.9127,-43.438,-45.1308,-45.9221,-47.1479,-45.9746,-48.0527,-42.2059,-44.7506,-37.0843,-44.8367,-47.1936,-45.955,-45.8984,-41.6411,-32.7577,-37.0432,-38.9228,-36.2047,-36.6177,-31.6478
gen=12_member=353_de,1.21351,1.15863,1.30445,1.15141,1.07975,1.04949,1.16706,1.15191,1.05814,1.23688,1.24529,1.20723,0.991635,1.02894,1.14966,1.39483,1.20239,1.14596,1.41391,1.42777,6.13815e+08,-28.449,-32.4172,-36.4784,-40.2946,-43.5126,-45.4618,-48.0997,-53.8727,-53.7631,-52.5422,-40.1013,-32.7503,-29.4021,-34.7763,-38.5909,-41.7335,-44.8116,-46.8409,-52.3225,-52.7944,-52.1076,-46.2727,-42.0454,-30.7027,-35.1046,-37.948,-40.2674,-42.5145,-43.9413,-45.0803,-45.7814,-45.7198,-45.2413,-44.2121,-41.7864,-38.5805,-33.6014,-28.0482,-31.988,-36.7857,-39.783,-42.5147,-44.5762,-45.8623,-46.8927,-47.3242,-47.3515,-46.9342,-45.9816,-43.9546,-42.2885,-39.707,-36.1351,-32.2144,-35.7448,-38.363,-40.3864,-42.8148,-44.4848,-45.6581,-57.8713,-57.6382,-52.5239,-49.4784,-44.8129,-35.1916,-30.7764,-33.8876,-37.0713,-39.2847,-41.4102,-43.1745,-44.7266,-45.2223,-27.4525,-32.6203,-36.878,-40.1978,-43.531,-29.8112,-32.8979,-34.897,-37.1642,-38.6623,-40.1486,-41.2629,-41.8023,-54.8227,-25.3755,-51.0224,-24.6428,-55.0826,-32.1071,-54.4437,-22.7189,-43.7969,-27.609,-43.9888,-23.9665,-46.6845,-32.2381,-46.6973,-29.9005,-42.9326,-27.1738,-46.9217,-47.2351,-45.4893,-35.9121,-38.7451,-54.8227,-46.6845,-45.0784,-44.7309,-37.8283,-45.5456,-43.8649,-37.7354,-43.2461,-45.1029,-47.3665,-46.6771,-46.739,-46.9504,-54.0738,-52.7497,-53.3393,-34.2206,-48.7889,-57.6821,-57.3376,-55.9353,-54.9628,-39.362,-37.3252,-27.3388,-32.6496,-35.778,-37.3005,-39.0061,-43.5416,-45.2381,-46.0275,-47.2592,-46.081,-48.1702,-42.2868,-44.8481,-37.0626,-44.8079,-47.1558,-45.9522,-45.8952,-41.6391,-32.756,-37.0415,-38.9203,-36.2019,-36.6157,-31.6456
gen=17_member=502_de,1.13853,1.11997,1.32667,1.23332,1.00358,1.03552,1.14349,1.1511,0.998695,1.23629,1.24472,1.2067,0.99122,1.02224,1.13313,1.36932,1.19046,1.12666,1.40695,1.41311,6.12315e+08,-28.2324,-32.1843,-36.2278,-40.0174,-43.2236,-45.1695,-47.8079,-53.5669,-53.5623,-52.3818,-39.9805,-32.6497,-29.2184,-34.5738,-38.3753,-41.5126,-44.5835,-46.6144,-52.0991,-52.5817,-51.9116,-46.1007,-41.8796,-30.5267,-34.9058,-37.7322,-40.0359,-42.2631,-43.6867,-44.856,-45.5661,-45.5222,-45.0697,-44.0696,-41.6649,-38.474,-33.5077,-27.9606,-31.9579,-36.7549,-39.7508,-42.4823,-44.5441,-45.8298,-46.8612,-47.2931,-47.3181,-46.9001,-45.9493,-43.9241,-42.262,-39.6852,-36.1165,-32.2035,-35.7347,-38.3536,-40.3772,-42.8051,-44.4752,-45.649,-57.4975,-57.1642,-52.3006,-49.2613,-44.6292,-35.0414,-30.5401,-33.6194,-36.7562,-38.9235,-40.9992,-42.7161,-44.2875,-44.802,-27.2733,-32.4284,-36.6726,-39.9807,-43.3045,-29.5897,-32.676,-34.6785,-36.928,-38.4106,-39.8755,-40.9763,-41.5134,-53.7033,-23.516,-50.3385,-25.4287,-55.1881,-37.1571,-54.5726,-33.8692,-42.8138,-24.0662,-43.5671,-25.8163,-46.1609,-33.0229,-46.5133,-33.6151,-41.7423,-25.5305,-46.8998,-47.2142,-45.4705,-35.8983,-38.4543,-53.7033,-46.1609,-44.6742,-44.4256,-37.6858,-45.3317,-43.5807,-37.7157,-43.2184,-45.0715,-47.3323,-46.6347,-46.6856,-46.8929,-53.8594,-52.5352,-53.1273,-34.0943,-48.6123,-57.395,-57.0563,-55.7991,-54.8637,-39.3568,-37.3166,-27.2489,-32.6012,-35.6185,-37.1178,-38.8071,-43.3096,-44.9848,-45.7413,-46.9437,-45.7008,-47.8107,-41.9607,-44.4907,-36.8965,-44.5786,-46.8571,-45.9393,-45.8803,-41.6332,-32.754,-37.038,-38.911,-36.1906,-36.614,-31.6431
