child,parent_1,parent_2,parent_3
GEN=1_MEMBER=0_DE,GEN=0_MEMBER=0,GEN=0_MEMBER=24,GEN=0_MEMBER=15,GEN=0_MEMBER=6
GEN=1_MEMBER=1_DE,GEN=0_MEMBER=8,GEN=0_MEMBER=10,GEN=0_MEMBER=19,GEN=0_MEMBER=29
GEN=1_MEMBER=2_DE,GEN=0_MEMBER=8,GEN=0_MEMBER=16,GEN=0_MEMBER=25,GEN=0_MEMBER=4
GEN=1_MEMBER=3_DE,GEN=0_MEMBER=15,GEN=0_MEMBER=11,GEN=0_MEMBER=14,GEN=0_MEMBER=7
GEN=1_MEMBER=4_DE,GEN=0_MEMBER=0,GEN=0_MEMBER=16,GEN=0_MEMBER=29,GEN=0_MEMBER=18
GEN=1_MEMBER=5_DE,GEN=0_MEMBER=9,GEN=0_MEMBER=15,GEN=0_MEMBER=29,GEN=0_MEMBER=17
GEN=1_MEMBER=6_DE,GEN=0_MEMBER=10,GEN=0_MEMBER=2,GEN=0_MEMBER=27,GEN=0_MEMBER=28
GEN=1_MEMBER=7_DE,GEN=0_MEMBER=9,GEN=0_MEMBER=25,GEN=0_MEMBER=4,GEN=0_MEMBER=3
GEN=1_MEMBER=8_DE,GEN=0_MEMBER=8,GEN=0_MEMBER=10,GEN=0_MEMBER=2,GEN=0_MEMBER=14
GEN=1_MEMBER=9_DE,GEN=0_MEMBER=16,GEN=0_MEMBER=11,GEN=0_MEMBER=27,GEN=0_MEMBER=25
GEN=1_MEMBER=10_DE,GEN=0_MEMBER=10,GEN=0_MEMBER=20,GEN=0_MEMBER=14,GEN=0_MEMBER=18
GEN=1_MEMBER=11_DE,GEN=0_MEMBER=10,GEN=0_MEMBER=4,GEN=0_MEMBER=7,GEN=0_MEMBER=18
GEN=1_MEMBER=12_DE,GEN=0_MEMBER=8,GEN=0_MEMBER=19,GEN=0_MEMBER=27,GEN=0_MEMBER=18
GEN=1_MEMBER=13_DE,GEN=0_MEMBER=8,GEN=0_MEMBER=2,GEN=0_MEMBER=7,GEN=0_MEMBER=5
GEN=1_MEMBER=14_DE,GEN=0_MEMBER=8,GEN=0_MEMBER=28,GEN=0_MEMBER=13,GEN=0_MEMBER=1
GEN=1_MEMBER=15_DE,GEN=0_MEMBER=24,GEN=0_MEMBER=28,GEN=0_MEMBER=4,GEN=0_MEMBER=7
GEN=1_MEMBER=16_DE,GEN=0_MEMBER=0,GEN=0_MEMBER=9,GEN=0_MEMBER=20,GEN=0_MEMBER=24
GEN=1_MEMBER=17_DE,GEN=0_MEMBER=15,GEN=0_MEMBER=11,GEN=0_MEMBER=7,GEN=0_MEMBER=1
GEN=1_MEMBER=18_DE,GEN=0_MEMBER=10,GEN=0_MEMBER=9,GEN=0_MEMBER=16,GEN=0_MEMBER=21
GEN=1_MEMBER=19_DE,GEN=0_MEMBER=0,GEN=0_MEMBER=4,GEN=0_MEMBER=3,GEN=0_MEMBER=13
GEN=1_MEMBER=20_DE,GEN=0_MEMBER=9,GEN=0_MEMBER=19,GEN=0_MEMBER=25,GEN=0_MEMBER=18
GEN=1_MEMBER=21_DE,GEN=0_MEMBER=8,GEN=0_MEMBER=9,GEN=0_MEMBER=29,GEN=0_MEMBER=4
GEN=1_MEMBER=22_DE,GEN=0_MEMBER=24,GEN=0_MEMBER=27,GEN=0_MEMBER=29,GEN=0_MEMBER=25
GEN=1_MEMBER=23_DE,GEN=0_MEMBER=8,GEN=0_MEMBER=9,GEN=0_MEMBER=20,GEN=0_MEMBER=11
GEN=1_MEMBER=24_DE,GEN=0_MEMBER=8,GEN=0_MEMBER=16,GEN=0_MEMBER=15,GEN=0_MEMBER=4
GEN=1_MEMBER=25_DE,GEN=0_MEMBER=0,GEN=0_MEMBER=20,GEN=0_MEMBER=2,GEN=0_MEMBER=13
GEN=1_MEMBER=26_DE,GEN=0_MEMBER=8,GEN=0_MEMBER=10,GEN=0_MEMBER=16,GEN=0_MEMBER=27
GEN=1_MEMBER=27_DE,GEN=0_MEMBER=10,GEN=0_MEMBER=29,GEN=0_MEMBER=4,GEN=0_MEMBER=7
GEN=1_MEMBER=28_DE,GEN=0_MEMBER=20,GEN=0_MEMBER=29,GEN=0_MEMBER=4,GEN=0_MEMBER=3
GEN=1_MEMBER=29_DE,GEN=0_MEMBER=2,GEN=0_MEMBER=11,GEN=0_MEMBER=29,GEN=0_MEMBER=13
GEN=2_MEMBER=30_DE,GEN=1_MEMBER=21_DE,GEN=1_MEMBER=24_DE,GEN=0_MEMBER=24,GEN=1_MEMBER=20_DE
GEN=2_MEMBER=31_DE,GEN=1_MEMBER=21_DE,GEN=1_MEMBER=5_DE,GEN=1_MEMBER=2_DE,GEN=0_MEMBER=15
GEN=2_MEMBER=32_DE,GEN=1_MEMBER=1_DE,GEN=1_MEMBER=3_DE,GEN=0_MEMBER=9,GEN=1_MEMBER=18_DE
GEN=2_MEMBER=33_DE,GEN=1_MEMBER=2_DE,GEN=1_MEMBER=9_DE,GEN=1_MEMBER=24_DE,GEN=1_MEMBER=17_DE
GEN=2_MEMBER=34_DE,GEN=0_MEMBER=10,GEN=1_MEMBER=2_DE,GEN=1_MEMBER=24_DE,GEN=0_MEMBER=19
GEN=2_MEMBER=35_DE,GEN=1_MEMBER=0_DE,GEN=1_MEMBER=9_DE,GEN=1_MEMBER=24_DE,GEN=0_MEMBER=19
GEN=2_MEMBER=36_DE,GEN=1_MEMBER=3_DE,GEN=1_MEMBER=21_DE,GEN=0_MEMBER=9,GEN=0_MEMBER=8
GEN=2_MEMBER=37_DE,GEN=1_MEMBER=3_DE,GEN=1_MEMBER=8_DE,GEN=0_MEMBER=15,GEN=0_MEMBER=20
GEN=2_MEMBER=38_DE,GEN=1_MEMBER=12_DE,GEN=0_MEMBER=24,GEN=0_MEMBER=2,GEN=0_MEMBER=27
GEN=2_MEMBER=39_DE,GEN=1_MEMBER=0_DE,GEN=1_MEMBER=8_DE,GEN=0_MEMBER=24,GEN=0_MEMBER=20
GEN=2_MEMBER=40_DE,GEN=1_MEMBER=1_DE,GEN=1_MEMBER=9_DE,GEN=1_MEMBER=8_DE,GEN=0_MEMBER=20
GEN=2_MEMBER=41_DE,GEN=1_MEMBER=12_DE,GEN=0_MEMBER=10,GEN=1_MEMBER=9_DE,GEN=0_MEMBER=11
GEN=2_MEMBER=42_DE,GEN=1_MEMBER=12_DE,GEN=0_MEMBER=8,GEN=0_MEMBER=2,GEN=1_MEMBER=23_DE
GEN=2_MEMBER=43_DE,GEN=1_MEMBER=3_DE,GEN=0_MEMBER=10,GEN=1_MEMBER=9_DE,GEN=0_MEMBER=9
GEN=2_MEMBER=44_DE,GEN=1_MEMBER=12_DE,GEN=0_MEMBER=9,GEN=0_MEMBER=19,GEN=1_MEMBER=26_DE
