real_name,hmuni1,hmuni2,hmuni3,hmuni4,hmuni5,hmuni6,hmuni7,hmuni8,hmuni9,hpz01,hpz02,hpz03,hpz04,hpz05,hpz06,hpz07,hpz08,hpz09,hpz10,hpz11,vlens,zert01,zert02,zert03,zert04,zert05,zert06,zert07,zert08,zert09,zert10,zert11,zert12,zert13,zert14,zert15,zert16,zert17,zert18,zert19,zert20,zert21,zert22,zert23,zert24,zert25,zert26,zert27,zert28,zert29,zert30,zert31,zert32,zert33,zert34,zert35,zert36,zert37,zert38,zert39,zert40,zert41,zert42,zert43,zert44,zert45,zert46,zert47,zert48,zert49,zert50,zert51,zert52,zert53,zert54,zert55,zert56,zert57,zert58,zert59,zert60,zert61,zert62,zert63,zert64,zert65,zert66,zert67,zert68,zert69,zert70,zert71,zert72,zert73,zert74,zert75,zert76,zert77,zert78,zert79,zert80,zert81,zert82,zert83,zert84,zert85,zert86,zert87,zmuni1,zmuni1_pct,zmuni2,zmuni2_pct,zmuni3,zmuni3_pct,zmuni4,zmuni4_pct,zmuni5,zmuni5_pct,zmuni6,zmuni6_pct,zmuni7,zmuni7_pct,zmuni8,zmuni8_pct,zmuni9,zmuni9_pct,zpz01,zpz02,zpz03,zpz04,zpz05,zpz07,zpz08,ztdem01,ztdem02,ztdem03,ztdem05,ztdem08,ztdem12,ztdem14,ztdem15,ztdem17,ztdem20,ztdem21,ztdem22,ztdem32,ztdem33,ztdem34,ztdem35,ztdem37,ztdem41,ztdem42,ztdem43,ztdem44,ztdem45,ztdem46,ztdem47,ztdem48,ztdem49,ztdem51,ztdem52,ztdem53,ztdem54,ztdem55,ztdem56,ztdem57,ztdem58,ztdem59,ztdem61,ztdem62,ztdem63,ztdem64,ztdem65,ztdem66,ztdem68,ztdem69,ztdem71,ztdem74,ztdem75,ztdem80,ztdem81
gen=50_member=1470_de,1.21317,1.1284,1.21299,1.40048,1.05401,0.91908,1.20402,1.12455,0.981377,1.23619,1.24462,1.20662,0.991155,1.01549,1.13461,1.38901,1.21345,1.12102,1.40939,1.42022,6.11978e+08,-28.1826,-32.1276,-36.1626,-39.938,-43.1333,-45.0732,-47.709,-53.5378,-53.5313,-52.3668,-39.9734,-32.644,-29.0465,-34.3656,-38.1338,-41.2567,-44.3072,-46.3555,-51.8635,-52.3833,-51.759,-46.0235,-41.8176,-30.4621,-34.8401,-37.6691,-39.977,-42.2094,-43.6366,-44.8091,-45.5184,-45.4745,-45.0263,-44.0323,-41.6316,-38.4437,-33.48,-27.9334,-31.9479,-36.7449,-39.7406,-42.4722,-44.5341,-45.8198,-46.8516,-47.2835,-47.3079,-46.8898,-45.9393,-43.9145,-42.2532,-39.6773,-36.1091,-32.1988,-35.7302,-38.3494,-40.3731,-42.801,-44.4712,-45.6451,-57.6238,-57.3703,-52.3192,-49.3021,-44.6617,-35.0679,-30.4772,-33.5469,-36.6699,-38.8236,-40.885,-42.5887,-44.1669,-44.6874,-27.2654,-32.4224,-36.6675,-39.9652,-43.2726,-29.5312,-32.6168,-34.62,-36.8643,-38.3425,-39.8015,-40.899,-41.436,-54.57,-25.9766,-50.4154,-22.0148,-53.7833,-25.9706,-54.8641,-42.0964,-43.1123,-25.8134,-41.7751,-14.0321,-47.1737,-36.6248,-46.1185,-28.4018,-41.3968,-19.5951,-46.8926,-47.2073,-45.4639,-35.8925,-38.1566,-54.57,-47.1737,-44.631,-44.3749,-37.6397,-45.2767,-43.5294,-37.7082,-43.2093,-45.0616,-47.322,-46.6223,-46.6705,-46.8769,-53.8017,-52.4784,-53.0136,-33.9905,-48.4725,-57.3067,-57.0262,-55.3218,-54.7554,-39.3539,-37.3126,-27.2252,-32.5859,-35.5761,-37.082,-38.7652,-43.2587,-44.9272,-45.6713,-46.8646,-45.5992,-47.7171,-41.8722,-44.3952,-36.8045,-44.4593,-46.715,-45.9344,-45.8748,-41.6301,-32.7514,-37.0354,-38.9069,-36.1859,-36.6117,-31.6404
gen=50_member=1471_de,1.21533,1.00753,1.39036,0.90779,1.01307,0.643752,1.17658,1.11625,0.945991,1.23481,1.2433,1.20541,0.990218,0.98804,1.10567,1.39111,1.19939,1.10775,1.40603,1.42358,6.09323e+08,-27.9954,-31.9246,-35.9398,-39.691,-42.8684,-44.7991,-47.4253,-52.7171,-52.8865,-51.7934,-39.641,-32.374,-28.3035,-33.509,-37.1795,-40.2584,-43.2523,-45.3404,-50.9296,-51.5549,-51.0677,-45.5558,-41.3996,-29.9907,-34.3221,-37.1239,-39.4106,-41.6156,-43.0444,-44.2822,-45.0072,-44.9973,-44.6078,-43.682,-41.3291,-38.1757,-33.2406,-27.7048,-31.8717,-36.6674,-39.6598,-42.3912,-44.4538,-45.7386,-46.7731,-47.206,-47.2246,-46.8049,-45.8585,-43.8381,-42.1864,-39.6218,-36.0612,-32.1703,-35.7038,-38.3249,-40.3492,-42.7761,-44.4466,-45.6218,-57.5529,-57.3685,-52.2292,-49.2177,-44.5658,-34.9774,-30.3003,-33.346,-36.4353,-38.5571,-40.5827,-42.2492,-43.8257,-44.3518,-27.0828,-32.2205,-36.4442,-39.7238,-43.0097,-29.3656,-32.4504,-34.455,-36.6845,-38.1493,-39.5891,-40.671,-41.2006,-54.6693,-26.1546,-48.4229,-13.4897,-55.7832,-39.7857,-53.3047,-6.58719,-41.8356,-22.1993,-36.8981,5.02224,-46.5634,-33.7903,-45.8174,-27.676,-40.6248,-16.801,-46.8377,-47.1548,-45.4164,-35.8569,-36.9562,-54.6693,-46.5634,-43.7625,-43.6832,-37.2697,-44.7524,-42.8772,-37.6578,-43.1396,-44.9828,-47.2369,-46.5171,-46.5387,-46.7353,-53.2517,-51.9073,-52.3495,-33.5351,-47.8486,-57.3696,-56.9299,-55.9421,-54.5234,-39.3402,-37.29,-27.153,-32.4638,-35.449,-36.8311,-38.5126,-42.9769,-44.6336,-45.375,-46.5501,-45.275,-47.3806,-41.6146,-44.0949,-36.2937,-43.7697,-45.8432,-45.9017,-45.837,-41.6146,-32.7456,-37.026,-38.8829,-36.1566,-36.6071,-31.6333
gen=50_member=1472_de,1.39961,1.19401,1.38404,1.44492,1.05981,1.17131,1.17655,1.21088,0.978254,1.23729,1.24567,1.20757,0.991894,1.04036,1.15612,1.4697,1.21429,1.12752,1.43852,1.48132,6.16055e+08,-28.5384,-32.5193,-36.6152,-40.4494,-43.7277,-45.7261,-48.4422,-54.9117,-54.9273,-53.6915,-40.7224,-33.2448,-29.7789,-35.2073,-39.0762,-42.2596,-45.3811,-47.4152,-52.887,-53.3268,-52.5993,-46.7398,-42.5073,-30.8704,-35.2844,-38.1327,-40.4545,-42.7051,-44.1291,-45.2494,-45.9471,-45.8769,-45.3804,-44.3295,-41.8887,-38.6717,-33.6832,-28.1266,-32.0159,-36.8138,-39.8121,-42.5437,-44.6049,-45.8913,-46.9207,-47.3519,-47.3811,-46.9644,-46.0105,-43.9821,-42.313,-39.7279,-36.1538,-32.2262,-35.7558,-38.3734,-40.3965,-42.8251,-44.4951,-45.6679,-59.1937,-59.3171,-53.9104,-50.6638,-45.84,-36.0296,-30.668,-33.7569,-36.8987,-39.0627,-41.1327,-42.8578,-44.4726,-45.0089,-27.6805,-32.9022,-37.2318,-40.6289,-44.0921,-29.7091,-32.7872,-34.784,-37.0382,-38.5266,-40.0025,-41.1188,-41.6697,-58.1094,-40.7259,-52.0607,-26.998,-57.2788,-39.5117,-56.7668,-46.8171,-43.9455,-26.468,-45.9688,-35.8688,-47.2053,-33.8974,-47.9088,-36.5941,-41.59,-19.3795,-46.9419,-47.2545,-45.5072,-35.9265,-39.247,-58.1094,-47.2053,-45.3315,-44.9443,-37.9572,-45.7199,-44.0687,-37.7548,-43.2715,-45.1312,-47.3967,-46.714,-46.7846,-46.9991,-54.647,-53.306,-53.894,-34.4792,-49.211,-59.0604,-58.4312,-57.8697,-56.7427,-39.369,-37.335,-27.2969,-32.693,-35.704,-37.4348,-39.1147,-43.6497,-45.3333,-46.0624,-47.2796,-45.9528,-48.1571,-42.1147,-44.709,-37.2661,-45.0732,-47.4773,-45.9651,-45.9099,-41.6466,-32.7619,-37.0476,-38.9305,-36.2139,-36.6202,-31.6511
gen=50_member=1473_de,1.19045,1.13681,1.28184,1.117,1.04658,0.697619,1.06615,0.95823,0.802928,1.23514,1.24362,1.2057,0.990432,0.992504,1.115,1.37197,1.14346,1.05734,1.39479,1.40547,6.06891e+08,-27.1375,-30.9928,-34.9015,-38.5459,-41.6257,-43.511,-46.1251,-52.9947,-52.9548,-51.8121,-39.6575,-32.3879,-28.3029,-33.523,-37.1953,-40.2525,-43.2391,-45.2958,-50.8995,-51.5061,-50.995,-45.417,-41.2515,-30.0956,-34.441,-37.253,-39.5489,-41.7653,-43.1958,-44.416,-45.1362,-45.1163,-44.7114,-43.7684,-41.4034,-38.2415,-33.2992,-27.7605,-31.8899,-36.686,-39.6793,-42.4107,-44.4732,-45.7582,-46.7921,-47.2248,-47.2449,-46.8255,-45.8782,-43.8567,-42.2026,-39.6351,-36.0725,-32.1771,-35.71,-38.3306,-40.3547,-42.7819,-44.4523,-45.6272,-56.7447,-56.5994,-51.8345,-48.8648,-44.2729,-34.7437,-29.63,-32.5887,-35.5611,-37.5776,-39.501,-41.0671,-42.7124,-43.2943,-26.1906,-31.2091,-35.2787,-38.3854,-41.4058,-28.7414,-31.8405,-33.8669,-36.059,-37.4918,-38.887,-39.9475,-40.4815,-53.8294,-24.2913,-50.0812,-22.5671,-54.1044,-30.9992,-53.5358,-20.2682,-42.348,-25.0479,-37.8414,1.46383,-44.104,-23.9431,-42.4726,-15.2013,-37.5256,-6.19648,-46.851,-47.1675,-45.4278,-35.8652,-37.1521,-53.8294,-44.104,-44.0012,-43.8646,-37.3577,-44.8819,-43.046,-37.6697,-43.1565,-45.002,-47.2576,-46.5428,-46.5711,-46.77,-52.9474,-51.583,-52.1364,-33.5588,-47.8148,-56.5435,-56.0521,-55.0068,-54.125,-39.343,-37.2952,-26.9209,-32.4928,-35.0425,-36.5617,-38.1772,-42.5559,-44.1431,-44.7526,-45.8335,-44.3381,-46.5087,-40.7906,-43.2166,-36.3945,-43.9121,-46.0339,-45.9095,-45.846,-41.618,-32.7457,-37.0274,-38.8885,-36.1635,-36.6077,-31.6345
gen=50_member=1474_de,1.25922,1.01827,1.10635,1.22785,1.08221,0.887871,1.18189,1.14277,1.00203,1.23621,1.24464,1.20663,0.991165,1.01396,1.13754,1.39166,1.20318,1.12466,1.40414,1.41249,6.11013e+08,-28.1614,-32.1045,-36.1343,-39.904,-43.0849,-45.0096,-47.6093,-52.4079,-52.507,-51.4389,-39.4606,-32.233,-28.9746,-34.2827,-38.0373,-41.1471,-44.1857,-46.2303,-51.7458,-52.2729,-51.6571,-45.9231,-41.7177,-30.4637,-34.8447,-37.6773,-39.9892,-42.2264,-43.6553,-44.8245,-45.5321,-45.4854,-45.0348,-44.0386,-41.6359,-38.4465,-33.4811,-27.9329,-31.9492,-36.7464,-39.7421,-42.4738,-44.5357,-45.8214,-46.8531,-47.2851,-47.3095,-46.8914,-45.9408,-43.9158,-42.2543,-39.6783,-36.1099,-32.1995,-35.7309,-38.3501,-40.3738,-42.8017,-44.4719,-45.6459,-57.2913,-57.0628,-51.7302,-48.8488,-44.2505,-34.728,-30.4804,-33.5532,-36.6822,-38.8428,-40.9088,-42.6102,-44.1539,-44.6561,-27.2207,-32.3708,-36.6088,-39.9052,-43.2146,-29.5331,-32.6182,-34.6195,-36.8622,-38.3378,-39.7918,-40.8789,-41.4051,-54.6881,-29.2746,-48.388,-14.1887,-51.7953,-18.3813,-53.3239,-28.0172,-43.3567,-28.3377,-41.2939,-11.7463,-46.7213,-34.3128,-46.2978,-29.97,-41.7054,-21.2548,-46.8938,-47.2084,-45.465,-35.8934,-38.0885,-54.6881,-46.7213,-44.6743,-44.401,-37.6419,-45.2872,-43.552,-37.7091,-43.2105,-45.063,-47.3236,-46.6242,-46.673,-46.8796,-53.6625,-52.339,-52.8842,-33.9473,-48.3897,-56.6777,-56.5385,-54.1228,-53.6669,-39.3544,-37.3133,-27.2159,-32.5879,-35.5627,-36.874,-38.5749,-43.0579,-44.7319,-45.5157,-46.7139,-45.5283,-47.585,-41.8537,-44.3384,-36.7915,-44.4467,-46.7064,-45.9354,-45.8759,-41.6307,-32.7517,-37.0358,-38.9076,-36.1866,-36.6132,-31.6418
gen=50_member=1475_de,1.14656,1.03729,1.08953,0.963095,1.12373,0.788092,1.11536,1.05,0.907798,1.23596,1.2444,1.20642,0.991005,1.0056,1.1371,1.34268,1.16642,1.08978,1.38557,1.37693,6.08012e+08,-27.5547,-31.4441,-35.3973,-39.0867,-42.1917,-44.0758,-46.6435,-51.7944,-51.7542,-50.6815,-39.0569,-31.9126,-28.6542,-33.9188,-37.6251,-40.692,-43.6914,-45.7255,-51.2718,-51.828,-51.2485,-45.5368,-41.3388,-30.3748,-34.7523,-37.5863,-39.9014,-42.1422,-43.5746,-44.7508,-45.4586,-45.4139,-44.9707,-43.9843,-41.5883,-38.4041,-33.4429,-27.8959,-31.9377,-36.7345,-39.7297,-42.4613,-44.5233,-45.8089,-46.8411,-47.2732,-47.2968,-46.8785,-45.9286,-43.9045,-42.2445,-39.6703,-36.1032,-32.1955,-35.7272,-38.3466,-40.3703,-42.798,-44.4682,-45.6423,-56.2265,-55.8433,-50.8098,-48.0564,-43.5648,-34.1699,-29.9998,-33.0097,-36.0546,-38.1397,-40.1298,-41.7531,-43.3238,-43.8548,-26.5938,-31.6613,-35.795,-38.9777,-42.1173,-29.0853,-32.1779,-34.1918,-36.4042,-37.8532,-39.2694,-40.3327,-40.8542,-52.5456,-21.1017,-48.1964,-15.4443,-50.6985,-17.1209,-51.5571,-9.85288,-43.5438,-32.3535,-39.611,-4.69899,-45.1159,-28.0945,-44.2289,-22.1873,-39.6524,-13.8479,-46.8855,-47.2005,-45.4578,-35.8882,-37.7276,-52.5456,-45.1159,-44.5847,-44.3143,-37.5779,-45.2059,-43.4668,-37.7019,-43.2002,-45.0512,-47.3106,-46.6083,-46.653,-46.8579,-53.1242,-51.7948,-52.3776,-33.7511,-48.0498,-55.6277,-55.5516,-52.9458,-52.4755,-39.3523,-37.31,-27.044,-32.5684,-35.2568,-36.5307,-38.1959,-42.6094,-44.2367,-44.9513,-46.0845,-44.7899,-46.8562,-41.2339,-43.652,-36.6679,-44.2886,-46.5214,-45.9303,-45.8701,-41.6283,-32.7506,-37.0343,-38.9041,-36.1824,-36.6117,-31.6401
gen=50_member=1476_de,1.24834,1.19715,1.37631,1.31606,1.11474,1.04799,1.23677,1.19427,1.1479,1.23713,1.24552,1.20743,0.99179,1.03268,1.1574,1.41949,1.23677,1.17771,1.42702,1.45097,6.16446e+08,-28.9411,-32.9504,-37.0665,-40.9461,-44.2159,-46.1927,-48.8564,-54.755,-54.6553,-53.3845,-40.5742,-33.1314,-29.5652,-34.9513,-38.7796,-41.9397,-45.0307,-47.0738,-52.5484,-53.0192,-52.329,-46.509,-42.2824,-30.7935,-35.2059,-38.0569,-40.3832,-42.6392,-44.0671,-45.1916,-45.8886,-45.8187,-45.3277,-44.2843,-41.8485,-38.6352,-33.6497,-28.0937,-32.0046,-36.8025,-39.8005,-42.5323,-44.5936,-45.8799,-46.9098,-47.3412,-47.3697,-46.9529,-45.9996,-43.9718,-42.3039,-39.7202,-36.147,-32.2216,-35.7515,-38.3693,-40.3926,-42.8211,-44.4911,-45.6641,-58.6698,-58.4871,-53.3074,-50.1322,-45.3886,-35.6648,-31.2135,-34.3815,-37.6435,-39.9297,-42.1317,-43.9731,-45.5062,-45.9777,-27.9328,-33.1559,-37.4805,-40.8681,-44.2945,-30.2202,-33.304,-35.2947,-37.5921,-39.117,-40.641,-41.7808,-42.3274,-55.9012,-28.6702,-52.0619,-27.227,-56.7221,-38.7651,-55.9368,-35.1407,-44.2524,-31.591,-44.1074,-24.1684,-48.19,-40.5598,-47.827,-34.9213,-44.7881,-35.021,-46.9341,-47.2471,-45.5004,-35.9213,-38.9082,-55.9012,-48.19,-45.2743,-44.8807,-37.902,-45.6529,-44.0048,-37.7477,-43.262,-45.1205,-47.385,-46.6999,-46.7672,-46.9804,-54.4206,-53.1017,-53.6399,-34.3264,-48.9726,-58.6193,-58.1927,-57.1817,-56.0964,-39.3664,-37.3312,-27.5049,-32.6752,-36.0701,-37.6813,-39.4137,-44.0139,-45.7499,-46.5905,-47.8772,-46.784,-48.8687,-42.8729,-45.503,-37.1558,-44.9302,-47.3088,-45.9602,-45.9044,-41.6438,-32.7599,-37.0454,-38.9265,-36.2092,-36.6186,-31.6492
gen=50_member=1477_de,1.34201,1.21657,1.26927,1.43165,1.14835,1.212,1.23393,1.24632,1.14172,1.23804,1.24639,1.20823,0.992414,1.05013,1.17676,1.44687,1.23986,1.17801,1.43434,1.46393,6.18122e+08,-29.0728,-33.0949,-37.2346,-41.1317,-44.4307,-46.4257,-49.106,-54.8771,-54.7386,-53.4642,-40.6321,-33.1789,-30.0513,-35.5083,-39.3977,-42.587,-45.7153,-47.7378,-53.1732,-53.5825,-52.8115,-46.8654,-42.6109,-31.1119,-35.5551,-38.4246,-40.7656,-43.0404,-44.4677,-45.5489,-46.2352,-46.1422,-45.6119,-44.5228,-42.0546,-38.8179,-33.8125,-28.2481,-32.0586,-36.8573,-39.8574,-42.5893,-44.6501,-45.9371,-46.9651,-47.396,-47.4285,-47.0128,-46.0569,-44.0263,-42.3521,-39.761,-36.1831,-32.2422,-35.7706,-38.387,-40.4099,-42.839,-44.5088,-45.6809,-58.9921,-58.9145,-53.4551,-50.2976,-45.5292,-35.7821,-31.2607,-34.4318,-37.6944,-39.9775,-42.1736,-44.013,-45.5532,-46.0286,-28.1094,-33.363,-37.7283,-41.1637,-44.6691,-30.2639,-33.3431,-35.3302,-37.6273,-39.1523,-40.6772,-41.8187,-42.3669,-57.1031,-35.8679,-52.379,-28.7307,-55.5305,-30.2787,-56.1809,-45.317,-45.1345,-35.3653,-46.8223,-41.3216,-48.3257,-40.2454,-48.772,-40.7252,-44.7477,-34.3356,-46.9731,-47.2846,-45.5348,-35.9484,-39.6752,-57.1031,-48.3257,-45.8581,-45.3474,-38.1521,-46.0072,-44.4451,-37.7854,-43.312,-45.1766,-47.4449,-46.7737,-46.8591,-47.0789,-54.8339,-53.5197,-54.113,-34.6384,-49.4068,-58.7271,-58.3648,-56.876,-56.0861,-39.3761,-37.3475,-27.521,-32.7608,-36.095,-37.7348,-39.468,-44.076,-45.8155,-46.6555,-47.9478,-46.8428,-48.9468,-42.9134,-45.5543,-37.4968,-45.3884,-47.885,-45.9841,-45.9318,-41.6549,-32.7634,-37.0519,-38.9438,-36.2303,-36.623,-31.6557
gen=50_member=1478_de,0.868063,0.801167,1.25545,0.980727,0.98256,0.67669,1.06567,0.968461,0.968693,1.23463,1.24312,1.20525,0.990086,0.984867,1.09943,1.2467,1.13672,1.1008,1.36189,1.32499,6.046e+08,-27.3213,-31.1854,-35.086,-38.7399,-41.7678,-43.5946,-46.0804,-50.246,-50.7043,-49.8195,-38.4852,-31.4456,-28.0629,-33.2551,-36.9016,-39.9362,-42.8971,-44.9377,-50.5072,-51.1109,-50.5979,-44.9712,-40.794,-29.9189,-34.2428,-37.0392,-39.321,-41.5193,-42.9472,-44.1964,-44.9244,-44.9207,-44.5409,-43.6261,-41.281,-38.1332,-33.2029,-27.6693,-31.8594,-36.6548,-39.6467,-42.378,-44.4407,-45.7252,-46.76,-47.1929,-47.2106,-46.7904,-45.8444,-43.8245,-42.174,-39.6107,-36.0507,-32.1651,-35.6988,-38.3202,-40.3445,-42.7713,-44.4418,-45.6172,-54.9802,-54.2116,-49.9812,-47.2639,-42.886,-33.6129,-29.9913,-33.0092,-36.0765,-38.1931,-40.219,-41.8597,-43.3623,-43.8534,-26.2067,-31.1981,-35.2317,-38.3088,-41.275,-29.0779,-32.1792,-34.1966,-36.4131,-37.8633,-39.2779,-40.3283,-40.8326,-48.3351,-2.68202,-44.182,0.240237,-52.1567,-28.7706,-51.1684,-10.9378,-41.4524,-19.7326,-37.2402,2.88089,-43.816,-23.87,-42.4583,-15.9364,-40.5946,-18.5105,-46.8282,-47.1455,-45.4075,-35.8487,-36.8208,-48.3351,-43.816,-43.6101,-43.5672,-37.2116,-44.6689,-42.769,-37.6472,-43.1268,-44.9689,-47.2227,-46.4995,-46.5171,-46.7124,-52.4191,-51.0928,-51.6715,-33.3566,-47.4736,-54.7408,-54.6571,-52.79,-51.9982,-39.3368,-37.2856,-27.0358,-32.4445,-35.246,-36.2019,-37.8951,-42.2889,-43.9235,-44.7054,-45.8439,-44.7047,-46.6407,-41.2398,-43.5938,-36.2088,-43.6643,-45.7199,-45.8952,-45.8297,-41.6111,-32.7423,-37.0229,-38.8783,-36.1512,-36.6041,-31.6298
gen=50_member=1479_de,0.8388,1.11113,1.10142,1.36073,1.03327,0.862775,1.18398,1.13943,0.991487,1.23575,1.2442,1.20624,0.990859,1.00702,1.12488,1.24598,1.19809,1.12013,1.37275,1.32936,6.09347e+08,-28.0529,-31.9859,-36.0003,-39.7551,-42.9177,-44.8294,-47.4079,-52.5175,-52.3745,-51.2164,-39.3315,-32.1334,-28.7522,-34.0338,-37.7632,-40.8507,-43.8641,-45.8936,-51.3771,-51.902,-51.2845,-45.504,-41.2876,-30.3109,-34.6739,-37.494,-39.7946,-42.0174,-43.4446,-44.638,-45.3522,-45.3191,-44.8898,-43.9178,-41.5324,-38.3554,-33.4007,-27.8573,-31.9232,-36.7198,-39.7144,-42.4459,-44.5079,-45.7933,-46.8259,-47.2581,-47.2805,-46.8618,-45.9125,-43.8891,-42.2308,-39.6585,-36.0926,-32.1893,-35.7214,-38.3412,-40.365,-42.7926,-44.4629,-45.6372,-55.6672,-54.6994,-50.4565,-47.6723,-43.2768,-33.9504,-30.4123,-33.4761,-36.5943,-38.7465,-40.8055,-42.4989,-44.0469,-44.553,-27.0906,-32.2216,-36.4363,-39.7112,-42.9886,-29.4703,-32.5576,-34.5617,-36.8011,-38.274,-39.7242,-40.8097,-41.3365,-48.292,-0.873142,-49.5831,-20.6862,-50.8227,-17.9196,-53.0838,-38.2989,-42.6502,-23.9897,-40.6896,-9.91565,-46.5043,-34.4827,-46.0651,-29.6536,-41.461,-20.3969,-46.8745,-47.1899,-45.448,-35.8801,-37.7884,-48.292,-46.5043,-44.3474,-44.1501,-37.5182,-45.106,-43.3178,-37.6909,-43.186,-45.0355,-47.2941,-46.5877,-46.6274,-46.8307,-53.1683,-51.8821,-52.4488,-33.7589,-48.0702,-55.4333,-55.6306,-52.7413,-52.7468,-39.3489,-37.305,-27.1936,-32.5465,-35.5236,-36.8677,-38.5581,-43.0301,-44.6934,-45.4575,-46.6417,-45.4346,-47.4899,-41.7749,-44.253,-36.6306,-44.2305,-46.4337,-45.9233,-45.8621,-41.6246,-32.7484,-37.0316,-38.8988,-36.1761,-36.6094,-31.6373
