generation,member,_risk_,pump_rate,nsga2_front,nsga2_crowding_distance,spea2_unconstrained_fitness,spea2_constrained_fitness,is_feasible,feasible_distance
0,gen=0_member=8,0.266227,179.854,1,1e+30,0.0664055,0.0664055,1,-999
0,gen=0_member=10,0.861951,105.469,1,1e+30,0.0216983,0.0216983,1,-999
0,gen=0_member=0,0.731656,149.555,1,0.597492,0.0519665,0.0519665,1,-999
0,gen=0_member=9,0.506011,166.797,1,0.407321,0.0664055,0.0664055,1,-999
1,gen=0_member=8,0.266227,179.854,2,1e+30,0.0664055,0.0664055,1,-999
1,gen=0_member=10,0.861951,105.469,2,1e+30,0.0216983,0.0216983,1,-999
1,gen=0_member=0,0.731656,149.555,1,0.158819,0.0525525,0.0525525,1,-999
1,gen=0_member=9,0.506011,166.797,2,0,0.0664055,0.0664055,1,-999
1,gen=1_member=1_de,0.861951,132.527,1,1e+30,1.04609,1.04609,1,-999
1,gen=1_member=12_de,0.01,229.28,1,1e+30,0.0194452,0.0194452,1,-999
1,gen=1_member=3_de,0.713598,170.428,1,1.16917,1.08744,1.08744,1,-999
1,gen=1_member=21_de,0.385687,226.622,1,0.608269,1.0205,1.0205,1,-999
1,gen=1_member=5_de,0.726645,152.223,1,0.236931,0.0603306,0.0603306,1,-999
2,gen=1_member=1_de,0.861951,132.527,1,0.128984,0.0443264,0.0443264,1,-999
2,gen=1_member=12_de,0.01,229.28,2,1e+30,0.127629,0.127629,1,-999
2,gen=1_member=3_de,0.713598,170.428,2,0.966534,0.0494931,0.0494931,1,-999
2,gen=1_member=21_de,0.385687,226.622,1,0.249088,0.160232,0.160232,1,-999
2,gen=1_member=5_de,0.726645,152.223,2,0.0250238,0.0460902,0.0460902,1,-999
2,gen=0_member=0,0.731656,149.555,2,1e+30,0.0437199,0.0437199,1,-999
2,gen=2_member=43_de,0.899246,111.967,1,1e+30,0.0236651,0.0236651,1,-999
2,gen=2_member=38_de,0.01,262.843,1,1e+30,4.02943,4.02943,1,-999
2,gen=2_member=51_de,0.784547,179.706,1,0.747527,3.03392,3.03392,1,-999
2,gen=2_member=41_de,0.506011,184.919,1,0.723467,0.028821,0.028821,1,-999
2,gen=2_member=39_de,0.221202,230.86,1,0.451291,4.10633,4.10633,1,-999
2,gen=2_member=45_de,0.11029,247.985,1,0.417346,4.05229,4.05229,1,-999
2,gen=2_member=31_de,0.399073,223.457,1,0.411714,0.10633,0.10633,1,-999
2,gen=2_member=47_de,0.014009,258.673,1,0.0984765,4.03354,4.03354,1,-999
3,gen=2_member=43_de,0.899246,111.967,1,1e+30,0.0133416,0.0133416,1,-999
3,gen=2_member=38_de,0.01,262.843,2,1e+30,0.162086,0.162086,1,-999
3,gen=2_member=51_de,0.784547,179.706,1,0.512329,0.0218564,0.0218564,1,-999
3,gen=2_member=41_de,0.506011,184.919,2,1e+30,0.0246682,0.0246682,1,-999
3,gen=2_member=39_de,0.221202,230.86,2,0.829379,0.10633,0.10633,1,-999
3,gen=2_member=45_de,0.11029,247.985,2,0.774653,0.0719963,0.0719963,1,-999
3,gen=2_member=31_de,0.399073,223.457,2,0.242582,0.0720792,0.0720792,1,-999
3,gen=1_member=21_de,0.385687,226.622,2,0.4536,0.0933772,0.0933772,1,-999
3,gen=1_member=1_de,0.861951,132.527,1,0.128984,0.0183845,0.0183845,1,-999
3,gen=2_member=47_de,0.014009,258.673,2,0.19067,0.162086,0.162086,1,-999
3,gen=3_member=62_de,0.01,302.615,1,1e+30,2.02235,2.02235,1,-999
3,gen=3_member=84_de,0.52085,235.33,1,0.751823,7.07208,7.07208,1,-999
3,gen=3_member=69_de,0.691561,193.671,1,0.588306,2.03146,2.03146,1,-999
3,gen=3_member=70_de,0.274984,259.874,1,0.420892,9.20076,9.20076,1,-999
3,gen=3_member=65_de,0.329088,259.293,1,0.405225,9.17971,9.17971,1,-999
3,gen=3_member=63_de,0.118783,294.447,1,0.224189,8.02734,8.02734,1,-999
4,gen=3_member=62_de,0.01,302.615,2,1e+30,0.0349777,0.0349777,1,-999
4,gen=2_member=43_de,0.899246,111.967,1,1e+30,0.0119469,0.0119469,1,-999
4,gen=3_member=84_de,0.52085,235.33,2,1e+30,0.038516,0.038516,1,-999
4,gen=3_member=69_de,0.691561,193.671,1,0.554683,0.0174807,0.0174807,1,-999
4,gen=2_member=51_de,0.784547,179.706,1,0.419798,0.0173536,0.0173536,1,-999
4,gen=3_member=70_de,0.274984,259.874,2,0.93415,0.0769251,0.0769251,1,-999
4,gen=3_member=65_de,0.329088,259.293,2,0.481287,0.0805297,0.0805297,1,-999
4,gen=3_member=63_de,0.118783,294.447,2,0.635229,0.0489684,0.0489684,1,-999
4,gen=1_member=1_de,0.861951,132.527,1,0.128984,0.0158368,0.0158368,1,-999
4,gen=4_member=96_de,0.01,379.923,1,1e+30,2.01143,2.01143,1,-999
4,gen=4_member=92_de,0.52085,248.877,1,0.501779,1.07693,1.07693,1,-999
4,gen=4_member=104_de,0.314974,286.686,1,0.45451,2.05577,2.05577,1,-999
4,gen=4_member=116_de,0.118783,330.174,1,0.347957,3.02198,3.02198,1,-999
4,gen=4_member=99_de,0.447771,254.664,1,0.301031,0.128401,0.128401,1,-999
4,gen=4_member=95_de,0.343261,276.027,1,0.26884,3.05338,3.05338,1,-999
5,gen=4_member=96_de,0.01,379.923,2,-999,0.0105001,0.0105001,1,-999
5,gen=2_member=43_de,0.899246,111.967,1,1e+30,0.0119469,0.0119469,1,-999
5,gen=3_member=69_de,0.691561,193.671,1,0.401951,0.0174807,0.0174807,1,-999
5,gen=4_member=92_de,0.52085,248.877,1,0.224416,0.0260874,0.0260874,1,-999
5,gen=4_member=104_de,0.314974,286.686,1,0.431325,0.0251193,0.0251193,1,-999
5,gen=2_member=51_de,0.784547,179.706,1,0.393617,0.0203339,0.0203339,1,-999
5,gen=4_member=116_de,0.118783,330.174,1,0.422769,0.0178103,0.0178103,1,-999
5,gen=4_member=99_de,0.447771,254.664,1,0.289406,0.0293927,0.0293927,1,-999
