generation,member,_risk_,pump_rate,nsga2_front,nsga2_crowding_distance,spea2_unconstrained_fitness,spea2_constrained_fitness,is_feasible,feasible_distance
0,gen=0_member=0,0.731656,149.555,1,0.597492,186.12,186.12,1,-999
0,gen=0_member=1,0.369632,106.978,5,0.0928692,0.22187,0.22187,1,-999
0,gen=0_member=2,0.601282,128.841,2,0.512109,136.1,136.1,1,-999
0,gen=0_member=3,0.443222,77.7721,5,1e+30,0.0320451,0.0320451,1,-999
0,gen=0_member=4,0.040206,120.856,4,1e+30,0.0992812,0.0992812,1,-999
0,gen=0_member=6,0.41586,105.263,5,0.229456,0.175814,0.175814,1,-999
0,gen=0_member=7,0.419334,110.248,4,0,52.1471,52.1471,1,-999
0,gen=0_member=8,0.266227,179.854,1,1e+30,73.0385,73.0385,1,-999
0,gen=0_member=9,0.506011,166.797,1,0.407321,158.065,158.065,1,-999
0,gen=0_member=10,0.861951,105.469,1,1e+30,56.1837,56.1837,1,-999
0,gen=0_member=11,0.183846,163.352,2,0.193807,58.0633,58.0633,1,-999
0,gen=0_member=13,0.122508,108.078,5,1e+30,0.207051,0.207051,1,-999
0,gen=0_member=14,0.0792122,148.049,3,1e+30,19.1094,19.1094,1,-999
0,gen=0_member=15,0.62989,125.64,2,0.222482,136.112,136.112,1,-999
0,gen=0_member=16,0.726645,112.813,2,1e+30,105.107,105.107,1,-999
0,gen=0_member=19,0.16317,166.264,2,1e+30,48.0641,48.0641,1,-999
0,gen=0_member=20,0.438688,155.905,2,0.985035,119.093,119.093,1,-999
0,gen=0_member=21,0.48477,98.798,4,1e+30,16.0886,16.0886,1,-999
0,gen=0_member=22,0.19813,137.046,3,0.478902,40.0979,40.0979,1,-999
0,gen=0_member=24,0.531042,143.636,2,0.79488,142.126,142.126,1,-999
0,gen=0_member=25,0.172037,138.001,3,0.252555,40.0896,40.0896,1,-999
0,gen=0_member=27,0.599579,104.481,3,1e+30,31.1552,31.1552,1,-999
0,gen=0_member=28,0.531172,123.281,3,0.466774,115.088,115.088,1,-999
0,gen=0_member=29,0.356685,132.596,3,0.955953,40.0966,40.0966,1,-999
1,gen=1_member=0_de,0.266227,182.923,2,1e+30,221.081,221.081,1,-999
1,gen=1_member=1_de,0.861951,132.527,1,1e+30,425.112,425.112,1,-999
1,gen=1_member=2_de,0.709913,160.106,2,0.832279,615.125,615.125,1,-999
1,gen=1_member=3_de,0.713598,170.428,1,1.16917,680.139,680.139,1,-999
1,gen=1_member=5_de,0.726645,152.223,1,0.236931,589.154,589.154,1,-999
1,gen=1_member=8_de,0.474762,167.9,2,0.404285,453.153,453.153,1,-999
