real_name,hmuni1,hmuni2,hmuni3,hmuni4,hmuni5,hmuni6,hmuni7,hmuni8,hmuni9,hpz01,hpz02,hpz03,hpz04,hpz05,hpz06,hpz07,hpz08,hpz09,hpz10,hpz11,vlens,zert01,zert02,zert03,zert04,zert05,zert06,zert07,zert08,zert09,zert10,zert11,zert12,zert13,zert14,zert15,zert16,zert17,zert18,zert19,zert20,zert21,zert22,zert23,zert24,zert25,zert26,zert27,zert28,zert29,zert30,zert31,zert32,zert33,zert34,zert35,zert36,zert37,zert38,zert39,zert40,zert41,zert42,zert43,zert44,zert45,zert46,zert47,zert48,zert49,zert50,zert51,zert52,zert53,zert54,zert55,zert56,zert57,zert58,zert59,zert60,zert61,zert62,zert63,zert64,zert65,zert66,zert67,zert68,zert69,zert70,zert71,zert72,zert73,zert74,zert75,zert76,zert77,zert78,zert79,zert80,zert81,zert82,zert83,zert84,zert85,zert86,zert87,zmuni1,zmuni1_pct,zmuni2,zmuni2_pct,zmuni3,zmuni3_pct,zmuni4,zmuni4_pct,zmuni5,zmuni5_pct,zmuni6,zmuni6_pct,zmuni7,zmuni7_pct,zmuni8,zmuni8_pct,zmuni9,zmuni9_pct,zpz01,zpz02,zpz03,zpz04,zpz05,zpz07,zpz08,ztdem01,ztdem02,ztdem03,ztdem05,ztdem08,ztdem12,ztdem14,ztdem15,ztdem17,ztdem20,ztdem21,ztdem22,ztdem32,ztdem33,ztdem34,ztdem35,ztdem37,ztdem41,ztdem42,ztdem43,ztdem44,ztdem45,ztdem46,ztdem47,ztdem48,ztdem49,ztdem51,ztdem52,ztdem53,ztdem54,ztdem55,ztdem56,ztdem57,ztdem58,ztdem59,ztdem61,ztdem62,ztdem63,ztdem64,ztdem65,ztdem66,ztdem68,ztdem69,ztdem71,ztdem74,ztdem75,ztdem80,ztdem81
gen=60_member=270_de,1.0441,0.989892,0.721964,0.908585,1.0841,1.14701,1.16432,0.880029,0.702371,1.23697,1.24537,1.2073,0.991685,1.03342,1.15508,1.27356,1.17192,1.0147,1.36004,1.31178,6.05205e+08,-26.5081,-30.2989,-34.1181,-37.6402,-40.6014,-42.4049,-44.8988,-49.848,-49.7036,-48.7441,-38.003,-31.0719,-29.3592,-34.7483,-38.5598,-41.6612,-44.7133,-46.6757,-52.1006,-52.5153,-51.7548,-45.7067,-41.4358,-30.7962,-35.2074,-38.0568,-40.3809,-42.6338,-44.0602,-45.186,-45.8834,-45.8143,-45.3241,-44.2816,-41.8463,-38.6333,-33.6479,-28.0915,-32.0089,-36.806,-39.8035,-42.5349,-44.596,-45.8821,-46.9118,-47.3431,-47.3715,-46.9545,-46.0012,-43.9735,-42.3057,-39.7223,-36.1495,-32.2256,-35.755,-38.3724,-40.3954,-42.8237,-44.4935,-45.6663,-54.4943,-53.7963,-48.7811,-46.4184,-42.1452,-33.0229,-29.0457,-31.9262,-34.7903,-36.7056,-38.5167,-39.9583,-41.5778,-42.1677,-25.6934,-30.6597,-34.6615,-37.6672,-40.5502,-28.1951,-31.2945,-33.3276,-35.4722,-36.8608,-38.1919,-39.1974,-39.7032,-49.5189,-13.9115,-46.3217,-12.0442,-43.6676,6.70868,-48.5404,-5.99266,-44.0337,-28.6749,-45.4038,-33.2374,-45.3677,-32.4251,-40.5526,-9.53885,-35.0457,0.799958,-46.9362,-47.249,-45.5022,-35.9236,-38.9589,-49.5189,-45.3677,-45.2521,-44.8694,-37.8983,-45.6483,-43.9957,-37.75,-43.2637,-45.1222,-47.3868,-46.7013,-46.7683,-46.9816,-53.2587,-51.9741,-52.7422,-34.1459,-48.5281,-53.166,-53.5599,-48.797,-49.443,-39.3689,-37.3343,-26.6887,-32.6791,-34.6285,-35.7205,-37.3237,-41.5915,-43.1281,-43.7215,-44.7265,-43.2287,-45.3077,-39.9417,-42.2029,-37.1384,-44.9231,-47.3171,-45.962,-45.9061,-41.6462,-32.7626,-37.0479,-38.9295,-36.2126,-36.6198,-31.6507
gen=60_member=271_de,0.998992,1.17513,1.16668,1.37575,0.968462,0.63452,1.09025,0.962574,0.926506,1.23449,1.243,1.20514,0.990009,0.981531,1.09427,1.30167,1.15116,1.09493,1.37795,1.36143,6.06374e+08,-27.4251,-31.3014,-35.2257,-38.9054,-41.9809,-43.8506,-46.4216,-53.0095,-52.8498,-51.6733,-39.5826,-32.3313,-28.0177,-33.1991,-36.8413,-39.886,-42.8522,-44.9149,-50.5079,-51.1347,-50.6517,-45.1021,-40.9413,-29.8476,-34.1637,-36.955,-39.2323,-41.425,-42.8527,-44.1127,-44.8438,-44.8461,-44.4756,-43.5714,-41.2337,-38.091,-33.165,-27.633,-31.8453,-36.6408,-39.6324,-42.3638,-44.4266,-45.711,-46.7462,-47.1792,-47.196,-46.7755,-45.83,-43.8105,-42.1612,-39.5995,-36.0403,-32.1585,-35.6928,-38.3146,-40.339,-42.7657,-44.4363,-45.612,-55.8872,-55.353,-51.0781,-48.1854,-43.7091,-34.2924,-30.0222,-33.0385,-36.099,-38.2056,-40.2269,-41.8801,-43.4654,-43.9995,-26.3544,-31.3708,-35.4347,-38.5386,-41.54,-29.1085,-32.2109,-34.2323,-36.4558,-37.9152,-39.346,-40.4245,-40.9561,-50.7401,-11.1747,-50.5861,-25.3962,-52.1354,-22.5132,-53.7434,-39.7014,-41.183,-18.5913,-36.4974,5.66255,-44.444,-25.9146,-42.6217,-15.5354,-40.0019,-15.2598,-46.8181,-47.1357,-45.3983,-35.8406,-36.6677,-50.7401,-44.444,-43.4663,-43.4556,-37.1557,-44.5877,-42.6642,-37.6366,-43.1138,-44.9547,-47.2078,-46.4814,-46.495,-46.6889,-52.6101,-51.2688,-51.7942,-33.3437,-47.505,-55.7531,-55.5606,-53.7119,-53.4825,-39.333,-37.2802,-27.0668,-32.4237,-35.3028,-36.7593,-38.4092,-42.8345,-44.4575,-45.1426,-46.2722,-44.9431,-47.0276,-41.3386,-43.7936,-36.1434,-43.5714,-45.5961,-45.8885,-45.8221,-41.607,-32.7394,-37.0196,-38.8727,-36.1447,-36.6018,-31.6269
gen=60_member=272_de,0.978409,1.09706,0.866206,0.755112,0.999367,0.682125,1.02709,0.892715,0.784035,1.23465,1.24314,1.20526,0.990096,0.984949,1.10237,1.25543,1.11244,1.04085,1.35084,1.30693,6.02337e+08,-26.6213,-30.4253,-34.2518,-37.8122,-40.7833,-42.5907,-45.0859,-50.6953,-50.3315,-49.2501,-38.3078,-31.3199,-28.0017,-33.1911,-36.8288,-39.8457,-42.7951,-44.8191,-50.3937,-50.9927,-50.4734,-44.814,-40.6316,-29.9406,-34.2683,-37.0682,-39.3534,-41.5559,-42.9848,-44.2292,-44.9555,-44.9487,-44.565,-43.646,-41.2979,-38.1479,-33.2158,-27.6811,-31.8651,-36.6604,-39.6524,-42.3836,-44.4461,-45.7307,-46.7653,-47.1981,-47.2161,-46.796,-45.8498,-43.8296,-42.1786,-39.6147,-36.0544,-32.1683,-35.7018,-38.3229,-40.3471,-42.7739,-44.4443,-45.6196,-54.1956,-53.5048,-48.913,-46.4595,-42.1903,-33.0573,-29.3063,-32.2267,-35.1541,-37.1365,-39.0247,-40.5389,-42.1379,-42.7043,-25.6001,-30.529,-34.4853,-37.472,-40.3126,-28.4399,-31.5463,-33.5803,-35.7509,-37.1625,-38.5251,-39.5529,-40.0654,-48.7251,-9.60779,-48.2021,-19.5251,-45.9072,-2.29656,-48.6484,3.42246,-41.6491,-21.0882,-37.3217,2.51654,-42.7553,-20.7525,-40.6356,-10.4132,-36.7803,-4.83479,-46.8323,-47.1493,-45.411,-35.8517,-36.8287,-48.7251,-42.7553,-43.6747,-43.6136,-37.23,-44.6987,-42.8116,-37.6509,-43.1316,-44.9742,-47.2283,-46.5062,-46.5253,-46.721,-52.1654,-50.8354,-51.4682,-33.3211,-47.3805,-53.3655,-53.6044,-49.6656,-49.8974,-39.3389,-37.2882,-26.7956,-32.4524,-34.8198,-36.009,-37.6241,-41.9328,-43.491,-44.1107,-45.1469,-43.7169,-45.7714,-40.3495,-42.6608,-36.2205,-43.6849,-45.7531,-45.898,-45.8327,-41.6132,-32.7446,-37.0249,-38.8809,-36.1543,-36.6059,-31.6316
gen=60_member=273_de,1.31798,1.20807,1.39432,1.44665,1.13712,1.18559,1.21873,1.23071,1.14097,1.23788,1.24624,1.20809,0.992303,1.04705,1.1726,1.44742,1.23402,1.17805,1.43701,1.4707,6.18074e+08,-29.0471,-33.068,-37.2048,-41.1025,-44.4011,-46.398,-49.0881,-55.1427,-55.0905,-53.8153,-40.8094,-33.3191,-29.965,-35.4108,-39.2912,-42.4776,-45.6022,-47.6307,-53.0809,-53.5036,-52.7507,-46.84,-42.594,-31.0487,-35.4856,-38.3509,-40.6885,-42.959,-44.3861,-45.4761,-46.1647,-46.0765,-45.554,-44.4738,-42.0118,-38.7794,-33.7775,-28.214,-32.047,-36.8456,-39.8452,-42.5771,-44.638,-45.9247,-46.9531,-47.3839,-47.4155,-46.9994,-46.0438,-44.0134,-42.3402,-39.7504,-36.1731,-32.2376,-35.7664,-38.3831,-40.4061,-42.8351,-44.505,-45.6772,-59.168,-59.1149,-53.8198,-50.575,-45.7735,-35.98,-31.2543,-34.4259,-37.6897,-39.9744,-42.1735,-44.0165,-45.5627,-46.0408,-28.0668,-33.3128,-37.6676,-41.0919,-44.5775,-30.2578,-33.339,-35.3276,-37.6265,-39.153,-40.6801,-41.8244,-42.375,-57.1241,-34.0124,-52.4289,-28.094,-57.3923,-40.3862,-56.8371,-47.0027,-44.9239,-34.0541,-46.3807,-37.6038,-48.0651,-38.3913,-48.5207,-38.8273,-44.7366,-34.2371,-46.9645,-47.2761,-45.5267,-35.941,-39.5373,-57.1241,-48.0651,-45.7375,-45.252,-38.1012,-45.9357,-44.3552,-37.7752,-43.3,-45.1636,-47.4318,-46.7574,-46.8392,-47.0579,-54.7971,-53.4741,-54.0575,-34.5909,-49.3502,-59.1247,-58.6082,-57.8443,-56.7455,-39.3742,-37.344,-27.5199,-32.7429,-36.0963,-37.7723,-39.5027,-44.1132,-45.8523,-46.6863,-47.9784,-46.8608,-48.9749,-42.92,-45.5692,-37.4328,-45.302,-47.7753,-45.9785,-45.9254,-41.6526,-32.7632,-37.0508,-38.9401,-36.2256,-36.6222,-31.6542
gen=60_member=274_de,1.22127,1.29286,1.47817,1.26437,1.12093,1.17463,1.23255,1.18235,1.13522,1.23776,1.24613,1.208,0.992233,1.04482,1.16847,1.42013,1.23698,1.1759,1.4322,1.4582,6.17791e+08,-28.9575,-32.9685,-37.0885,-40.9739,-44.255,-46.2435,-48.9345,-55.5888,-55.3437,-53.9819,-40.9262,-33.4159,-29.9003,-35.3385,-39.2125,-42.3952,-45.515,-47.5432,-52.9904,-53.4162,-52.6676,-46.7586,-42.5128,-30.9963,-35.4274,-38.2887,-40.6226,-42.8884,-44.315,-45.4132,-46.1042,-46.0209,-45.5056,-44.4337,-41.9778,-38.75,-33.7526,-28.1923,-32.0366,-36.8353,-39.8347,-42.5666,-44.6277,-45.9143,-46.9431,-47.3741,-47.405,-46.9888,-46.0337,-44.0039,-42.3319,-39.7433,-36.1668,-32.2325,-35.7617,-38.3787,-40.4018,-42.8308,-44.5007,-45.6731,-58.9479,-58.7626,-53.7118,-50.4548,-45.6787,-35.9054,-31.2195,-34.3864,-37.6461,-39.9296,-42.1309,-43.9766,-45.535,-46.0195,-27.9563,-33.1817,-37.5079,-40.8945,-44.3162,-30.2266,-33.3113,-35.3036,-37.6032,-39.1309,-40.6598,-41.8083,-42.3634,-55.9265,-26.7426,-53.6862,-34.9571,-58.3331,-48.3968,-56.4799,-31.227,-44.6933,-32.3036,-46.162,-36.2758,-48.1983,-40.0394,-47.7081,-33.7632,-44.6197,-33.6109,-46.9571,-47.269,-45.5202,-35.9359,-39.4388,-55.9265,-48.1983,-45.6285,-45.1678,-38.0612,-45.8753,-44.2765,-37.7687,-43.2912,-45.1538,-47.4211,-46.7446,-46.8233,-47.0408,-54.7047,-53.3872,-53.9688,-34.542,-49.2765,-59.1084,-58.564,-58.0866,-56.7492,-39.3707,-37.3397,-27.5151,-32.7275,-36.0869,-37.8494,-39.5688,-44.1782,-45.9105,-46.7217,-48.0055,-46.854,-48.9838,-42.901,-45.5616,-37.3816,-45.232,-47.6858,-45.9735,-45.9199,-41.649,-32.7597,-37.0475,-38.9357,-36.2206,-36.6192,-31.651
gen=60_member=275_de,1.19586,1.049,1.04443,1.12223,1.07371,0.846009,1.17834,1.11151,0.978577,1.23595,1.24439,1.20641,0.990993,1.00895,1.13226,1.36311,1.19771,1.1154,1.39404,1.39064,6.09712e+08,-27.9756,-31.9021,-35.9072,-39.6508,-42.804,-44.7121,-47.2938,-52.1609,-52.121,-51.0318,-39.2554,-32.0722,-28.8162,-34.1028,-37.8367,-40.9314,-43.9539,-45.9964,-51.5155,-52.0547,-51.4546,-45.7304,-41.5273,-30.3781,-34.7507,-37.5784,-39.8865,-42.1188,-43.5479,-44.729,-45.4394,-45.399,-44.9591,-43.9755,-41.5817,-38.3989,-33.439,-27.8928,-31.936,-36.7329,-39.728,-42.4596,-44.5217,-45.8072,-46.8395,-47.2716,-47.2951,-46.8768,-45.927,-43.9031,-42.2435,-39.6696,-36.1029,-32.1949,-35.7267,-38.3461,-40.3699,-42.7976,-44.4678,-45.642,-56.7288,-56.3704,-51.1482,-48.3582,-43.8282,-34.3852,-30.3406,-33.3962,-36.5027,-38.6438,-40.6905,-42.3711,-43.9194,-44.4279,-27.0282,-32.1532,-36.3587,-39.6177,-42.8704,-29.4026,-32.4906,-34.4959,-36.7306,-38.199,-39.6425,-40.7227,-41.2471,-53.4352,-24.597,-48.6068,-16.2784,-50.4596,-14.1233,-52.3531,-20.4382,-43.121,-27.5346,-40.5364,-8.73656,-46.4822,-33.9246,-45.613,-27.2357,-41.175,-19.3391,-46.8844,-47.1995,-45.4571,-35.888,-37.8711,-53.4352,-46.4822,-44.5169,-44.2755,-37.5752,-45.1921,-43.4338,-37.7015,-43.1991,-45.0498,-47.3089,-46.606,-46.6499,-46.8546,-53.4228,-52.1051,-52.6541,-33.838,-48.2151,-56.0547,-56.0397,-53.1628,-52.8774,-39.3522,-37.3096,-27.1642,-32.5662,-35.4737,-36.7694,-38.4601,-42.9221,-44.582,-45.3466,-46.5252,-45.3142,-47.3669,-41.6772,-44.1407,-36.6955,-44.3188,-46.5471,-45.9299,-45.8695,-41.6282,-32.7509,-37.0344,-38.9037,-36.1818,-36.6119,-31.6402
gen=60_member=276_de,1.1986,1.10755,1.17971,1.07226,1.05248,1.00427,1.15112,1.12295,1.05,1.2364,1.24482,1.2068,0.99129,1.02216,1.14021,1.37618,1.19112,1.13968,1.40298,1.40714,6.12062e+08,-28.2497,-32.1992,-36.2308,-40.0168,-43.1964,-45.1188,-47.7176,-52.996,-52.8899,-51.7261,-39.6526,-32.3918,-29.1936,-34.5415,-38.332,-41.4577,-44.518,-46.5456,-52.0347,-52.5224,-51.857,-46.0419,-41.8197,-30.5727,-34.9604,-37.7947,-40.1064,-42.3436,-43.7699,-44.9285,-45.6348,-45.5839,-45.1228,-44.1137,-41.7025,-38.5071,-33.5371,-27.9882,-31.9683,-36.7654,-39.7617,-42.4933,-44.555,-45.8408,-46.8721,-47.3039,-47.3297,-46.9121,-45.961,-43.9356,-42.2725,-39.6946,-36.1254,-32.2086,-35.7393,-38.358,-40.3815,-42.8095,-44.4796,-45.6532,-57.231,-56.9313,-51.7692,-48.8636,-44.2726,-34.7498,-30.6461,-33.743,-36.9097,-39.11,-41.2219,-42.9665,-44.5014,-44.9913,-27.2275,-32.3631,-36.58,-39.8563,-43.1244,-29.6893,-32.7788,-34.7808,-37.0397,-38.5297,-40.0034,-41.105,-41.6362,-54.0093,-24.876,-49.8631,-20.4729,-52.7975,-23.5018,-53.134,-17.186,-43.3186,-25.7303,-43.1545,-20.5688,-46.1934,-31.3643,-45.9913,-28.2469,-42.6478,-25.3272,-46.9078,-47.2221,-45.478,-35.9052,-38.4534,-54.0093,-46.1934,-44.8199,-44.5289,-37.7268,-45.397,-43.6752,-37.7247,-43.2291,-45.083,-47.3441,-46.6492,-46.7033,-46.9116,-53.7789,-52.4574,-53.0541,-34.082,-48.5717,-56.8113,-56.6316,-54.4929,-53.8111,-39.3601,-37.3208,-27.2867,-32.6165,-35.687,-37.0754,-38.7822,-43.2914,-44.978,-45.7739,-46.9902,-45.8382,-47.8849,-42.1112,-44.6292,-36.9261,-44.6227,-46.9215,-45.9448,-45.8865,-41.6366,-32.7571,-37.041,-38.9154,-36.1956,-36.6162,-31.6459
gen=60_member=277_de,1.39267,1.15419,1.20498,1.19274,1.05626,0.944617,1.14635,1.1043,0.992781,1.23629,1.24472,1.2067,0.991221,1.01786,1.137,1.44522,1.19124,1.12414,1.41982,1.45129,6.12254e+08,-28.1417,-32.0843,-36.1121,-39.8888,-43.0782,-45.0159,-47.655,-53.6932,-53.6101,-52.427,-40.0423,-32.7017,-29.096,-34.4265,-38.2042,-41.3314,-44.3909,-46.4389,-51.9684,-52.4874,-51.8627,-46.1404,-41.9393,-30.5027,-34.8846,-37.716,-40.0257,-42.2605,-43.6876,-44.8548,-45.563,-45.5163,-45.063,-44.063,-41.658,-38.4669,-33.5002,-27.9521,-31.9552,-36.7524,-39.7483,-42.48,-44.5418,-45.8276,-46.8592,-47.2912,-47.3161,-46.8981,-45.9474,-43.9224,-42.2605,-39.6839,-36.1153,-32.202,-35.7333,-38.3523,-40.3759,-42.8039,-44.4742,-45.648,-58.1243,-58.2006,-52.7126,-49.6816,-44.9718,-35.3146,-30.4931,-33.5673,-36.6987,-38.8628,-40.9373,-42.6527,-44.2304,-44.7488,-27.1704,-32.3081,-36.5276,-39.802,-43.0694,-29.5463,-32.6355,-34.641,-36.8898,-38.3719,-39.836,-40.9377,-41.4766,-57.0365,-39.9468,-50.8278,-23.9046,-53.9127,-25.4211,-54.3651,-25.6474,-43.2117,-26.0225,-42.2063,-15.9419,-46.1935,-30.9309,-45.7258,-26.6634,-41.6009,-20.5038,-46.8983,-47.2129,-45.4693,-35.8975,-38.2593,-57.0365,-46.1935,-44.7052,-44.4344,-37.6724,-45.3228,-43.5854,-37.7145,-43.2168,-45.0697,-47.3303,-46.6324,-46.6828,-46.8899,-53.8972,-52.5486,-53.1053,-34.0483,-48.5658,-57.6688,-57.2397,-55.6693,-54.8746,-39.3557,-37.3153,-27.2334,-32.597,-35.5947,-37.1282,-38.8111,-43.3093,-44.9793,-45.7228,-46.9182,-45.6562,-47.7721,-41.9172,-44.4487,-36.8528,-44.5231,-46.7941,-45.9385,-45.8794,-41.6322,-32.7525,-37.0368,-38.9098,-36.1892,-36.6147,-31.6438
gen=60_member=278_de,0.826781,1.19948,1.07621,1.01036,0.95022,0.99772,1.04995,0.987371,0.891711,1.23562,1.24407,1.20611,0.990762,1.01132,1.11701,1.22822,1.13254,1.08218,1.3606,1.31104,6.06847e+08,-27.2748,-31.1387,-35.049,-38.7066,-41.767,-43.6256,-46.1719,-52.3071,-51.8877,-50.6756,-39.078,-31.936,-28.7809,-34.093,-37.846,-40.9301,-43.9546,-45.9494,-51.4284,-51.9155,-51.2537,-45.3843,-41.1543,-30.3112,-34.6672,-37.4786,-39.7693,-41.9797,-43.4021,-44.6035,-45.3219,-45.2954,-44.8712,-43.9038,-41.522,-38.3477,-33.3955,-27.8544,-31.9229,-36.719,-39.7132,-42.4444,-44.5064,-45.7915,-46.8241,-47.2562,-47.2784,-46.8595,-45.9104,-43.8871,-42.2293,-39.6575,-36.092,-32.1908,-35.7226,-38.3423,-40.3661,-42.7935,-44.4636,-45.6379,-54.821,-53.9109,-49.8096,-47.1369,-42.8096,-33.5713,-29.8624,-32.8565,-35.8851,-37.9607,-39.9474,-41.5651,-43.1514,-43.6924,-26.2265,-31.2322,-35.2852,-38.3842,-41.3885,-28.9588,-32.0603,-34.0831,-36.2932,-37.7405,-39.1542,-40.2195,-40.7457,-47.5215,-0.0512336,-50.4679,-27.1778,-49.7954,-16.1208,-51.2227,-12.8578,-41.9523,-17.3523,-42.6686,-19.996,-43.6313,-22.6212,-42.8264,-17.3449,-39.2424,-12.6335,-46.8738,-47.189,-45.4472,-35.8799,-37.984,-47.5215,-43.6313,-44.2422,-44.0894,-37.5128,-45.0838,-43.2656,-37.6902,-43.1844,-45.0334,-47.2919,-46.5845,-46.6229,-46.8258,-52.8864,-51.5799,-52.2779,-33.7837,-48.0641,-54.5529,-54.6807,-51.7907,-51.7141,-39.3506,-37.3063,-27.0046,-32.5447,-35.1902,-36.5742,-38.2167,-42.6139,-44.2215,-44.8924,-45.9999,-44.6507,-46.7254,-41.1056,-43.524,-36.6584,-44.2662,-46.4713,-45.9232,-45.8618,-41.6261,-32.7517,-37.0338,-38.9,-36.1773,-36.6105,-31.6382
gen=60_member=279_de,1.20338,1.17439,1.1815,1.10005,1.0721,0.963502,1.21348,1.17773,1.04129,1.23643,1.24485,1.20683,0.991314,1.02086,1.14166,1.38286,1.22015,1.14114,1.40809,1.41415,6.13029e+08,-28.4658,-32.4358,-36.5038,-40.3173,-43.5413,-45.4928,-48.1259,-53.5853,-53.3553,-52.1249,-39.8933,-32.5876,-29.2014,-34.5408,-38.3263,-41.4573,-44.5168,-46.5582,-52.0444,-52.5435,-51.8915,-46.107,-41.8891,-30.5664,-34.9549,-37.7907,-40.1043,-42.3439,-43.7711,-44.9286,-45.634,-45.582,-45.1204,-44.111,-41.6993,-38.5035,-33.5329,-27.9834,-31.9671,-36.7643,-39.7605,-42.4921,-44.5538,-45.8396,-46.8708,-47.3026,-47.3282,-46.9105,-45.9591,-43.9334,-42.2702,-39.692,-36.1223,-32.2078,-35.7387,-38.3574,-40.3809,-42.8089,-44.479,-45.6527,-57.5852,-57.2537,-52.024,-49.0813,-44.4678,-34.9132,-30.7347,-33.8389,-37.0101,-39.2092,-41.3172,-43.0656,-44.62,-45.1197,-27.5236,-32.7106,-36.9941,-40.3393,-43.7172,-29.7715,-32.8551,-34.8526,-37.1141,-38.6071,-40.0865,-41.1956,-41.7331,-54.2993,-25.2486,-51.0483,-25.403,-53.0963,-23.6664,-53.5674,-19.1108,-43.4645,-27.4581,-42.5663,-17.3912,-47.4654,-37.69,-47.1452,-33.2313,-42.6194,-24.5867,-46.9068,-47.2209,-45.4765,-35.903,-38.3934,-54.2993,-47.4654,-44.8317,-44.5329,-37.7215,-45.394,-43.6779,-37.7219,-43.2269,-45.0811,-47.3427,-46.6474,-46.7015,-46.91,-53.9175,-52.6056,-53.1495,-34.0808,-48.5918,-57.1938,-57.0518,-54.8153,-54.1535,-39.3599,-37.3203,-27.3202,-32.615,-35.7424,-37.24,-38.9439,-43.4715,-45.164,-45.9493,-47.1752,-45.9866,-48.0793,-42.2095,-44.7596,-36.9129,-44.6049,-46.8998,-45.9438,-45.8854,-41.6363,-32.7574,-37.041,-38.9148,-36.1949,-36.6161,-31.6453
