real_name,hmuni1,hmuni2,hmuni3,hmuni4,hmuni5,hmuni6,hmuni7,hmuni8,hmuni9,hpz01,hpz02,hpz03,hpz04,hpz05,hpz06,hpz07,hpz08,hpz09,hpz10,hpz11,vlens,zert01,zert02,zert03,zert04,zert05,zert06,zert07,zert08,zert09,zert10,zert11,zert12,zert13,zert14,zert15,zert16,zert17,zert18,zert19,zert20,zert21,zert22,zert23,zert24,zert25,zert26,zert27,zert28,zert29,zert30,zert31,zert32,zert33,zert34,zert35,zert36,zert37,zert38,zert39,zert40,zert41,zert42,zert43,zert44,zert45,zert46,zert47,zert48,zert49,zert50,zert51,zert52,zert53,zert54,zert55,zert56,zert57,zert58,zert59,zert60,zert61,zert62,zert63,zert64,zert65,zert66,zert67,zert68,zert69,zert70,zert71,zert72,zert73,zert74,zert75,zert76,zert77,zert78,zert79,zert80,zert81,zert82,zert83,zert84,zert85,zert86,zert87,zmuni1,zmuni1_pct,zmuni2,zmuni2_pct,zmuni3,zmuni3_pct,zmuni4,zmuni4_pct,zmuni5,zmuni5_pct,zmuni6,zmuni6_pct,zmuni7,zmuni7_pct,zmuni8,zmuni8_pct,zmuni9,zmuni9_pct,zpz01,zpz02,zpz03,zpz04,zpz05,zpz07,zpz08,ztdem01,ztdem02,ztdem03,ztdem05,ztdem08,ztdem12,ztdem14,ztdem15,ztdem17,ztdem20,ztdem21,ztdem22,ztdem32,ztdem33,ztdem34,ztdem35,ztdem37,ztdem41,ztdem42,ztdem43,ztdem44,ztdem45,ztdem46,ztdem47,ztdem48,ztdem49,ztdem51,ztdem52,ztdem53,ztdem54,ztdem55,ztdem56,ztdem57,ztdem58,ztdem59,ztdem61,ztdem62,ztdem63,ztdem64,ztdem65,ztdem66,ztdem68,ztdem69,ztdem71,ztdem74,ztdem75,ztdem80,ztdem81
gen=30_member=870_de,1.25038,1.26031,1.40484,1.44531,1.11403,1.15853,1.22755,1.20025,1.12799,1.23755,1.24593,1.2078,0.992074,1.04282,1.1658,1.42591,1.23515,1.17355,1.43194,1.4587,6.17592e+08,-28.9577,-32.9691,-37.0915,-40.9762,-44.2606,-46.2505,-48.9389,-55.373,-55.214,-53.8949,-40.8607,-33.3612,-29.8524,-35.2826,-39.1502,-42.3301,-45.4462,-47.4767,-52.9278,-53.3601,-52.6202,-46.7259,-42.4835,-30.9623,-35.3889,-38.2473,-40.5788,-42.8416,-44.268,-45.3714,-46.0636,-45.9829,-45.4724,-44.406,-41.9538,-38.7286,-33.7329,-28.1725,-32.0336,-36.8318,-39.8307,-42.5624,-44.6234,-45.91,-46.9389,-47.3699,-47.4005,-46.9842,-46.0296,-44.0004,-42.3294,-39.742,-36.1666,-32.2334,-35.7624,-38.3794,-40.4024,-42.8312,-44.501,-45.6735,-58.9169,-58.7605,-53.6647,-50.4227,-45.6498,-35.8817,-31.1973,-34.3603,-37.6135,-39.8898,-42.0822,-43.919,-45.4751,-45.9599,-27.9706,-33.201,-37.5353,-40.9336,-44.377,-30.2057,-33.2885,-35.2797,-37.5758,-39.1002,-40.6247,-41.7692,-42.3219,-56.1841,-20.0581,-53.1726,-24.6485,-57.4242,-36.3567,-56.8251,-42.4161,-44.5672,-25.6726,-45.8937,-28.7436,-48.1229,-34.2811,-47.9809,-30.2469,-44.4821,-26.6851,-46.9548,-47.2669,-45.5187,-35.9361,-39.3576,-56.1841,-48.1229,-45.5572,-45.1121,-38.0314,-45.8336,-44.2243,-37.768,-43.2884,-45.1499,-47.4164,-46.7383,-46.8147,-47.0313,-54.6669,-53.3482,-53.9237,-34.5093,-49.2331,-58.9671,-58.4723,-57.7306,-56.6724,-39.3724,-37.3406,-27.5054,-32.7205,-36.0666,-37.7916,-39.5122,-44.1161,-45.8471,-46.6613,-47.943,-46.7948,-48.9205,-42.8564,-45.5068,-37.342,-45.1795,-47.6196,-45.9731,-45.9191,-41.6504,-32.7634,-37.05,-38.9364,-36.2211,-36.6212,-31.653
gen=80_member=897_de,0.657964,0.7255,0.772496,1.09222,0.926776,0.622539,1.00382,0.902878,0.728958,1.23389,1.24242,1.2046,0.989577,0.972896,1.08181,1.12084,1.09312,1.01475,1.31616,1.22109,5.9799e+08,-26.2166,-29.9828,-33.7587,-37.2495,-40.1542,-41.9123,-44.3192,-47.7045,-48.0888,-47.3652,-37.1449,-30.381,-27.6268,-32.7703,-36.3654,-39.349,-42.2624,-44.2732,-49.8346,-50.4481,-49.9498,-44.2774,-40.093,-29.6907,-33.9893,-36.7693,-39.037,-41.217,-42.6439,-43.9282,-44.6655,-44.681,-44.3321,-43.4527,-41.1327,-38.0032,-33.0888,-27.5628,-31.8232,-36.6176,-39.6078,-42.3388,-44.4017,-45.6857,-46.7217,-47.155,-47.1698,-46.7488,-45.8048,-43.787,-42.141,-39.5832,-36.0267,-32.1518,-35.6862,-38.3084,-40.3329,-42.7591,-44.4297,-45.6057,-52.2426,-50.943,-47.1329,-44.9092,-40.862,-31.9839,-28.9283,-31.7988,-34.6571,-36.5739,-38.385,-39.8094,-41.3629,-41.9202,-25.23,-30.1196,-34.0321,-36.9793,-39.7793,-28.0856,-31.1893,-33.2243,-35.3602,-36.7388,-38.0525,-39.0329,-39.5165,-42.8261,-24.2493,-41.4638,-27.563,-42.9714,-25.8158,-47.8605,-34.5217,-40.5215,-30.6278,-35.9841,-18.6826,-41.9181,-33.3063,-40.3071,-28.7573,-35.3297,-29.2932,-46.8015,-47.1198,-45.384,-35.8308,-36.3069,-42.8261,-41.9181,-43.1448,-43.2076,-37.0323,-44.4064,-42.4323,-37.622,-43.0925,-44.9303,-47.181,-46.4479,-46.4524,-46.6429,-51.4959,-50.1939,-50.8559,-33.0497,-46.9315,-51.3053,-51.9295,-47.1829,-48.0785,-39.3298,-37.2747,-26.635,-32.3858,-34.5335,-35.2401,-36.8666,-41.0926,-42.6256,-43.2781,-44.273,-42.9124,-44.8607,-39.7636,-41.9305,-35.9623,-43.3333,-45.3049,-45.879,-45.811,-41.6032,-32.7385,-37.0177,-38.8666,-36.1373,-36.601,-31.6256
gen=55_member=143_de,0.806559,1.09847,0.956405,1.03086,0.937459,0.722842,1.02976,0.934593,0.787036,1.23444,1.24294,1.20507,0.989944,0.984554,1.09276,1.20399,1.1151,1.04378,1.34524,1.28605,6.02595e+08,-26.7408,-30.5572,-34.4047,-37.9846,-40.9819,-42.8057,-45.317,-51.052,-50.7852,-49.6944,-38.508,-31.4764,-28.0116,-33.2075,-36.8553,-39.8811,-42.8375,-44.8588,-50.4107,-50.997,-50.4635,-44.7802,-40.5923,-29.8762,-34.1923,-36.9819,-39.2567,-41.4463,-42.8719,-44.131,-44.8625,-44.8651,-44.4933,-43.5871,-41.2484,-38.1051,-33.179,-27.6478,-31.8518,-36.6469,-39.6384,-42.3695,-44.4322,-45.7166,-46.7517,-47.1846,-47.2017,-46.7813,-45.8358,-43.8163,-42.1669,-39.6049,-36.0458,-32.1623,-35.6962,-38.3176,-40.342,-42.7686,-44.4392,-45.6147,-53.959,-52.9984,-48.9692,-46.436,-42.1941,-33.0663,-29.3712,-32.2987,-35.2337,-37.2209,-39.1129,-40.6339,-42.2385,-42.8065,-25.7363,-30.6878,-34.6749,-37.7008,-40.6047,-28.5002,-31.6038,-33.6351,-35.8087,-37.2232,-38.5905,-39.6227,-40.1379,-46.4649,-28.1909,-48.4258,-49.7231,-47.3646,-30.9341,-50.1126,-30.3488,-40.9796,-27.9213,-37.8908,-23.9677,-42.8727,-32.7684,-41.4621,-29.2404,-36.9124,-29.6926,-46.8225,-47.14,-45.4026,-35.8453,-36.8113,-46.4649,-42.8727,-43.4774,-43.4735,-37.175,-44.6096,-42.6833,-37.642,-43.1194,-44.9605,-47.2136,-46.4881,-46.5027,-46.6969,-52.1449,-50.8277,-51.4629,-33.3068,-47.3668,-53.4659,-53.7184,-50.2411,-50.5287,-39.3352,-37.2832,-26.8186,-32.4322,-34.86,-36.0929,-37.7091,-42.0292,-43.5928,-44.2136,-45.2582,-43.8223,-45.8937,-40.4273,-42.7556,-36.1733,-43.6161,-45.6566,-45.8919,-45.8259,-41.6093,-32.7411,-37.0215,-38.8757,-36.1483,-36.6041,-31.6297
gen=43_member=1266_de,1.03531,1.04329,1.14193,1.03961,1.0845,0.901297,1.12962,1.09361,0.976097,1.23619,1.24462,1.20662,0.991155,1.01348,1.13789,1.31143,1.1754,1.1129,1.38346,1.36384,6.09317e+08,-27.8554,-31.7712,-35.7584,-39.4893,-42.6236,-44.5199,-47.0885,-52.0454,-52.0062,-50.9077,-39.1731,-32.0058,-28.8917,-34.1958,-37.9405,-41.0299,-44.0533,-46.0755,-51.5792,-52.0943,-51.4631,-45.6686,-41.4514,-30.4623,-34.8441,-37.6775,-39.9903,-42.2285,-43.6577,-44.8264,-45.5338,-45.4867,-45.0358,-44.0394,-41.6366,-38.4472,-33.4817,-27.9333,-31.9499,-36.7469,-39.7427,-42.4743,-44.5362,-45.8218,-46.8536,-47.2856,-47.3101,-46.892,-45.9414,-43.9166,-42.2552,-39.6791,-36.1109,-32.1999,-35.7313,-38.3504,-40.3741,-42.8019,-44.4721,-45.646,-56.1528,-55.5694,-50.7952,-48.0127,-43.5409,-34.1544,-30.2832,-33.3325,-36.4328,-38.5707,-40.6157,-42.2919,-43.8372,-44.3449,-26.8616,-31.9583,-36.1283,-39.3546,-42.5561,-29.3496,-32.4407,-34.4488,-36.6814,-38.1477,-39.588,-40.6654,-41.1882,-51.1673,-23.4358,-48.4518,-22.9023,-51.4572,-26.8631,-52.0643,-20.9509,-43.3831,-32.5005,-41.4543,-19.381,-45.505,-33.3559,-45.1479,-30.3542,-41.0697,-26.0814,-46.8942,-47.2088,-45.4654,-35.894,-38.0712,-51.1673,-45.505,-44.6806,-44.4045,-37.6418,-45.2881,-43.555,-37.71,-43.2113,-45.0638,-47.3242,-46.6249,-46.6737,-46.8803,-53.3035,-51.9911,-52.5973,-33.8812,-48.2374,-55.7361,-55.7208,-53.2118,-52.7219,-39.3545,-37.3135,-27.146,-32.5885,-35.4406,-36.7148,-38.4025,-42.8549,-44.5093,-45.2697,-46.4402,-45.2301,-47.2705,-41.6133,-44.0649,-36.7821,-44.438,-46.7018,-45.9356,-45.8762,-41.6308,-32.7517,-37.0358,-38.9079,-36.187,-36.6128,-31.6416
gen=20_member=588_de,1.18938,1.03172,1.09786,1.28409,1.06105,0.825157,1.16799,1.09125,0.948933,1.23582,1.24427,1.20629,0.990901,1.00621,1.12816,1.36541,1.19272,1.10592,1.39568,1.39555,6.09368e+08,-27.8603,-31.7769,-35.7696,-39.4989,-42.6441,-44.551,-47.141,-52.2885,-52.3715,-51.3061,-39.3746,-32.1626,-28.7403,-34.0171,-37.7432,-40.835,-43.8539,-45.9008,-51.4323,-51.9823,-51.3969,-45.7005,-41.5043,-30.3222,-34.6888,-37.5125,-39.8172,-42.0451,-43.474,-44.6635,-45.3763,-45.3405,-44.9081,-43.9328,-41.5451,-38.3666,-33.4106,-27.8665,-31.9252,-36.722,-39.7168,-42.4484,-44.5106,-45.796,-46.8286,-47.2609,-47.2836,-46.8651,-45.9158,-43.8922,-42.2336,-39.6608,-36.0947,-32.1893,-35.7214,-38.3411,-40.365,-42.7927,-44.463,-45.6373,-56.8185,-56.4965,-51.4222,-48.5641,-44.01,-34.5321,-30.2306,-33.2704,-36.3545,-38.4743,-40.4991,-42.1596,-43.723,-44.2433,-26.9242,-32.0375,-36.2284,-39.47,-42.6971,-29.3003,-32.3889,-34.3967,-36.6238,-38.0858,-39.5208,-40.597,-41.1223,-53.5375,-35.7194,-48.4449,-28.1348,-51.4331,-29.2741,-53.2743,-39.7869,-42.9063,-34.4765,-40.1482,-20.2229,-46.2655,-39.6493,-45.2211,-33.2939,-40.5827,-30.0137,-46.8763,-47.1917,-45.4497,-35.8816,-37.7508,-53.5375,-46.2655,-44.4049,-44.1884,-37.5317,-45.1285,-43.3519,-37.6931,-43.1889,-45.0387,-47.2972,-46.5919,-46.6327,-46.8363,-53.3784,-52.0534,-52.5971,-33.796,-48.1623,-56.261,-56.1371,-53.7426,-53.417,-39.3483,-37.3048,-27.1271,-32.5502,-35.4048,-36.7258,-38.4056,-42.8542,-44.5034,-45.2456,-46.4098,-45.1548,-47.2274,-41.5332,-43.9894,-36.6406,-44.2431,-46.4496,-45.9243,-45.8634,-41.6242,-32.7469,-37.0306,-38.8988,-36.1763,-36.6092,-31.6375
gen=26_member=752_de,1.21634,1.1604,1.30661,1.13862,1.0835,1.08733,1.20162,1.17577,1.06015,1.23703,1.24543,1.20735,0.991729,1.03313,1.15357,1.39764,1.21823,1.14801,1.41654,1.43042,6.14566e+08,-28.5583,-32.5358,-36.6134,-40.4412,-43.6766,-45.6362,-48.2836,-53.9467,-53.8283,-52.5997,-40.1379,-32.7807,-29.5435,-34.9352,-38.7667,-41.9212,-45.0106,-47.0389,-52.5027,-52.9591,-52.2518,-46.3884,-42.1537,-30.7763,-35.1843,-38.0311,-40.353,-42.6034,-44.0295,-45.1591,-45.8579,-45.7912,-45.3042,-44.2649,-41.832,-38.6206,-33.6365,-28.0804,-32.0018,-36.7995,-39.7972,-42.5288,-44.5902,-45.8764,-46.9064,-47.3378,-47.366,-46.9491,-45.9961,-43.9686,-42.3014,-39.7185,-36.1461,-32.2209,-35.7508,-38.3686,-40.3918,-42.8203,-44.4902,-45.6633,-58.0337,-57.7801,-52.5964,-49.5473,-44.8735,-35.2429,-30.829,-33.9454,-37.1338,-39.3495,-41.4757,-43.2429,-44.7968,-45.2927,-27.6001,-32.7923,-37.0811,-40.4317,-43.8139,-29.8602,-32.9437,-34.9399,-37.2084,-38.7079,-40.1965,-41.3126,-41.8529,-54.9476,-22.9958,-51.1006,-22.6766,-55.1788,-30.9432,-54.4762,-19.8299,-43.9645,-27.0093,-44.6334,-25.81,-47.3819,-35.0699,-47.2112,-31.2978,-43.022,-24.9499,-46.9319,-47.245,-45.4987,-35.9206,-38.9321,-54.9476,-47.3819,-45.2043,-44.8329,-37.8835,-45.6239,-43.9615,-37.7465,-43.2593,-45.1172,-47.3812,-46.695,-46.7607,-46.9734,-54.2377,-52.922,-53.5063,-34.3019,-48.9132,-57.8217,-57.5031,-56.0284,-55.0315,-39.3658,-37.3305,-27.3559,-32.6703,-35.8077,-37.3425,-39.0512,-43.5947,-45.2961,-46.0901,-47.3287,-46.1516,-48.25,-42.342,-44.912,-37.1413,-44.9131,-47.2868,-45.9591,-45.903,-41.6432,-32.7589,-37.0447,-38.9258,-36.2083,-36.6185,-31.6491
gen=84_member=994_de,0.871812,1.18031,1.13552,1.32194,0.887617,0.754937,1.11073,0.957823,0.826706,1.23434,1.24285,1.20499,0.989888,0.986401,1.08632,1.25235,1.15652,1.06275,1.36677,1.33044,6.05408e+08,-27.1369,-30.9885,-34.8882,-38.5238,-41.5822,-43.4471,-46.0201,-52.6422,-52.4211,-51.2451,-39.3433,-32.141,-28.1635,-33.3765,-37.0506,-40.1113,-43.0957,-45.14,-50.6843,-51.2688,-50.7344,-45.0926,-40.9116,-29.8557,-34.1643,-36.9462,-39.213,-41.3927,-42.8153,-44.0829,-44.818,-44.8269,-44.4616,-43.5619,-41.228,-38.0881,-33.165,-27.636,-31.8468,-36.6418,-39.6331,-42.3643,-44.427,-45.7114,-46.7467,-47.1798,-47.1965,-46.7762,-45.8312,-43.8125,-42.164,-39.6032,-36.0451,-32.1607,-35.6946,-38.3163,-40.3407,-42.7673,-44.4378,-45.6135,-55.2548,-54.4704,-50.4427,-47.6387,-43.2457,-33.9228,-29.6676,-32.6323,-35.6158,-37.6454,-39.5831,-41.1586,-42.7818,-43.3503,-26.1727,-31.1833,-35.2427,-38.3364,-41.3359,-28.7769,-31.8768,-33.9024,-36.0973,-37.532,-38.9291,-39.9878,-40.5175,-48.5828,-28.9456,-50.3989,-39.285,-51.1894,-32.9438,-52.9908,-54.2642,-40.4839,-25.1833,-38.4248,-21.5602,-44.6879,-36.3237,-42.3695,-30.2938,-37.9537,-29.6168,-46.8192,-47.137,-45.4002,-35.8447,-36.8904,-48.5828,-44.6879,-43.365,-43.3996,-37.1559,-44.5702,-42.6171,-37.6408,-43.1162,-44.9563,-47.2083,-46.4816,-46.494,-46.6872,-52.6021,-51.2823,-51.8502,-33.4034,-47.5793,-55.1021,-55.0577,-52.8406,-52.7603,-39.3346,-37.282,-26.9329,-32.4242,-35.0638,-36.5224,-38.1435,-42.5195,-44.1079,-44.7327,-45.8148,-44.3664,-46.4963,-40.8385,-43.2507,-36.1813,-43.6151,-45.6388,-45.8903,-45.824,-41.6086,-32.7412,-37.0213,-38.8744,-36.1466,-36.6039,-31.6294
gen=95_member=1322_de,0.815827,1.01767,0.915529,1.26556,0.939318,0.726381,1.16196,1.06951,0.795832,1.23458,1.24308,1.20521,0.990057,0.987176,1.09467,1.21309,1.178,1.05238,1.35323,1.29391,6.04231e+08,-27.2106,-31.0713,-34.9958,-38.6305,-41.7099,-43.5803,-46.1252,-50.8965,-50.8337,-49.8036,-38.5352,-31.4943,-28.1764,-33.3835,-37.0484,-40.0993,-43.0707,-45.1089,-50.6261,-51.205,-50.6607,-44.9768,-40.7834,-29.9125,-34.2313,-37.022,-39.2974,-41.4879,-42.9129,-44.1674,-44.8977,-44.8981,-44.5222,-43.6112,-41.2689,-38.123,-33.1944,-27.6621,-31.8562,-36.6516,-39.6434,-42.3747,-44.4373,-45.7218,-46.7567,-47.1896,-47.2071,-46.7868,-45.841,-43.8212,-42.1711,-39.6084,-36.0487,-32.1635,-35.6974,-38.3188,-40.3432,-42.7699,-44.4404,-45.6159,-54.4985,-53.4464,-49.2057,-46.6484,-42.3778,-33.2155,-29.5734,-32.5226,-35.4768,-37.4711,-39.3606,-40.8871,-42.4875,-43.0516,-26.3736,-31.4374,-35.5719,-38.7534,-41.9112,-28.6859,-31.7746,-33.7925,-35.9695,-37.3872,-38.7603,-39.7945,-40.3087,-46.856,-27.3249,-47.3566,-33.7897,-47.0881,-27.6546,-51.0373,-42.5588,-41.0557,-28.877,-38.0378,-24.8875,-45.6279,-43.1805,-44.2754,-33.2223,-37.2905,-30.4654,-46.8259,-47.1432,-45.4054,-35.8472,-36.9205,-46.856,-45.6279,-43.5351,-43.5206,-37.2009,-44.646,-42.7282,-37.645,-43.1239,-44.9656,-47.2191,-46.4951,-46.5115,-46.7064,-52.5054,-51.2169,-51.7734,-33.3843,-47.52,-53.8754,-54.2786,-50.3792,-50.8737,-39.3358,-37.2843,-26.876,-32.4401,-34.9612,-36.1572,-37.7935,-42.1411,-43.7273,-44.3842,-45.4602,-44.0565,-46.1483,-40.6193,-42.9671,-36.2164,-43.6709,-45.7208,-45.8937,-45.828,-41.61,-32.7414,-37.0219,-38.8769,-36.1497,-36.6036,-31.6292
gen=83_member=970_de,1.14319,0.944476,1.08372,0.956234,1.12368,0.788005,1.1158,1.07443,0.906709,1.23596,1.2444,1.20642,0.991003,1.00555,1.13705,1.33933,1.16687,1.08869,1.38396,1.37339,6.07686e+08,-27.5672,-31.4581,-35.4153,-39.104,-42.211,-44.0939,-46.6511,-51.1719,-51.3063,-50.3124,-38.8301,-31.7281,-28.6526,-33.9167,-37.6226,-40.6888,-43.6872,-45.7204,-51.2637,-51.8188,-51.2379,-45.5216,-41.3224,-30.3742,-34.7517,-37.5856,-39.9006,-42.1413,-43.5738,-44.7499,-45.4578,-45.4131,-44.97,-43.9836,-41.5876,-38.4033,-33.4419,-27.8947,-31.938,-36.7348,-39.73,-42.4615,-44.5235,-45.809,-46.8412,-47.2733,-47.2969,-46.8785,-45.9286,-43.9044,-42.2445,-39.6701,-36.103,-32.1963,-35.7279,-38.3473,-40.371,-42.7986,-44.4688,-45.6429,-56.1353,-55.7323,-50.6461,-47.9249,-43.4442,-34.0694,-29.9833,-32.9911,-36.0317,-38.1115,-40.093,-41.706,-43.2635,-43.789,-26.6251,-31.7014,-35.8479,-39.0475,-42.2181,-29.069,-32.1589,-34.1705,-36.3789,-37.8238,-39.234,-40.2896,-40.8052,-52.3999,-34.0795,-46.6474,-27.2551,-50.4462,-33.2555,-51.2568,-22.7141,-43.5421,-41.8101,-39.6077,-22.3494,-45.1359,-36.455,-44.6242,-33.733,-39.6047,-28.4031,-46.8857,-47.2006,-45.4578,-35.888,-37.7257,-52.3999,-45.1359,-44.5834,-44.3132,-37.5769,-45.2049,-43.4658,-37.7017,-43.2002,-45.0512,-47.3107,-46.6083,-46.6529,-46.8579,-53.1084,-51.7819,-52.3652,-33.748,-48.0411,-55.4653,-55.4261,-52.7231,-52.2293,-39.3534,-37.3108,-27.0298,-32.5686,-35.233,-36.3996,-38.0735,-42.479,-44.1083,-44.8415,-45.976,-44.7116,-46.7559,-41.1863,-43.582,-36.6661,-44.2868,-46.5195,-45.9304,-45.8701,-41.6293,-32.7529,-37.0358,-38.9049,-36.1831,-36.6116,-31.64
gen=77_member=788_de,1.2141,1.24782,1.24449,1.33502,1.07321,1.0863,1.22038,1.18552,1.08248,1.23704,1.24544,1.20737,0.991743,1.03278,1.15172,1.39784,1.22705,1.15668,1.41788,1.43082,6.15192e+08,-28.6936,-32.6827,-36.7754,-40.6223,-43.8737,-45.8428,-48.5019,-54.5701,-54.3084,-53.0148,-40.3863,-32.9833,-29.5495,-34.9409,-38.7742,-41.9331,-45.0248,-47.057,-52.5164,-52.9734,-52.2671,-46.4091,-42.1747,-30.7574,-35.1631,-38.0078,-40.3277,-42.5756,-44.0012,-45.1341,-45.8339,-45.7693,-45.285,-44.2487,-41.8179,-38.6081,-33.6255,-28.0706,-31.9963,-36.7942,-39.7918,-42.5235,-44.5849,-45.871,-46.9011,-47.3325,-47.3603,-46.9431,-45.9901,-43.9624,-42.2953,-39.7125,-36.1398,-32.2174,-35.7476,-38.3656,-40.389,-42.8174,-44.4874,-45.6605,-58.1186,-57.8381,-52.718,-49.6451,-44.9702,-35.3268,-30.9548,-34.0872,-37.298,-39.5348,-41.6845,-43.4769,-45.0349,-45.5287,-27.7263,-32.9319,-37.2368,-40.6038,-44.0071,-29.9781,-33.062,-35.0571,-37.3358,-38.8446,-40.3467,-41.4742,-42.0202,-54.9527,-21.487,-52.5261,-27.0188,-54.5897,-24.2148,-55.2486,-32.2622,-43.842,-23.6444,-44.6041,-24.8197,-47.7667,-35.7179,-47.486,-30.3726,-43.5122,-24.5229,-46.9276,-47.2407,-45.4942,-35.9156,-38.9127,-54.9527,-47.7667,-45.1587,-44.7989,-37.8682,-45.6006,-43.93,-37.7404,-43.2532,-45.1111,-47.3755,-46.6881,-46.7528,-46.9653,-54.2837,-52.9719,-53.5415,-34.3,-48.9219,-57.9135,-57.651,-55.9316,-55.2652,-39.3634,-37.3277,-27.4084,-32.6632,-35.8991,-37.5313,-39.2405,-43.8053,-45.5148,-46.3085,-47.5598,-46.3831,-48.4956,-42.5236,-45.1259,-37.1263,-44.8918,-47.2577,-45.9556,-45.8992,-41.6408,-32.7566,-37.0425,-38.9229,-36.205,-36.6163,-31.6465
