real_name,hmuni1,hmuni2,hmuni3,hmuni4,hmuni5,hmuni6,hmuni7,hmuni8,hmuni9,hpz01,hpz02,hpz03,hpz04,hpz05,hpz06,hpz07,hpz08,hpz09,hpz10,hpz11,vlens,zert01,zert02,zert03,zert04,zert05,zert06,zert07,zert08,zert09,zert10,zert11,zert12,zert13,zert14,zert15,zert16,zert17,zert18,zert19,zert20,zert21,zert22,zert23,zert24,zert25,zert26,zert27,zert28,zert29,zert30,zert31,zert32,zert33,zert34,zert35,zert36,zert37,zert38,zert39,zert40,zert41,zert42,zert43,zert44,zert45,zert46,zert47,zert48,zert49,zert50,zert51,zert52,zert53,zert54,zert55,zert56,zert57,zert58,zert59,zert60,zert61,zert62,zert63,zert64,zert65,zert66,zert67,zert68,zert69,zert70,zert71,zert72,zert73,zert74,zert75,zert76,zert77,zert78,zert79,zert80,zert81,zert82,zert83,zert84,zert85,zert86,zert87,zmuni1,zmuni1_pct,zmuni2,zmuni2_pct,zmuni3,zmuni3_pct,zmuni4,zmuni4_pct,zmuni5,zmuni5_pct,zmuni6,zmuni6_pct,zmuni7,zmuni7_pct,zmuni8,zmuni8_pct,zmuni9,zmuni9_pct,zpz01,zpz02,zpz03,zpz04,zpz05,zpz07,zpz08,ztdem01,ztdem02,ztdem03,ztdem05,ztdem08,ztdem12,ztdem14,ztdem15,ztdem17,ztdem20,ztdem21,ztdem22,ztdem32,ztdem33,ztdem34,ztdem35,ztdem37,ztdem41,ztdem42,ztdem43,ztdem44,ztdem45,ztdem46,ztdem47,ztdem48,ztdem49,ztdem51,ztdem52,ztdem53,ztdem54,ztdem55,ztdem56,ztdem57,ztdem58,ztdem59,ztdem61,ztdem62,ztdem63,ztdem64,ztdem65,ztdem66,ztdem68,ztdem69,ztdem71,ztdem74,ztdem75,ztdem80,ztdem81
gen=115_member=1920_de,1.0434,0.918757,0.998471,0.869061,1.07138,0.719158,1.08146,1.07216,1.10092,1.23534,1.24381,1.20588,0.99058,0.995249,1.12102,1.2962,1.15078,1.14572,1.37012,1.34231,6.07239e+08,-27.9416,-31.8609,-35.8343,-39.5741,-42.6666,-44.5212,-47.0086,-50.6699,-50.7232,-49.733,-38.5376,-31.5001,-28.3563,-33.5814,-37.2536,-40.3005,-43.2758,-45.3119,-50.8636,-51.4436,-50.8963,-45.2178,-41.027,-30.163,-34.5168,-37.3349,-39.6362,-41.8594,-43.2905,-44.499,-45.2154,-45.1885,-44.7739,-43.8199,-41.4469,-38.2791,-33.3318,-27.7905,-31.9015,-36.6977,-39.6914,-42.4228,-44.4851,-45.7702,-46.8036,-47.2361,-47.2569,-46.8378,-45.8896,-43.8674,-42.2117,-39.6424,-36.0785,-32.1812,-35.7138,-38.3341,-40.3581,-42.7854,-44.4557,-45.6304,-55.4104,-54.7894,-49.8604,-47.2594,-42.8727,-33.6061,-30.5618,-33.6576,-36.834,-39.0534,-41.1861,-42.9306,-44.3875,-44.835,-26.7665,-31.8218,-35.9366,-39.114,-42.2272,-29.6102,-32.708,-34.7137,-36.9701,-38.4551,-39.9177,-40.9973,-41.5055,-50.5017,-43.8626,-46.0737,-32.9727,-48.6348,-33.1636,-50.1091,-14.7734,-42.6937,-40.1508,-38.2449,-19.1691,-44.4252,-37.6667,-44.6046,-39.4075,-43.2986,-44.3842,-46.8589,-47.1749,-45.4343,-35.8695,-37.2739,-50.5017,-44.4252,-44.1509,-43.9779,-37.408,-44.9599,-43.1518,-37.6762,-43.1661,-45.0131,-47.27,-46.5581,-46.5904,-46.7909,-52.7413,-51.4215,-51.9976,-33.5449,-47.7396,-54.711,-54.9053,-51.4381,-51.2051,-39.3448,-37.2984,-27.2447,-32.5113,-35.6177,-36.6022,-38.3376,-42.8102,-44.4973,-45.3634,-46.5745,-45.5927,-47.4837,-42.0012,-44.4263,-36.447,-43.9906,-46.1424,-45.9138,-45.8511,-41.62,-32.7464,-37.0286,-38.8919,-36.1678,-36.6079,-31.635
gen=115_member=1921_de,0.896181,1.05468,0.85419,1.31248,0.946899,0.591681,1.08432,0.964501,0.747388,1.23406,1.24259,1.20476,0.989707,0.974513,1.08553,1.23341,1.13918,1.03256,1.35022,1.29961,6.02106e+08,-26.7551,-30.574,-34.4332,-38.0105,-41.0245,-42.8605,-45.3858,-50.8808,-50.7654,-49.7383,-38.5052,-31.4701,-27.774,-32.9249,-36.5354,-39.5506,-42.4874,-44.5344,-50.1151,-50.7478,-50.2729,-44.6932,-40.5261,-29.7251,-34.0281,-36.8112,-39.0819,-41.2659,-42.6934,-43.9716,-44.707,-44.7189,-44.3647,-43.4792,-41.1548,-38.0217,-33.1037,-27.5746,-31.8276,-36.6225,-39.6131,-42.3443,-44.4072,-45.6914,-46.7274,-47.1606,-47.1759,-46.7551,-45.8109,-43.7929,-42.1463,-39.5877,-36.0308,-32.1533,-35.6878,-38.31,-40.3345,-42.7609,-44.4315,-45.6074,-54.25,-53.4004,-49.1595,-46.6152,-42.3439,-33.1856,-29.2814,-32.1936,-35.1018,-37.0586,-38.9146,-40.4043,-42.0241,-42.6057,-25.8442,-30.8264,-34.8549,-37.9208,-40.8955,-28.4153,-31.5138,-33.5432,-35.7058,-37.111,-38.4659,-39.4903,-40.0044,-47.755,-31.2083,-47.7655,-41.4889,-46.1433,-30.6938,-50.9795,-49.8679,-40.7543,-32.3407,-35.5911,-20.7314,-43.9278,-36.8136,-42.0833,-30.4254,-36.1261,-32.1348,-46.8053,-47.1236,-45.3876,-35.8337,-36.3675,-47.755,-43.9278,-43.2256,-43.2675,-37.058,-44.4477,-42.4878,-37.6262,-43.0979,-44.9363,-47.1873,-46.4558,-46.4623,-46.6534,-52.0912,-50.7727,-51.3325,-33.1632,-47.1862,-53.5502,-53.8459,-50.0139,-50.7045,-39.3313,-37.2762,-26.7799,-32.3938,-34.7902,-36.0106,-37.6209,-41.9284,-43.4845,-44.0914,-45.1257,-43.6492,-45.7463,-40.2741,-42.5899,-36.0028,-43.3855,-45.3655,-45.8814,-45.8138,-41.6047,-32.7407,-37.0193,-38.8683,-36.139,-36.6014,-31.6259
gen=115_member=1922_de,1.21281,1.02027,1.27964,1.28649,0.958835,0.919698,1.1551,0.97517,1.00575,1.23549,1.24395,1.20599,0.99066,1.00819,1.11486,1.38489,1.18541,1.12096,1.40377,1.416,6.09964e+08,-27.7891,-31.6937,-35.6544,-39.3734,-42.4755,-44.3556,-46.9305,-52.7196,-52.9361,-51.8728,-39.6662,-32.3925,-28.8216,-34.1227,-37.8776,-40.9917,-44.0356,-46.0812,-51.6077,-52.1394,-51.5346,-45.8299,-41.6342,-30.2627,-34.614,-37.4228,-39.712,-41.9206,-43.3439,-44.5517,-45.2717,-45.2485,-44.8302,-43.8695,-41.4926,-38.3218,-33.3725,-27.8324,-31.9143,-36.7104,-39.7044,-42.4358,-44.4979,-45.783,-46.816,-47.2483,-47.2699,-46.8509,-45.9023,-43.8795,-42.2227,-39.652,-36.0872,-32.1871,-35.7193,-38.3393,-40.3633,-42.7906,-44.461,-45.6356,-57.2385,-57.0712,-52.1228,-49.1244,-44.4957,-34.9254,-30.3426,-33.4024,-36.5238,-38.6875,-40.766,-42.4726,-44.0166,-44.5185,-26.7329,-31.7927,-35.9078,-39.0552,-42.1161,-29.4071,-32.5054,-34.5179,-36.761,-38.2369,-39.69,-40.7779,-41.3054,-54.3964,-41.7727,-48.5539,-32.022,-54.3534,-45.2046,-54.2738,-41.1024,-41.912,-29.2767,-41.5211,-25.1602,-45.949,-42.3365,-43.231,-29.7312,-41.6177,-35.6016,-46.8681,-47.1838,-45.4427,-35.8766,-37.8424,-54.3964,-45.949,-44.1609,-44.0224,-37.4774,-45.0323,-43.2019,-37.6852,-43.1774,-45.0255,-47.2832,-46.5739,-46.6096,-46.8115,-53.5112,-52.1714,-52.7387,-33.8518,-48.2755,-56.9464,-56.5077,-55.3487,-54.5075,-39.3488,-37.3034,-27.18,-32.5314,-35.5,-36.841,-38.5285,-42.9942,-44.6538,-45.415,-46.5931,-45.3925,-47.4298,-41.7428,-44.2171,-36.6194,-44.2036,-46.381,-45.9203,-45.8583,-41.6242,-32.7503,-37.0324,-38.8971,-36.1737,-36.6129,-31.6403
gen=115_member=1923_de,1.02938,0.946894,1.12802,1.02585,1.06493,0.685597,1.10615,1.02893,0.887841,1.23518,1.24366,1.20574,0.99047,0.992067,1.1174,1.30118,1.15843,1.08075,1.37435,1.35288,6.05998e+08,-27.3745,-31.2476,-35.177,-38.8401,-41.9174,-43.7836,-46.328,-51.1307,-51.2877,-50.295,-38.7997,-31.7022,-28.2792,-33.4921,-37.1548,-40.2,-43.172,-45.2167,-50.7839,-51.3792,-50.852,-45.2146,-41.0334,-30.1069,-34.455,-37.2696,-39.5682,-41.7878,-43.2189,-44.4354,-45.1538,-45.1311,-44.7235,-43.7777,-41.4104,-38.2467,-33.3025,-27.7615,-31.8925,-36.6885,-39.6818,-42.4133,-44.4756,-45.7606,-46.7943,-47.2268,-47.247,-46.8276,-45.88,-43.8582,-42.2036,-39.6357,-36.0726,-32.1783,-35.7111,-38.3316,-40.3557,-42.7828,-44.4531,-45.628,-55.6468,-55.0882,-50.3957,-47.6685,-43.2334,-33.8995,-29.8582,-32.8507,-35.8726,-37.9372,-39.9051,-41.5026,-43.0657,-43.5971,-26.4062,-31.4498,-35.5538,-38.7051,-41.7991,-28.9528,-32.0468,-34.0631,-36.2655,-37.7049,-39.1071,-40.158,-40.6728,-50.7256,-36.0328,-46.6253,-37.2525,-50.8591,-40.9332,-51.4686,-34.2535,-42.5281,-36.8017,-37.6468,-20.9024,-44.7672,-38.5212,-43.6895,-33.2697,-39.1544,-34.8796,-46.8525,-47.1687,-45.4287,-35.8652,-37.1353,-50.7256,-44.7672,-44.0449,-43.894,-37.3633,-44.8969,-43.0728,-37.6701,-43.1577,-45.0037,-47.2599,-46.5455,-46.5746,-46.774,-52.739,-51.4116,-51.9692,-33.5046,-47.6962,-55.1592,-55.1158,-52.6678,-52.1926,-39.3438,-37.2962,-26.9874,-32.4967,-35.1582,-36.3233,-37.987,-42.3747,-43.9914,-44.7058,-45.8229,-44.5332,-46.5754,-41.0375,-43.4172,-36.3877,-43.9104,-46.04,-45.91,-45.8467,-41.6187,-32.7467,-37.0282,-38.8895,-36.1647,-36.6076,-31.6343
gen=115_member=1924_de,0.876058,1.07073,0.974744,1.02632,0.944613,0.765988,1.05918,1.04807,0.816902,1.23471,1.2432,1.20531,0.990136,0.990098,1.0982,1.23493,1.13526,1.05805,1.3557,1.30672,6.04296e+08,-27.1415,-30.9973,-34.9087,-38.5453,-41.6134,-43.478,-46.0215,-51.1993,-50.9971,-49.9122,-38.6287,-31.5725,-28.2084,-33.4282,-37.1007,-40.1477,-43.1233,-45.1501,-50.6851,-51.2561,-50.7022,-45.003,-40.8095,-29.9667,-34.2913,-37.0856,-39.3641,-41.5584,-42.9836,-44.2305,-44.9592,-44.9557,-44.5729,-43.654,-41.3064,-38.1567,-33.2253,-27.6923,-31.866,-36.6614,-39.6536,-42.3849,-44.4475,-45.7321,-46.7668,-47.1996,-47.2178,-46.7979,-45.8518,-43.8317,-42.1807,-39.6168,-36.0566,-32.1676,-35.7011,-38.3223,-40.3465,-42.7734,-44.4439,-45.6192,-54.5904,-53.711,-49.3865,-46.8082,-42.509,-33.3198,-29.6056,-32.5621,-35.531,-37.5434,-39.4561,-41.0031,-42.6006,-43.1597,-26.2021,-31.229,-35.3164,-38.4594,-41.5518,-28.7169,-31.8113,-33.8326,-36.0169,-37.4411,-38.8227,-39.8637,-40.3808,-47.817,-23.0133,-48.2085,-29.3931,-47.9911,-23.6599,-50.462,-21.9469,-41.217,-27.9386,-38.7133,-16.9133,-43.7505,-31.4995,-43.7582,-29.983,-37.6913,-24.0838,-46.8331,-47.1502,-45.4121,-35.8531,-37.0511,-47.817,-43.7505,-43.6405,-43.6037,-37.2466,-44.7093,-42.8062,-37.653,-43.1337,-44.9763,-47.23,-46.5086,-46.5282,-46.724,-52.4603,-51.1482,-51.7585,-33.4284,-47.5677,-54.0568,-54.3124,-50.8179,-50.961,-39.3379,-37.2875,-26.8942,-32.455,-34.996,-36.237,-37.8723,-42.2271,-43.8151,-44.4707,-45.5496,-44.155,-46.2391,-40.6997,-43.0604,-36.2771,-43.7525,-45.8251,-45.8983,-45.8333,-41.6123,-32.7425,-37.0235,-38.8803,-36.1538,-36.6046,-31.6307
gen=115_member=1925_de,0.814828,0.899488,0.967146,1.28611,0.954974,0.759398,1.07782,1.12582,0.829612,1.23472,1.24321,1.20532,0.990141,0.990382,1.09989,1.21362,1.14547,1.06239,1.35264,1.29529,6.04392e+08,-27.3142,-31.1863,-35.1263,-38.782,-41.8768,-43.7524,-46.2877,-50.3117,-50.5106,-49.5758,-38.3746,-31.362,-28.231,-33.4499,-37.1219,-40.1693,-43.1432,-45.1704,-50.6933,-51.2618,-50.7041,-44.9945,-40.7976,-29.9824,-34.3089,-37.1049,-39.3849,-41.5813,-43.0068,-44.2507,-44.9784,-44.9731,-44.588,-43.6665,-41.3171,-38.1662,-33.2338,-27.7004,-31.8695,-36.6649,-39.657,-42.3882,-44.4507,-45.7353,-46.7698,-47.2026,-47.221,-46.8011,-45.8547,-43.8345,-42.183,-39.6187,-36.0581,-32.1695,-35.7028,-38.3238,-40.348,-42.7748,-44.4452,-45.6204,-54.4556,-53.4401,-49.2347,-46.6636,-42.3847,-33.2179,-29.6794,-32.6437,-35.6199,-37.6351,-39.5442,-41.0862,-42.6575,-43.2029,-26.4238,-31.4907,-35.633,-38.8429,-42.0483,-28.7844,-31.871,-33.8847,-36.0668,-37.4883,-38.8658,-39.898,-40.4059,-46.8852,-20.7743,-45.4989,-19.1639,-47.7959,-25.8687,-51.1231,-40.4216,-41.3355,-29.1448,-38.6334,-18.1669,-44.2031,-33.5755,-45.1612,-36.5941,-37.9703,-25.9415,-46.8353,-47.1523,-45.4139,-35.8543,-37.0667,-46.8852,-44.2031,-43.6789,-43.6319,-37.2588,-44.7278,-42.8323,-37.6547,-43.1361,-44.9791,-47.2333,-46.5125,-46.533,-46.7293,-52.476,-51.1762,-51.7735,-33.4319,-47.5684,-53.896,-54.2483,-50.6531,-50.9704,-39.339,-37.289,-26.9097,-32.4601,-35.0188,-36.0867,-37.7432,-42.0984,-43.699,-44.3991,-45.4933,-44.1676,-46.2172,-40.7397,-43.0759,-36.2887,-43.7684,-45.8465,-45.8997,-45.8349,-41.6134,-32.7435,-37.0245,-38.8818,-36.1555,-36.605,-31.6313
gen=115_member=1926_de,1.06686,1.23374,1.24902,1.22593,0.964233,0.775189,1.1222,1.10904,0.954721,1.23493,1.24341,1.2055,0.99028,0.995302,1.10479,1.33722,1.1756,1.11148,1.39354,1.3896,6.09757e+08,-27.9764,-31.905,-35.9156,-39.6736,-42.8505,-44.7824,-47.4149,-53.8437,-53.5641,-52.3008,-39.9674,-32.6448,-28.4678,-33.7107,-37.4135,-40.5005,-43.5099,-45.5702,-51.1204,-51.6989,-51.1537,-45.531,-41.3521,-30.0638,-34.3975,-37.1974,-39.4806,-41.6813,-43.1066,-44.3398,-45.0652,-45.0546,-44.6598,-43.7269,-41.3695,-38.213,-33.276,-27.7412,-31.8831,-36.6786,-39.6714,-42.4026,-44.465,-45.7498,-46.7838,-47.2165,-47.2358,-46.8161,-45.8691,-43.8481,-42.1951,-39.6289,-36.0671,-32.1757,-35.7088,-38.3295,-40.3536,-42.7805,-44.4509,-45.626,-56.8332,-56.3794,-51.7822,-48.8019,-44.2423,-34.7298,-30.3466,-33.399,-36.5004,-38.6365,-40.6828,-42.3718,-43.9681,-44.5014,-26.9947,-32.1108,-36.3067,-39.5647,-42.8117,-29.4104,-32.5005,-34.5093,-36.7479,-38.2215,-39.6743,-40.7709,-41.3113,-52.3037,-11.5436,-51.8492,-27.6043,-53.8168,-23.8126,-54.0954,-26.134,-41.5628,-14.6763,-39.0519,0.429475,-45.5201,-25.9082,-45.5947,-23.5079,-40.835,-13.7449,-46.8455,-47.1621,-45.4229,-35.8615,-37.2785,-52.3037,-45.5201,-43.8243,-43.7482,-37.3244,-44.8179,-42.9419,-37.6641,-43.1487,-44.9932,-47.2483,-46.5309,-46.5558,-46.7537,-53.1798,-51.847,-52.3658,-33.6202,-47.9366,-56.7755,-56.5418,-54.8851,-54.2684,-39.3436,-37.2944,-27.1839,-32.4811,-35.5036,-37.0897,-38.7544,-43.2326,-44.8847,-45.5916,-46.7633,-45.4413,-47.5778,-41.7259,-44.2468,-36.3921,-43.8991,-46.0008,-45.9065,-45.8424,-41.6181,-32.7489,-37.0291,-38.8875,-36.1619,-36.6087,-31.635
gen=115_member=1927_de,0.78231,1.12639,1.24964,1.28064,1.03178,0.537821,1.03175,1.13226,0.714266,1.23444,1.24294,1.20508,0.989956,0.976246,1.09952,1.2269,1.12877,1.03218,1.36236,1.32175,6.04479e+08,-27.1697,-31.0367,-34.9829,-38.6389,-41.7755,-43.6963,-46.3269,-52.4764,-52.3877,-51.238,-39.3043,-32.105,-27.8253,-32.9727,-36.577,-39.5904,-42.525,-44.5835,-50.188,-50.8367,-50.3789,-44.839,-40.6799,-29.8269,-34.1473,-36.9451,-39.2304,-41.4327,-42.8645,-44.1206,-44.8487,-44.8469,-44.4746,-43.5698,-41.2312,-38.0882,-33.1615,-27.6281,-31.8454,-36.6409,-39.6324,-42.3639,-44.4268,-45.7113,-46.7467,-47.1798,-47.1966,-46.7763,-45.8311,-43.8119,-42.1629,-39.6015,-36.0427,-32.1591,-35.6933,-38.3151,-40.3396,-42.7662,-44.4368,-45.6125,-55.1366,-54.2318,-50.4409,-47.5951,-43.2101,-33.8899,-29.4339,-32.3584,-35.2707,-37.2185,-39.0595,-40.5532,-42.2291,-42.8397,-26.3491,-31.4235,-35.5789,-38.8084,-42.0493,-28.556,-31.6424,-33.6634,-35.8303,-37.2412,-38.6077,-39.6496,-40.18,-47.4587,-24.3686,-49.6315,-50.307,-52.701,-56.0123,-53.12,-54.8834,-41.6978,-39.0192,-34.8515,-17.3247,-43.4612,-35.6398,-45.3109,-44.1807,-35.7723,-30.7937,-46.8187,-47.1364,-45.3994,-35.8426,-36.4382,-47.4587,-43.4612,-43.5198,-43.4787,-37.1448,-44.5849,-42.6817,-37.6388,-43.1153,-44.956,-47.2084,-46.4823,-46.4957,-46.6893,-52.2805,-50.9497,-51.4768,-33.2188,-47.278,-55.249,-55.1963,-53.3937,-52.9973,-39.3335,-37.2807,-26.8334,-32.4227,-34.8854,-36.3729,-37.9741,-42.3225,-43.8908,-44.4678,-45.5231,-43.9421,-46.1621,-40.4456,-42.8398,-36.0868,-43.504,-45.5261,-45.8894,-45.8231,-41.6075,-32.7398,-37.0201,-38.8732,-36.1453,-36.6028,-31.6281
gen=115_member=1928_de,0.308418,0.687122,0.475123,1.01638,1.00303,0.380863,0.897628,1.0799,0.533246,1.23335,1.2419,1.20413,0.989214,0.954306,1.07849,0.94876,1.04192,0.95101,1.27238,1.10919,5.93257e+08,-25.8299,-29.5735,-33.3466,-36.7922,-39.7194,-41.4957,-43.897,-45.965,-46.1749,-45.5115,-36.1626,-29.6079,-27.0036,-32.0489,-35.5416,-38.4458,-41.2769,-43.2792,-48.8746,-49.5507,-49.1289,-43.5023,-39.3279,-29.48,-33.7673,-36.5468,-38.8182,-41.0019,-42.4353,-43.7387,-44.4772,-44.4989,-44.1694,-43.3145,-41.0107,-37.8928,-32.9871,-27.4614,-31.7938,-36.5877,-39.5766,-42.3076,-44.3707,-45.6544,-46.6915,-47.125,-47.1375,-46.7158,-45.7732,-43.7569,-42.1145,-39.5609,-36.0071,-32.1418,-35.677,-38.2999,-40.3246,-42.7503,-44.421,-45.5975,-49.8367,-47.748,-44.6208,-42.8015,-39.0733,-30.5561,-28.3065,-31.0817,-33.791,-35.5517,-37.1841,-38.4391,-40.0486,-40.6653,-25.0194,-29.9317,-33.8934,-36.9343,-39.9295,-27.5034,-30.5953,-32.632,-34.7089,-36.0356,-37.2778,-38.2099,-38.6812,-35.2741,-3.64678,-39.8166,-29.1769,-36.0934,-17.833,-44.8149,-29.735,-40.7868,-32.2631,-31.5179,-11.8804,-39.6737,-26.0298,-42.8886,-43.8007,-31.0041,-23.1916,-46.7805,-47.0996,-45.3656,-35.8165,-35.4936,-35.2741,-39.6737,-42.8907,-42.9771,-36.8704,-44.2005,-42.209,-37.6015,-43.0649,-44.8994,-47.1481,-46.407,-46.4013,-46.5881,-50.5113,-49.2324,-49.9067,-32.6409,-46.2385,-48.6696,-50.0465,-42.7485,-44.8553,-39.326,-37.267,-26.3924,-32.3377,-34.0948,-34.6604,-36.2466,-40.3737,-41.8467,-42.4142,-43.3243,-41.7807,-43.7894,-38.8162,-40.8721,-35.6729,-42.9621,-44.8627,-45.8665,-45.7965,-41.5985,-32.7389,-37.0159,-38.8583,-36.1269,-36.5999,-31.6233
gen=115_member=1929_de,1.16438,1.21329,0.967279,1.36239,0.955138,0.831689,1.10774,1.06241,0.853485,1.23508,1.24356,1.20564,0.990399,0.998872,1.10668,1.34854,1.16408,1.076,1.38712,1.37978,6.07827e+08,-27.5077,-31.3958,-35.3543,-39.0445,-42.1702,-44.0751,-46.6828,-52.974,-52.6672,-51.4758,-39.5151,-32.2819,-28.5278,-33.7872,-37.5018,-40.5872,-43.6004,-45.6443,-51.1827,-51.7405,-51.1693,-45.492,-41.3022,-30.1132,-34.4509,-37.2526,-39.5366,-41.7383,-43.1627,-44.3901,-45.1144,-45.101,-44.7006,-43.7609,-41.3988,-38.2386,-33.2983,-27.7617,-31.891,-36.6867,-39.6797,-42.411,-44.4733,-45.7582,-46.792,-47.2247,-47.2446,-46.8252,-45.878,-43.8568,-42.2031,-39.6361,-36.0739,-32.1787,-35.7115,-38.332,-40.3561,-42.7831,-44.4534,-45.6283,-56.3067,-55.943,-51.0637,-48.2577,-43.7596,-34.336,-29.8953,-32.8869,-35.9023,-37.9562,-39.9151,-41.5174,-43.1398,-43.7027,-26.5903,-31.6665,-35.813,-39.0114,-42.1789,-28.9884,-32.0803,-34.0972,-36.303,-37.7477,-39.1601,-40.2297,-40.7633,-52.8023,-16.4083,-51.0402,-24.5452,-49.449,-2.41084,-53.1587,-34.9554,-41.5876,-13.0816,-39.9698,-2.14308,-45.014,-23.5295,-44.4607,-18.3102,-38.6661,-0.429578,-46.8513,-47.1678,-45.4283,-35.8664,-37.4352,-52.8023,-45.014,-43.9004,-43.8121,-37.3608,-44.8694,-43.003,-37.671,-43.1568,-45.002,-47.2573,-46.542,-46.5694,-46.7681,-53.0916,-51.7594,-52.3284,-33.6529,-47.9602,-55.7205,-55.6916,-52.7543,-52.9565,-39.3448,-37.2967,-27.0126,-32.4937,-35.2024,-36.7127,-38.3475,-42.7586,-44.3684,-45.017,-46.1296,-44.7058,-46.8566,-41.1106,-43.5614,-36.4467,-43.9752,-46.0984,-45.91,-45.8466,-41.6196,-32.7489,-37.0297,-38.8899,-36.1649,-36.6081,-31.635
