child,parent_1,parent_2,parent_3
GEN=51_MEMBER=0_DE,GEN=30_MEMBER=870_DE,GEN=45_MEMBER=1330_DE,GEN=20_MEMBER=588_DE,GEN=14_MEMBER=403_DE
GEN=51_MEMBER=1_DE,GEN=26_MEMBER=752_DE,GEN=43_MEMBER=1266_DE,GEN=42_MEMBER=1237_DE,GEN=35_MEMBER=1039_DE
GEN=51_MEMBER=2_DE,GEN=40_MEMBER=1186_DE,GEN=45_MEMBER=1330_DE,GEN=50_MEMBER=1480_DE,GEN=35_MEMBER=1039_DE
GEN=51_MEMBER=3_DE,GEN=40_MEMBER=1186_DE,GEN=50_MEMBER=1475_DE,GEN=26_MEMBER=752_DE,GEN=6_MEMBER=158_DE
GEN=51_MEMBER=4_DE,GEN=26_MEMBER=752_DE,GEN=47_MEMBER=1388_DE,GEN=6_MEMBER=158_DE,GEN=45_MEMBER=1330_DE
GEN=51_MEMBER=5_DE,GEN=43_MEMBER=1266_DE,GEN=45_MEMBER=1330_DE,GEN=50_MEMBER=1480_DE,GEN=49_MEMBER=1445_DE
GEN=51_MEMBER=6_DE,GEN=50_MEMBER=1475_DE,GEN=50_MEMBER=1480_DE,GEN=35_MEMBER=1039_DE,GEN=14_MEMBER=403_DE
GEN=51_MEMBER=7_DE,GEN=30_MEMBER=870_DE,GEN=26_MEMBER=752_DE,GEN=43_MEMBER=1266_DE,GEN=39_MEMBER=1165_DE
GEN=51_MEMBER=8_DE,GEN=30_MEMBER=870_DE,GEN=40_MEMBER=1186_DE,GEN=47_MEMBER=1388_DE,GEN=45_MEMBER=1330_DE
GEN=51_MEMBER=9_DE,GEN=40_MEMBER=1186_DE,GEN=43_MEMBER=1266_DE,GEN=50_MEMBER=1480_DE,GEN=14_MEMBER=403_DE
GEN=51_MEMBER=10_DE,GEN=40_MEMBER=1186_DE,GEN=26_MEMBER=752_DE,GEN=45_MEMBER=1330_DE,GEN=33_MEMBER=966_DE
GEN=51_MEMBER=11_DE,GEN=50_MEMBER=1475_DE,GEN=50_MEMBER=1480_DE,GEN=20_MEMBER=588_DE,GEN=49_MEMBER=1445_DE
