generation,member,_risk_,pump_rate,nsga2_front,nsga2_crowding_distance,spea2_unconstrained_fitness,spea2_constrained_fitness,is_feasible,feasible_distance
0,gen=30_member=870_de,0.899246,165.65,1,1e+30,0.00969974,0.00969974,1,-999
0,gen=40_member=1186_de,0.01,760.559,1,1e+30,0.00312194,0.00312194,1,-999
0,gen=50_member=1475_de,0.0438649,489.635,1,0.517135,0.0189512,0.0189512,1,-999
0,gen=26_member=752_de,0.648865,266.745,1,0.319409,0.0276729,0.0276729,1,-999
0,gen=47_member=1388_de,0.546798,293.77,1,0.316234,0.0201648,0.0201648,1,-999
0,gen=43_member=1266_de,0.212021,438.868,1,0.313129,0.0189512,0.0189512,1,-999
0,gen=6_member=158_de,0.41868,300.881,1,0.257678,0.02354,0.02354,1,-999
0,gen=45_member=1330_de,0.26417,381.706,1,0.221868,0.0218891,0.0218891,1,-999
0,gen=50_member=1480_de,0.75136,240.604,1,0.184285,0.0181267,0.0181267,1,-999
0,gen=20_member=588_de,0.076213,442.245,1,0.173942,0.0202472,0.0202472,1,-999
0,gen=42_member=1237_de,0.801153,188.486,1,0.143677,0.0124596,0.0124596,1,-999
0,gen=35_member=1039_de,0.771482,239.143,1,0.143601,0.0176592,0.0176592,1,-999
0,gen=49_member=1445_de,0.286408,356.642,1,0.139721,0.0369486,0.0369486,1,-999
0,gen=14_member=403_de,0.383804,338.022,1,0.126825,0.0255486,0.0255486,1,-999
0,gen=17_member=502_de,0.335487,346.296,1,0.115651,0.0267308,0.0267308,1,-999
0,gen=39_member=1165_de,0.0464861,452.91,1,0.100493,0.0258235,0.0258235,1,-999
0,gen=33_member=966_de,0.36641,341.361,1,0.0682439,0.0236155,0.0236155,1,-999
0,gen=26_member=762_de,0.0677648,445.84,1,0.0513566,0.0218363,0.0218363,1,-999
3,gen=30_member=870_de,0.899246,165.65,1,1e+30,0.0129947,0.0129947,1,-999
3,gen=40_member=1186_de,0.01,760.559,1,1e+30,0.00312194,0.00312194,1,-999
3,gen=50_member=1475_de,0.0438649,489.635,1,0.517135,0.0189512,0.0189512,1,-999
3,gen=26_member=752_de,0.648865,266.745,1,0.319409,0.0276729,0.0276729,1,-999
3,gen=47_member=1388_de,0.546798,293.77,1,0.316234,0.0201648,0.0201648,1,-999
3,gen=43_member=1266_de,0.212021,438.868,1,0.313129,0.0189512,0.0189512,1,-999
3,gen=6_member=158_de,0.41868,300.881,1,0.257678,0.02354,0.02354,1,-999
3,gen=45_member=1330_de,0.26417,381.706,1,0.221868,0.0218891,0.0218891,1,-999
3,gen=50_member=1480_de,0.75136,240.604,1,0.184285,0.0184781,0.0184781,1,-999
3,gen=20_member=588_de,0.076213,442.245,1,0.173942,0.0202472,0.0202472,1,-999
3,gen=42_member=1237_de,0.801153,188.486,1,0.139612,0.0184781,0.0184781,1,-999
3,gen=35_member=1039_de,0.771482,239.143,1,0.104801,0.0189906,0.0189906,1,-999
3,gen=49_member=1445_de,0.286408,356.642,1,0.139721,0.0369486,0.0369486,1,-999
3,gen=14_member=403_de,0.383804,338.022,1,0.126825,0.0255486,0.0255486,1,-999
3,gen=17_member=502_de,0.335487,346.296,1,0.115651,0.0267308,0.0267308,1,-999
3,gen=39_member=1165_de,0.0464861,452.91,1,0.100493,0.0258235,0.0258235,1,-999
3,gen=33_member=966_de,0.36641,341.361,1,0.0682439,0.0236155,0.0236155,1,-999
3,gen=26_member=762_de,0.0677648,445.84,1,0.0513566,0.0218363,0.0218363,1,-999
3,gen=53_member=60_de,0.775097,194.137,1,0.118518,0.0206326,0.0206326,1,-999
5,gen=30_member=870_de,0.899246,165.65,1,1e+30,0.0129947,0.0129947,1,-999
5,gen=40_member=1186_de,0.01,760.559,1,1e+30,0.00315737,0.00315737,1,-999
5,gen=50_member=1475_de,0.0438649,489.635,1,0.406256,0.0189512,0.0189512,1,-999
5,gen=26_member=752_de,0.648865,266.745,1,0.319409,0.0276729,0.0276729,1,-999
5,gen=47_member=1388_de,0.546798,293.77,1,0.316234,0.0201648,0.0201648,1,-999
5,gen=43_member=1266_de,0.212021,438.868,1,0.313129,0.0189512,0.0189512,1,-999
5,gen=6_member=158_de,0.41868,300.881,1,0.257678,0.02354,0.02354,1,-999
5,gen=45_member=1330_de,0.26417,381.706,1,0.221868,0.0218891,0.0218891,1,-999
5,gen=50_member=1480_de,0.75136,240.604,1,0.184285,0.0184781,0.0184781,1,-999
5,gen=20_member=588_de,0.076213,442.245,1,0.173942,0.0202472,0.0202472,1,-999
5,gen=49_member=1445_de,0.286408,356.642,1,0.139721,0.0369486,0.0369486,1,-999
5,gen=42_member=1237_de,0.801153,188.486,1,0.139612,0.0184781,0.0184781,1,-999
5,gen=14_member=403_de,0.383804,338.022,1,0.126825,0.0255486,0.0255486,1,-999
5,gen=53_member=60_de,0.775097,194.137,1,0.118518,0.0206326,0.0206326,1,-999
5,gen=17_member=502_de,0.335487,346.296,1,0.115651,0.0267308,0.0267308,1,-999
5,gen=35_member=1039_de,0.771482,239.143,1,0.104801,0.0189906,0.0189906,1,-999
5,gen=39_member=1165_de,0.0464861,452.91,1,0.100493,0.0258235,0.0258235,1,-999
5,gen=33_member=966_de,0.36641,341.361,1,0.0682439,0.0236155,0.0236155,1,-999
5,gen=26_member=762_de,0.0677648,445.84,1,0.0513566,0.0218363,0.0218363,1,-999
5,gen=55_member=143_de,0.0128918,672.121,1,0.455404,0.00438056,0.00438056,1,-999
8,gen=40_member=1186_de,0.01,760.559,1,1e+30,0.00315737,0.00315737,1,-999
8,gen=30_member=870_de,0.899246,165.65,1,1e+30,0.0132461,0.0132461,1,-999
8,gen=55_member=143_de,0.0128918,672.121,1,0.455404,0.00438056,0.00438056,1,-999
8,gen=50_member=1475_de,0.0438649,489.635,1,0.406256,0.0189512,0.0189512,1,-999
8,gen=26_member=752_de,0.648865,266.745,1,0.319409,0.0276729,0.0276729,1,-999
8,gen=47_member=1388_de,0.546798,293.77,1,0.255527,0.0216209,0.0216209,1,-999
8,gen=43_member=1266_de,0.212021,438.868,1,0.292307,0.0189512,0.0189512,1,-999
8,gen=6_member=158_de,0.41868,300.881,2,1e+30,0.0255486,0.0255486,1,-999
8,gen=45_member=1330_de,0.26417,381.706,1,0.0879612,0.0236155,0.0236155,1,-999
8,gen=50_member=1480_de,0.75136,240.604,1,0.184285,0.0206326,0.0206326,1,-999
8,gen=20_member=588_de,0.076213,442.245,1,0.173942,0.0202472,0.0202472,1,-999
8,gen=49_member=1445_de,0.286408,356.642,1,0.139721,0.0369486,0.0369486,1,-999
