generation,member,_risk_,pump_rate,nsga2_front,nsga2_crowding_distance,spea2_unconstrained_fitness,spea2_constrained_fitness,is_feasible,feasible_distance
0,gen=14_member=403_de,0.383804,338.022,1,0.126825,0.0255486,0.0255486,1,-999
0,gen=17_member=502_de,0.335487,346.296,1,0.115651,0.0267308,0.0267308,1,-999
0,gen=20_member=588_de,0.076213,442.245,1,0.173942,0.0202472,0.0202472,1,-999
0,gen=26_member=752_de,0.648865,266.745,1,0.319409,0.0276729,0.0276729,1,-999
0,gen=26_member=762_de,0.0677648,445.84,1,0.0513566,0.0218363,0.0218363,1,-999
0,gen=30_member=870_de,0.899246,165.65,1,1e+30,0.00969974,0.00969974,1,-999
0,gen=33_member=966_de,0.36641,341.361,1,0.0682439,0.0236155,0.0236155,1,-999
0,gen=35_member=1039_de,0.771482,239.143,1,0.143601,0.0176592,0.0176592,1,-999
0,gen=39_member=1165_de,0.0464861,452.91,1,0.100493,0.0258235,0.0258235,1,-999
0,gen=40_member=1186_de,0.01,760.559,1,1e+30,0.00312194,0.00312194,1,-999
0,gen=42_member=1237_de,0.801153,188.486,1,0.143677,0.0124596,0.0124596,1,-999
0,gen=43_member=1266_de,0.212021,438.868,1,0.313129,0.0189512,0.0189512,1,-999
0,gen=45_member=1330_de,0.26417,381.706,1,0.221868,0.0218891,0.0218891,1,-999
0,gen=47_member=1388_de,0.546798,293.77,1,0.316234,0.0201648,0.0201648,1,-999
0,gen=49_member=1445_de,0.286408,356.642,1,0.139721,0.0369486,0.0369486,1,-999
0,gen=50_member=1475_de,0.0438649,489.635,1,0.517135,0.0189512,0.0189512,1,-999
0,gen=50_member=1480_de,0.75136,240.604,1,0.184285,0.0181267,0.0181267,1,-999
0,gen=6_member=158_de,0.41868,300.881,1,0.257678,0.02354,0.02354,1,-999
1,gen=51_member=6_de,0.0277673,449.923,2,1e+30,0.0342599,0.0342599,1,-999
1,gen=51_member=13_de,0.01,746.639,2,1e+30,5.00641,5.00641,1,-999
1,gen=30_member=870_de,0.899246,165.65,1,1e+30,3.01427,3.01427,1,-999
1,gen=40_member=1186_de,0.01,760.559,1,1e+30,9.0061,9.0061,1,-999
1,gen=50_member=1475_de,0.0438649,489.635,1,0.517135,13.0258,13.0258,1,-999
1,gen=26_member=752_de,0.648865,266.745,1,0.319409,0.0285656,0.0285656,1,-999
1,gen=47_member=1388_de,0.546798,293.77,1,0.316234,0.0344522,0.0344522,1,-999
1,gen=43_member=1266_de,0.212021,438.868,1,0.313129,0.0248524,0.0248524,1,-999
1,gen=6_member=158_de,0.41868,300.881,1,0.257678,0.0300482,0.0300482,1,-999
1,gen=45_member=1330_de,0.26417,381.706,1,0.221868,0.023308,0.023308,1,-999
1,gen=50_member=1480_de,0.75136,240.604,1,0.184285,0.0181303,0.0181303,1,-999
1,gen=20_member=588_de,0.076213,442.245,1,0.173942,0.0271274,0.0271274,1,-999
1,gen=42_member=1237_de,0.801153,188.486,1,0.143677,0.0211622,0.0211622,1,-999
1,gen=35_member=1039_de,0.771482,239.143,1,0.143601,0.0176626,0.0176626,1,-999
1,gen=49_member=1445_de,0.286408,356.642,1,0.139721,0.048496,0.048496,1,-999
1,gen=14_member=403_de,0.383804,338.022,1,0.126825,0.048496,0.048496,1,-999
1,gen=17_member=502_de,0.335487,346.296,1,0.115651,0.0630123,0.0630123,1,-999
1,gen=39_member=1165_de,0.0464861,452.91,1,0.100493,13.0382,13.0382,1,-999
1,gen=33_member=966_de,0.36641,341.361,1,0.0682439,0.0578686,0.0578686,1,-999
1,gen=26_member=762_de,0.0677648,445.84,1,0.0513566,0.0300574,0.0300574,1,-999
2,gen=52_member=30_de,0.899246,110.651,2,1e+30,0.0175444,0.0175444,1,-999
2,gen=52_member=34_de,0.624127,261.354,2,0.95897,0.0413037,0.0413037,1,-999
2,gen=52_member=40_de,0.01,397.034,4,-999,0.0486059,0.0486059,1,-999
2,gen=52_member=45_de,0.0464861,285.906,2,0.967133,0.0472353,0.0472353,1,-999
2,gen=52_member=59_de,0.01,580.045,3,-999,30.0089,30.0089,1,-999
2,gen=30_member=870_de,0.899246,165.65,1,1e+30,11.0149,11.0149,1,-999
2,gen=40_member=1186_de,0.01,760.559,1,1e+30,47.005,47.005,1,-999
2,gen=50_member=1475_de,0.0438649,489.635,1,0.517135,29.0218,29.0218,1,-999
2,gen=26_member=752_de,0.648865,266.745,1,0.319409,6.03553,6.03553,1,-999
2,gen=47_member=1388_de,0.546798,293.77,1,0.316234,32.0513,32.0513,1,-999
2,gen=43_member=1266_de,0.212021,438.868,1,0.313129,54.03,54.03,1,-999
2,gen=6_member=158_de,0.41868,300.881,1,0.257678,32.0401,32.0401,1,-999
2,gen=45_member=1330_de,0.26417,381.706,1,0.221868,32.0518,32.0518,1,-999
2,gen=50_member=1480_de,0.75136,240.604,1,0.184285,0.0254294,0.0254294,1,-999
2,gen=20_member=588_de,0.076213,442.245,1,0.173942,54.0308,54.0308,1,-999
2,gen=42_member=1237_de,0.801153,188.486,1,0.143677,0.0164024,0.0164024,1,-999
2,gen=35_member=1039_de,0.771482,239.143,1,0.143601,0.0245189,0.0245189,1,-999
2,gen=49_member=1445_de,0.286408,356.642,1,0.139721,32.0485,32.0485,1,-999
2,gen=14_member=403_de,0.383804,338.022,1,0.126825,32.0555,32.0555,1,-999
2,gen=17_member=502_de,0.335487,346.296,1,0.115651,32.062,32.062,1,-999
2,gen=39_member=1165_de,0.0464861,452.91,1,0.100493,61.0285,61.0285,1,-999
2,gen=33_member=966_de,0.36641,341.361,1,0.0682439,32.0579,32.0579,1,-999
2,gen=26_member=762_de,0.0677648,445.84,1,0.0513566,54.0277,54.0277,1,-999
2,gen=51_member=6_de,0.0277673,449.923,2,0.724437,22.0263,22.0263,1,-999
2,gen=51_member=13_de,0.01,746.639,2,1e+30,45.0054,45.0054,1,-999
3,gen=53_member=60_de,0.775097,194.137,1,0.118518,0.0260642,0.0260642,1,-999
3,gen=53_member=67_de,0.0191265,391.697,3,0,52.0247,52.0247,1,-999
3,gen=53_member=75_de,0.0464861,213.871,4,1e+30,0.0348285,0.0348285,1,-999
3,gen=53_member=78_de,0.01,344.851,6,-999,0.0664731,0.0664731,1,-999
3,gen=53_member=86_de,0.382721,290.135,2,0.967133,56.0394,56.0394,1,-999
3,gen=53_member=88_de,0.01,367.24,5,-999,29.0436,29.0436,1,-999
3,gen=30_member=870_de,0.899246,165.65,1,1e+30,10.0298,10.0298,1,-999
3,gen=40_member=1186_de,0.01,760.559,1,1e+30,121.016,121.016,1,-999
3,gen=50_member=1475_de,0.0438649,489.635,1,0.517135,87.0157,87.0157,1,-999
3,gen=26_member=752_de,0.648865,266.745,1,0.319409,39.0355,39.0355,1,-999
3,gen=47_member=1388_de,0.546798,293.77,1,0.316234,66.0345,66.0345,1,-999
3,gen=43_member=1266_de,0.212021,438.868,1,0.313129,143.02,143.02,1,-999
3,gen=6_member=158_de,0.41868,300.881,1,0.257678,66.0303,66.0303,1,-999
3,gen=45_member=1330_de,0.26417,381.706,1,0.221868,114.033,114.033,1,-999
3,gen=50_member=1480_de,0.75136,240.604,1,0.184285,38.0355,38.0355,1,-999
3,gen=20_member=588_de,0.076213,442.245,1,0.173942,137.02,137.02,1,-999
3,gen=42_member=1237_de,0.801153,188.486,1,0.139612,0.0243901,0.0243901,1,-999
3,gen=35_member=1039_de,0.771482,239.143,1,0.104801,33.0364,33.0364,1,-999
3,gen=49_member=1445_de,0.286408,356.642,1,0.139721,85.0579,85.0579,1,-999
3,gen=14_member=403_de,0.383804,338.022,1,0.126825,66.0485,66.0485,1,-999
3,gen=17_member=502_de,0.335487,346.296,1,0.115651,85.0607,85.0607,1,-999
3,gen=39_member=1165_de,0.0464861,452.91,1,0.100493,143.017,143.017,1,-999
3,gen=33_member=966_de,0.36641,341.361,1,0.0682439,56.0579,56.0579,1,-999
3,gen=26_member=762_de,0.0677648,445.84,1,0.0513566,137.02,137.02,1,-999
3,gen=52_member=30_de,0.899246,110.651,2,1e+30,0.012526,0.012526,1,-999
3,gen=51_member=13_de,0.01,746.639,2,1e+30,118.017,118.017,1,-999
3,gen=52_member=45_de,0.0464861,285.906,3,1e+30,33.0472,33.0472,1,-999
3,gen=52_member=34_de,0.624127,261.354,2,0.580857,33.0413,33.0413,1,-999
3,gen=51_member=6_de,0.0277673,449.923,2,0.717787,81.0182,81.0182,1,-999
3,gen=52_member=59_de,0.01,580.045,3,1e+30,82.0077,82.0077,1,-999
3,gen=52_member=40_de,0.01,397.034,4,1e+30,52.0228,52.0228,1,-999
4,gen=54_member=92_de,0.0438649,350.502,4,0,0.0690378,0.0690378,1,-999
4,gen=54_member=97_de,0.26417,368.632,2,0.650405,178.041,178.041,1,-999
4,gen=54_member=99_de,0.01,445.195,4,1e+30,90.0623,90.0623,1,-999
4,gen=54_member=103_de,0.538965,100.151,3,1e+30,0.0104182,0.0104182,1,-999
4,gen=54_member=112_de,0.01,431.145,5,1e+30,73.0481,73.0481,1,-999
4,gen=54_member=116_de,0.247147,362.6,3,0.982746,146.052,146.052,1,-999
4,gen=54_member=117_de,0.0464861,168.669,6,1e+30,0.0166601,0.0166601,1,-999
4,gen=54_member=118_de,0.01,354.177,8,-999,0.0663899,0.0663899,1,-999
4,gen=30_member=870_de,0.899246,165.65,1,1e+30,23.0175,23.0175,1,-999
4,gen=40_member=1186_de,0.01,760.559,1,1e+30,113.004,113.004,1,-999
4,gen=50_member=1475_de,0.0438649,489.635,1,0.517135,140.022,140.022,1,-999
4,gen=26_member=752_de,0.648865,266.745,1,0.319409,103.039,103.039,1,-999
4,gen=47_member=1388_de,0.546798,293.77,1,0.316234,141.04,141.04,1,-999
4,gen=43_member=1266_de,0.212021,438.868,1,0.313129,228.062,228.062,1,-999
4,gen=6_member=158_de,0.41868,300.881,1,0.257678,115.056,115.056,1,-999
4,gen=45_member=1330_de,0.26417,381.706,1,0.221868,184.037,184.037,1,-999
4,gen=50_member=1480_de,0.75136,240.604,1,0.184285,94.0256,94.0256,1,-999
4,gen=20_member=588_de,0.076213,442.245,1,0.173942,222.076,222.076,1,-999
4,gen=49_member=1445_de,0.286408,356.642,1,0.139721,146.071,146.071,1,-999
4,gen=42_member=1237_de,0.801153,188.486,1,0.139612,59.019,59.019,1,-999
4,gen=14_member=403_de,0.383804,338.022,1,0.126825,115.055,115.055,1,-999
4,gen=53_member=60_de,0.775097,194.137,1,0.118518,59.0213,59.0213,1,-999
4,gen=17_member=502_de,0.335487,346.296,1,0.115651,102.081,102.081,1,-999
4,gen=35_member=1039_de,0.771482,239.143,1,0.104801,99.0266,99.0266,1,-999
4,gen=39_member=1165_de,0.0464861,452.91,1,0.100493,242.042,242.042,1,-999
4,gen=33_member=966_de,0.36641,341.361,1,0.0682439,102.067,102.067,1,-999
4,gen=26_member=762_de,0.0677648,445.84,1,0.0513566,236.06,236.06,1,-999
4,gen=52_member=30_de,0.899246,110.651,2,1e+30,19.0117,19.0117,1,-999
4,gen=51_member=13_de,0.01,746.639,2,1e+30,110.004,110.004,1,-999
