real_name,alpha_l,alpha_t,hk1000,hk1001,hk1002,hk1003,hk1004,hk1005,hk1006,hk1007,hk1008,hk1009,hk1010,hk1011,hk1012,hk1013,hk1014,hk1015,hk1016,hk1017,hk1018,hk1019,hk1020,hk1021,hk1022,hk1023,hk1024,hk1025,hk1026,hk1027,hk1028,hk1029,hk1030,hk1031,hk1032,hk1033,hk1034,hk1035,hk1036,hk1037,hk1038,hk1039,hk1040,hk1041,hk1042,hk1043,hk1044,hk1045,hk1046,hk1047,hk1048,hk1049,hk1050,hk1051,hk1052,hk1053,hk1054,hk1055,hk1056,hk1057,hk1058,hk1059,hk1060,hk1061,hk1062,hk1063,hk1064,hk1065,hk1066,hk1067,hk1068,hk1069,hk1070,hk1071,hk1072,hk1073,hk1074,hk1075,hk1076,hk1077,hk1078,hk1079,hk1080,hk1081,hk1082,hk1083,hk1084,hk1085,hk1086,hk1087,hk1088,hk1089,hk1090,hk1091,hk1092,hk1093,hk1094,hk1095,hk1096,hk1097,hk1098,hk1099,hk1100,hk1101,hk1102,hk1103,hk1104,hk1105,hk1106,hk1107,hk1108,hk1109,hk1110,hk1111,hk1112,hk1113,hk1114,hk1115,hk1116,hk1117,hk1118,hk1119,hk1120,hk1121,hk1122,hk1123,hk1124,hk1125,hk1126,hk1127,hk1128,hk1129,hk1130,hk1131,hk1132,hk1133,hk1134,hk1135,hk1136,hk1137,hk1138,hk1139,hk1140,hk1141,hk1142,hk1143,hk1144,hk1145,hk1146,hk1147,hk1148,hk1149,hk1150,hk1151,hk1152,hk1153,hk1154,hk1155,hk1156,hk1157,hk1158,hk1159,hk1160,hk_dunes,hk_seabed,hk_valley,m,ne,qmuni1,qmuni2,qmuni3,qmuni4,qmuni5,qmuni6,qmuni7,qmuni8,qmuni9,rech_mmyr,slvl,ss,sy,realnme,_risk_
0,2.424771422,0.0405263,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000292945,0.000447201,0.000211118,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000174765,0.000232991,0.000124435,0.00024265,0.000573407,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000539546,0.000324904,0.000245002,0.000156495,0.000116164,0.000530328,0.000535175,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,9.69E-05,0.000336269,0.00016618,0.000192054,0.000281976,0.000289109,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000355883,0.000411146,0.000401583,0.0003088,0.00028951,0.000159114,0.000110905,0.000133209,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000442286,0.000583941,0.000268732,9.04E-05,0.000128124,5.60E-05,0.000211782,0.000106817,0.000542606,0.000542606,0.000542606,0.000542606,0.000205808,0.000230882,0.000372893,6.86E-05,2.36E-05,2.04E-05,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000363164,6.95E-05,0.000166086,0.000108128,6.53E-05,1.06E-05,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000292922,0.000118009,7.97E-05,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,5.00E-05,6.39E-06,5.10E-06,8.205957309,0.3,0,0,0,0,0,0,0,0,0,606.036,0.014,1.00E-05,0.15,0,0.5
1,3.794096402,0.0044649,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,7.23E-05,0.000222,0.000123765,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,0.000345814,0.000178823,7.65E-05,6.62E-05,0.000233554,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,0.000265892,0.000227129,0.000277251,0.000209949,5.59E-05,0.000204805,0.000250343,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,0.000277163,0.000342338,0.000179902,0.000113924,0.000561895,0.000148035,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,0.000208146,0.000276556,0.000420388,0.000495085,0.000199552,9.36E-05,0.000170769,0.000153961,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,0.000353175,0.000177958,0.00010517,0.000195969,0.000126382,3.11E-05,0.000103005,0.000164173,3.32E-05,3.32E-05,3.32E-05,3.32E-05,0.000260707,0.0006,0.00023963,0.000149908,2.32E-05,1.60E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,0.000372075,0.000418871,0.000150824,9.25E-05,9.31E-05,1.67E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,0.000129773,7.88E-05,5.96E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,3.32E-05,0.00215794,1.12E-05,2.29E-05,8.342484936,0.3,0,0,0,0,0,0,0,0,0,630.772,0.014,1.00E-05,0.15,1,0.5
2,3.810506331,0.0207656,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,2.29E-05,2.40E-05,2.80E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,8.61E-05,0.000107159,0.000103795,9.00E-05,0.000109053,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,0.000151072,0.000134903,0.000205909,0.000264743,0.000227657,8.85E-05,2.92E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,5.47E-05,0.000302364,0.000263123,0.000113339,0.000337357,0.000194966,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,0.000107952,0.000258122,5.04E-05,0.000162578,0.000238509,3.84E-05,7.33E-05,6.59E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.78E-05,0.00023401,9.17E-05,0.000155369,0.000150713,0.000130203,4.93E-05,8.52E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,0.000178035,0.000276032,0.000175277,5.83E-05,1.26E-05,3.59E-06,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,0.000142545,6.15E-05,0.000120761,7.80E-05,5.20E-05,1.31E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,0.000185065,7.72E-05,2.76E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,7.40E-05,0.00800105,1.22E-05,1.84E-06,7.681385884,0.3,0,0,0,0,0,0,0,0,0,456.82,0.014,1.00E-05,0.15,2,0.5
3,3.554403877,0.0159689,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.46E-05,0.000148074,0.000505526,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,0.000306655,0.000349791,3.83E-05,0.0006,0.000454986,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,0.0006,0.000327139,0.000117687,0.000120016,8.60E-05,0.000125134,0.000523156,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,0.00023675,0.000519791,0.000136046,9.53E-05,0.000288729,0.000102021,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,0.0006,4.93E-05,0.000377779,0.000254355,0.000205033,0.000149922,0.000115126,0.000132544,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,0.000160928,0.000289161,0.000128542,8.51E-05,2.41E-05,6.08E-05,4.07E-05,0.000101163,8.00E-05,8.00E-05,8.00E-05,8.00E-05,0.000192022,0.000249787,0.000138165,7.29E-05,2.87E-05,1.75E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,0.000191795,0.000284121,0.000217842,9.37E-05,5.87E-05,2.82E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.77E-05,5.06E-05,3.04E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,0.00108288,7.37E-06,1.25E-05,7.894961028,0.3,0,0,0,0,0,0,0,0,0,446.003,0.014,1.00E-05,0.15,3,0.5
4,1.646787598,0.0124701,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000142866,0.000191715,2.84E-05,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.0006,8.96E-05,0.000180827,4.35E-05,2.84E-05,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.0006,0.00024364,0.000504518,7.95E-05,0.00039843,0.000129697,2.75E-05,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000395972,0.0006,0.0003025,0.000127262,0.00012147,0.000185719,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.0006,0.0006,0.000197104,0.000160013,0.000159093,0.000179309,5.64E-05,7.16E-05,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000133842,0.000333314,0.000353394,9.19E-05,0.000194914,8.35E-05,8.58E-05,0.000344872,0.000137173,0.000137173,0.000137173,0.000137173,0.000106402,0.000157283,0.000269145,4.47E-05,1.02E-05,1.15E-05,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,3.69E-05,0.00014257,0.000175293,6.57E-05,0.000111475,1.49E-05,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000191624,0.000289022,0.000141024,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.000137173,0.0480745,9.28E-06,3.85E-05,5.881156827,0.3,0,0,0,0,0,0,0,0,0,603.478,0.014,1.00E-05,0.15,4,0.5
5,4.044544953,0.0169722,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,5.05E-05,6.61E-05,4.87E-05,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000272761,0.00021978,6.36E-05,0.000241607,0.000123277,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,8.63E-05,9.22E-05,0.000309192,8.76E-05,0.000176237,0.000525678,6.19E-05,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,8.99E-05,0.000150668,0.000132421,0.000138492,0.000119293,7.13E-05,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000426777,0.000507059,0.000195688,0.000308026,0.000330535,0.000150221,0.000163182,0.000139562,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000139383,0.000203528,0.000192494,0.00012586,4.98E-05,7.72E-05,5.39E-05,4.31E-05,0.000223022,0.000223022,0.000223022,0.000223022,0.000258973,9.83E-05,0.000243217,0.000283303,1.11E-05,7.94E-06,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,8.98E-05,0.000204715,0.000144337,7.01E-05,5.50E-05,1.63E-05,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,7.45E-05,4.73E-05,7.47E-05,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,5.00E-05,5.87E-05,7.89E-05,9.750286311,0.3,0,0,0,0,0,0,0,0,0,568.999,0.014,1.00E-05,0.15,5,0.5
6,2.631493177,0.0434009,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,7.45E-05,2.70E-05,6.93E-05,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000345922,0.0006,8.03E-05,4.90E-05,9.56E-05,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000261815,0.00026704,0.000131387,0.000170947,0.000213245,0.000159484,3.42E-05,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000196217,0.000487176,0.000206032,0.000310259,0.0006,0.000305577,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000311408,0.000112463,0.000442531,0.000146671,0.000228082,8.55E-05,9.70E-05,0.000251385,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,6.43E-05,0.000279504,0.000138096,0.000163055,0.000176263,0.00011921,9.58E-05,0.000108684,0.000416898,0.000416898,0.000416898,0.000416898,0.000255813,0.000105449,8.88E-05,7.22E-05,5.82E-05,1.91E-05,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000112863,0.000128449,0.000192774,0.000153826,7.01E-05,1.68E-05,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000229821,5.23E-05,6.35E-05,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000939144,9.15E-06,4.86E-06,3.552671289,0.3,0,0,0,0,0,0,0,0,0,526.632,0.014,1.00E-05,0.15,6,0.5
7,2.137238828,0.0252764,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,0.000147602,4.68E-05,9.03E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,0.000198191,0.000216649,0.0006,0.000528116,0.000214474,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,0.0006,0.000345217,0.000545279,0.000120952,0.0006,0.0006,0.0006,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,0.000448138,0.000407895,0.000160487,0.000116303,0.000549675,0.0006,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,0.0006,0.0006,0.0006,0.000132083,0.000111557,0.000182838,0.000186816,0.0006,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,0.000443147,0.00057442,0.000103741,0.000112294,0.000285242,0.000106368,0.000166233,0.000259505,7.83E-05,7.83E-05,7.83E-05,7.83E-05,0.000512278,0.000218314,0.000324562,4.72E-05,3.60E-05,1.20E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,0.000269405,0.0006,0.000155565,9.30E-05,9.21E-05,3.14E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,0.000123252,0.000330487,0.000355418,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,7.83E-05,0.00128692,1.53E-05,7.75E-07,5.638535251,0.3,0,0,0,0,0,0,0,0,0,662.04,0.014,1.00E-05,0.15,7,0.5
8,3.190623577,0.00327856,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,0.000146714,0.000252412,5.01E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,0.000158539,0.00057106,0.000169191,2.61E-05,7.60E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,0.000166828,9.17E-05,0.000218807,0.000430134,0.000227782,0.000134147,0.000126551,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,0.000445392,0.000585731,0.000337145,9.41E-05,0.00012474,0.000548175,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,0.000220134,0.000233576,0.000191578,0.000349458,0.000155582,0.000215695,0.000120446,0.000408518,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,0.000109115,0.000289993,0.000171875,0.000211241,4.34E-05,3.41E-05,0.000104716,7.87E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,0.000138285,0.000130267,0.000163082,0.000115274,6.69E-05,4.07E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.83E-05,0.000349019,0.0006,4.22E-05,5.89E-05,2.45E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,9.55E-05,5.68E-05,1.46E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,6.31E-05,0.0108791,9.25E-06,1.20E-05,8.290568637,0.3,0,0,0,0,0,0,0,0,0,628.976,0.014,1.00E-05,0.15,8,0.5
9,2.129073265,0.00622752,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000166064,0.000510409,8.94E-05,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000312657,0.000159879,0.00023772,5.13E-05,9.69E-06,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.0006,0.000251671,0.000185877,0.000127745,0.000451545,4.07E-05,1.07E-05,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000252445,0.0006,0.00026138,0.000189168,0.000209874,0.000149439,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000239662,0.000268363,0.00040035,0.000227021,0.000140041,0.000135962,0.000151175,8.62E-05,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.00059804,0.000115207,0.000157177,0.000302533,9.16E-05,0.000174078,5.10E-05,0.000246249,0.000188243,0.000188243,0.000188243,0.000188243,0.000318309,0.000239602,0.000105317,0.000125817,3.44E-05,3.54E-05,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000164928,0.00015238,0.000155749,0.000166851,4.55E-05,2.02E-05,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000154487,9.66E-05,8.61E-05,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.0123574,2.20E-05,1.34E-05,9.165892514,0.3,0,0,0,0,0,0,0,0,0,600.406,0.014,1.00E-05,0.15,9,0.5
