real_name,alpha_l,alpha_t,hk1000,hk1001,hk1002,hk1003,hk1004,hk1005,hk1006,hk1007,hk1008,hk1009,hk1010,hk1011,hk1012,hk1013,hk1014,hk1015,hk1016,hk1017,hk1018,hk1019,hk1020,hk1021,hk1022,hk1023,hk1024,hk1025,hk1026,hk1027,hk1028,hk1029,hk1030,hk1031,hk1032,hk1033,hk1034,hk1035,hk1036,hk1037,hk1038,hk1039,hk1040,hk1041,hk1042,hk1043,hk1044,hk1045,hk1046,hk1047,hk1048,hk1049,hk1050,hk1051,hk1052,hk1053,hk1054,hk1055,hk1056,hk1057,hk1058,hk1059,hk1060,hk1061,hk1062,hk1063,hk1064,hk1065,hk1066,hk1067,hk1068,hk1069,hk1070,hk1071,hk1072,hk1073,hk1074,hk1075,hk1076,hk1077,hk1078,hk1079,hk1080,hk1081,hk1082,hk1083,hk1084,hk1085,hk1086,hk1087,hk1088,hk1089,hk1090,hk1091,hk1092,hk1093,hk1094,hk1095,hk1096,hk1097,hk1098,hk1099,hk1100,hk1101,hk1102,hk1103,hk1104,hk1105,hk1106,hk1107,hk1108,hk1109,hk1110,hk1111,hk1112,hk1113,hk1114,hk1115,hk1116,hk1117,hk1118,hk1119,hk1120,hk1121,hk1122,hk1123,hk1124,hk1125,hk1126,hk1127,hk1128,hk1129,hk1130,hk1131,hk1132,hk1133,hk1134,hk1135,hk1136,hk1137,hk1138,hk1139,hk1140,hk1141,hk1142,hk1143,hk1144,hk1145,hk1146,hk1147,hk1148,hk1149,hk1150,hk1151,hk1152,hk1153,hk1154,hk1155,hk1156,hk1157,hk1158,hk1159,hk1160,hk_dunes,hk_seabed,hk_valley,m,ne,qmuni1,qmuni2,qmuni3,qmuni4,qmuni5,qmuni6,qmuni7,qmuni8,qmuni9,rech_mmyr,slvl,ss,sy
0,3,0.0405263,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000292945,0.000447201,0.000211118,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000174765,0.000232991,0.000124435,0.00024265,0.000573407,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000539546,0.000324904,0.000245002,0.000156495,0.000116164,0.000530328,0.000535175,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,9.69391e-05,0.000336269,0.00016618,0.000192054,0.000281976,0.000289109,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.00035588300000000003,0.000411146,0.000401583,0.0003088,0.00028951,0.000159114,0.000110905,0.000133209,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000442286,0.000583941,0.000268732,9.0401e-05,0.000128124,5.60417e-05,0.000211782,0.000106817,0.000542606,0.000542606,0.000542606,0.000542606,0.000205808,0.000230882,0.000372893,6.859100000000001e-05,2.3642800000000007e-05,2.04132e-05,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000363164,6.95164e-05,0.000166086,0.000108128,6.53003e-05,1.05616e-05,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000292922,0.000118009,7.973939999999999e-05,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,0.000542606,5e-05,6.39087e-06,5.1035400000000015e-06,8,0.3,0,0,0,0,0,0,0,0,0,684.1983257156743,0.26622626356394063,1e-05,0.15
1,3,0.004464899999999999,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,7.22951e-05,0.00022200000000000006,0.000123765,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,0.000345814,0.000178823,7.645300000000001e-05,6.61724e-05,0.000233554,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,0.000265892,0.000227129,0.000277251,0.000209949,5.59366e-05,0.000204805,0.000250343,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,0.000277163,0.00034233800000000003,0.000179902,0.000113924,0.000561895,0.000148035,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,0.000208146,0.000276556,0.0004203880000000001,0.000495085,0.000199552,9.35848e-05,0.000170769,0.000153961,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,0.000353175,0.000177958,0.00010517,0.000195969,0.000126382,3.11088e-05,0.000103005,0.000164173,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,0.000260707,0.0006,0.00023963,0.000149908,2.31758e-05,1.6004e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,0.000372075,0.000418871,0.000150824,9.24613e-05,9.31245e-05,1.67312e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,0.000129773,7.88359e-05,5.95787e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,3.31692e-05,0.00215794,1.11834e-05,2.28987e-05,8,0.3,0,0,0,0,0,0,0,0,0,741.8342165651328,0.1943319299415812,1e-05,0.15
2,3,0.0207656,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,2.29149e-05,2.39931e-05,2.80397e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,8.60601e-05,0.000107159,0.000103795,8.99707e-05,0.000109053,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,0.000151072,0.000134903,0.000205909,0.000264743,0.000227657,8.85035e-05,2.92127e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,5.47134e-05,0.000302364,0.000263123,0.000113339,0.000337357,0.000194966,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,0.000107952,0.000258122,5.03962e-05,0.000162578,0.000238509,3.84142e-05,7.33268e-05,6.59449e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.78335e-05,0.00023401,9.16578e-05,0.000155369,0.000150713,0.000130203,4.92862e-05,8.5167e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,0.000178035,0.000276032,0.000175277,5.82945e-05,1.26182e-05,3.58532e-06,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,0.000142545,6.15443e-05,0.000120761,7.80487e-05,5.20032e-05,1.31114e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,0.000185065,7.71725e-05,2.76049e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,7.39644e-05,0.00800105,1.22417e-05,1.83519e-06,8,0.3,0,0,0,0,0,0,0,0,0,413.5540890913704,0.4725805543333482,1e-05,0.15
3,3,0.015968899999999998,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.462520000000001e-05,0.000148074,0.000505526,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,0.000306655,0.000349791,3.83054e-05,0.0006,0.000454986,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,0.0006,0.000327139,0.000117687,0.000120016,8.60073e-05,0.000125134,0.000523156,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,0.00023675,0.000519791,0.000136046,9.52707e-05,0.000288729,0.000102021,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,0.0006,4.92604e-05,0.000377779,0.000254355,0.000205033,0.000149922,0.000115126,0.00013254399999999998,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,0.000160928,0.000289161,0.00012854200000000002,8.511889999999999e-05,2.41223e-05,6.08372e-05,4.07082e-05,0.000101163,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,0.000192022,0.000249787,0.000138165,7.29012e-05,2.87017e-05,1.75321e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,0.000191795,0.000284121,0.000217842,9.37164e-05,5.86891e-05,2.82259e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.769620000000001e-05,5.05564e-05,3.0434e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,8.00084e-05,0.00108288,7.36961e-06,1.25378e-05,8,0.3,0,0,0,0,0,0,0,0,0,337.4788369576118,0.21464618823753764,1e-05,0.15
4,3,0.0124701,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.000142866,0.000191715,2.8379e-05,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.0006,8.95824e-05,0.000180827,4.35113e-05,2.84129e-05,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.0006,0.00024364,0.000504518,7.95201e-05,0.00039843,0.00012969700000000002,2.74723e-05,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.000395972,0.0006,0.0003025,0.000127262,0.00012147,0.000185719,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.0006,0.0006,0.000197104,0.000160013,0.000159093,0.00017930900000000005,5.64165e-05,7.16484e-05,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.000133842,0.00033331400000000003,0.00035339400000000004,9.19052e-05,0.000194914,8.35285e-05,8.58411e-05,0.000344872,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.000106402,0.000157283,0.000269145,4.47098e-05,1.0186e-05,1.15404e-05,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,3.69133e-05,0.00014257,0.000175293,6.57074e-05,0.000111475,1.49123e-05,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.000191624,0.000289022,0.00014102399999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.00013717299999999998,0.0480745,9.28012e-06,3.85474e-05,8,0.3,0,0,0,0,0,0,0,0,0,610.6862342909177,0.22175913912018602,1e-05,0.15
5,3,0.0169722,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,5.0450200000000014e-05,6.61171e-05,4.87217e-05,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000272761,0.00021978,6.36314e-05,0.000241607,0.000123277,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,8.631e-05,9.22316e-05,0.000309192,8.76359e-05,0.000176237,0.000525678,6.18838e-05,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,8.98782e-05,0.000150668,0.000132421,0.00013849200000000002,0.000119293,7.13411e-05,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000426777,0.000507059,0.000195688,0.000308026,0.000330535,0.000150221,0.000163182,0.000139562,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000139383,0.000203528,0.000192494,0.00012586,4.98167e-05,7.71668e-05,5.38755e-05,4.31224e-05,0.000223022,0.000223022,0.000223022,0.000223022,0.000258973,9.82767e-05,0.000243217,0.000283303,1.10566e-05,7.94425e-06,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,8.984450000000001e-05,0.000204715,0.000144337,7.007569999999999e-05,5.50032e-05,1.63222e-05,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,7.452359999999999e-05,4.72871e-05,7.470770000000001e-05,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,0.000223022,5e-05,5.86531e-05,7.89138e-05,8,0.3,0,0,0,0,0,0,0,0,0,584.6261845689887,0.21149768882521627,1e-05,0.15
6,3,0.0434009,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,7.44636e-05,2.7023400000000006e-05,6.92675e-05,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000345922,0.0006,8.0313e-05,4.90316e-05,9.55947e-05,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000261815,0.00026704,0.000131387,0.00017094700000000002,0.000213245,0.000159484,3.418e-05,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000196217,0.000487176,0.000206032,0.000310259,0.0006,0.000305577,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000311408,0.000112463,0.000442531,0.000146671,0.000228082,8.554399999999999e-05,9.69635e-05,0.000251385,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,6.430229999999999e-05,0.000279504,0.000138096,0.000163055,0.000176263,0.00011921,9.58173e-05,0.000108684,0.000416898,0.000416898,0.000416898,0.000416898,0.000255813,0.000105449,8.88424e-05,7.22355e-05,5.8168e-05,1.90765e-05,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000112863,0.000128449,0.000192774,0.000153826,7.00932e-05,1.6839000000000006e-05,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000229821,5.23156e-05,6.35366e-05,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000416898,0.000939144,9.15492e-06,4.858630000000002e-06,8,0.3,0,0,0,0,0,0,0,0,0,578.5376745623695,0.36056354952853786,1e-05,0.15
7,3,0.0252764,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,0.000147602,4.67916e-05,9.02521e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,0.000198191,0.000216649,0.0006,0.000528116,0.000214474,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,0.0006,0.000345217,0.000545279,0.000120952,0.0006,0.0006,0.0006,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,0.0004481380000000001,0.000407895,0.000160487,0.000116303,0.000549675,0.0006,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,0.0006,0.0006,0.0006,0.000132083,0.000111557,0.000182838,0.000186816,0.0006,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,0.000443147,0.00057442,0.000103741,0.000112294,0.000285242,0.000106368,0.000166233,0.000259505,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,0.000512278,0.000218314,0.00032456200000000003,4.72425e-05,3.60359e-05,1.19807e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,0.000269405,0.0006,0.000155565,9.29598e-05,9.20937e-05,3.1363000000000004e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,0.00012325200000000002,0.000330487,0.00035541800000000003,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,7.83459e-05,0.00128692,1.52959e-05,7.75163e-07,8,0.3,0,0,0,0,0,0,0,0,0,680.6871353458425,0.18021515155264187,1e-05,0.15
8,3,0.00327856,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,0.000146714,0.000252412,5.00512e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,0.000158539,0.00057106,0.000169191,2.6105700000000007e-05,7.59905e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,0.000166828,9.17253e-05,0.000218807,0.000430134,0.000227782,0.00013414700000000002,0.000126551,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,0.000445392,0.000585731,0.000337145,9.40619e-05,0.00012474,0.000548175,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,0.000220134,0.000233576,0.000191578,0.00034945800000000003,0.000155582,0.000215695,0.000120446,0.000408518,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,0.000109115,0.000289993,0.000171875,0.000211241,4.34164e-05,3.4076e-05,0.000104716,7.868609999999999e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,0.000138285,0.00013026700000000002,0.000163082,0.000115274,6.68916e-05,4.07198e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.82623e-05,0.000349019,0.0006,4.22159e-05,5.89434e-05,2.45015e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,9.55199e-05,5.67998e-05,1.46373e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,6.310840000000001e-05,0.0108791,9.24902e-06,1.19896e-05,8,0.3,0,0,0,0,0,0,0,0,0,628.2049402440717,0.2532304847317749,1e-05,0.15
9,3,0.00622752,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000166064,0.000510409,8.93545e-05,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000312657,0.000159879,0.00023772,5.12522e-05,9.68536e-06,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.0006,0.000251671,0.000185877,0.000127745,0.000451545,4.06594e-05,1.06957e-05,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000252445,0.0006,0.00026138,0.000189168,0.000209874,0.000149439,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000239662,0.000268363,0.00040035,0.000227021,0.000140041,0.000135962,0.000151175,8.622709999999999e-05,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.00059804,0.000115207,0.00015717700000000002,0.000302533,9.16164e-05,0.00017407799999999998,5.10263e-05,0.00024624900000000003,0.000188243,0.000188243,0.000188243,0.000188243,0.000318309,0.000239602,0.000105317,0.00012581700000000002,3.43901e-05,3.5357399999999995e-05,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000164928,0.00015238,0.000155749,0.00016685099999999998,4.54879e-05,2.01667e-05,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000154487,9.65867e-05,8.60786e-05,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.000188243,0.0123574,2.2033e-05,1.33938e-05,8,0.3,0,0,0,0,0,0,0,0,0,667.5847024670027,0.23469306700388845,1e-05,0.15
